country,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR
1978-Q1,,,-12.11899,,-18.9,-3.386307,-4.734415,2.173175,0.1039375,-12.48316
1978-Q2,,,-8.451508,,-9.3,-6.017821,-6.734785,-0.7664142,7.511673,-3.588804
1978-Q3,,,-7.324414,,-3.0,-2.948355,2.021255,-2.902313,15.99718,6.673855
1978-Q4,,,-4.078137,,-2.4,-5.411418,5.528181,4.489907,-10.43011,7.460684
1979-Q1,,,0.6070306,,3.1,-2.566055,2.908248,0.5839181,10.66911,15.42182
1979-Q2,,,-0.06209772,,3.5,12.78883,6.384158,13.37393,8.815944,12.22966
1979-Q3,,,4.464002,,2.0,13.19817,13.39977,15.48091,24.8423,9.066298
1979-Q4,,,9.322464,,12.7,17.5735,9.749883,19.50195,23.99952,13.32271
1980-Q1,,,0.8948997,,10.7,19.6977,5.052974,15.41893,28.07706,4.381674
1980-Q2,,,0.3852792,,-7.1,2.062802,5.461304,1.111488,29.27286,-5.956767
1980-Q3,,,-1.655913,,-21.0,-4.078822,-3.138888,-9.531873,25.10509,-12.59869
1980-Q4,,,-6.307204,,-21.5,-5.517957,1.305062,-0.5719367,35.30603,-19.72163
1981-Q1,,,-4.551918,,-19.4,-16.46325,2.166649,-7.65414,20.01067,-13.8861
1981-Q2,,,-5.670031,,-8.2,-7.405946,-0.05902544,2.67815,35.70076,-10.88119
1981-Q3,,,-2.588188,,-4.0,0.6368015,4.734922,6.907046,23.14786,-5.301528
1981-Q4,,,-3.817031,,-11.4,-4.684791,0.9229847,0.1343825,30.25673,-6.930672
1982-Q1,,,-10.88722,,-17.5,-1.234196,-0.8412179,2.930382,19.55085,-15.03602
1982-Q2,,,-16.9816,,-24.3,-13.3519,-6.2321,-9.827759,10.11667,-15.79059
1982-Q3,,,-23.32754,,-30.8,-19.59849,-15.8881,-11.10306,14.24255,-16.02589
1982-Q4,,,-20.77907,,-6.4,-4.396164,-4.615167,-12.84148,5.109214,-3.125118
1983-Q1,,,-11.57166,,-9.6,-15.79234,10.69519,-2.87695,15.25996,2.711723
1983-Q2,,,-10.63643,,-6.2,-0.514156,7.609393,11.21114,19.63634,8.536454
1983-Q3,,,-7.06683,,0.5,0.7918744,8.283352,8.780814,23.90145,11.90741
1983-Q4,,,-9.753422,,0.2,5.602567,3.478646,14.62585,17.24277,6.866938
1984-Q1,,,-9.231329,,2.4,5.328658,0.642136,19.10662,17.99366,10.61621
1984-Q2,,,-9.000035,,5.8,6.940999,7.814386,12.63411,14.25626,10.69811
1984-Q3,,,-10.21153,,1.8,13.26392,2.839669,21.13872,12.38719,3.691216
1984-Q4,,,-4.688846,,0.8,7.554505,7.508892,17.89666,14.2013,12.13187
1985-Q1,,,-1.775946,,6.5,13.02719,14.11586,5.744201,14.03854,3.393788
1985-Q2,,,6.726982,,12.9,20.34676,13.57694,15.49605,11.73931,4.878752
1985-Q3,,,2.451765,,-9.9,7.083183,16.61417,18.42582,10.05748,-2.624167
1985-Q4,,,7.545086,,0.3,14.2244,12.68826,23.00057,14.72335,-1.420947
1986-Q1,,,0.5139047,,-6.4,18.66552,3.353916,21.66571,11.62147,5.128414
1986-Q2,,,-0.3839574,,-9.1,2.951529,3.22523,15.99722,25.82798,-6.100295
1986-Q3,,,1.044143,,-0.6,10.31913,9.487667,13.02778,16.87874,0.218496
1986-Q4,,,-0.1941086,,1.1,5.763718,13.16954,8.124567,19.28571,-0.0001649317
1987-Q1,4.799908,85.39304,0.6771419,,-1.7,-2.027482,11.47406,8.070372,17.10345,-5.146179
1987-Q2,3.799821,85.07324,-1.490861,,5.0,5.140908,4.197242,12.1195,21.09883,4.841388
1987-Q3,4.534934,85.60954,-0.1692714,,-0.3,6.319053,10.1299,7.24986,24.19127,6.160007
1987-Q4,3.141473,83.81566,-5.868572,,-4.0,3.871369,7.775198,7.413952,23.52015,6.388465
1988-Q1,0.5370661,84.2039,-7.509939,,-8.9,7.298347,5.098269,20.56708,18.30637,5.621722
1988-Q2,-7.229547,83.2722,-13.4922,,-18.3,-20.84652,0.148788,-10.18538,13.33213,-1.212001
1988-Q3,-4.365773,81.8142,-18.16813,,-14.6,-15.8275,0.03939346,-2.957274,11.24894,5.909982
1988-Q4,-4.689703,82.19321,-20.58947,,-11.8,-21.23138,-1.690371,-10.51211,10.40071,1.99288
1989-Q1,-2.3525,79.93108,-19.86943,,-8.3,-14.76183,3.682491,-6.291688,4.034333,6.354617
1989-Q2,2.969503,81.75643,-15.67338,,-6.0,0.6798209,9.065267,0.05522418,8.516704,5.683935
1989-Q3,1.949765,82.25361,-12.6594,,-1.8,-0.397902,5.19403,3.401664,9.44661,9.696628
1989-Q4,0.3133598,81.99675,-11.5003,,-2.4,4.938619,3.538344,13.84567,11.49509,3.469436
1990-Q1,2.85,81.93,-12.33,0.6,3.2,3.44,5.12,7.78,16.49,7.34
1990-Q2,5.17,81.42,-9.95,-8.74,-0.7,-0.86,7.68,5.47,14.61,3.39
1990-Q3,-4.47,82.03,-9.9,7.57,-4.1,3.09,-0.12,13.72,11.89,0.48
1990-Q4,2.56,82.01,-10.44,-9.91,-6.8,2.19,3.58,7.16,5.59,-0.89
1991-Q1,-4.28,81.97,-13.99,0.13,-17.3,-8.23,3.55,-0.24,1.78,-8.87
1991-Q2,-7.31,81.51,-15.18,5.01,-16.4,-2.34,-0.07,-3.71,2.77,-10.88
1991-Q3,-4.1,80.54,-12.02,-5.78,-17.7,-11.45,1.16,-9.31,4.45,-14.55
1991-Q4,-3.3,80.36,-8.4,1.3,-9.2,-2.06,-0.48,-3.69,1.39,-10.47
1992-Q1,-0.47,80.99,-9.75,-5.4,-4.4,-0.9,-3.12,2.87,6.36,-6.92
1992-Q2,1.56,81.17,-11.14,-6.4,-4.8,-9.98,3.73,1.96,1.88,-8.4
1992-Q3,-7.72,80.73,-16.52,-1.67,-15.0,-0.77,-9.11,4.97,-2.0,-7.24
1992-Q4,-2.62,80.87,-17.16,-7.34,-16.4,-12.43,0.73,-8.95,-2.02,-9.2
1993-Q1,-3.37,79.49,-14.46,-5.48,-13.4,-14.73,-2.74,-1.8,1.27,-1.09
1993-Q2,-3.72,79.81,-13.13,-3.58,-12.2,-7.26,-1.82,-2.31,-1.21,1.23
1993-Q3,2.55,80.29,-11.05,-1.67,-0.2,4.62,5.95,7.06,-1.31,0.1
1993-Q4,3.12,80.0,-11.24,-5.21,-0.6,8.23,4.88,12.98,3.26,1.9
1994-Q1,5.08,82.09,-5.65,-5.68,2.5,11.5,6.69,11.5,7.55,4.91
1994-Q2,4.8,82.27,-7.21,-8.46,6.4,14.54,0.26,21.21,9.46,12.8
1994-Q3,6.52,81.6,-10.68,-10.25,1.6,8.81,6.47,18.42,14.49,12.43
1994-Q4,4.33,83.17,-1.65,-7.9,1.2,11.15,4.83,17.9,11.51,12.01
1995-Q1,5.32,82.92,-1.38,1.31,10.8,21.46,6.26,24.49,5.85,5.83
1995-Q2,-3.08,81.9,-3.35,7.02,-1.4,7.62,-0.16,22.08,2.04,3.58
1995-Q3,5.33,83.08,-1.27,2.02,4.8,6.66,11.78,14.57,7.4,2.49
1995-Q4,-5.93,82.28,-7.47,8.32,-9.7,3.33,1.18,11.03,-0.28,-2.75
1996-Q1,2.63,81.12,-0.86,3.36,1.2,11.42,9.98,14.23,3.11,-2.24
1996-Q2,8.88,81.67,3.78,2.37,7.1,12.52,22.4,4.91,10.62,-2.6
1996-Q3,7.23,81.97,4.79,5.7,5.8,9.6,20.34,12.11,10.42,0.47
1996-Q4,12.58,82.15,5.9,0.98,17.2,11.68,22.17,17.84,13.96,11.46
1997-Q1,9.63,82.71,0.4,0.74,6.9,10.19,22.92,14.06,8.19,-1.22
1997-Q2,13.07,82.81,8.14,-1.22,16.3,11.35,21.87,27.68,10.16,10.2
1997-Q3,12.61,83.08,3.86,-4.03,10.3,12.78,23.15,13.64,10.64,4.44
1997-Q4,14.03,82.8,12.24,5.16,21.3,17.86,25.79,23.87,12.26,8.68
1998-Q1,5.12,82.28,5.62,-0.17,-1.3,5.99,16.89,6.6,15.93,2.73
1998-Q2,3.49,83.23,1.43,-0.82,-0.1,4.23,9.67,12.57,12.93,-3.91
1998-Q3,1.23,81.72,-6.04,0.22,-0.3,4.91,4.69,12.19,8.88,-2.61
1998-Q4,-5.69,80.87,-16.08,-0.48,-20.0,-22.91,1.52,-2.0,4.66,-10.05
1999-Q1,-1.99,82.68,-19.59,-4.16,-8.3,-11.37,-1.28,-0.08,1.4,-5.45
1999-Q2,-4.3,78.69,-24.31,-3.42,-16.6,-17.68,-0.29,-8.25,0.85,-6.99
1999-Q3,-0.85,79.76,-17.75,-0.81,-8.7,-7.0,6.87,-3.52,5.06,-3.52
1999-Q4,0.17,80.31,-17.3,0.47,-0.1,-5.93,-0.41,0.15,10.08,0.15
2000-Q1,3.82,79.85,-7.88,-2.53,-3.1,-3.48,12.5,-3.7,8.82,-0.77
2000-Q2,6.85,79.42,-10.1,2.87,8.7,3.5,13.85,-3.02,10.92,2.05
2000-Q3,8.91,79.89,-3.68,-2.6,8.8,4.82,17.44,2.74,10.11,-1.38
2000-Q4,11.22,80.39,0.91,-2.67,10.1,7.28,19.31,10.27,7.5,0.27
2001-Q1,4.84,79.87,-3.27,4.16,2.8,-0.71,16.31,6.55,9.34,-1.09
2001-Q2,4.01,79.88,0.92,1.03,-3.0,0.67,14.75,4.52,6.95,-5.82
2001-Q3,0.37,79.28,-5.56,3.64,-4.4,-1.37,11.66,-1.28,5.13,-4.32
2001-Q4,2.11,78.59,-8.99,2.43,-7.1,-7.32,14.45,-1.42,4.88,-8.7
2002-Q1,6.05,80.82,-10.22,-3.39,2.9,5.79,12.11,3.67,4.84,-8.19
2002-Q2,3.55,79.28,-16.41,-3.9,0.5,2.97,4.8,5.08,3.15,-0.82
2002-Q3,-6.32,78.77,-23.48,1.23,-10.6,-9.65,-4.59,-2.26,-1.92,-4.24
2002-Q4,-4.68,77.8,-20.84,-1.87,-12.8,-6.72,-4.24,-7.15,-0.79,-10.81
2003-Q1,-7.07,76.96,-20.35,3.03,-14.6,-13.2,-3.43,-6.52,-7.47,-12.24
2003-Q2,-4.48,76.54,-18.93,3.44,-12.5,-11.17,0.93,-6.52,-4.31,-10.25
2003-Q3,2.69,78.09,-10.66,-1.09,-3.9,-3.62,13.27,-6.55,-1.42,-8.12
2003-Q4,4.93,78.09,-7.8,1.72,4.8,3.1,10.96,-0.22,0.47,-1.58
2004-Q1,10.42,77.64,-4.69,-1.68,13.9,13.84,15.71,12.02,3.55,9.7
2004-Q2,11.41,78.88,-1.21,-3.68,9.4,1.02,19.91,12.66,5.31,5.96
2004-Q3,12.3,79.1,-2.94,-3.43,18.5,13.43,16.78,16.05,7.43,6.28
2004-Q4,11.26,79.73,-3.76,-0.3,16.8,14.43,16.07,19.87,7.05,5.45
2005-Q1,10.49,81.06,1.12,1.69,11.9,12.56,21.52,2.75,7.55,7.55
2005-Q2,9.22,81.15,2.95,3.68,11.5,15.15,18.56,16.14,6.6,0.01
2005-Q3,10.49,81.15,6.37,0.78,10.8,11.32,22.33,15.14,10.87,0.83
2005-Q4,14.58,82.19,11.29,0.24,15.3,14.2,29.07,21.98,13.64,5.79
2006-Q1,12.16,82.66,7.44,0.4,17.3,17.69,19.45,24.1,17.32,9.02
2006-Q2,15.65,82.91,9.99,-3.33,20.3,15.67,22.67,17.29,16.29,8.82
2006-Q3,17.11,83.3,11.66,-3.24,21.9,22.15,25.99,20.52,19.36,9.44
2006-Q4,19.54,84.34,11.79,-6.45,26.4,28.98,26.89,25.7,26.76,14.39
2007-Q1,16.01,85.17,11.42,2.42,25.9,27.83,24.11,25.45,26.68,6.25
2007-Q2,10.83,84.85,10.01,4.81,15.4,18.05,21.65,21.87,22.39,6.54
2007-Q3,9.29,84.21,11.65,7.67,13.1,14.91,21.62,18.51,19.75,4.17
2007-Q4,7.63,84.27,10.17,6.05,11.1,9.6,19.61,15.88,22.99,5.47
2008-Q1,7.19,83.44,10.52,4.27,4.0,5.01,21.0,12.67,17.95,-0.3
2008-Q2,-0.47,83.19,-1.8,8.04,-3.5,-1.55,10.15,7.34,18.83,-3.15
2008-Q3,-6.54,82.08,-6.81,10.15,-15.1,-9.63,4.78,-2.99,7.97,-12.26
2008-Q4,-22.9,78.8,-30.02,10.97,-37.6,-34.19,-18.46,-20.66,-6.62,-27.49
2009-Q1,-19.36,76.93,-30.95,0.64,-37.8,-33.17,-20.38,-27.39,-17.74,-28.89
2009-Q2,-7.39,75.94,-22.53,-10.42,-30.9,-24.7,-1.9,-19.53,-5.43,-20.41
2009-Q3,-2.72,76.71,-21.23,-13.81,-15.2,-12.41,-7.24,-8.11,-3.24,-10.1
2009-Q4,0.25,77.05,-14.22,-10.67,-11.2,-11.2,2.84,-3.96,-7.16,-7.59
2010-Q1,3.59,77.11,-10.5,-9.78,-8.4,-6.22,8.62,-0.85,-1.85,-2.15
2010-Q2,5.01,77.66,-6.47,-2.28,0.3,3.24,11.77,5.03,1.55,3.36
2010-Q3,8.87,78.75,1.42,-4.02,5.8,6.87,17.12,2.86,7.81,3.34
2010-Q4,11.53,78.92,7.81,-2.63,9.4,7.63,23.41,6.93,11.03,6.75
2011-Q1,9.27,79.75,6.73,3.02,11.6,15.65,18.8,11.58,14.65,8.73
2011-Q2,9.27,80.49,8.16,2.49,10.2,12.84,18.88,11.17,12.45,-4.98
2011-Q3,5.44,79.58,4.26,3.66,7.3,9.45,13.98,11.32,6.6,-1.02
2011-Q4,6.48,79.61,4.68,0.08,3.4,6.12,16.31,6.58,10.51,-3.61
2012-Q1,9.08,80.0,5.33,-2.11,8.7,13.85,16.31,13.06,12.02,-0.77
2012-Q2,6.56,79.53,5.16,3.52,3.3,2.63,18.65,0.61,6.74,-2.1
2012-Q3,0.71,79.74,1.8,4.66,-3.5,-0.66,12.35,5.25,9.14,-5.68
2012-Q4,4.96,79.86,2.77,3.08,-1.63,0.98,17.26,1.23,10.63,-6.24
2013-Q1,1.01,79.71,-0.69,5.16,-4.48,-1.02,14.18,0.9,7.44,-5.26
2013-Q2,2.0,79.54,-2.11,1.0,-4.0,-5.39,9.38,1.0,8.0,-5.51
2013-Q3,5.56,79.36,-0.33,-2.86,4.27,3.53,11.26,5.53,9.88,4.01
2013-Q4,7.0,79.91,-0.4,2.6,7.79,-0.19,15.33,5.78,18.38,7.38
2014-Q1,6.76,80.42,-2.93,-1.65,6.94,1.34,12.98,11.0,9.79,7.0
2014-Q2,6.6,80.78,-4.75,-2.75,5.83,-0.39,11.72,5.81,10.15,3.31
2014-Q3,0.97,79.04,-8.63,-0.3,-2.93,-4.09,7.36,1.58,8.28,-1.21
2014-Q4,-1.93,79.41,-13.33,1.07,-8.41,-7.49,1.03,1.19,5.09,-3.19
2015-Q1,-3.78,78.58,-19.81,0.61,-8.24,-6.49,-0.87,-3.07,1.66,-7.19
2015-Q2,-7.39,77.8,-28.87,-4.35,-20.53,-19.54,-6.38,-7.99,-3.12,-11.33
2015-Q3,-7.37,76.71,-26.85,0.7,-11.65,-11.99,-9.02,-4.69,1.69,-7.39
2015-Q4,-7.8,76.54,-23.63,1.58,-13.53,-10.06,-9.23,-7.28,0.44,-6.38
2016-Q1,-6.45,77.26,-19.79,-3.02,-12.32,-6.56,-8.94,-2.97,-0.11,-9.59
2016-Q2,-1.42,77.34,-15.64,-1.44,-10.19,-5.19,1.69,0.92,1.85,-7.4
2016-Q3,-4.73,77.41,-14.38,1.08,-11.23,-6.72,1.0,-5.6,1.93,-10.27
2016-Q4,-0.1,76.66,-10.76,-3.59,-8.92,-1.15,4.52,-8.34,4.56,-4.73
2017-Q1,1.79,77.17,-7.27,-2.36,-0.72,1.98,4.96,3.57,5.55,-2.01
2017-Q2,3.94,77.84,-2.61,0.69,-1.76,-1.89,10.55,-1.68,6.78,-1.12
2017-Q3,3.41,77.7,-4.56,-1.0,-0.1,2.88,10.34,1.62,11.81,0.77
2017-Q4,6.47,78.05,2.13,1.58,5.8,6.7,15.47,1.63,12.74,1.11
2018-Q1,7.0,78.02,3.0,0.67,4.0,-0.77,18.52,-2.19,10.52,5.0
2018-Q2,8.77,79.04,5.24,1.73,10.06,13.67,17.11,12.21,13.05,7.26
2018-Q3,8.48,79.16,9.23,3.57,10.26,6.3,19.0,10.17,15.82,5.6
2018-Q4,8.52,79.71,9.1,3.63,10.61,6.96,18.58,10.54,11.61,4.9
2019-Q1,6.57,79.32,8.25,6.58,8.08,7.75,18.34,11.01,13.75,2.59
2019-Q2,5.62,79.28,5.46,4.15,4.47,6.87,16.33,6.06,12.63,3.0
2019-Q3,2.07,79.39,0.12,4.01,0.84,3.21,9.75,9.02,10.67,-0.81
2019-Q4,-0.3,79.3,-2.78,3.1,-2.45,-4.84,3.81,-0.7,10.26,-3.01
2020-Q1,-17.45,76.63,-32.24,-2.85,-14.11,-16.61,-41.1,-10.01,7.83,-7.4
2020-Q2,-9.74,76.01,-14.08,-3.81,-29.99,-27.57,-4.05,-25.78,8.84,-23.65
2020-Q3,2.08,77.7,-9.07,-6.33,1.33,1.18,-0.77,6.22,11.45,-3.75
2020-Q4,3.63,78.08,-1.18,-7.95,-3.36,-1.88,5.91,5.94,13.4,-2.57
2021-Q1,8.33,79.3,3.67,-8.46,3.55,3.59,13.52,1.67,16.75,2.36
2021-Q2,10.66,79.89,10.83,-2.82,11.99,13.75,16.83,10.49,31.26,6.08
2021-Q3,8.55,80.0,10.15,-0.11,13.13,9.97,12.92,9.38,30.14,10.89
2021-Q4,8.2,80.6,12.3,1.3,12.5,7.1,13.5,6.6,34.0,9.1
2022-Q1,8.5,81.7,18.5,5.6,14.1,10.8,17.5,12.7,50.2,7.4
