country,SWE,SWE
1989-Q2,,5.308468
1989-Q3,,3.696687
1989-Q4,,-2.384291
1990-Q1,,-6.6
1990-Q2,,-12.1
1990-Q3,,-20.8
1990-Q4,,-27.3
1991-Q1,,-34.9
1991-Q2,,-24.5
1991-Q3,,-29.6
1991-Q4,,-25.7
1992-Q1,,-13.4
1992-Q2,,-8.5
1992-Q3,,-21.9
1992-Q4,,-28.1
1993-Q1,,-17.2
1993-Q2,,0.1
1993-Q3,,10.4
1993-Q4,,15.6
1994-Q1,,28.9
1994-Q2,,30.6
1994-Q3,,32.6
1994-Q4,,35.6
1995-Q1,,31.8
1995-Q2,,27.1
1995-Q3,83.1,11.1
1995-Q4,81.3,13.1
1996-Q1,84.9,-0.1
1996-Q2,85.2,-13.7
1996-Q3,84.2,-6.3
1996-Q4,84.7,3.1
1997-Q1,86.9,5.0
1997-Q2,84.2,3.3
1997-Q3,86.2,18.6
1997-Q4,84.7,21.3
1998-Q1,85.9,14.4
1998-Q2,85.5,12.2
1998-Q3,85.2,7.0
1998-Q4,85.2,3.9
1999-Q1,84.2,-3.5
1999-Q2,83.4,-7.6
1999-Q3,85.7,16.6
1999-Q4,85.8,25.3
2000-Q1,85.2,23.7
2000-Q2,87.2,29.7
2000-Q3,87.2,27.6
2000-Q4,87.0,21.3
2001-Q1,85.2,6.0
2001-Q2,84.0,-10.6
2001-Q3,83.2,-7.2
2001-Q4,83.2,-4.7
2002-Q1,83.0,-0.3
2002-Q2,83.2,7.6
2002-Q3,83.0,19.3
2002-Q4,83.6,0.4
2003-Q1,83.6,5.4
2003-Q2,83.5,-4.6
2003-Q3,82.2,-3.5
2003-Q4,83.0,0.4
2004-Q1,85.0,12.2
2004-Q2,84.5,14.1
2004-Q3,85.3,25.9
2004-Q4,86.3,15.0
2005-Q1,87.1,16.0
2005-Q2,85.8,2.1
2005-Q3,85.5,4.5
2005-Q4,85.7,31.2
2006-Q1,85.6,31.1
2006-Q2,86.6,35.4
2006-Q3,87.6,33.5
2006-Q4,88.5,20.6
2007-Q1,87.9,29.4
2007-Q2,88.1,19.7
2007-Q3,86.9,3.5
2007-Q4,87.5,14.4
2008-Q1,88.1,0.9
2008-Q2,87.8,11.5
2008-Q3,85.9,-18.0
2008-Q4,83.4,-19.5
2009-Q1,75.3,-39.7
2009-Q2,71.2,-42.9
2009-Q3,72.7,7.6
2009-Q4,75.7,20.8
2010-Q1,76.8,19.7
2010-Q2,79.4,21.5
2010-Q3,81.3,33.0
2010-Q4,83.4,36.4
2011-Q1,85.6,30.9
2011-Q2,84.9,23.1
2011-Q3,85.5,13.0
2011-Q4,84.2,-10.3
2012-Q1,82.6,-20.1
2012-Q2,83.7,-0.4
2012-Q3,81.8,-6.3
2012-Q4,80.5,-13.6
2013-Q1,78.5,-15.9
2013-Q2,79.6,1.4
2013-Q3,80.6,4.4
2013-Q4,81.5,-4.2
2014-Q1,82.1,3.8
2014-Q2,81.4,20.9
2014-Q3,78.4,19.2
2014-Q4,81.0,19.3
2015-Q1,79.5,19.6
2015-Q2,80.7,10.5
2015-Q3,81.4,15.9
2015-Q4,82.2,14.4
2016-Q1,83.1,19.7
2016-Q2,82.3,10.4
2016-Q3,84.1,14.1
2016-Q4,83.0,5.7
2017-Q1,83.8,28.1
2017-Q2,84.1,24.1
2017-Q3,86.0,26.3
2017-Q4,87.1,29.6
2018-Q1,86.8,25.8
2018-Q2,88.1,21.3
2018-Q3,88.0,13.5
2018-Q4,88.1,17.4
2019-Q1,87.8,15.7
2019-Q2,87.1,3.4
2019-Q3,86.0,-3.4
2019-Q4,83.1,-4.6
2020-Q1,84.8,-9.3
2020-Q2,71.1,-29.6
2020-Q3,78.0,-41.5
2020-Q4,83.2,21.4
2021-Q1,83.8,22.9
2021-Q2,86.0,33.4
2021-Q3,87.0,37.3
2021-Q4,83.2,37.3
2022-Q1,84.8,23.1
2022-Q2,85.0,18.4
2022-Q3,85.0,16.1
2022-Q4,87.2,3.4
