country,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX
1985-11,-20.4,-30.0,-19.1,-40.8,3.0,-1.2,-2.6,0.2,-4.2,0.8,14.8,3.9,-36.0,,,
1985-12,-33.0,-32.4,-16.1,-48.7,-10.0,-12.8,-3.0,1.2,-4.2,-33.2,-30.3,-1.1,-36.0,,,
1986-01,-19.9,-24.6,-15.7,-33.6,-6.0,-3.6,0.4,7.2,-9.2,5.5,-19.0,10.9,-6.0,,,
1986-02,-21.3,-22.1,-11.6,-32.7,-9.0,-5.2,0.8,7.2,-6.2,-2.2,-64.6,-19.1,-4.0,,,
1986-03,-31.8,-21.6,-12.0,-31.1,-6.0,-2.7,1.2,9.2,-1.2,2.1,-46.4,-48.1,-2.0,,,
1986-04,-5.4,-10.5,-0.2,-20.8,9.0,-1.7,-2.7,7.2,-1.2,3.2,9.6,-46.1,1.0,,,
1986-05,-11.5,5.3,4.0,6.7,9.0,-0.6,-2.2,-0.8,-4.2,1.5,-21.8,-49.1,-4.0,,,
1986-06,-6.5,5.5,7.5,3.5,23.0,-15.2,-1.3,3.2,-4.2,-38.2,-13.8,-48.1,-4.0,,,
1986-07,0.4,9.6,13.0,6.2,30.0,-11.8,2.3,-1.8,-0.2,-37.0,2.0,-60.1,8.0,,,
1986-08,10.5,6.8,7.7,5.9,22.0,-16.6,1.9,2.2,-11.2,-36.4,-30.6,-41.1,-12.0,,,
1986-09,-6.2,11.3,10.8,11.7,27.0,-13.2,2.0,-4.8,-9.2,-35.4,-3.7,37.9,-7.0,,,
1986-10,-0.9,9.6,6.7,12.5,30.0,-15.2,-4.6,-0.8,-10.2,-36.2,2.7,-38.1,-53.0,,,
1986-11,0.7,3.2,-2.8,9.2,18.0,-11.0,-4.6,-7.8,-9.2,-31.6,9.9,-38.1,-51.0,,,
1986-12,5.9,0.6,-0.1,1.3,10.0,-12.6,-5.0,-2.8,-10.2,-30.6,-25.5,-33.1,-54.0,,,
1987-01,1.4,7.7,5.0,10.4,4.0,-16.4,0.4,0.2,-12.2,-36.8,-21.8,-31.1,-54.0,,,
1987-02,-14.0,12.9,13.6,12.3,10.0,-33.3,0.7,6.2,-53.2,-40.6,21.6,-30.1,-51.0,,,
1987-03,-1.7,15.6,22.4,8.9,-4.0,-29.0,1.1,0.2,-50.2,-36.8,-27.9,-6.1,-47.0,,,
1987-04,-1.8,13.2,19.1,7.3,14.0,-26.5,-42.7,3.2,-44.2,-32.1,2.2,-6.1,-40.0,,,
1987-05,5.7,15.0,27.4,2.7,2.0,-11.2,-42.2,-5.8,-41.2,1.6,18.5,38.9,-36.0,,,
1987-06,0.3,14.5,17.6,11.4,4.0,-14.1,-41.3,-2.8,-47.2,1.9,12.6,27.9,-43.0,,,
1987-07,-4.2,10.1,8.9,11.3,11.0,-15.4,-1.7,0.2,-48.2,2.1,-1.7,31.9,-50.0,,,
1987-08,-8.6,-1.8,-5.5,1.9,-4.0,-13.9,-2.1,-2.8,-46.2,1.7,-25.3,36.9,-50.0,,,
1987-09,-6.2,-10.4,-14.5,-6.3,-6.0,-12.1,-2.0,-8.8,-46.2,0.9,-3.6,35.9,-44.0,,,
1987-10,-1.2,0.0,-15.6,15.5,-14.0,-13.1,1.5,-3.8,-44.2,0.9,11.2,31.9,-49.0,,,
1987-11,-5.8,-1.8,-7.8,4.3,-13.0,-10.4,1.5,-4.8,-42.2,6.0,21.2,44.9,-47.0,,,
1987-12,1.8,-2.0,-5.2,1.3,-12.0,2.8,1.0,-0.8,-1.2,8.8,17.6,51.9,-3.0,,,
1988-01,-8.7,4.0,9.6,-1.5,-13.0,-0.5,-42.6,-2.8,-4.2,-0.2,61.2,41.9,-7.0,,,
1988-02,-2.9,-3.9,-6.1,-1.7,-9.0,-3.5,-42.2,-0.8,-10.2,-1.1,27.9,43.9,-4.0,,,
1988-03,-8.9,-2.0,1.0,-5.1,-33.0,-1.4,-41.9,-2.8,-7.2,0.1,39.6,51.9,-5.0,,,
1988-04,-11.1,7.7,13.1,2.4,6.0,3.4,-5.7,-3.8,0.8,5.4,9.9,47.9,1.0,,,
1988-05,-5.8,0.4,6.1,-5.3,11.0,2.2,-5.3,-4.8,-1.2,3.0,13.6,43.9,3.0,,,
1988-06,-9.6,6.5,14.6,-1.6,-22.0,4.0,-4.4,-7.8,1.8,2.2,11.5,36.9,10.0,,,
1988-07,-12.4,-6.1,-15.4,3.3,-21.0,4.3,-0.8,-9.8,-1.2,4.3,6.4,51.9,11.0,,,
1988-08,-9.6,-3.1,-5.0,-1.2,-20.0,2.2,-1.1,0.2,3.8,2.9,11.1,51.9,50.0,,,
1988-09,-8.7,-16.0,-22.7,-9.3,-15.0,1.0,-1.0,-1.8,-4.2,5.2,21.3,42.9,52.0,,,
1988-10,-10.3,-6.3,-7.2,-5.5,-12.0,2.9,-3.4,-1.8,-1.2,8.0,-14.3,45.9,53.0,,,
1988-11,-9.5,-6.9,-7.1,-6.7,-20.0,1.5,-3.3,2.2,-1.2,7.7,-9.5,50.9,53.0,,,
1988-12,-22.7,-8.8,-8.8,-8.8,-20.0,1.7,-3.8,-2.8,-4.2,6.3,9.7,58.9,3.0,,,
1989-01,-10.3,-21.3,-17.1,-25.6,-28.0,1.7,-42.6,-1.8,0.8,2.3,20.7,47.9,6.0,,,
1989-02,4.4,-6.1,10.5,-22.8,-21.0,1.0,-42.2,1.2,-2.2,6.3,-3.9,44.9,5.0,,,
1989-03,3.8,-3.9,4.3,-12.0,-12.0,4.9,-41.9,1.2,2.8,13.0,8.6,43.9,13.0,,,
1989-04,-16.5,-8.8,1.9,-19.5,-21.0,10.2,-48.8,-3.8,10.8,16.0,-1.0,5.9,21.0,,,
1989-05,-13.1,-3.3,7.7,-14.3,-9.0,7.1,-48.4,-1.8,8.8,10.5,15.5,6.9,6.0,,,
1989-06,-6.7,6.6,12.9,0.3,-8.0,5.7,-47.6,-8.8,2.8,5.4,6.6,8.9,6.0,,,
1989-07,-3.0,-1.7,2.2,-5.7,-7.0,-5.6,-43.9,-15.8,-32.2,-0.6,2.8,3.9,4.0,,,
1989-08,-6.5,7.9,17.1,-1.2,-10.0,-11.4,-44.2,-9.8,-42.2,-1.9,1.4,11.9,-4.0,,,
1989-09,-5.8,8.2,20.8,-4.4,-4.0,-16.6,-44.0,-4.8,-45.2,-9.5,4.6,4.9,-11.0,,,
1989-10,-11.2,17.1,23.6,10.5,-1.0,-13.4,-38.3,-4.8,-44.2,-0.9,-8.6,5.9,0.0,,,
1989-11,-5.6,11.8,18.2,5.3,3.0,-9.3,-38.2,1.2,-39.2,12.4,-13.9,4.9,5.0,,,
1989-12,3.8,10.0,14.8,5.2,7.0,-10.5,-38.6,6.2,-43.2,17.9,-22.4,-22.1,-40.0,,,
1990-01,-2.1,15.3,26.2,4.4,11.0,-9.8,-42.5,-1.8,-44.2,12.8,-17.8,14.9,-40.0,,,
1990-02,-6.6,18.0,27.8,8.2,-6.0,-4.6,-42.2,8.2,-4.2,-1.4,-1.7,10.9,-40.0,,,
1990-03,-3.2,24.5,36.0,13.0,-5.0,-0.1,-41.9,-0.8,-4.2,2.9,-7.4,4.9,-37.0,,,
1990-04,-4.9,14.6,29.7,-0.5,6.0,3.5,-43.8,-4.8,-6.2,11.7,-0.8,2.9,-40.0,,,
1990-05,-6.4,5.3,6.0,4.7,23.0,-1.8,-43.6,1.2,-11.2,6.9,1.4,3.9,-3.0,,,
1990-06,0.0,8.9,5.5,12.3,19.0,-2.5,-42.8,3.2,-12.2,7.7,7.5,-40.1,-16.0,,,
1990-07,-9.8,5.3,10.2,0.4,7.0,-5.3,-43.0,4.2,-10.2,-1.5,-3.9,-3.1,-15.0,,,
1990-08,-8.5,4.1,8.6,-0.3,10.0,-3.7,-43.2,0.2,-10.2,-0.8,-1.7,0.9,-5.0,,,
1990-09,-15.7,8.1,10.5,5.6,10.0,-7.2,-43.0,4.2,-15.2,-2.4,3.1,-1.1,-9.0,,,
1990-10,-4.2,9.5,11.4,7.6,17.0,-5.4,-43.1,4.2,-10.2,-1.9,-18.0,-35.1,-7.0,,,
1990-11,-9.7,3.5,3.7,3.4,8.0,-2.0,-43.0,-1.8,-9.2,1.3,-7.0,-30.1,-8.0,,,
1990-12,-10.3,4.1,-3.0,11.2,3.0,-2.6,-43.4,-3.8,-12.2,0.6,11.8,-26.1,-16.0,,,
1991-01,-19.5,14.9,22.4,7.4,11.0,-7.3,-46.4,7.2,-19.2,4.3,6.2,-22.1,-13.0,,,
1991-02,-13.1,15.0,21.9,8.2,2.0,-6.8,-46.2,6.2,-10.2,-4.1,-40.9,-33.1,-11.0,,,
1991-03,-30.1,12.5,26.0,-1.0,13.0,-9.2,-45.9,3.2,-12.2,-12.2,-1.2,-36.1,-13.0,,,
1991-04,4.7,5.7,22.8,-11.5,21.0,-28.0,-34.9,2.2,-49.2,-32.6,-21.6,-40.1,-53.0,,,
1991-05,-13.6,-0.4,3.5,-4.4,15.0,-32.0,-34.8,5.2,-51.2,-39.6,-5.2,-47.1,-47.0,,,
1991-06,-16.8,-6.8,-8.8,-4.7,10.0,-29.1,-34.0,3.2,-53.2,-31.0,0.2,-7.1,-51.0,,,
1991-07,-12.7,-4.5,-11.3,2.4,-5.0,-33.9,-51.2,4.2,-54.2,-43.5,-1.1,-54.1,-48.0,,,
1991-08,-11.8,-6.7,-12.0,-1.3,-15.0,-31.7,-51.3,1.2,-52.2,-41.7,1.8,-50.1,-45.0,,,
1991-09,-15.2,-10.4,-10.3,-10.5,-20.0,-34.9,-51.0,4.2,-56.2,-44.4,4.0,-41.1,-62.0,,,
1991-10,-11.0,-13.6,-9.9,-17.3,-18.0,-35.7,-48.9,7.2,-57.2,-42.9,-12.2,-38.1,-60.0,,,
1991-11,-11.3,-15.7,-14.7,-16.6,-21.0,-31.7,-48.8,9.2,-56.2,-29.8,-45.3,-28.1,-59.0,,,
1991-12,-11.4,-16.9,-18.1,-15.8,-16.0,-29.6,-49.2,9.2,-59.2,-20.6,-22.2,-23.1,-58.0,,,
1992-01,-10.5,-23.8,-31.0,-16.7,-13.0,-33.4,-46.3,16.2,-55.2,-28.9,-32.5,1.9,-54.0,,,
1992-02,-12.9,-0.9,11.0,-12.9,-21.0,-32.7,-46.2,7.2,-59.2,-31.7,6.8,-5.1,-55.0,,,
1992-03,1.8,-13.9,-18.0,-9.9,-28.0,-29.5,-45.9,12.2,-44.2,-32.3,-29.9,0.9,-46.0,,,
1992-04,-21.2,-16.2,-24.9,-7.5,-32.0,-27.8,-32.9,14.2,-41.2,-27.9,-39.8,-8.1,-39.0,,,
1992-05,-10.1,-14.3,-21.1,-7.4,-29.0,-35.2,-32.9,16.2,-50.2,-39.3,-32.8,-10.1,-48.0,,,
1992-06,-12.6,-12.0,-14.3,-9.8,-29.0,-27.0,-32.1,8.2,-41.2,-31.8,-32.2,-1.1,-40.0,,,
1992-07,-20.1,-9.3,-13.0,-5.5,-14.0,-25.6,-41.4,5.2,-41.2,-30.6,-35.7,-30.1,-34.0,,,
1992-08,-14.9,-7.8,-8.2,-7.3,-28.0,-23.0,-41.5,2.2,-34.2,-32.8,-32.2,-31.1,-28.0,,,
1992-09,-17.1,-18.0,-23.5,-12.5,-36.0,-23.6,-41.1,-1.8,-44.2,-28.5,-34.7,-37.1,-40.0,,,
1992-10,-26.0,-42.9,-42.4,-43.3,-42.0,-20.4,-40.8,4.2,-50.2,-6.9,-27.1,-45.1,-52.0,,,
1992-11,-27.5,-41.6,-42.6,-40.6,-50.0,-21.0,-40.6,5.2,-52.2,-5.8,-10.9,-38.1,-54.0,,,
1992-12,-31.5,-45.5,-44.2,-46.8,-51.0,-37.3,-41.1,18.2,-56.2,-37.6,-30.7,-25.1,-57.0,,,
1993-01,-35.4,-31.5,-29.4,-33.7,-44.0,-34.4,-49.3,10.2,-56.2,-37.0,-23.2,-27.1,-40.0,,,
1993-02,-35.9,-33.2,-37.5,-28.9,-61.0,-35.2,-49.2,13.2,-49.2,-43.2,-14.6,-43.1,-33.0,,,
1993-03,-43.8,-37.7,-37.6,-37.9,-57.0,-22.5,-49.0,12.2,-43.2,-12.3,-9.1,5.9,-26.0,,,
1993-04,-43.7,-49.2,-48.9,-49.5,-46.0,-21.5,-42.7,12.2,-37.2,-15.3,-26.0,17.9,-25.0,,,
1993-05,-50.8,-54.1,-46.7,-61.4,-61.0,-23.5,-42.9,11.2,-45.2,-14.1,-22.5,4.9,-34.0,,,
1993-06,-51.7,-54.4,-50.1,-58.8,-55.0,-24.3,-42.1,12.2,-47.2,-13.6,-13.5,6.9,-36.0,,,
1993-07,-42.7,-53.7,-44.9,-62.5,-62.0,-24.0,-46.6,14.2,-47.2,-10.8,-24.0,-0.1,-41.0,,,
1993-08,-52.8,-61.9,-56.4,-67.4,-62.0,-31.4,-46.6,22.2,-57.2,-15.0,-19.8,5.9,-46.0,,,
1993-09,-48.2,-59.3,-56.0,-62.6,-60.0,-31.7,-46.2,19.2,-60.2,-15.7,-16.7,2.9,-55.0,,,
1993-10,-44.1,-60.3,-58.3,-62.3,-62.0,-28.4,-49.7,14.2,-50.2,-20.8,-21.7,6.9,-48.0,,,
1993-11,-46.5,-56.5,-49.5,-63.5,-62.0,-27.0,-49.4,10.2,-59.2,-11.6,-21.0,4.9,-54.0,,,
1993-12,-46.4,-57.4,-54.0,-60.8,-64.0,-24.0,-49.9,11.2,-56.2,-4.7,-6.8,0.9,-44.0,,,
1994-01,-37.2,-57.5,-59.3,-55.7,-56.0,-24.2,-45.3,17.2,-43.2,-12.3,-6.3,5.9,-37.0,,,
1994-02,-29.6,-55.4,-61.8,-48.9,-54.0,-18.5,-45.3,-0.8,-44.2,-12.1,-8.8,-3.1,-37.0,,,
1994-03,-30.6,-61.3,-60.9,-61.8,-64.0,-13.8,-45.1,3.2,-34.2,-4.2,-13.1,-0.1,-24.0,,,
1994-04,-31.4,-60.7,-64.0,-57.4,-56.0,-14.0,-45.6,-0.8,-34.2,-8.5,-9.9,-8.1,-24.0,,,
1994-05,-25.4,-52.5,-50.4,-54.5,-49.0,-10.1,-45.9,-4.8,-28.2,-6.9,4.3,-0.1,-16.0,,,
1994-06,-22.5,-42.7,-44.7,-40.8,-38.0,-11.5,-45.1,2.2,-27.2,-5.3,0.7,-29.1,-17.0,,,
1994-07,-24.8,-43.2,-46.0,-40.4,-39.0,-9.1,-35.7,2.2,-24.2,-0.9,0.6,8.9,-11.0,,,
1994-08,-16.4,-37.4,-40.4,-34.4,-34.0,-9.8,-35.8,-2.8,-29.2,-3.1,9.4,25.9,-16.0,,,
1994-09,-21.0,-39.7,-40.7,-38.7,-38.0,-4.7,-35.2,-2.8,-19.2,2.2,9.3,23.9,-10.0,,,
1994-10,-23.6,-47.7,-48.1,-47.3,-39.0,2.0,-28.6,-0.8,3.8,1.3,6.5,26.9,15.0,,,
1994-11,-19.1,-39.1,-37.6,-40.5,-46.0,6.1,-28.3,3.2,8.8,12.8,18.8,42.9,24.0,,,
1994-12,-14.7,-33.0,-26.2,-39.8,-40.0,4.3,-28.8,-5.8,3.8,3.2,8.9,51.9,15.0,,,
1995-01,-15.3,-35.4,-35.1,-35.7,-45.0,14.0,-33.4,-16.8,12.8,12.3,26.1,49.9,26.0,,,
1995-02,-23.5,-49.6,-47.3,-51.8,-38.0,14.9,-33.4,-17.8,15.8,11.0,10.1,43.9,29.0,,,
1995-03,-19.2,-49.4,-44.1,-54.7,-56.0,14.6,-33.3,-24.8,8.8,10.0,11.6,41.9,21.0,,,
1995-04,-33.8,-49.1,-44.8,-53.4,-46.0,26.6,-27.4,-16.8,32.8,30.2,30.5,41.9,49.0,,,
1995-05,-30.7,-45.4,-41.3,-49.5,-50.0,20.0,-27.9,-9.8,25.8,24.3,24.1,31.9,41.0,,,
1995-06,-31.3,-45.4,-42.9,-47.8,-48.0,12.5,-27.0,3.2,23.8,16.9,13.4,20.9,42.0,,,
1995-07,-31.6,-49.5,-45.7,-53.3,-49.0,12.6,-21.9,12.2,26.8,23.0,20.8,27.9,39.0,,,
1995-08,-31.5,-54.8,-53.1,-56.4,-45.0,-3.6,-21.9,4.2,-6.2,-0.4,-5.8,-1.1,-7.0,,,
1995-09,-39.3,-41.4,-42.1,-40.7,-35.0,-5.1,-21.3,13.2,0.8,-3.0,-6.5,-6.1,6.0,,,
1995-10,-27.8,-36.1,-30.9,-41.2,-36.0,-11.0,-32.4,12.2,-15.2,-5.7,-4.6,-5.1,-13.0,,,
1995-11,-28.4,-41.4,-35.4,-47.5,-52.0,-3.1,-32.1,10.2,-5.2,6.1,-5.3,-37.1,-9.0,,,
1995-12,-29.9,-44.5,-42.1,-46.8,-51.0,-22.1,-32.6,12.2,-37.2,-16.9,-15.3,-43.1,-43.0,,,
1996-01,-38.0,-58.5,-57.3,-59.7,-65.0,-26.1,-31.4,19.2,-38.2,-21.0,-22.4,-42.1,-40.0,,,
1996-02,-41.6,-50.1,-51.3,-48.8,-49.0,-20.1,-31.6,14.2,-30.2,-15.9,-23.1,-34.1,-38.0,,,
1996-03,-50.8,-63.2,-69.6,-56.7,-53.0,-18.1,-31.5,10.2,-40.2,-3.9,-5.4,-37.1,-44.0,,,
1996-04,-28.9,-54.0,-54.5,-53.5,-53.0,-27.1,-37.3,24.2,-46.2,-10.9,-13.7,-41.1,-45.0,,,
1996-05,-39.2,-56.6,-62.6,-50.6,-56.0,-21.2,-37.9,24.2,-42.2,2.7,-11.8,-36.1,-39.0,,,
1996-06,-39.3,-54.1,-54.4,-53.8,-50.0,-30.0,-37.0,27.2,-50.2,-12.8,-11.4,-43.1,-50.0,,,
1996-07,-42.8,-60.7,-57.2,-64.3,-52.0,-25.1,-45.0,18.2,-44.2,-12.9,-15.6,-6.1,-46.0,,,
1996-08,-40.6,-53.6,-48.7,-58.5,-49.0,-20.7,-44.9,14.2,-40.2,-7.7,-13.8,12.9,-44.0,,,
1996-09,-41.5,-58.9,-53.0,-64.8,-47.0,-23.2,-44.2,11.2,-46.2,-12.3,-4.5,14.9,-44.0,,,
1996-10,-46.7,-55.0,-49.8,-60.2,-50.0,-18.0,-31.3,7.2,-43.2,-3.8,-7.8,14.9,-42.0,,,
1996-11,-46.4,-62.4,-59.4,-65.5,-49.0,-15.9,-30.9,12.2,-25.2,-10.4,-10.3,9.9,-19.0,,,
1996-12,-46.8,-60.2,-55.5,-64.8,-51.0,-10.5,-31.5,2.2,-30.2,0.8,1.7,7.9,-21.0,,,
1997-01,-37.5,-59.9,-57.0,-62.7,-52.0,-10.0,-30.5,4.2,-22.2,-3.6,0.6,8.9,-2.0,,,
1997-02,-41.5,-59.4,-57.9,-60.8,-47.0,-6.1,-30.7,9.2,-15.2,6.1,2.1,12.9,-4.0,,,
1997-03,-38.0,-52.9,-51.2,-54.7,-47.0,-4.0,-30.6,8.2,-5.2,1.3,-1.2,23.9,8.0,,,
1997-04,-41.1,-38.9,-30.3,-47.5,-32.0,-0.1,-26.2,4.2,-5.2,9.1,4.8,10.9,5.0,,,
1997-05,-34.1,-43.3,-41.0,-45.7,-34.0,-1.4,-26.9,5.2,-1.2,2.3,1.1,17.9,11.0,,,
1997-06,-37.7,-36.4,-38.9,-33.8,-42.0,0.7,-26.0,-0.8,-6.2,7.5,12.2,-1.1,1.0,,,
1997-07,-35.3,-36.6,-40.0,-33.2,-35.0,2.3,-33.2,-3.8,-6.2,9.2,0.6,29.9,0.0,,,
1997-08,-27.6,-30.6,-30.8,-30.5,-33.0,6.2,-33.1,-7.8,4.8,6.0,10.1,26.9,17.0,,,
1997-09,-29.2,-23.0,-15.2,-30.8,-24.0,13.7,-32.3,-2.8,23.8,14.4,8.8,28.9,15.0,,,
1997-10,-17.0,-21.3,-13.5,-29.2,-19.0,12.9,-22.1,-3.8,21.8,13.1,2.4,23.9,40.0,,,
1997-11,-17.5,-27.5,-22.6,-32.5,-24.0,17.2,-21.6,-9.8,26.8,15.0,11.8,26.9,43.0,,,
1997-12,-16.8,-31.0,-25.2,-36.8,-26.0,14.1,-22.3,-8.8,19.8,13.5,14.6,21.9,39.0,,,
1998-01,-20.7,-22.3,-21.8,-22.8,-29.0,8.8,-7.5,-5.8,10.8,9.8,12.7,9.9,33.0,,,
1998-02,-22.1,-26.2,-22.6,-29.7,-24.0,10.3,-7.8,-7.8,10.8,12.2,16.5,15.9,37.0,,,
1998-03,-2.1,-23.8,-23.8,-23.7,-21.0,11.1,-7.8,-5.8,20.8,6.5,13.7,3.9,41.0,,,
1998-04,-11.5,-28.9,-30.2,-27.5,-21.0,13.3,-6.0,-3.8,21.8,14.2,8.3,-14.1,44.0,,,
1998-05,-10.8,-3.9,-1.1,-6.7,9.0,8.8,-6.9,-4.8,12.8,8.8,14.7,-14.1,20.0,,,
1998-06,-9.0,-10.9,-16.1,-5.7,4.0,10.2,-6.0,-9.8,3.8,16.8,7.7,-16.1,17.0,,,
1998-07,-7.3,6.3,4.9,7.8,2.0,6.0,-8.4,-2.8,4.8,10.2,14.1,-25.1,17.0,,,
1998-08,-0.4,2.1,-1.3,5.5,4.0,2.1,-8.3,-1.8,-11.2,15.7,16.0,-23.1,-5.0,,,
1998-09,-30.1,-1.8,-5.7,2.2,2.0,-5.8,-7.5,-3.8,-26.2,5.0,5.1,-43.1,-25.0,,,
1998-10,-15.4,-12.9,-20.7,-5.1,-14.0,-9.7,-12.0,7.2,-30.2,8.1,-6.3,-34.1,-34.0,,,
1998-11,-20.5,-14.6,-19.7,-9.5,-27.0,-8.0,-11.4,7.2,-24.2,7.4,-1.9,-43.1,-33.0,,,
1998-12,-23.7,-13.1,-21.4,-4.9,-25.0,-11.4,-12.2,10.2,-34.2,10.2,-5.1,-32.1,-39.0,,,
1999-01,-26.9,-5.2,-5.6,-4.8,-30.0,-20.7,-20.5,19.2,-41.2,-1.8,-6.2,-39.1,-42.0,,,
1999-02,-23.4,-6.9,-10.0,-3.7,-40.0,-25.7,-20.9,19.2,-48.2,-9.8,-14.9,-37.1,-48.0,,,
1999-03,-30.2,-5.2,-12.7,2.3,-17.0,-20.2,-20.9,23.2,-42.2,4.7,-11.3,-20.1,-43.0,,,
1999-04,-18.3,-6.1,-17.5,5.4,-22.0,-20.4,-12.8,8.2,-42.3,-10.8,-18.4,-27.1,-45.0,,,
1999-05,-17.6,-6.6,-8.4,-4.8,-16.0,-14.1,-13.8,17.2,-23.3,-1.7,-11.6,-11.1,-17.0,,,
1999-06,-17.8,0.1,-3.1,3.3,-24.0,-12.8,-12.9,12.2,-24.3,-1.8,-4.5,-5.1,-18.0,,,
1999-07,-18.9,-7.3,-10.5,-4.1,-25.0,-13.1,-17.7,15.2,-26.4,2.3,-11.3,-0.1,-10.0,,,
1999-08,-37.4,-7.5,-15.6,0.5,-13.0,-8.4,-17.6,19.1,-17.4,11.4,3.2,-0.1,0.0,,,
1999-09,-2.3,-8.6,-14.3,-2.8,-14.0,-10.3,-16.6,18.1,-12.5,-0.3,2.6,5.9,-7.0,,,
1999-10,-22.1,-7.3,-7.6,-7.1,0.0,0.8,-17.8,14.1,11.4,5.1,15.5,9.9,32.0,,,
1999-11,-19.7,-7.8,-13.0,-2.5,-9.0,8.4,-17.2,7.1,15.3,16.9,9.8,11.9,30.0,,,
1999-12,-23.1,2.3,-0.5,5.1,1.0,13.7,-18.1,-11.9,17.2,12.0,10.3,16.9,41.0,,,
2000-01,-12.9,-4.3,-5.9,-2.8,-10.0,4.8,-4.4,3.1,7.1,10.5,12.6,24.9,31.0,,,
