country,AUS,AUS,AUS
1991-08,-16.0,,
1991-09,-14.0,,
1991-10,-12.0,,
1991-11,-18.0,,
1991-12,-19.0,,
1992-01,-19.0,,
1992-02,-12.0,,
1992-03,-7.0,,
1992-04,-6.0,,
1992-05,-9.0,,
1992-06,-17.0,,
1992-07,-20.0,,
1992-08,-11.0,,
1992-09,-14.0,,
1992-10,-5.0,,
1992-11,-16.0,,
1992-12,-16.0,,
1993-01,-3.0,,
1993-02,-9.0,,
1993-03,-1.0,,
1993-04,-2.0,,
1993-05,-3.0,,
1993-06,-14.0,,
1993-07,-10.0,,
1993-08,-5.0,,
1993-09,-12.0,,
1993-10,-1.0,,
1993-11,4.0,,
1993-12,5.0,,
1994-01,15.0,,
1994-02,17.0,,
1994-03,23.0,,
1994-04,21.0,,
1994-05,21.0,,
1994-06,23.0,,
1994-07,20.0,,
1994-08,17.0,,
1994-09,13.0,,
1994-10,8.0,,
1994-11,8.0,,
1994-12,6.0,,
1995-01,1.0,-9.0,83.0
1995-02,-6.0,-22.0,86.0
1995-03,3.0,-7.0,77.0
1995-04,11.0,2.0,77.0
1995-05,3.0,-6.0,82.0
1995-06,4.0,-2.0,76.0
1995-07,2.0,-10.0,75.0
1995-08,2.0,-6.0,78.0
1995-09,1.0,-7.0,74.0
1995-10,1.0,-13.0,71.0
1995-11,3.0,-11.0,72.0
1995-12,3.0,-1.0,73.0
1996-01,9.0,6.0,72.0
1996-02,8.0,5.0,72.0
1996-03,15.0,18.0,69.0
1996-04,12.0,10.0,67.0
1996-05,12.0,9.0,70.0
1996-06,9.0,6.0,66.0
1996-07,3.0,-10.0,68.0
1996-08,4.0,-11.0,71.0
1996-09,4.0,-5.0,67.0
1996-10,3.0,-7.0,73.0
1996-11,8.0,3.0,65.0
1996-12,2.0,-5.0,71.0
1997-01,10.0,2.0,66.0
1997-02,4.0,-10.0,67.0
1997-03,7.0,1.0,69.0
1997-04,4.0,-11.0,68.0
1997-05,1.0,-10.0,71.0
1997-06,0.0,-14.0,58.0
1997-07,-1.0,-18.0,63.0
1997-08,2.0,-13.0,67.0
1997-09,3.0,-11.0,61.0
1997-10,3.0,-11.0,66.0
1997-11,6.0,-7.0,58.0
1997-12,1.0,-9.0,59.0
1998-01,7.0,-10.0,66.0
1998-02,9.0,-5.0,69.0
1998-03,2.0,-18.0,62.0
1998-04,4.0,-19.0,61.0
1998-05,4.0,-12.0,64.0
1998-06,-6.0,-37.0,63.0
1998-07,0.0,-21.0,65.0
1998-08,1.0,-22.0,55.0
1998-09,0.0,-22.0,57.0
1998-10,0.0,-23.0,63.0
1998-11,4.0,-15.0,65.0
1998-12,2.0,-11.0,59.0
1999-01,17.0,10.0,68.0
1999-02,17.0,15.0,66.0
1999-03,13.0,8.0,68.0
1999-04,15.0,13.0,63.0
1999-05,16.0,18.0,64.0
1999-06,11.0,8.0,63.0
1999-07,12.0,17.0,54.0
1999-08,9.0,11.0,47.0
1999-09,12.0,15.0,56.0
1999-10,13.0,13.0,54.0
1999-11,13.0,13.0,61.0
1999-12,6.0,2.0,59.0
2000-01,15.0,15.0,62.0
2000-02,2.0,-7.0,69.0
2000-03,3.0,-10.0,66.0
2000-04,-2.0,-16.0,64.0
2000-05,-5.0,-26.0,70.0
2000-06,-2.0,-17.0,63.0
2000-07,9.0,2.0,61.0
2000-08,14.0,10.0,63.0
2000-09,2.0,-11.0,62.0
2000-10,0.0,-19.0,74.0
2000-11,-4.0,-18.0,69.0
2000-12,-1.0,-11.0,67.0
2001-01,5.0,-2.0,65.0
2001-02,3.0,-8.0,67.0
2001-03,-11.0,-36.0,60.0
2001-04,-10.0,-32.0,66.0
2001-05,-5.0,-20.0,70.0
2001-06,6.0,2.0,68.0
2001-07,8.0,7.0,69.0
2001-08,5.0,1.0,74.0
2001-09,8.0,1.0,72.0
2001-10,-1.0,-27.0,63.0
2001-11,2.0,-20.0,62.0
2001-12,7.0,-5.0,63.0
2002-01,16.0,13.0,73.0
2002-02,14.0,11.0,76.0
2002-03,18.0,19.0,75.0
2002-04,12.0,11.0,73.0
2002-05,10.0,6.0,77.0
2002-06,11.0,11.0,77.0
2002-07,9.0,2.0,74.0
2002-08,6.0,-4.0,76.0
2002-09,7.0,-11.0,73.0
2002-10,2.0,-16.0,78.0
2002-11,6.0,-12.0,77.0
2002-12,6.0,-8.0,73.0
2003-01,12.0,-2.0,77.0
2003-02,1.0,-22.0,78.0
2003-03,0.0,-19.0,74.0
2003-04,10.0,-3.0,73.0
2003-05,10.0,11.0,71.0
2003-06,14.0,15.0,67.0
2003-07,16.0,21.0,68.0
2003-08,13.0,12.0,75.0
2003-09,14.0,16.0,74.0
2003-10,17.0,22.0,74.0
2003-11,13.0,14.0,72.0
2003-12,11.0,12.0,65.0
2004-01,20.0,25.0,72.0
2004-02,19.0,24.0,74.0
2004-03,16.0,22.0,68.0
2004-04,17.0,20.0,72.0
2004-05,16.0,21.0,76.0
2004-06,13.0,10.0,73.0
2004-07,19.0,21.0,73.0
2004-08,20.0,21.0,76.0
2004-09,20.0,22.0,71.0
2004-10,18.0,26.0,77.0
2004-11,20.0,25.0,76.0
2004-12,16.0,26.0,72.0
2005-01,28.0,35.0,64.0
2005-02,23.0,32.0,75.0
2005-03,4.0,0.0,68.0
2005-04,6.0,3.0,73.0
2005-05,14.0,20.0,73.0
2005-06,12.0,13.0,74.0
2005-07,7.0,8.0,74.0
2005-08,16.0,20.0,81.0
2005-09,-1.0,-6.0,80.0
2005-10,-2.0,-5.0,86.0
2005-11,6.0,6.0,79.0
2005-12,2.0,0.0,72.0
2006-01,12.0,13.0,75.0
2006-02,10.0,11.0,80.0
2006-03,12.0,16.0,74.0
2006-04,11.0,10.0,73.0
2006-05,4.0,10.0,80.0
2006-06,4.0,4.0,83.0
2006-07,7.0,7.0,79.0
2006-08,-10.0,-19.0,80.0
2006-09,1.0,-2.0,75.0
2006-10,5.0,7.0,75.0
2006-11,-5.0,-16.0,77.0
2006-12,6.0,8.0,73.0
2007-01,14.0,13.0,80.0
2007-02,14.0,21.0,79.0
2007-03,16.0,20.0,78.0
2007-04,15.0,24.0,78.0
2007-05,24.0,38.0,81.0
2007-06,22.0,33.0,85.0
2007-07,21.0,29.0,80.0
2007-08,11.0,16.0,75.0
2007-09,16.0,25.0,77.0
2007-10,15.0,25.0,81.0
2007-11,11.0,13.0,76.0
2007-12,13.0,24.0,75.0
2008-01,8.0,3.0,73.0
2008-02,-3.0,-15.0,75.0
2008-03,-11.0,-20.0,77.0
2008-04,-13.0,-25.0,76.0
2008-05,-10.0,-13.0,84.0
2008-06,-15.0,-26.0,83.0
2008-07,-21.0,-37.0,82.0
2008-08,-14.0,-28.0,75.0
2008-09,-8.0,-14.0,70.0
2008-10,-18.0,-31.0,74.0
2008-11,-15.0,-32.0,53.0
2008-12,-8.0,-29.0,44.0
2009-01,-10.0,-42.0,48.0
2009-02,-14.0,-46.0,44.0
2009-03,-14.0,-47.0,46.0
2009-04,-7.0,-38.0,48.0
2009-05,-11.0,-38.0,49.0
2009-06,0.0,-15.0,62.0
2009-07,9.0,2.0,64.0
2009-08,13.0,13.0,73.0
2009-09,19.0,24.0,76.0
2009-10,21.0,31.0,73.0
2009-11,18.0,28.0,75.0
2009-12,14.0,19.0,78.0
2010-01,20.0,27.0,81.0
2010-02,17.0,26.0,76.0
2010-03,17.0,24.0,76.0
2010-04,16.0,25.0,78.0
2010-05,8.0,3.0,82.0
2010-06,2.0,6.0,77.0
2010-07,13.0,17.0,77.0
2010-08,19.0,27.0,70.0
2010-09,13.0,18.0,73.0
2010-10,17.0,27.0,74.0
2010-11,11.0,14.0,74.0
2010-12,11.0,16.0,73.0
2011-01,5.0,-2.0,80.0
2011-02,7.0,-1.0,82.0
2011-03,4.0,4.0,80.0
2011-04,5.0,8.0,75.0
2011-05,4.0,4.0,80.0
2011-06,1.0,-2.0,76.0
2011-07,-7.0,-15.0,77.0
2011-08,-10.0,-27.0,70.0
2011-09,-3.0,-15.0,66.0
2011-10,-3.0,-14.0,72.0
2011-11,3.0,2.0,66.0
2011-12,-5.0,-18.0,66.0
2012-01,-3.0,-10.0,75.0
2012-02,1.0,-9.0,70.0
2012-03,-4.0,-11.0,73.0
2012-04,-5.0,-10.0,77.0
2012-05,-5.0,-9.0,76.0
2012-06,-4.0,-9.0,62.0
2012-07,-1.0,-4.0,76.0
2012-08,-3.0,-7.0,72.0
2012-09,-2.0,-7.0,62.0
2012-10,-1.0,-9.0,69.0
2012-11,4.0,-3.0,67.0
2012-12,0.0,-8.0,60.0
2013-01,1.0,-5.0,62.0
2013-02,8.0,9.0,68.0
2013-03,11.0,10.0,66.0
2013-04,5.0,5.0,71.0
2013-05,-2.0,-9.0,67.0
2013-06,2.0,-6.0,64.0
2013-07,2.0,-5.0,70.0
2013-08,6.0,0.0,65.0
2013-09,11.0,9.0,57.0
2013-10,8.0,7.0,70.0
2013-11,10.0,7.0,66.0
2013-12,5.0,-3.0,68.0
2014-01,3.0,-4.0,74.0
2014-02,0.0,-11.0,75.0
2014-03,-1.0,-14.0,72.0
2014-04,0.0,-5.0,69.0
2014-05,-7.0,-19.0,79.0
2014-06,-7.0,-16.0,75.0
2014-07,-5.0,-13.0,74.0
2014-08,-2.0,-6.0,73.0
2014-09,-6.0,-14.0,72.0
2014-10,-5.0,-18.0,73.0
2014-11,-3.0,-9.0,72.0
2014-12,-9.0,-18.0,68.0
2015-01,-7.0,-19.0,57.0
2015-02,1.0,-10.0,69.0
2015-03,-1.0,-10.0,65.0
2015-04,-4.0,-16.0,61.0
2015-05,2.0,-8.0,64.0
2015-06,-5.0,-15.0,62.0
2015-07,-8.0,-24.0,62.0
2015-08,-1.0,-14.0,73.0
2015-09,-6.0,-23.0,60.0
2015-10,-2.0,-8.0,64.0
2015-11,2.0,-3.0,68.0
2015-12,1.0,-7.0,70.0
2016-01,-3.0,-12.0,64.0
2016-02,1.0,-12.0,68.0
2016-03,-1.0,-5.0,54.0
2016-04,-5.0,-10.0,55.0
2016-05,3.0,2.0,49.0
2016-06,2.0,-2.0,53.0
2016-07,-1.0,-8.0,54.0
2016-08,1.0,-5.0,51.0
2016-09,1.0,-9.0,51.0
2016-10,2.0,-4.0,57.0
2016-11,1.0,-3.0,54.0
2016-12,-3.0,-8.0,50.0
2017-01,-3.0,-6.0,62.0
2017-02,0.0,-3.0,61.0
2017-03,0.0,-2.0,58.0
2017-04,-1.0,-8.0,58.0
2017-05,-2.0,-4.0,60.0
2017-06,-4.0,-9.0,55.0
2017-07,-3.0,-7.0,63.0
2017-08,-5.0,-7.0,61.0
2017-09,-2.0,-4.0,54.0
2017-10,1.0,2.0,59.0
2017-11,0.0,-4.0,58.0
2017-12,3.0,1.0,56.0
2018-01,5.0,4.0,55.0
2018-02,3.0,-1.0,57.0
2018-03,3.0,0.0,57.0
2018-04,2.0,1.0,54.0
2018-05,2.0,4.0,56.0
2018-06,2.0,2.0,61.0
2018-07,6.0,5.0,56.0
2018-08,4.0,0.0,55.0
2018-09,1.0,0.0,53.0
2018-10,1.0,3.0,59.0
2018-11,4.0,4.0,55.0
2018-12,4.0,4.0,56.0
2019-01,0.0,-4.0,54.0
2019-02,4.0,3.0,53.0
2019-03,-1.0,-4.0,56.0
2019-04,1.0,2.0,54.0
2019-05,1.0,4.0,52.0
2019-06,1.0,-1.0,53.0
2019-07,-3.0,-13.0,57.0
2019-08,0.0,-5.0,57.0
2019-09,-2.0,-7.0,50.0
2019-10,-7.0,-13.0,53.0
2019-11,-3.0,-9.0,58.0
2019-12,-5.0,-10.0,59.0
2020-01,-7.0,-15.0,63.0
2020-02,-4.0,-11.0,60.0
2020-03,-8.0,-22.0,55.0
2020-04,-24.0,-46.0,41.0
2020-05,-12.0,-29.0,40.0
2020-06,-6.0,-23.0,40.0
2020-07,-12.0,-34.0,38.0
2020-08,-20.0,-46.0,36.0
2020-09,-6.0,-24.0,39.0
2020-10,5.0,-6.0,41.0
2020-11,8.0,2.0,44.0
2020-12,12.0,12.0,46.0
2021-01,7.0,3.0,43.0
2021-02,9.0,10.0,49.0
2021-03,12.0,14.0,51.0
2021-04,19.0,26.0,42.0
2021-05,13.0,21.0,49.0
2021-06,7.0,9.0,60.0
2021-07,9.0,9.0,53.0
2021-08,4.0,0.0,52.0
2021-09,6.0,5.0,54.0
2021-10,5.0,3.0,56.0
2021-11,5.0,7.0,53.0
2021-12,4.0,5.0,53.0
2022-01,2.0,-5.0,54.0
2022-02,1.0,-3.0,59.0
2022-03,-3.0,-9.0,57.0
