country,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI
subject,BCBUTE,BCCI,BCEMFT,BRBUFT,BRCI,BREMFT,BSCI,BSEMFT,BSPRFT,BVBUTE,BVCI,BVEMFT,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,
2014-Q1,47.6,12.8,16.0,42.0,12.0,11.0,4.2,0.0,34.0,54.0,16.2,18.0,-6.988636,-8.096591,-31.81818
2014-Q2,59.0,21.70455,31.0,33.0,10.52239,17.0,6.433824,3.0,35.0,22.0,0.0297619,-6.0,-0.4225352,1.830986,-28.16901
2014-Q3,36.0,14.0,12.0,33.0,10.4,8.0,9.0,10.2,38.0,17.0,-3.2,-4.0,-12.65248,-21.2766,-24.68085
2014-Q4,36.0,6.06383,12.76596,58.0,24.07895,34.21053,8.62676,8.450705,36.0,30.0,5.0,15.55556,-18.3685,-32.20816,-24.33193
2015-Q1,49.0,3.586957,4.347826,42.0,5.128205,2.564103,4.657534,6.0,26.0,24.0,12.44681,16.48936,-18.90603,-36.88639,-31.69705
2015-Q2,51.0,19.18919,21.62162,49.0,22.38461,24.63077,17.67241,4.310345,40.0,44.0,3.829114,7.594937,-20.34139,-37.1266,-21.47937
2015-Q3,51.0,16.4,25.0,49.0,21.2,14.0625,15.0,12.8,40.0,44.0,7.4,5.521472,-36.85714,-60.0,-34.57143
2015-Q4,59.0,22.4,25.0,34.0,6.0,9.4,15.8,14.9,51.0,34.0,13.8,19.7,-27.03704,-48.2,-30.4
2016-Q1,51.0,17.44186,26.0,49.0,22.20339,23.0,13.08943,20.0,40.0,44.0,16.50307,16.0,-20.59575,-43.2,-30.0
2016-Q2,49.0,12.90698,24.0,61.0,21.88312,17.0,16.15894,19.0,48.0,12.0,7.994652,31.0,-22.84916,-42.87709,-28.77095
2016-Q3,34.0,9.2,12.0,34.0,8.0,2.3,8.8,12.9,35.0,22.8,-0.6,2.0,-28.06818,-41.4,-38.6
2016-Q4,26.82927,-1.0,12.19512,54.76191,15.8,10.71429,8.6,12.9,38.57143,34.10405,10.2,15.0289,-24.85714,-41.71429,-31.61659
