country,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05,-36.6,-56.5,-32.3,-80.8,42.0,10.9,-15.1,0.8,-22.7,1.5,-6.5,-13.5,-18.8,5.1,-59.3,23.8,-6.1,32.7,-42.9,,,,,,,,,
1996-06,-36.4,-56.8,-31.9,-81.7,43.0,10.9,-15.4,0.7,-22.7,1.5,-6.5,-13.7,-18.0,5.1,-59.3,23.2,-8.0,32.8,-43.0,,,,,,,,,
1996-07,-30.1,-54.7,-31.9,-77.5,34.8,14.2,-19.2,4.5,-16.4,-2.9,-18.5,-20.9,-21.2,18.1,-62.3,17.6,-5.4,24.9,-46.1,,,,,,,,,
1996-08,-30.0,-54.2,-31.3,-77.0,35.3,13.7,-18.5,4.6,-16.2,-2.7,-18.5,-21.2,-21.0,18.1,-62.3,16.8,-5.3,24.5,-45.7,,,,,,,,,
1996-09,-29.3,-53.6,-30.5,-76.6,35.3,13.4,-18.1,4.6,-16.4,-2.5,-18.5,-21.2,-20.3,18.1,-62.3,16.7,-5.3,24.1,-45.4,,,,,,,,,
1996-10,-35.1,-59.4,-34.8,-84.1,29.3,6.9,-15.1,0.5,-20.6,-3.8,-9.5,-18.3,-22.7,11.1,-55.3,11.4,-2.6,23.9,-37.6,,,,,,,,,
1996-11,-34.4,-58.6,-34.2,-83.0,30.0,6.5,-14.3,0.6,-20.2,-3.9,-9.5,-17.9,-21.7,11.1,-55.3,12.7,-3.0,24.3,-38.1,,,,,,,,,
1996-12,-34.3,-58.0,-33.9,-82.1,27.4,6.6,-14.0,0.7,-19.9,-2.8,-9.5,-17.7,-21.0,11.1,-55.3,13.2,-1.5,24.4,-38.1,,,,,,,,,
1997-01,-29.8,-49.8,-26.6,-72.9,34.5,6.9,-12.6,2.6,-14.1,2.3,-13.5,-19.8,-10.6,10.1,-61.3,12.1,-11.2,29.2,-42.3,,,,,,,,,
1997-02,-29.8,-49.5,-26.5,-72.4,32.0,6.2,-11.0,2.9,-14.1,0.7,-13.5,-20.0,-11.0,10.1,-61.3,11.5,-9.9,29.4,-42.3,,,,,,,,,
1997-03,-29.6,-49.1,-26.2,-72.1,32.8,5.6,-10.2,3.0,-14.2,-0.1,-13.5,-20.0,-11.1,10.1,-61.3,11.4,-10.8,29.1,-42.4,,,,,,,,,
1997-04,10.5,-39.9,-11.9,-67.9,27.2,14.7,-7.0,7.1,-16.5,1.0,-13.5,-10.4,-8.0,1.1,-58.3,28.2,2.9,24.4,-34.2,,,,,,,,,
1997-05,10.5,-40.2,-11.5,-68.9,27.8,14.7,-8.2,6.7,-16.1,1.4,-13.5,-10.6,-7.0,1.1,-58.3,27.6,1.7,24.5,-35.9,,,,,,,,,
1997-06,11.1,-40.3,-10.7,-69.9,27.0,14.9,-8.7,6.6,-16.1,1.5,-13.5,-10.8,-6.1,1.1,-58.3,27.1,1.1,24.8,-36.0,,,,,,,,,
1997-07,-1.7,-45.2,-6.2,-84.2,26.8,9.6,-5.7,3.8,-11.1,0.8,-7.5,-7.8,-16.3,0.1,-40.3,16.8,9.8,4.3,-31.1,,,,,,,,,
1997-08,-1.0,-44.5,-5.1,-83.9,26.3,9.2,-4.9,3.9,-11.0,1.0,-7.5,-8.0,-16.1,0.1,-40.3,16.3,9.4,3.9,-30.7,,,,,,,,,
1997-09,-1.2,-43.9,-3.9,-83.9,26.0,8.8,-4.6,3.9,-11.2,1.2,-7.5,-8.0,-15.3,0.1,-40.3,16.5,10.9,3.6,-30.4,,,,,,,,,
1997-10,5.5,-30.7,-2.9,-58.6,25.7,18.6,-5.2,7.0,-10.9,13.2,-7.5,-8.7,-12.8,-1.9,-36.3,8.3,17.3,1.8,-38.6,,,,,,,,,
1997-11,5.5,-29.9,-2.5,-57.4,25.6,18.1,-4.4,7.1,-10.5,13.0,-7.5,-8.1,-11.7,-1.9,-36.3,10.2,16.3,2.5,-39.1,,,,,,,,,
1997-12,5.7,-29.2,-2.1,-56.3,24.1,18.2,-3.9,7.3,-10.1,14.3,-7.5,-7.8,-11.0,-1.9,-36.3,10.9,19.5,2.8,-39.1,,,,,,,,,
1998-01,7.1,-22.0,1.7,-45.6,29.4,25.8,0.8,11.4,5.5,12.0,-7.5,-12.2,-3.2,10.1,-39.3,12.6,16.6,6.7,-36.3,,,,,,,,,
1998-02,7.3,-21.8,1.4,-45.1,27.5,24.8,2.6,11.6,5.5,10.0,-7.5,-12.6,-3.7,10.1,-39.3,11.7,19.0,7.1,-36.3,,,,,,,,,
1998-03,7.1,-21.5,1.5,-44.6,28.5,24.1,3.5,11.7,5.4,9.1,-7.5,-12.7,-3.9,10.1,-39.3,11.4,18.7,6.9,-36.4,,,,,,,,,
1998-04,12.2,-23.4,1.5,-48.2,22.2,22.1,2.1,9.2,4.7,8.7,-3.5,-14.3,-5.0,8.1,-45.3,10.6,9.5,0.0,-46.2,,,,,,,,,
1998-05,11.8,-23.9,1.8,-49.5,22.9,22.1,0.7,8.8,5.1,9.4,-3.5,-14.2,-4.0,8.1,-45.3,10.8,7.3,0.3,-47.9,,,,,,,,,
1998-06,11.9,-24.3,2.3,-50.9,22.2,22.3,0.1,8.6,5.1,9.4,-3.5,-14.2,-3.1,8.1,-45.3,10.8,8.0,0.7,-48.0,,,,,,,,,
1998-07,9.0,-18.8,11.7,-49.3,20.7,20.7,0.8,9.7,2.3,14.1,-7.5,-10.4,0.5,7.1,-41.3,17.2,7.2,5.7,-40.1,,,,,,,,,
1998-08,9.0,-18.3,12.7,-49.3,20.3,20.0,1.6,9.7,2.4,14.3,-7.5,-10.5,0.7,7.1,-41.3,16.9,7.0,5.3,-39.7,,,,,,,,,
1998-09,9.1,-17.6,14.4,-49.5,19.9,19.4,2.0,9.6,2.1,14.6,-7.5,-10.3,1.5,7.1,-41.3,17.5,8.5,5.1,-39.4,,,,,,,,,
1998-10,8.0,-16.1,-0.6,-31.6,18.7,25.6,1.4,11.5,-1.2,13.6,-7.5,-27.9,-20.0,25.1,-52.3,-6.4,-21.0,-13.4,-58.6,,,,,,,,,
1998-11,8.5,-15.3,-0.4,-30.2,18.6,24.8,2.4,11.6,-0.7,13.5,-7.5,-27.0,-18.9,25.1,-52.3,-3.7,-20.5,-12.5,-59.1,,,,,,,,,
1998-12,8.8,-14.7,-0.6,-28.8,17.5,24.9,3.1,11.8,-0.2,15.0,-7.5,-26.7,-18.1,25.1,-52.3,-2.7,-17.6,-12.0,-59.1,,,,,,,,,
1999-01,6.5,-20.5,0.0,-41.0,20.2,29.8,-8.8,10.2,-1.7,12.0,-9.5,-19.0,-17.7,17.1,-49.3,9.3,-19.4,-4.5,-50.3,,,,,,,,,
1999-02,6.8,-20.9,-1.4,-40.3,19.1,28.2,-6.6,10.4,-1.8,9.3,-9.5,-19.5,-18.4,17.1,-49.3,7.8,-15.7,-3.9,-50.3,,,,,,,,,
1999-03,6.8,-20.9,-2.1,-39.7,19.2,26.9,-5.5,10.3,-2.0,8.0,-9.5,-19.7,-18.7,17.1,-49.3,7.2,-15.5,-4.1,-50.4,,,,,,,,,
1999-04,-3.7,-24.5,0.4,-49.4,17.0,21.5,-1.5,6.9,-1.1,9.2,-0.5,-15.5,-17.1,13.1,-52.3,18.8,-11.9,-1.7,-49.2,,,,,,,,,
1999-05,-3.9,-25.5,0.1,-51.0,17.0,21.5,-3.4,6.2,-0.5,10.0,-0.5,-15.2,-16.0,13.1,-52.3,19.8,-14.7,-1.2,-50.9,,,,,,,,,
1999-06,-4.3,-26.0,0.9,-52.9,16.6,21.7,-4.3,6.0,-0.5,10.0,-0.5,-15.0,-15.0,13.1,-52.3,20.4,-14.4,-0.5,-51.0,,,,,,,,,
1999-07,-0.4,-23.7,-4.0,-43.4,15.8,38.1,-6.8,10.3,2.7,15.5,0.5,-19.2,-9.6,18.1,-57.3,17.9,-5.3,8.4,-55.1,,,,,,,,,
1999-08,-0.7,-22.9,-2.1,-43.7,15.5,37.0,-5.7,10.3,2.9,15.8,0.5,-19.1,-9.5,18.1,-57.3,18.0,-4.0,8.0,-54.7,,,,,,,,,
1999-09,0.0,-21.8,0.6,-44.1,14.8,36.2,-5.3,10.1,2.4,16.2,0.5,-18.8,-8.7,18.1,-57.3,19.1,-3.1,7.8,-54.4,,,,,,,,,
1999-10,-5.7,-28.2,-11.0,-45.4,15.7,22.5,-4.7,4.8,-1.9,4.2,3.5,-10.8,-7.2,6.1,-40.3,14.0,-10.5,4.4,-39.6,,,,,,,,,
1999-11,-3.6,-27.5,-11.3,-43.6,14.9,21.4,-3.5,4.8,-1.1,4.1,3.5,-9.7,-6.0,6.1,-40.3,17.1,-8.4,5.4,-40.1,,,,,,,,,
1999-12,-1.6,-26.9,-11.9,-41.9,14.4,21.6,-2.8,5.1,-0.5,6.0,3.5,-9.4,-5.2,6.1,-40.3,18.1,-5.7,5.8,-40.1,,,,,,,,,
2000-01,-7.5,-35.2,-12.7,-57.7,14.1,11.4,2.1,3.7,-0.1,5.0,2.5,-14.8,-4.2,16.1,-49.3,21.0,-0.8,12.3,-48.3,,,,,,,,,
2000-02,-5.4,-36.1,-15.6,-56.7,13.3,9.2,4.9,3.9,-0.3,1.3,2.5,-15.6,-5.1,16.1,-49.3,18.6,4.0,13.1,-48.3,,,,,,,,,
2000-03,-5.5,-36.5,-17.2,-55.9,13.2,7.0,6.3,3.6,-0.6,-0.7,2.5,-16.0,-5.6,16.1,-49.3,17.4,3.7,12.8,-48.3,,,,,,,,,
2000-04,-10.4,-32.6,-8.1,-57.1,10.0,24.6,-3.0,8.7,1.0,10.5,-4.5,-8.6,-1.2,5.1,-44.3,23.5,-0.7,6.4,-34.2,,,,,,,,,
2000-05,-10.9,-34.0,-8.8,-59.2,10.1,24.5,-5.6,7.8,2.0,11.5,-4.5,-8.0,0.0,5.1,-44.3,25.4,-1.5,7.2,-36.0,,,,,,,,,
2000-06,-11.1,-34.3,-7.2,-61.5,9.9,24.8,-6.8,7.5,1.9,11.6,-4.5,-7.6,1.1,5.1,-44.3,26.6,-3.1,8.2,-36.0,,,,,,,,,
2000-07,1.7,-32.1,-7.8,-56.4,7.6,23.4,0.5,9.5,0.5,4.5,-4.5,-9.3,0.3,6.1,-36.3,14.6,9.5,5.3,-35.2,,,,,,,,,
2000-08,2.2,-30.2,-3.6,-56.9,7.2,22.7,1.8,9.7,0.9,5.0,-4.5,-9.1,0.3,6.1,-36.3,15.1,12.5,4.9,-34.7,,,,,,,,,
2000-09,5.0,-27.9,1.7,-57.5,6.7,22.2,2.2,9.6,0.0,5.4,-4.5,-8.6,1.1,6.1,-36.3,16.6,11.8,4.7,-34.4,,,,,,,,,
2000-10,-0.8,-31.0,-8.1,-54.0,4.9,19.5,5.0,9.0,4.2,4.4,-2.5,-1.8,-0.4,-1.9,-31.3,24.0,11.2,4.1,-33.6,,,,,,,,,
2000-11,6.5,-30.4,-9.2,-51.6,4.4,18.2,6.5,9.1,5.4,4.2,-2.5,-0.5,0.9,-1.9,-31.3,27.7,12.6,5.1,-34.1,,,,,,,,,
2000-12,12.8,-29.8,-10.4,-49.2,4.1,18.7,7.5,9.6,6.3,6.9,-2.5,-0.3,1.7,-1.9,-31.3,28.6,14.7,5.6,-34.1,,,,,,,,,
2001-01,9.6,-30.7,-7.8,-53.6,2.0,20.8,4.3,7.9,-2.7,7.8,1.5,-2.5,4.4,4.1,-29.3,26.0,11.3,-3.8,-28.2,,,,,,,,,
2001-02,15.8,-32.3,-12.5,-52.2,2.1,17.5,8.0,8.0,-2.9,2.5,1.5,-3.7,3.2,4.1,-29.3,22.2,15.6,-2.7,-28.3,,,,,,,,,
2001-03,14.8,-32.9,-14.7,-51.1,0.2,14.5,9.8,7.6,-3.4,-0.2,1.5,-4.4,2.4,4.1,-29.3,20.1,14.3,-3.1,-28.3,,,,,,,,,
2001-04,-23.7,-32.4,-6.7,-58.1,4.3,15.0,-1.8,6.9,6.2,5.2,-7.5,-3.2,5.7,6.1,-31.3,27.7,12.5,4.5,-30.2,,,,,,,,,
2001-05,-27.0,-35.4,-10.2,-60.7,3.0,15.2,-5.3,5.8,7.6,6.6,-7.5,-6.2,7.0,4.1,-27.3,12.7,14.7,1.4,-28.0,,,,,,,-5.9,-1.6,29.4
2001-06,-27.2,-37.5,-11.4,-63.5,1.8,16.0,-7.0,5.5,7.5,6.7,-7.5,-1.7,8.2,5.1,-19.3,19.4,23.0,-0.2,-26.0,,,,,,,-2.7,5.1,24.5
2001-07,-15.9,-27.8,-4.9,-50.6,0.7,12.7,-8.4,2.9,-3.8,5.6,-4.5,2.8,3.3,-0.9,-20.3,27.8,15.0,4.3,-22.2,,,,,,,-2.3,4.7,25.7
2001-08,-15.8,-31.8,-10.7,-52.9,0.8,12.6,-6.8,3.4,-3.3,6.2,-4.5,3.7,3.1,-2.9,-20.3,28.4,12.6,5.8,-23.7,,,,,,,-0.8,6.9,27.7
2001-09,-13.3,-34.6,-13.9,-55.2,0.8,12.5,-6.3,3.6,-4.7,6.9,-4.5,1.7,3.9,3.1,-18.3,26.6,11.0,0.5,-23.5,,,,,,,-1.9,2.7,32.8
2001-10,-3.8,-28.9,-3.5,-54.3,0.7,15.5,-2.1,6.3,6.7,5.5,-5.5,-1.1,0.3,4.1,-26.3,27.1,9.9,0.8,-27.6,,,,,,,-0.2,6.5,28.0
