country,BEL,BEL
1991-Q4,78.4,-14.7
1992-Q1,77.8,-9.8
1992-Q2,78.0,-11.9
1992-Q3,77.7,-12.6
1992-Q4,76.2,-15.8
1993-Q1,75.2,-13.7
1993-Q2,74.4,-22.9
1993-Q3,74.8,-10.6
1993-Q4,75.0,-12.8
1994-Q1,76.4,7.3
1994-Q2,77.1,2.0
1994-Q3,77.8,5.5
1994-Q4,78.9,3.1
1995-Q1,80.4,13.5
1995-Q2,81.5,3.0
1995-Q3,80.7,-12.5
1995-Q4,79.8,-13.0
1996-Q1,79.3,-18.4
1996-Q2,79.3,-13.1
1996-Q3,79.2,-5.6
1996-Q4,79.9,-0.1
1997-Q1,80.9,-3.2
1997-Q2,80.5,2.9
1997-Q3,81.9,6.4
1997-Q4,82.9,18.8
1998-Q1,82.5,5.9
1998-Q2,82.8,-3.2
1998-Q3,83.0,-2.6
1998-Q4,82.2,-12.2
1999-Q1,79.3,-14.9
1999-Q2,80.9,-3.3
1999-Q3,81.9,3.4
1999-Q4,82.0,3.8
2000-Q1,82.6,17.2
2000-Q2,84.7,8.6
2000-Q3,84.5,1.4
2000-Q4,84.6,2.7
2001-Q1,84.0,-0.7
2001-Q2,82.5,-13.5
2001-Q3,81.4,-18.6
2001-Q4,80.2,-20.3
2002-Q1,80.1,-8.5
2002-Q2,80.1,1.4
2002-Q3,80.6,-3.6
2002-Q4,79.9,-5.4
2003-Q1,79.6,-15.3
2003-Q2,78.4,-16.7
2003-Q3,77.7,-14.7
2003-Q4,79.5,0.5
2004-Q1,79.8,-0.1
2004-Q2,79.7,10.3
2004-Q3,81.3,9.3
2004-Q4,80.9,6.5
2005-Q1,80.7,-3.0
2005-Q2,79.0,-18.8
2005-Q3,78.3,-5.8
2005-Q4,80.0,2.5
2006-Q1,81.3,-0.9
2006-Q2,83.1,14.1
2006-Q3,83.8,6.2
2006-Q4,83.8,5.5
2007-Q1,83.3,2.3
2007-Q2,82.6,9.0
2007-Q3,83.3,8.2
2007-Q4,84.1,1.5
2008-Q1,84.2,-0.6
2008-Q2,83.5,-14.1
2008-Q3,83.4,-6.9
2008-Q4,81.6,-12.4
2009-Q1,74.1,-28.6
2009-Q2,69.5,-21.2
2009-Q3,72.0,-3.8
2009-Q4,73.8,4.6
2010-Q1,75.7,0.5
2010-Q2,77.9,12.7
2010-Q3,79.6,7.2
2010-Q4,79.9,8.3
2011-Q1,80.5,9.0
2011-Q2,81.2,4.0
2011-Q3,79.8,-6.2
2011-Q4,78.2,-7.4
2012-Q1,78.8,-9.3
2012-Q2,77.8,-4.7
2012-Q3,77.2,-1.4
2012-Q4,76.5,-12.9
2013-Q1,75.5,-13.8
2013-Q2,76.6,-11.0
2013-Q3,77.1,-6.8
2013-Q4,78.1,-2.5
2014-Q1,79.3,7.0
2014-Q2,79.1,-5.5
2014-Q3,79.0,-2.3
2014-Q4,79.0,3.9
2015-Q1,79.5,-7.1
2015-Q2,80.0,8.2
2015-Q3,80.2,11.9
2015-Q4,78.8,-3.8
2016-Q1,80.1,-1.9
2016-Q2,79.5,5.4
2016-Q3,79.9,5.6
2016-Q4,80.7,2.8
2017-Q1,80.9,0.1
2017-Q2,81.5,9.4
2017-Q3,82.2,-1.0
2017-Q4,82.6,-2.0
2018-Q1,82.0,2.0
2018-Q2,81.0,1.8
2018-Q3,79.8,-0.9
2018-Q4,80.9,-2.7
2019-Q1,81.8,1.3
2019-Q2,81.3,-7.7
2019-Q3,81.0,-18.7
2019-Q4,80.6,2.8
2020-Q1,79.9,1.0
2020-Q2,71.8,-41.9
2020-Q3,73.3,9.3
2020-Q4,77.1,11.9
2021-Q1,78.9,10.5
2021-Q2,79.5,9.0
2021-Q3,80.8,8.8
2021-Q4,81.1,4.3
2022-Q1,80.0,4.7
2022-Q2,80.1,1.3
2022-Q3,78.9,-7.2
2022-Q4,77.2,-12.0
2023-Q1,76.7,-0.2
