country,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
1994-05,12.5,,-18.7,,27.7,-11.3,-9.9,-3.3,,,-11.4,,-27.9,-9.6,,25.5,5.6,30.7,,,,,,,,,,
1994-06,12.2,,-20.4,,30.4,-10.4,-7.4,-2.2,,,-11.3,,-24.3,-12.1,,22.7,5.2,37.1,,,,,,,,,,
1994-07,11.8,,-16.5,,31.3,-7.9,-3.7,-0.2,,,-11.0,,-21.2,-16.7,,25.3,9.4,32.8,,,,,,,,,,
1994-08,15.3,,-14.5,,36.6,-4.8,-5.0,0.6,,,-11.4,,-20.2,-22.4,,20.2,4.2,34.0,,,,,,,,,,
1994-09,17.0,,-10.5,,39.1,-4.3,-5.5,0.3,,,-10.7,,-16.9,-27.0,,22.9,5.1,38.7,,,,,,,,,,
1994-10,16.6,,-11.6,,39.5,-4.5,-3.5,1.1,,,-11.4,,-18.5,-20.8,,19.3,-0.1,36.7,,,,,,,,,,
1994-11,17.3,,-8.2,,39.5,-3.1,-4.9,1.0,,,-11.0,,-19.3,-21.8,,22.5,3.6,36.1,,,,,,,,,,
1994-12,20.4,,-7.7,,39.9,-1.9,-2.3,2.5,,,-11.5,,-13.9,-18.6,,19.3,8.4,31.7,,,,,,,,,,
1995-01,19.5,,-16.7,,36.9,-1.4,0.9,3.4,,,-10.5,,-17.1,-15.3,,30.9,0.1,37.5,,,,,,,,,,
1995-02,22.0,,-16.2,,35.6,-4.2,-1.7,1.2,,,-9.6,,-16.1,-14.6,,22.6,-3.1,33.2,,,,,,,,,,
1995-03,19.3,,-14.7,,35.0,-0.4,-4.3,1.6,,,-9.4,,-15.8,-12.9,,22.9,7.7,33.1,,,,,,,,,,
1995-04,16.0,,-15.9,,35.1,-2.5,0.1,2.2,,,-9.0,,-15.8,-13.8,,26.0,0.7,22.9,,,,,,,,,,
1995-05,13.4,,-13.3,,36.7,-2.6,-3.6,1.0,,,-9.3,,-13.4,-9.1,,24.0,5.9,22.8,,,,,,,,,,
1995-06,14.4,,-6.9,,34.7,-1.3,-3.2,1.7,,,-9.6,,-11.3,-11.7,,30.3,4.9,31.6,,,,,,,,,,
1995-07,17.4,,-4.3,,35.2,0.7,-7.0,1.1,,,-9.7,,-15.9,-14.2,,26.5,-1.7,20.0,,,,,,,,,,
1995-08,14.1,,-5.9,,35.0,0.0,-3.5,1.9,,,-9.3,,-13.5,-16.6,,21.8,6.6,25.4,,,,,,,,,,
1995-09,14.4,,-2.1,,34.2,3.7,-1.8,3.8,,,-9.3,,-19.3,-16.8,,18.0,-2.1,17.6,,,,,,,,,,
1995-10,14.0,,0.2,,36.2,3.2,-1.9,3.1,,,-7.9,,-22.7,-10.6,,19.8,2.5,17.1,,,,,,,,,,
1995-11,11.3,,-0.6,,35.6,3.2,2.3,4.5,,,-8.1,,-21.2,-15.4,,21.6,-1.2,16.5,,,,,,,,,,
1995-12,10.1,,1.7,,33.7,0.0,1.6,2.9,,,-7.2,,-18.9,-14.5,,22.6,-5.3,30.2,,,,,,,,,,
1996-01,6.7,,-0.5,,36.3,7.5,0.0,5.3,,,-8.4,,-17.3,-8.6,,26.4,10.3,18.4,,,,,,,,,,
1996-02,2.3,,1.5,,34.6,5.4,1.3,5.2,,,-9.0,,-15.3,-10.2,,23.2,9.8,23.9,,,,,,,,,,
1996-03,6.3,,5.3,,37.5,8.8,-0.3,5.4,,,-7.5,,-16.1,-3.4,,19.1,-7.8,28.0,,,,,,,,,,
1996-04,34.2,,9.2,,44.2,3.5,2.9,4.8,,,-7.9,,-16.8,-12.3,,34.7,-2.8,31.1,,,,,,,,,,
1996-05,31.4,,7.4,,37.8,3.0,0.2,3.3,,,-6.6,,-19.5,-18.1,,29.3,3.4,20.9,,,,,,,,,,
1996-06,24.1,,5.5,,36.9,1.2,-1.5,2.2,,,-6.8,,-19.0,-2.7,,22.2,-20.4,20.2,,,,,,,,,,
1996-07,20.9,,4.4,,36.4,-0.5,-0.3,2.0,,,-6.7,,-17.6,-10.1,,20.8,8.9,21.0,,,,,,,,,,
1996-08,20.7,,6.0,,36.5,1.3,-1.5,2.2,,,-6.7,,-23.0,-12.7,,26.1,4.2,18.6,,,,,,,,,,
1996-09,15.5,,1.5,,36.2,-1.2,-1.5,1.1,,,-6.0,,-24.9,-16.1,,21.3,1.3,23.2,,,,,,,,,,
1996-10,15.9,,4.0,,34.8,0.4,-1.8,1.6,,,-6.3,,-20.9,-20.8,,22.7,0.6,28.7,,,,,,,,,,
1996-11,18.2,,1.1,,32.8,4.2,-1.8,2.7,,,-5.7,,-20.1,-18.4,,19.2,0.6,19.3,,,,,,,,,,
1996-12,16.9,,-0.4,,31.9,1.9,-2.7,1.6,,,-5.5,,-18.5,-5.2,,11.0,2.4,19.4,,,,,,,,,,
1997-01,14.8,,3.7,,35.9,10.0,0.0,5.0,,,-5.0,,-17.9,-6.1,,5.9,-3.3,19.6,,,,,,,,,,
1997-02,21.3,,7.3,,41.9,9.4,-1.9,3.6,,,-3.2,,-18.9,-7.5,,26.8,-8.3,30.0,,,,,,,,,,
1997-03,22.4,,5.1,,39.6,5.2,7.1,5.2,,,-3.2,,-21.3,-1.2,,26.5,5.6,17.8,,,,,,,,,,
1997-04,22.0,,5.3,,37.5,7.4,-1.4,2.9,,,-2.7,,-25.9,-1.1,,24.3,12.3,15.8,,,,,,,,,,
1997-05,18.6,,3.8,,36.1,3.7,4.5,3.7,,,-3.1,,-23.3,-2.7,,25.4,-1.7,19.5,,,,,,,,,,
1997-06,19.9,,4.7,,34.8,3.1,3.3,3.1,,,-2.8,,-22.2,-1.7,,22.1,11.1,13.3,,,,,,,,,,
1997-07,15.2,,0.1,,33.6,3.9,1.6,2.8,2.0,,-2.8,2.0,-21.3,-10.2,-20.0,23.6,-1.0,24.5,13.0,,,,,,,,,
1997-08,17.1,,1.0,,33.7,3.3,2.6,2.9,1.4,,-2.6,4.0,-23.3,-14.8,-17.0,24.1,7.1,15.6,11.0,,,,,,,,,
1997-09,16.4,,-1.8,,29.3,4.9,1.3,3.0,0.6,,-2.9,10.0,-24.4,-3.5,8.0,32.1,11.4,21.2,7.0,,,,,,,,,
1997-10,15.5,,-5.1,,26.3,1.6,-0.7,0.9,1.3,,-1.8,5.9,-25.0,-4.8,5.0,17.9,13.5,13.7,6.0,,,,,,,,,
1997-11,15.2,,-2.5,,28.4,2.2,-1.0,1.1,0.1,,-2.0,5.3,-24.5,-8.1,5.0,16.4,-0.7,14.0,4.0,,,,,,,,,
1997-12,12.9,,-5.1,,36.1,0.7,-0.4,0.6,-0.3,,-1.5,5.9,-21.4,-6.6,-11.0,30.3,2.5,36.1,-11.0,,,,,,,,,
1998-01,14.4,-28.5,-3.6,-53.3,39.7,0.1,0.2,1.1,-0.7,8.5,-3.0,-15.9,-22.7,0.0,-65.9,18.3,8.8,13.3,-50.7,,,,,,,,,
1998-02,13.1,-26.5,-0.3,-52.6,36.7,3.3,1.8,2.2,-1.2,5.5,-1.4,-16.9,-28.1,6.6,-68.0,23.8,0.7,12.7,-50.3,,,,,,,,,
1998-03,10.2,-29.1,-4.7,-53.5,32.1,-1.0,-6.0,-1.6,-0.5,2.4,-2.1,-15.8,-26.3,7.8,-67.2,27.7,2.2,17.3,-48.0,,,,,,,,,
1998-04,10.6,-29.2,-5.6,-52.8,25.0,3.7,-0.4,1.5,-7.4,5.7,-1.1,-15.1,-28.9,1.9,-69.6,26.1,-3.9,10.4,-50.2,,,,,,,,,
1998-05,10.7,-29.0,-5.2,-52.8,23.6,6.6,-1.9,1.3,-2.7,5.3,0.8,-14.3,-27.7,3.9,-67.1,28.1,-0.9,6.0,-53.7,,,,,,,,,
1998-06,11.1,-30.6,-8.0,-53.3,22.1,3.9,-2.0,0.2,-3.6,3.0,1.2,-14.1,-33.8,3.5,-68.0,29.1,1.8,8.2,-51.5,,,,,,,,,
1998-07,12.3,-29.5,-5.2,-53.7,19.9,5.5,0.1,1.6,-6.3,4.4,0.6,-10.3,-34.7,-3.5,-66.4,31.9,1.6,11.4,-52.2,,,,,,,,,
1998-08,9.1,-30.2,-5.8,-54.5,18.4,5.2,-4.8,0.1,-4.2,6.7,0.1,-13.2,-28.2,-3.6,-68.8,25.7,-2.3,12.5,-54.0,,,,,,,,,
1998-09,11.0,-29.9,-7.5,-52.4,21.3,3.2,-2.8,0.1,-5.9,6.4,0.0,-15.5,-27.8,-0.2,-70.6,23.7,-3.1,6.2,-59.7,,,,,,,,,
1998-10,10.6,-30.3,-7.4,-53.2,19.0,4.7,-1.9,0.8,-5.3,6.7,0.5,-16.1,-43.3,-1.1,-70.4,20.9,-12.8,4.8,-61.7,,,,,,,,,
1998-11,8.2,-32.6,-9.0,-56.3,15.4,3.5,-4.2,-1.4,-5.5,8.2,3.4,-19.1,-40.5,0.8,-74.3,17.9,-9.7,-0.7,-61.9,,,,,,,,,
1998-12,8.2,-34.4,-9.8,-59.0,18.8,7.4,-1.2,1.3,-7.6,2.5,2.4,-20.4,-45.2,5.7,-75.8,20.3,-13.1,8.1,-65.2,,,,,,,,,
1999-01,10.2,-34.5,-5.7,-63.2,17.2,-1.7,-11.7,-4.9,-8.0,2.1,1.4,-25.5,-44.5,15.4,-86.1,25.1,-13.8,3.5,-76.9,,,,,,,,,
1999-02,-3.0,-37.7,-10.5,-64.8,16.9,0.3,-10.4,-3.9,-9.7,1.9,1.6,-22.7,-45.1,13.1,-84.1,29.1,-0.2,13.3,-77.3,,,,,,,,,
1999-03,7.8,-36.5,-10.6,-62.5,15.3,2.1,-4.4,-0.9,-8.8,1.1,0.5,-25.4,-49.6,8.9,-84.2,16.8,9.3,10.3,-75.2,,,,,,,,,
1999-04,8.6,-38.0,-12.2,-63.7,14.6,-0.3,-9.6,-4.2,-6.2,0.1,2.8,-21.0,-48.7,8.3,-80.5,25.9,-3.9,14.6,-75.4,,,,,,,,,
1999-05,8.8,-39.8,-14.1,-65.6,14.7,0.2,-6.9,-2.5,-6.5,2.9,0.9,-23.1,-50.5,7.0,-83.9,21.6,-5.3,16.9,-73.6,,,,,,,,,
1999-06,8.0,-38.5,-12.8,-64.1,11.9,4.2,-9.6,-2.4,-6.7,3.6,1.8,-23.5,-49.9,9.9,-79.7,19.0,-6.2,12.8,-71.8,,,,,,,,,
1999-07,6.8,-39.6,-15.6,-63.6,13.5,0.8,-6.9,-2.6,-8.8,-0.4,1.8,-20.6,-48.9,3.2,-78.3,19.6,1.3,20.9,-67.2,,,,,,,,,
1999-08,8.0,-40.6,-18.6,-62.6,14.0,-4.3,-1.6,-2.1,-7.7,-2.5,0.4,-17.4,-47.4,-3.2,-75.5,20.2,-3.4,20.4,-71.6,,,,,,,,,
1999-09,7.6,-40.1,-14.8,-65.3,11.9,-6.3,-4.8,-4.5,-8.0,-3.6,2.5,-17.1,-48.0,-4.4,-75.3,19.5,5.8,18.9,-67.5,,,,,,,,,
1999-10,6.5,-41.1,-16.6,-65.7,12.7,-1.7,-3.5,-2.4,-8.6,-3.7,2.1,-17.7,-49.2,-1.1,-74.3,20.1,-3.6,17.0,-67.4,,,,,,,,,
1999-11,5.6,-42.5,-19.1,-66.0,14.6,-0.1,-9.0,-3.3,-8.7,-2.5,0.7,-17.2,-50.5,-0.6,-73.4,21.2,3.5,23.2,-67.8,,,,,,,,,
1999-12,7.6,-41.2,-16.2,-66.3,13.1,-5.2,-8.3,-4.6,-8.6,0.7,0.4,-13.4,-46.1,-4.3,-70.1,25.6,9.0,24.6,-67.0,,,,,,,,,
2000-01,3.8,-42.3,-17.3,-67.3,14.9,4.1,-12.4,-3.2,-9.8,6.3,1.3,-14.6,-39.0,-2.5,-70.7,24.4,-5.9,18.8,-66.4,,,,,,,,,
2000-02,7.7,-41.5,-14.6,-68.4,12.3,4.8,-9.9,-2.4,-9.0,7.6,2.2,-16.2,-37.9,2.8,-71.3,25.6,4.4,16.7,-64.4,,,,,,,,,
2000-03,10.1,-42.3,-17.4,-67.1,12.2,5.0,-10.5,-2.7,-12.2,9.5,2.6,-15.2,-34.1,-1.6,-69.6,22.2,1.7,11.7,-64.3,,,,,,,,,
2000-04,8.9,-42.6,-18.5,-66.6,9.5,1.3,-8.8,-3.3,-11.2,6.3,2.4,-13.2,-32.7,-5.2,-66.7,21.8,4.2,12.6,-60.6,,,,,,,,,
2000-05,6.2,-43.0,-19.8,-66.1,8.3,-0.9,-15.9,-6.9,-11.6,6.3,3.9,-12.0,-35.7,-5.6,-64.3,22.7,3.2,23.0,-60.2,,,,,,,,,
2000-06,5.1,-43.8,-20.7,-67.0,10.3,-2.6,-13.4,-6.5,-12.9,9.2,3.4,-12.8,-34.8,-2.9,-64.9,23.4,-2.3,24.1,-63.4,,,,,,,,,
2000-07,6.3,-44.7,-20.6,-68.8,9.7,-0.8,-16.7,-7.2,-12.8,14.4,4.1,-13.3,-33.2,-2.5,-65.2,22.7,-3.4,16.9,-59.0,,,,,,,,,
2000-08,3.7,-44.4,-20.8,-68.0,9.9,-0.3,-19.3,-7.8,-13.9,6.6,3.8,-10.5,-34.7,-5.0,-65.1,28.7,-1.5,17.1,-59.6,,,,,,,,,
2000-09,4.1,-45.0,-22.6,-67.5,7.4,-4.3,-19.7,-9.0,-19.0,6.0,3.1,-12.1,-33.5,-4.8,-63.8,22.6,-6.4,6.4,-60.5,,,,,,,,,
2000-10,1.6,-48.2,-25.9,-70.5,8.2,-3.7,-20.9,-9.0,-17.5,-9.2,2.4,-14.3,-37.5,-7.4,-70.2,19.9,-4.1,11.9,-61.3,,,,,,,,,
2000-11,1.6,-48.0,-25.3,-70.8,3.4,-5.4,-19.0,-9.1,-16.8,-7.5,2.9,-14.4,-38.7,-5.4,-68.0,19.4,-2.3,14.1,-61.7,,,,,,,,,
2000-12,0.5,-49.8,-27.8,-71.8,2.3,-5.4,-20.1,-9.5,-18.3,-9.9,2.9,-16.0,-35.1,-2.2,-69.9,19.8,-3.8,4.7,-61.0,,,,,,,,,
2001-01,-1.4,-50.1,-28.5,-71.6,-0.4,-1.9,-22.8,-9.4,-16.3,-7.2,3.4,-17.9,-29.4,-3.5,-73.4,16.0,-2.5,12.5,-63.7,,,,,,,,,
2001-02,-4.4,-50.7,-31.5,-69.9,1.6,-1.3,-21.7,-8.5,-17.6,-0.7,2.6,-19.5,-34.2,-1.4,-75.7,15.9,-12.5,5.9,-61.8,,,,,,,,,
2001-03,-5.7,-52.3,-32.6,-72.0,-0.4,-3.2,-20.1,-8.4,-18.5,-2.5,1.8,-20.3,-32.8,-2.8,-78.7,15.0,-10.3,7.5,-66.9,,,,,,,,,
2001-04,-8.6,-53.1,-33.5,-72.7,-1.3,-7.3,-21.0,-10.1,-20.7,-4.9,2.1,-20.7,-34.8,-3.2,-77.7,12.4,-12.4,6.0,-67.7,,,,,,,,,
2001-05,-7.6,-53.7,-34.5,-72.8,-2.4,-10.4,-25.0,-12.5,-19.3,-12.4,2.1,-22.0,-33.2,-2.1,-79.3,11.4,-9.7,7.0,-68.0,,,,,,,-20.9,-29.0,46.0
2001-06,-9.3,-56.0,-37.3,-74.7,-3.9,-10.3,-23.9,-12.3,-21.4,-13.5,2.6,-22.2,-36.5,-2.4,-79.0,9.9,-14.9,4.5,-68.5,,,,,,,-18.2,-26.5,46.5
2001-07,-9.9,-54.8,-36.8,-72.7,-6.7,-9.6,-24.0,-12.0,-18.6,-12.1,2.3,-23.6,-38.6,-1.2,-81.1,9.1,-12.5,4.6,-67.9,,,,,,,-19.8,-29.0,41.0
2001-08,-10.0,-56.4,-37.9,-74.8,-7.7,-15.2,-23.7,-13.4,-21.1,-10.3,1.2,-23.5,-40.3,-3.2,-81.1,7.4,-11.4,3.2,-68.1,,,,,,,-23.6,-35.0,46.0
2001-09,-12.5,-58.4,-40.2,-76.5,-8.9,-16.4,-29.9,-15.9,-21.5,-7.9,1.4,-23.7,-40.1,-1.7,-78.3,5.6,-13.9,6.1,-67.5,,,,,,,-26.4,-29.0,40.5
2001-10,-10.8,-57.1,-39.0,-75.2,-12.0,-14.5,-27.9,-14.4,-21.9,-11.2,0.9,-23.6,-39.8,-3.7,-81.5,7.1,-14.2,0.5,-66.8,,,,,,,-17.3,-19.0,41.5
2001-11,-12.9,-59.3,-41.5,-77.0,-11.5,-17.2,-28.0,-15.7,-22.9,-15.0,1.9,-23.8,-36.1,-3.0,-80.4,6.0,-18.6,1.3,-73.0,,,,,,,-16.8,-22.0,42.0
2001-12,-13.8,-57.7,-37.7,-77.7,-13.3,-21.4,-25.9,-15.4,-25.4,-18.9,-0.9,-23.9,-33.7,-4.1,-83.0,7.1,-16.2,-0.3,-74.0,,,,,,,-22.4,-29.5,39.0
2002-01,-16.9,-67.0,-54.2,-79.7,-20.5,-25.9,-24.5,-17.1,-24.2,-21.9,1.0,-24.1,-37.4,-1.0,-79.1,6.0,-7.9,2.0,-67.7,,,,,,,-19.7,-25.0,39.5
2002-02,-14.0,-65.1,-51.5,-78.7,-22.7,-20.0,-23.8,-14.7,-22.3,-19.8,0.2,-25.7,-29.9,1.6,-75.5,0.0,-8.3,-1.7,-66.5,,,,,,,-19.8,-23.5,37.5
2002-03,-14.9,-63.4,-48.6,-78.3,-24.3,-17.6,-20.8,-12.8,-20.8,-13.3,-0.1,-22.9,-31.0,0.3,-74.1,5.7,-9.1,-1.7,-69.3,,,,,,,-19.8,-26.0,32.5
2002-04,-14.7,-64.6,-47.6,-81.6,-22.5,-14.0,-22.2,-11.6,-20.3,-15.5,-1.5,-20.0,-28.7,-1.6,-73.6,12.0,-1.3,2.9,-66.9,,,,,,,-20.8,-27.5,40.5
2002-05,-14.4,-62.6,-43.2,-82.0,-21.0,-12.0,-21.3,-10.4,-20.0,-12.6,-2.2,-18.7,-26.6,-2.5,-72.0,13.2,-2.4,1.0,-64.7,,,,,,,-17.9,-22.5,27.5
2002-06,-14.1,-62.1,-41.8,-82.5,-21.4,-11.6,-21.4,-11.1,-19.4,-10.2,0.2,-21.7,-26.2,2.8,-74.2,11.9,-1.4,-4.8,-66.7,,,,,,,-21.5,-26.0,28.0
2002-07,-13.6,-62.3,-41.0,-83.6,-20.8,-13.1,-21.9,-11.3,-19.6,-11.4,-1.0,-22.0,-27.1,4.1,-75.4,13.4,-5.9,-1.4,-69.5,,,,,,,-17.8,-22.5,31.0
2002-08,-12.8,-62.0,-39.7,-84.3,-20.7,-10.7,-23.3,-10.6,-18.4,-9.0,-2.3,-20.1,-28.3,-0.2,-69.9,9.3,-2.5,2.7,-65.7,,,,,,,-18.2,-22.5,22.0
2002-09,-9.2,-59.3,-34.2,-84.4,-16.6,-11.5,-18.0,-9.3,-20.6,-9.3,-1.5,-17.7,-25.6,-2.0,-71.8,16.6,-2.4,3.0,-60.6,,,,,,,-15.5,-20.0,23.5
2002-10,-11.8,-60.6,-35.8,-85.3,-16.6,-16.9,-24.2,-13.2,-19.0,-6.5,-1.3,-16.5,-23.3,-2.7,-69.7,17.5,-0.3,7.3,-63.4,,,,,,,-15.5,-15.0,16.0
2002-11,-8.7,-57.4,-31.7,-83.0,-16.2,-6.0,-21.6,-8.3,-21.1,-7.3,-2.7,-15.5,-21.2,-2.7,-68.9,19.6,5.0,6.2,-62.7,,,,,,,-19.2,-21.0,20.0
2002-12,-7.6,-57.9,-33.3,-82.4,-20.1,-5.5,-24.7,-9.9,-20.3,-3.7,-0.6,-16.1,-26.5,1.1,-65.9,18.7,-7.6,2.8,-61.1,,,,,,,-19.9,-27.5,25.5
2003-01,-29.8,-56.7,-33.7,-79.6,-22.0,-9.3,-22.6,-9.9,-20.3,-7.1,-2.4,-15.8,-22.1,-0.9,-72.9,24.6,-6.3,-0.7,-61.2,0.5,-7.7,-3.9,-19.6,-9.8,-13.8,-18.1,-20.5,28.0
2003-02,-21.0,-57.1,-34.3,-79.8,-19.8,-16.1,-24.6,-12.5,-21.3,-11.6,-3.2,-15.5,-22.4,0.8,-70.3,24.6,5.9,3.7,-63.4,4.9,-5.5,-5.5,-16.0,-11.0,-13.7,-17.7,-26.5,26.5
2003-03,-11.2,-56.0,-31.8,-80.2,-19.5,-22.2,-25.5,-14.8,-19.7,-14.7,-3.3,-16.5,-24.1,1.6,-69.8,21.9,1.7,7.8,-55.5,5.1,-7.8,-14.4,-14.0,-10.8,-12.1,-19.1,-26.5,27.0
2003-04,-6.3,-55.5,-30.9,-80.1,-19.1,-18.7,-27.8,-13.8,-18.1,-11.3,-5.3,-17.4,-23.8,1.4,-71.0,20.2,7.4,3.1,-61.4,3.0,-6.4,-8.2,-14.0,-11.2,-12.6,-19.3,-23.0,29.5
2003-05,-6.8,-55.1,-31.0,-79.2,-19.3,-11.3,-29.0,-12.6,-20.3,-6.4,-2.6,-17.3,-24.8,-0.7,-71.5,18.8,4.5,-1.2,-61.3,5.9,-4.9,-7.0,-13.7,-10.3,-12.4,-15.7,-19.5,8.0
2003-06,-2.9,-54.0,-27.3,-80.7,-16.7,-11.0,-30.4,-12.4,-17.3,-9.3,-4.0,-16.0,-21.7,-1.5,-68.5,18.9,-4.8,2.2,-61.3,6.3,-4.2,-6.9,-11.9,-9.6,-12.3,-15.1,-21.5,20.5
2003-07,-6.3,-55.5,-29.9,-81.2,-14.2,-12.6,-25.7,-11.6,-14.4,-12.2,-3.4,-16.0,-21.3,-3.3,-69.9,18.8,0.6,5.2,-61.5,5.9,-5.1,-5.8,-15.3,-10.1,-14.1,-15.3,-21.5,19.5
2003-08,-5.4,-53.4,-26.6,-80.1,-12.0,-14.5,-25.7,-12.5,-16.9,-8.6,-2.8,-12.9,-14.4,-5.6,-66.4,22.1,7.3,6.1,-56.4,7.0,-3.9,-5.5,-13.2,-9.8,-12.4,-17.4,-22.5,25.0
2003-09,-7.9,-54.5,-29.4,-79.6,-11.9,-15.0,-20.6,-10.5,-23.7,-11.0,-4.0,-14.4,-22.5,-6.0,-66.5,17.2,0.4,7.1,-58.4,7.9,-1.9,-4.0,-9.6,-8.5,-11.6,-16.2,-22.0,21.0
2003-10,-4.7,-53.5,-27.7,-79.2,-11.1,-12.9,-17.8,-9.4,-15.4,-10.6,-2.4,-11.7,-19.5,-6.6,-59.7,18.0,11.1,10.9,-58.0,8.4,-1.9,-3.9,-10.3,-9.5,-12.5,-19.8,-29.5,30.5
2003-11,-6.3,-53.1,-26.6,-79.7,-10.5,-16.6,-21.3,-11.1,-16.5,-9.1,-4.7,-13.2,-25.3,-6.1,-61.5,15.6,4.6,12.4,-54.9,8.5,-1.9,-4.2,-10.1,-9.8,-13.3,-22.4,-32.0,29.5
2003-12,-6.9,-52.0,-25.4,-78.7,-9.5,-13.8,-23.5,-11.5,-18.0,1.1,-2.9,-11.9,-23.0,-7.7,-61.7,18.4,0.8,16.2,-50.8,10.3,-0.6,-2.7,-9.4,-9.4,-13.9,-17.9,-27.5,42.5
2004-01,-4.0,-51.3,-26.4,-76.1,-9.4,-15.4,-2.0,-4.9,-16.3,-13.4,-2.6,-12.2,-20.3,-2.9,-58.9,19.5,5.8,14.6,-52.6,3.9,-0.9,-2.0,-4.7,-8.1,-18.0,-17.9,-31.0,49.5
2004-02,-5.3,-49.1,-23.6,-74.6,-7.5,-18.4,-7.6,-7.5,-14.6,-11.2,-3.6,-12.7,-18.0,1.0,-56.9,19.8,11.2,10.5,-49.4,-0.3,-3.4,-3.7,-6.3,-11.3,-16.6,-21.1,-38.5,51.5
2004-03,-6.6,-48.4,-21.7,-75.0,-1.6,-14.4,-11.5,-10.3,-12.1,-11.3,5.1,-11.1,-15.9,-0.5,-53.3,19.5,13.7,17.0,-48.2,2.2,0.4,2.0,-2.9,-6.4,-16.3,-20.2,-37.5,56.0
