country,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
1956-04,,,,,11.8,,9.119184,,15.90066,19.96327,,,,
1956-05,,,,,2.4,,2.804852,,6.201886,5.539928,,,,
1956-06,,,,,-4.6,,-13.70363,,-7.919604,-12.55541,,,,
1956-07,,,,,-11.6,,2.691091,,12.02493,3.470707,,,,
1956-08,,,,,3.0,,7.630856,,14.63252,11.2647,,,,
1956-09,,,,,11.0,,12.87064,,10.62908,14.23091,,,,
1956-10,,,,,5.4,,7.969002,,14.04482,15.52833,,,,
1956-11,,,,,10.0,,13.95667,,17.82517,31.89995,,,,
1956-12,,,,,5.4,,9.155108,,9.889361,14.96337,,,,
1957-01,,,,,7.2,,7.276639,,15.15172,20.01386,,,,
1957-02,,,,,2.0,,1.614664,,7.835119,18.46316,,,,
1957-03,,,,,-5.0,,0.6454743,,4.194496,5.539348,,,,
1957-04,,,,,-13.8,,-20.89281,,0.8801308,-2.827495,,,,
1957-05,,,,,-13.2,,-16.2157,,-7.299937,-1.009562,,,,
1957-06,,,,,-8.2,,-9.753123,,-5.986383,-1.155292,,,,
1957-07,,,,,-8.6,,-9.320445,,-8.096147,-1.02215,,,,
1957-08,,,,,-9.4,,-10.36399,,-2.565945,-1.852612,,,,
1957-09,,,,,-8.4,,-11.10735,,-0.323958,-3.115172,,,,
1957-10,,,,,-17.8,,-24.01908,,-4.667194,-14.03777,,,,
1957-11,,,,,-19.2,,-28.01353,,-3.351774,-7.036174,,,,
1957-12,,,,,-26.4,,-37.8228,,-8.563925,-16.28312,,,,
1958-01,,,,,-33.2,,-41.70016,,-26.29253,-22.21429,,,,
1958-02,,,,,-25.6,,-45.37846,,-3.253505,-20.15246,,,,
1958-03,,,,,-20.4,,-37.35023,,-8.77659,-8.918331,,,,
1958-04,,,,,-21.8,,-38.93344,,-4.765068,-18.52971,,,,
1958-05,,,,,-6.8,,-20.2479,,12.91866,2.93101,,,,
1958-06,,,,,2.8,,-4.799642,,18.82551,14.01271,,,,
1958-07,,,,,9.4,,-3.31511,,31.01342,21.99917,,,,
1958-08,,,,,14.6,,9.666374,,31.37318,25.71426,,,,
1958-09,,,,,19.6,,15.94348,,31.51318,34.50999,,,,
1958-10,,,,,24.6,,21.00066,,38.5873,41.34625,,,,
1958-11,,,,,25.4,,16.01559,,37.31536,40.68987,,,,
1958-12,,,,,21.0,,16.17908,,27.88057,26.81127,,,,
1959-01,,,,,28.8,,13.29068,,37.6146,40.6912,,,,
1959-02,,,,,33.8,,18.58838,,41.31552,39.73896,,,,
1959-03,,,,,34.2,,17.62273,,40.73176,42.72614,,,,
1959-04,,,,,33.8,,26.985,,35.91198,45.76514,,,,
1959-05,,,,,36.4,,32.71229,,39.31858,47.76522,,,,
1959-06,,,,,28.8,,30.1702,,28.25525,32.97761,,,,
1959-07,,,,,23.0,,21.70306,,22.44666,28.19336,,,,
1959-08,,,,,10.2,,12.72221,,8.36855,13.33302,,,,
1959-09,,,,,-3.4,,-0.9783102,,-16.85922,1.313312,,,,
1959-10,,,,,-0.6,,-3.956917,,0.6461749,-1.108621,,,,
1959-11,,,,,1.2,,-2.947421,,3.67994,7.685477,,,,
1959-12,,,,,16.4,,8.181765,,23.23034,22.28674,,,,
1960-01,,,,,23.0,,13.27444,,30.08802,41.49352,,107.5944,,
1960-02,,,,,4.6,,9.55017,,5.982244,16.20682,,105.1914,,
1960-03,,,,,-4.4,,-9.413789,,5.069649,4.409127,,102.7885,,
1960-04,,,,,-9.4,,-16.09477,,3.203952,-3.423286,,100.3855,,
1960-05,,,,,-14.8,,-13.30435,,-10.65334,-10.22059,,101.7843,,
1960-06,,,,,-11.2,,-18.83815,,-1.463326,-4.198896,,103.183,,
1960-07,,,,,-12.6,,-14.27075,,-8.538155,-4.401943,,104.5817,,
1960-08,,,,,-4.8,,-10.22257,,12.58695,1.926499,,102.0353,,
1960-09,,,,,-9.2,,-17.9256,,-0.7538864,-0.9357669,,99.48893,,
1960-10,,,,,-8.0,,-11.93662,,-0.5431116,1.134588,,96.94253,,
1960-11,,,,,-11.4,,-14.92819,,-1.309155,-5.064605,,97.4805,,
1960-12,,,,,-11.4,,-17.80671,,-4.355903,-5.407722,,98.01847,,
1961-01,,,,,-12.2,,-23.72017,,-3.834142,-1.804905,,98.55644,,
1961-02,,,,,-12.8,,-32.47181,,-2.130911,-0.8049158,,98.87923,,
1961-03,,,,,-1.8,,-19.45831,,10.68071,8.815821,,99.20201,,
1961-04,,,,,15.2,,8.810024,,36.459,22.87769,,99.52479,,
1961-05,,,,,17.8,,15.67631,,30.28877,36.42915,,101.9277,,
1961-06,,,,,16.2,,14.14566,,28.7406,30.97749,,104.3307,,
1961-07,,,,,16.4,,10.75443,,26.57488,27.49555,,106.7336,,
1961-08,,,,,21.4,,18.84307,,26.75255,37.54751,,104.51,,
1961-09,,,,,26.0,,24.12666,,40.96667,33.54654,,102.2864,,
1961-10,,,,,24.4,,16.09007,,36.92359,34.23837,,100.0628,,
1961-11,,,,,18.0,,11.0926,,30.10634,17.82137,,102.5374,,
1961-12,,,,,28.4,,16.20845,,40.7848,29.44777,,105.0121,,
1962-01,,,,,21.8,,14.27684,,20.32221,32.50183,,107.4868,,
1962-02,,,,,22.2,,17.48658,,23.76878,29.58638,,105.8729,,
1962-03,,,,,21.2,,12.48762,,19.73651,30.36802,,104.2589,,
1962-04,,,,,10.2,,15.71095,,14.29065,15.06274,,102.645,,
1962-05,,,,,4.4,,6.662089,,6.448209,11.85445,,101.2822,,
1962-06,,,,,1.6,,5.128902,,4.523868,8.867502,,99.9193,,
1962-07,,,,,2.0,,3.77663,,7.350642,11.66102,,98.55644,,
1962-08,,,,,-1.0,,-6.083191,,7.042288,5.076933,,99.77585,,
1962-09,,,,,0.0,,1.196095,,3.988777,3.057249,,100.9952,,
1962-10,,,,,2.4,,-0.877161,,8.142055,9.330281,,102.2147,,
1962-11,,,,,7.6,,-3.89325,,16.32342,14.33484,,103.4341,,
1962-12,,,,,14.4,,8.231573,,17.18761,25.74022,,104.6535,,
1963-01,,,,,10.4,,1.276173,,23.15466,12.76602,,105.8729,,
1963-02,,,,,10.2,,-1.5527,,21.10447,16.16314,,103.4699,,
1963-03,,,,,9.4,,4.43992,,13.2392,9.030714,,101.067,,
1963-04,,,,,15.2,,10.62372,,22.16907,23.80313,,98.66404,,
1963-05,,,,,19.6,,7.648463,,34.35098,21.71606,,100.3497,,
1963-06,,,,,16.4,,6.109196,,22.61228,20.93088,,102.0353,,
1963-07,,,,,11.0,,4.791314,,20.90924,22.55648,,103.721,,
1963-08,,,,,10.2,,0.9701082,,23.75135,12.14514,,103.0037,,
1963-09,,,,,13.8,,11.2646,,19.61598,27.49755,,102.2864,,
1963-10,,,,,15.4,,8.14733,,29.74196,27.98561,,101.5691,,
1963-11,,,,,15.0,,6.108952,,26.49393,26.95243,,103.3982,,
1963-12,,,,,8.0,,-3.739491,,16.57656,22.86319,,105.2273,,
1964-01,,,,,14.2,,0.272249,,23.9643,24.05025,,107.0564,,
1964-02,,,,,15.8,,3.401932,,23.21399,25.87078,,106.6977,,
1964-03,,,,,20.4,,11.39673,,22.66362,28.62081,,106.3391,,
1964-04,,,,,18.4,,16.55681,,28.33304,21.67163,,105.9805,,
1964-05,,,,,17.4,,11.64322,,18.02954,21.59818,,106.7336,,
1964-06,,,,,20.2,,12.09439,,29.41421,26.3868,,107.4868,,
1964-07,,,,,25.8,,13.8078,,38.39439,27.15735,,108.2399,,
1964-08,,,,,26.6,,14.01429,,34.50944,26.84144,,107.9889,,
1964-09,,,,,26.6,,14.34449,,27.96059,31.25642,,107.7378,,
1964-10,,,,,21.4,,9.17426,,18.64371,22.79612,,107.4868,,
1964-11,,,,,23.6,,14.10705,,20.91499,24.89224,,108.2399,,
1964-12,,,,,24.8,,9.271167,,28.28298,27.81461,,108.9931,,
1965-01,,,,,22.0,,11.25122,,24.06655,13.01241,,109.7463,,
1965-02,,,,,24.2,,14.34492,,26.65978,20.37559,,110.9657,,
1965-03,,,,,29.8,,24.36237,,38.28279,31.95602,,112.1851,,
1965-04,,,,,24.0,,24.50942,,19.72985,25.32654,,113.4045,,
1965-05,,,,,22.6,,11.64087,,18.8397,24.94219,,112.6872,,
1965-06,,,,,17.4,,11.08149,,15.70583,17.00282,,111.9699,,
1965-07,,,,,16.2,,13.82897,,13.54201,17.28128,,111.2526,,
1965-08,,,,,16.2,,14.05991,,12.12036,14.563,,111.0733,,
1965-09,,,,,22.0,,11.428,,28.76226,28.27627,,110.8939,,
1965-10,,,,,17.2,,13.19493,,24.54992,20.36675,,110.7146,,
1965-11,,,,,18.8,,10.10212,,23.82951,23.0489,,109.6745,,
1965-12,,,,,25.6,,19.27028,,25.95203,28.46938,,108.6344,,
1966-01,,,,,31.6,,23.22438,,32.3161,33.34322,,107.5944,,
1966-02,,,,,31.0,,20.28715,,32.19819,32.86658,,106.0522,,
1966-03,,,,,31.4,,24.34937,,29.49254,27.72203,,104.51,,
1966-04,,,,,28.4,,24.48528,,28.50043,25.34242,,102.9678,,
1966-05,,,,,15.4,,12.63,,4.230493,12.45022,,101.3539,,
1966-06,,,,,18.0,,19.06098,,12.76788,16.35937,,99.73998,,
1966-07,,,,,20.6,,19.84793,,12.0252,17.76882,,98.12607,,
1966-08,,,,,17.0,,11.09904,,7.852871,17.14406,,97.08598,,
1966-09,,,,,17.4,,10.50126,,11.01203,15.33941,,96.04591,,
1966-10,,,,,14.4,,13.20498,,2.856054,13.77406,,95.00583,,
1966-11,,,,,7.4,,12.08651,,-4.85808,9.587285,,97.08598,,
1966-12,,,,,4.8,,2.26761,,-1.073044,7.49193,,99.16615,,
1967-01,,,,,-1.8,89.8425,-1.795607,,-8.442373,6.385075,,101.2463,,
1967-02,,,,,-4.8,88.3949,-3.766685,,-10.99974,1.298323,,101.8919,,
1967-03,,,,,-9.4,87.5162,-7.648462,,-8.189729,-3.47826,,102.5374,,
1967-04,,,,,-14.4,87.6555,-18.52872,,-19.50565,-16.91774,,103.183,,
1967-05,,,,,-11.0,86.6106,-8.388051,,-3.334211,-1.684948,,103.5775,,
1967-06,,,,,-6.4,86.0691,-4.954531,,8.141067,7.776255,,103.972,,
1967-07,,,,,-1.0,85.3074,0.8789177,,8.238602,9.109591,,104.3665,,
1967-08,,,,,4.4,86.4918,6.141387,,14.72739,16.4457,,102.8961,,
1967-09,,,,,9.8,86.0644,-2.427065,,16.76815,10.68957,,101.4256,,
1967-10,,,,,8.2,86.3701,2.226383,,11.59594,14.82576,,99.95517,,
1967-11,,,,,8.4,87.5349,1.07878,,21.85528,17.0089,,101.4974,,
1967-12,,,,,11.2,88.0043,6.265172,,15.70523,12.23362,,103.0395,,
1968-01,,,,,13.2,87.4091,7.180541,,21.18421,17.68982,,104.5817,,
1968-02,,,,,10.0,87.4077,1.169048,,12.73463,14.70812,,102.8602,,
1968-03,,,,,7.6,87.1624,0.3383958,,11.20778,9.899215,,101.1387,,
1968-04,,,,,16.0,86.867,5.429517,,21.32446,20.31966,,99.4172,,
1968-05,,,,,10.6,87.582,7.577418,,14.2004,21.89964,,99.4172,,
1968-06,,,,,7.0,87.3866,10.02968,,9.817517,13.03865,,99.4172,,
1968-07,,,,,8.2,86.7453,-3.084301,,11.06952,16.61031,,99.4172,,
1968-08,,,,,5.4,86.798,-0.8028853,,9.629937,12.37278,,99.16615,,
1968-09,,,,,3.6,86.4738,-10.3609,,6.769192,12.92552,,98.91509,,
1968-10,,,,,11.6,86.6473,2.254645,,17.66261,21.40764,,98.66404,,
1968-11,,,,,16.2,87.5059,10.07969,,27.90365,18.56275,,100.9952,,
1968-12,,,,,12.2,87.1442,8.274169,,12.05267,19.21849,,103.3265,,
1969-01,,,,,9.8,87.3158,4.16532,,9.700645,12.84478,,105.6577,,
1969-02,,,,,14.0,87.6837,12.10623,,15.64831,18.19697,,103.2547,,
1969-03,,,,,14.2,88.0148,8.321505,,18.6628,16.67683,,100.8518,,
1969-04,,,,,10.4,87.313,4.384935,,3.477152,10.40645,,98.44884,,
1969-05,,,,,13.4,86.6311,7.551529,,15.68666,12.27674,,96.61974,,
1969-06,,,,,11.0,86.8278,11.02536,,6.609316,16.55445,,94.79064,,
1969-07,,,,,6.2,87.1288,6.941818,,1.459115,5.749493,,92.96153,,
1969-08,,,,,9.6,86.9217,2.242371,,2.786904,7.613093,,90.55859,,
1969-09,,,,,8.2,86.4785,-3.326318,,0.4489148,9.708475,,88.15565,,
1969-10,,,,,9.2,86.2433,-0.7229079,,4.255062,5.050817,,85.75272,,
1969-11,,,,,6.4,85.0284,-0.9121217,,4.104745,3.264993,,85.17888,,
1969-12,,,,,4.0,84.2601,1.29186,,-2.395439,1.791426,,84.60504,,
1970-01,,,,,-2.6,82.1369,-6.849969,,-8.682352,-5.100476,,84.0312,,
1970-02,,,,,-5.2,81.9415,-12.94941,,-8.832557,-8.442942,,83.06285,,
1970-03,,,,,-6.2,81.4499,-9.690473,,-11.65838,-5.842057,,82.09451,,
1970-04,,,,,-10.0,80.9049,-19.66365,,-11.88884,-10.94467,,81.12615,,
1970-05,,,,,-5.6,80.4631,-17.4696,,-12.00814,-12.53843,,81.91518,,
1970-06,,,,,2.2,79.9701,-14.96283,,7.704421,0.8935205,,82.70421,,
1970-07,,,,,-1.0,79.9686,-19.02915,,6.434841,10.66757,,83.49323,,
1970-08,,,,,-5.4,79.1785,-20.71329,,2.937308,-0.6725159,,81.62826,,
1970-09,,,,,-11.8,78.269,-23.30579,,-10.18253,-10.26292,,79.76329,,
1970-10,,,,,-15.2,76.2837,-26.70213,,-11.23012,-13.83377,,77.89832,,
1970-11,,,,,-20.6,75.5842,-31.90191,,-10.86686,-18.3021,,79.94262,,
1970-12,,,,,-9.2,77.3376,-15.67477,,3.721092,-4.429665,,81.98691,,
1971-01,,,,,-4.2,77.7733,-18.86695,,9.309099,-0.3716223,,84.0312,,
1971-02,,,,,9.6,77.612,-5.00209,,24.89812,18.74673,,84.78436,,
1971-03,,,,,2.4,77.2533,-10.69932,,12.42634,9.299462,,85.53752,,
1971-04,,,,,9.0,77.4617,-8.722052,,18.40696,15.66768,,86.29069,,
1971-05,,,,,8.4,77.7858,-3.49156,,12.76444,17.16729,,86.97211,,
1971-06,,,,,7.6,77.7843,-1.94364,,16.96621,12.25941,,87.65355,,
1971-07,,,,,8.8,77.7198,0.001762883,,16.18437,13.57147,,88.33498,,
1971-08,,,,,7.2,76.6063,-3.673959,,16.61809,12.6912,,88.29911,,
1971-09,,,,,10.2,77.9607,3.706784,,23.1694,18.14538,,88.26324,,
1971-10,,,,,10.0,78.9213,-3.699871,,21.63444,19.07913,,88.22739,,
1971-11,,,,,4.6,79.015,-1.916713,,13.07177,17.71928,,92.10078,,
1971-12,,,,,15.2,79.5499,-2.641855,,26.11849,25.45758,,95.97417,,
1972-01,,,,,19.2,81.3641,6.114404,,27.49537,29.47942,,99.84757,,
1972-02,,,,,21.2,81.8427,6.959378,,30.76604,32.18848,,98.34126,,
1972-03,,,,,19.6,82.1985,8.298957,,30.291,26.94288,,96.83493,,
1972-04,,,,,18.6,82.8812,13.22286,,25.23143,24.42966,,95.32861,,
1972-05,,,,,22.8,82.8124,14.49753,,35.72172,33.81133,,97.69569,,
1972-06,,,,,17.2,82.8759,12.08733,,25.42483,24.94696,,100.0628,,
1972-07,,,,,20.2,82.6379,6.037729,,30.09321,30.67005,,102.4298,,
1972-08,,,,,23.4,83.5,15.36665,,30.3355,27.28339,,100.8159,,
1972-09,,,,,30.2,83.9419,15.72565,,38.63887,35.6244,,99.20201,,
1972-10,,,,,34.0,84.8748,14.29168,,41.16993,33.80811,,97.5881,,
1972-11,,,,,39.8,85.6845,22.05524,,45.45861,48.70549,,94.43199,,
1972-12,,,,,41.0,86.5679,21.38079,,39.81442,38.23655,,91.27589,,
1973-01,,,,,44.2,86.9569,33.09859,,46.21879,42.04723,,88.11979,,
1973-02,,,,,39.2,88.0723,22.9244,,36.15265,33.84862,,86.36241,,
1973-03,,,,,39.2,87.9616,26.29856,,38.23364,34.13987,,84.60504,,
1973-04,,,,,35.4,87.5448,28.1762,,33.05905,32.88187,,82.84766,,
1973-05,,,,,29.6,87.7948,23.49345,,28.60008,19.31186,,81.05443,,
1973-06,,,,,30.0,87.5181,25.11828,,22.80373,24.98203,,79.26118,,
1973-07,,,,,15.6,87.5785,16.05827,,0.7463273,3.822046,,77.46795,,
1973-08,,,,,25.4,87.0654,12.4,,18.04429,18.2832,,79.08186,,
1973-09,,,,,27.0,87.4476,11.74026,,19.28555,15.22974,,80.69578,,
1973-10,,,,,32.4,87.9726,17.27314,,30.73881,17.73979,,82.30969,,
1973-11,,,,,36.2,88.3065,20.03081,,29.17375,26.8197,,77.03757,,
1973-12,,,,,27.2,88.0708,10.40169,,17.78475,12.54242,,71.76544,,
1974-01,,,,,24.2,87.0738,12.1046,,11.17441,12.67036,,66.49332,,
1974-02,,,,,17.2,86.474,-1.112037,,9.66513,-4.233938,,70.18739,,
1974-03,,,,,23.6,86.1348,10.30717,,15.07441,8.210176,,73.88147,,
1974-04,,,,,19.8,85.5516,10.14328,,13.29108,9.162402,,77.57554,,
1974-05,,,,,11.4,85.9119,4.494704,,3.150768,2.290167,,74.81395,,
1974-06,,,,,9.4,85.6997,4.156002,,3.249504,-0.6123255,,72.05236,,
1974-07,,,,,9.6,85.4503,4.068433,,8.905464,7.252742,,69.29077,,
1974-08,,,,,5.8,84.4809,1.421972,,-0.7318041,-0.9619195,,67.5334,,
1974-09,,,,,-7.6,84.305,-10.2599,,-17.12368,-7.243187,,65.77602,,
1974-10,,,,,-14.6,83.5068,-10.74613,,-26.41707,-10.20566,,64.01865,,
1974-11,,,,,-24.2,80.8715,-20.98599,,-31.53848,-15.00332,,63.33722,,
1974-12,,,,,-38.2,77.0623,-34.58791,,-35.71092,-23.90667,,62.65579,,
1975-01,,,,,-38.6,75.3621,-39.8919,,-31.27091,-30.24946,,61.97436,,
1975-02,,,,,-31.2,73.1397,-35.16888,,-22.3431,-21.2956,,67.4258,,
1975-03,,,,,-36.8,72.0329,-36.68174,,-29.21176,-40.33347,,72.87725,,
1975-04,,,,,-25.0,71.905,-25.87459,,-17.69191,-10.76611,,78.3287,,
1975-05,,,,,-17.6,71.6918,-19.49431,,-7.206925,-1.328458,,79.36878,,
1975-06,,,,,-9.8,72.1801,-8.785459,,9.847402,6.663391,,80.40886,,
1975-07,,,,,-5.6,73.0588,-7.900431,,20.36372,14.28572,,81.44894,,
1975-08,,,,,2.8,73.6876,2.467793,,18.41634,21.97372,,81.41307,,
1975-09,,,,,8.8,74.7918,6.750482,,21.51668,26.62495,,81.3772,,
1975-10,,,,,11.0,75.035,-3.757933,,28.5835,24.97593,,81.34135,,
1975-11,,,,,9.0,74.995,-2.007617,,21.36127,19.79265,,84.56918,,
1975-12,,,,,9.8,75.9425,-2.611435,,27.01705,26.3492,,87.797,,
1976-01,,,,,17.6,76.6969,3.074131,,25.83004,29.81159,,91.02483,,
1976-02,,,,,23.0,77.6411,9.739728,,34.62587,29.8639,,90.55859,,
1976-03,,,,,16.8,77.7126,7.298828,,25.62379,26.18292,,90.09235,,
1976-04,,,,,21.2,77.9947,15.09783,,32.40015,29.7105,,89.62611,,
1976-05,,,,,17.6,78.2011,14.51576,,23.85107,21.15577,,91.92146,,
1976-06,,,,,16.4,78.0949,14.28806,,21.57511,22.77031,,94.2168,,
1976-07,,,,,11.8,78.4834,16.14873,,17.76814,13.53167,,96.51215,,
1976-08,,,,,9.0,78.7956,6.540502,,14.24925,8.812914,,95.5438,,
1976-09,,,,,7.2,78.7813,7.78691,,11.48699,7.298436,,94.57545,,
1976-10,,,,,7.0,78.5361,-0.7682043,,13.28497,11.93098,,93.6071,,
1976-11,,,,,3.4,79.3861,-1.035421,,12.21863,11.41988,,93.64297,,
1976-12,,,,,13.2,80.0024,3.35236,,19.64104,20.11528,,93.67883,,
1977-01,,,,,9.6,79.5162,-1.970486,,13.65092,14.51647,,93.7147,,
1977-02,,,,,10.0,80.7876,-0.3506586,,11.90443,-5.232486,,94.82651,,
1977-03,,,,,16.8,81.7338,7.277217,,30.22613,25.41179,,95.93832,,
1977-04,,,,,13.8,82.4131,6.080964,,19.12813,17.63917,,97.05012,,
1977-05,,,,,19.4,82.8425,12.53961,,29.10405,28.57199,,96.61974,,
1977-06,,,,,13.6,83.3256,9.376074,,15.8912,26.09649,,96.18937,,
1977-07,,,,,15.4,83.0878,12.21348,,17.44926,21.14693,,95.75899,,
1977-08,,,,,9.8,83.3142,7.615419,,17.18934,10.22481,,94.10921,,
1977-09,,,,,7.8,83.1431,0.8225113,,15.61214,10.61138,,92.45943,,
1977-10,,,,,10.8,83.052,10.207,,14.14083,14.70119,,90.80965,,
1977-11,,,,,12.2,83.0207,1.917113,,19.08356,18.63818,,90.16408,,
1977-12,,,,,19.6,83.6435,15.30974,,21.85627,27.55582,,89.51852,,
1978-01,,,,,14.8,82.1696,8.96903,,21.89923,17.65329,,90.05649,8.0,6.1
1978-02,,,,,11.8,82.2571,2.546456,,11.64013,2.049134,,90.70206,11.0,8.5
1978-03,,,,,10.0,83.4842,6.255447,,16.24879,22.14851,,84.78436,-3.0,7.5
1978-04,,,,,15.4,84.5006,11.06969,,16.27782,19.8309,,87.797,3.0,8.0
1978-05,,,,,20.4,84.6533,15.57894,,27.90642,27.1186,,89.19573,-1.0,8.9
1978-06,,,,,21.0,84.9926,18.47606,,25.64355,23.71883,,86.07549,-6.0,8.0
1978-07,,,,,24.4,84.6397,18.29507,,26.46976,29.90103,,88.65776,0.0,7.6
1978-08,,,,,20.6,84.8058,9.688434,,21.92926,30.98087,,84.35399,-9.0,10.5
1978-09,,,,,21.0,84.9454,13.84962,,24.80711,30.90183,,86.50587,-4.0,8.5
1978-10,,,,,20.2,85.2589,14.18071,,19.13406,26.66291,,85.32233,3.0,7.9
1978-11,,,,,22.6,85.7883,18.8606,,24.56425,22.547,,80.69578,-15.0,9.6
1978-12,,,,,18.8,86.1538,11.27506,,19.4355,19.53934,,71.11988,-26.0,8.3
1979-01,,,,,17.0,85.2667,14.90571,,17.27916,19.89448,,77.57554,-12.0,9.7
1979-02,,,,,16.4,85.2888,9.42509,,17.8289,11.10636,,79.51224,-19.0,11.4
1979-03,,,,,15.4,85.4557,12.22693,,16.43606,13.53769,,73.59455,-28.0,10.0
1979-04,,,,,12.4,83.8073,-2.949659,,4.947457,10.8428,,71.01228,-26.0,11.1
1979-05,,,,,8.8,84.6869,7.628241,,2.690116,4.686845,,73.27177,-26.0,12.0
1979-06,,,,,5.4,84.5523,9.589744,,-3.426768,-0.3644106,,70.7971,-30.0,12.0
1979-07,,,,,2.6,84.387,-1.614871,,-1.971799,2.07382,,64.987,-32.0,11.5
1979-08,,,,,-1.0,83.1298,-0.2440363,,-6.120502,-1.387806,,69.39837,-26.0,11.2
1979-09,,,,,-0.8,83.0261,-0.1274886,,-1.695881,-3.231655,,71.76544,-20.0,10.4
1979-10,,,,,-2.0,83.2278,7.163788,,-2.02527,1.108266,,66.8161,-20.0,9.5
1979-11,,,,,-4.0,82.7782,-5.190699,,-5.263348,4.75086,,68.10724,-21.0,11.9
1979-12,,,,,-10.4,82.8183,-11.75884,,-9.341331,-2.170671,,65.63257,-19.0,11.7
1980-01,,,,,-7.6,83.0159,-7.342513,,-3.301193,-0.7361807,,72.08823,-18.0,13.8
1980-02,,,,,0.4,82.7584,-8.688445,,4.265357,-5.608101,,71.98064,-6.0,11.2
1980-03,,,,,-12.8,81.8788,-12.32991,,-13.34072,-10.12166,,60.79082,-28.0,12.7
1980-04,,,,,-25.2,80.0556,-15.80561,,-42.56199,-28.56915,,56.70223,-32.0,12.0
