country,EU27_2020,EU27_2020
1999-02,-10.9,-4.0
1999-03,-11.2,-5.3
1999-04,-10.5,-6.4
1999-05,-9.9,-6.6
1999-06,-8.1,-5.9
1999-07,-6.3,-5.4
1999-08,-5.2,-4.8
1999-09,-3.1,-4.6
1999-10,-1.1,-2.9
1999-11,0.3,-2.7
1999-12,1.2,-2.7
2000-01,1.6,-1.8
2000-02,3.3,-2.1
2000-03,4.8,-1.9
2000-04,5.3,-2.4
2000-05,6.1,-1.9
2000-06,6.3,-3.2
2000-07,6.1,-2.4
2000-08,5.9,-2.0
2000-09,5.8,-4.9
2000-10,5.0,-3.8
2000-11,4.4,-3.0
2000-12,3.0,-2.8
2001-01,1.6,-2.7
2001-02,-0.8,-3.7
2001-03,-3.1,-3.7
2001-04,-5.7,-4.9
2001-05,-6.7,-6.0
2001-06,-8.1,-6.8
2001-07,-8.0,-6.7
2001-08,-8.8,-7.6
2001-09,-12.7,-8.3
2001-10,-14.7,-8.1
2001-11,-15.0,-8.4
2001-12,-12.1,-7.5
2002-01,-12.3,-6.9
2002-02,-10.6,-7.0
2002-03,-8.7,-7.0
2002-04,-8.5,-8.6
2002-05,-7.0,-8.2
2002-06,-7.5,-9.5
2002-07,-8.3,-9.1
2002-08,-8.8,-10.3
2002-09,-7.9,-10.2
2002-10,-8.7,-10.9
2002-11,-8.8,-12.3
2002-12,-9.3,-13.6
2003-01,-9.4,-13.9
2003-02,-8.7,-14.5
2003-03,-10.0,-15.5
2003-04,-10.2,-14.6
2003-05,-10.9,-13.9
2003-06,-11.5,-13.1
2003-07,-11.4,-12.6
2003-08,-8.9,-13.2
2003-09,-8.4,-12.8
2003-10,-7.1,-12.7
2003-11,-5.1,-12.0
2003-12,-6.2,-12.3
2004-01,-5.7,-12.3
2004-02,-5.2,-11.5
2004-03,-4.7,-11.6
2004-04,-3.0,-12.1
2004-05,-2.6,-12.1
2004-06,-2.3,-11.8
2004-07,-2.5,-11.7
2004-08,-2.9,-11.4
2004-09,-2.6,-11.0
2004-10,-2.8,-10.7
2004-11,-3.6,-11.2
2004-12,-3.7,-10.7
2005-01,-4.4,-10.0
2005-02,-4.9,-9.9
2005-03,-6.3,-10.0
2005-04,-7.6,-10.8
2005-05,-7.7,-12.1
2005-06,-7.7,-12.4
2005-07,-6.2,-12.5
2005-08,-5.1,-11.6
2005-09,-4.3,-12.0
2005-10,-2.9,-11.4
2005-11,-3.0,-11.5
2005-12,-1.9,-9.8
2006-01,-1.0,-8.5
2006-02,0.5,-8.9
2006-03,1.3,-8.8
2006-04,2.7,-8.4
2006-05,3.0,-8.7
2006-06,4.1,-9.5
2006-07,4.4,-8.7
2006-08,4.1,-8.7
2006-09,5.6,-8.3
2006-10,6.1,-8.1
2006-11,6.8,-7.8
2006-12,6.9,-6.4
2007-01,6.2,-7.4
2007-02,6.5,-6.4
2007-03,6.4,-6.3
2007-04,6.4,-6.2
2007-05,6.2,-5.1
2007-06,5.9,-5.7
2007-07,5.4,-5.4
2007-08,4.8,-7.1
2007-09,4.3,-8.5
2007-10,4.1,-8.5
2007-11,5.2,-10.8
2007-12,4.7,-10.8
2008-01,3.6,-12.8
2008-02,2.1,-12.9
2008-03,1.5,-13.1
2008-04,-0.7,-13.8
2008-05,-2.2,-15.0
2008-06,-4.8,-18.4
2008-07,-7.0,-20.2
2008-08,-9.7,-18.3
2008-09,-12.1,-16.9
2008-10,-17.7,-19.4
2008-11,-24.7,-19.3
2008-12,-31.1,-20.4
2009-01,-31.0,-20.3
2009-02,-33.5,-21.5
2009-03,-34.8,-21.7
2009-04,-31.8,-19.6
2009-05,-29.5,-17.9
2009-06,-27.3,-16.8
2009-07,-24.8,-15.4
2009-08,-22.0,-13.9
2009-09,-20.2,-12.4
2009-10,-17.7,-11.4
2009-11,-16.1,-11.3
2009-12,-14.3,-10.9
2010-01,-12.9,-11.6
2010-02,-11.4,-13.1
2010-03,-8.8,-13.4
2010-04,-6.8,-12.4
2010-05,-5.5,-15.4
2010-06,-4.5,-16.2
2010-07,-2.9,-14.2
2010-08,-1.8,-12.1
2010-09,-0.8,-11.9
2010-10,-0.2,-12.3
2010-11,0.3,-11.2
2010-12,1.8,-12.3
2011-01,2.4,-13.0
2011-02,2.4,-12.5
2011-03,2.6,-13.7
2011-04,2.4,-14.8
2011-05,1.4,-14.5
2011-06,0.6,-14.1
2011-07,-1.2,-14.0
2011-08,-3.1,-16.4
2011-09,-5.2,-17.0
2011-10,-5.4,-18.0
2011-11,-6.7,-17.4
2011-12,-7.4,-18.4
2012-01,-7.3,-18.4
2012-02,-7.3,-17.6
2012-03,-7.5,-16.8
2012-04,-7.7,-17.8
2012-05,-9.1,-18.1
2012-06,-9.8,-18.1
2012-07,-10.9,-18.1
2012-08,-11.8,-18.8
2012-09,-11.9,-20.3
2012-10,-14.3,-19.9
2012-11,-12.7,-20.0
2012-12,-11.7,-20.7
2013-01,-11.7,-19.0
2013-02,-9.9,-18.5
2013-03,-10.2,-18.6
2013-04,-10.9,-18.0
2013-05,-10.2,-18.7
2013-06,-8.8,-17.7
2013-07,-8.4,-16.7
2013-08,-6.4,-15.4
2013-09,-5.3,-13.7
2013-10,-4.3,-14.2
2013-11,-3.8,-13.4
2013-12,-3.5,-13.0
2014-01,-3.1,-12.1
2014-02,-3.0,-11.9
2014-03,-2.7,-10.8
2014-04,-2.4,-11.0
2014-05,-3.3,-10.4
2014-06,-4.3,-10.4
2014-07,-3.7,-10.3
2014-08,-4.5,-11.5
2014-09,-5.0,-12.0
2014-10,-4.8,-11.3
2014-11,-3.9,-11.4
2014-12,-4.7,-10.7
2015-01,-4.0,-9.4
2015-02,-3.0,-7.3
2015-03,-1.7,-6.1
2015-04,-2.0,-6.3
2015-05,-2.0,-7.1
2015-06,-2.1,-7.6
2015-07,-1.9,-8.5
2015-08,-2.2,-7.7
2015-09,-1.6,-7.7
2015-10,-1.8,-7.2
2015-11,-2.2,-6.5
2015-12,-1.9,-5.8
2016-01,-1.9,-6.1
2016-02,-2.4,-7.0
2016-03,-2.0,-7.9
2016-04,-2.2,-7.6
2016-05,-2.7,-7.9
2016-06,-2.2,-7.5
2016-07,-2.3,-7.9
2016-08,-2.6,-7.9
2016-09,-1.1,-7.7
2016-10,-0.4,-6.7
2016-11,-0.1,-6.0
2016-12,1.3,-5.7
2017-01,1.8,-5.2
2017-02,2.8,-6.5
2017-03,2.6,-5.6
2017-04,3.8,-5.4
2017-05,3.7,-5.3
2017-06,4.8,-4.5
2017-07,5.7,-4.2
2017-08,5.6,-4.1
2017-09,7.2,-3.7
2017-10,8.1,-2.9
2017-11,8.3,-2.6
2017-12,8.5,-2.1
2018-01,8.7,-2.2
2018-02,7.8,-3.0
2018-03,6.6,-3.6
2018-04,7.5,-3.6
2018-05,6.0,-4.6
2018-06,6.1,-4.6
2018-07,5.3,-4.5
2018-08,4.9,-4.9
2018-09,4.8,-5.3
2018-10,4.1,-4.7
2018-11,4.2,-5.2
2018-12,2.8,-6.5
2019-01,0.7,-5.9
2019-02,-0.1,-5.8
2019-03,-1.3,-5.4
2019-04,-3.4,-6.2
2019-05,-3.2,-5.7
2019-06,-5.5,-6.0
2019-07,-6.7,-5.5
2019-08,-5.9,-6.4
2019-09,-7.5,-6.0
2019-10,-7.6,-6.4
2019-11,-7.0,-5.8
2019-12,-7.3,-6.6
2020-01,-5.2,-6.4
2020-02,-4.4,-5.6
2020-03,-10.4,-11.0
2020-04,-36.4,-25.0
2020-05,-30.0,-21.3
2020-06,-21.6,-15.5
2020-07,-14.4,-15.1
2020-08,-11.0,-14.9
2020-09,-8.4,-13.8
2020-10,-6.1,-15.2
2020-11,-7.2,-17.4
2020-12,-3.6,-13.1
2021-01,-2.4,-14.5
2021-02,0.3,-13.6
2021-03,3.1,-10.8
2021-04,5.7,-10.9
2021-05,7.2,-6.5
2021-06,9.1,-3.4
2021-07,11.8,-4.9
2021-08,11.7,-6.3
2021-09,12.2,-4.8
2021-10,12.9,-6.2
2021-11,12.5,-9.3
2021-12,12.9,-10.3
2022-01,11.8,-10.9
2022-02,12.2,-10.7
2022-03,6.7,-22.5
2022-04,6.0,-23.1
2022-05,4.9,-22.6
2022-06,5.0,-24.9
2022-07,2.4,-28.0
2022-08,1.2,-26.2
2022-09,-0.4,-29.8
2022-10,-1.5,-28.8
2022-11,-2.0,-25.1
2022-12,-1.6,-23.5
2023-01,-0.4,-22.0
2023-02,-1.1,-20.6
2023-03,-2.1,-20.6
2023-04,-4.0,-18.8
2023-05,-6.0,-18.3
2023-06,-8.0,-17.2
2023-07,-9.5,-16.1
2023-08,-9.8,-17.0
