country,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT
1988-04,,,,,,,,,,,,4.4,8.5,0.4,-1.9,15.5,5.4,24.1,-10.4,,,,,,,-1.5,-1.1,19.3
1988-05,,,,,,,,,,,,3.9,8.3,-0.7,-1.9,12.9,4.1,20.4,-8.7,,,,,,,-1.1,0.1,22.5
1988-06,,,,,,,,,,,,3.5,8.1,1.7,-2.9,15.2,6.2,22.0,-5.7,,,,,,,-3.2,-2.1,22.4
1988-07,,,,,,,,,,,,-0.2,6.2,2.8,-6.9,9.3,-1.1,25.2,-2.9,,,,,,,-0.8,-0.7,31.2
1988-08,,,,,,,,,,,,3.2,5.9,-1.7,-1.9,9.9,3.8,20.9,-1.6,,,,,,,-3.0,-3.5,37.6
1988-09,,,,,,,,,,,,2.5,6.0,0.1,-5.9,13.5,2.0,24.4,-2.1,,,,,,,-4.9,-6.9,35.8
1988-10,,,,,,,,,,,,3.3,3.1,1.6,-1.9,13.3,-0.6,22.3,0.0,,,,,,,-1.6,-1.7,29.0
1988-11,,,,,,,,,,,,4.4,3.0,1.9,-3.9,19.1,4.7,24.5,-0.2,,,,,,,-1.0,-2.6,27.0
1988-12,,,,,,,,,,,,4.2,3.2,1.6,-5.9,20.0,2.3,26.3,-0.6,,,,,,,-0.5,-5.2,36.1
1989-01,23.4,16.0,36.0,-4.1,51.5,26.9,1.5,5.1,7.5,11.0,12.9,5.7,3.7,-3.6,-2.9,16.3,2.1,26.7,1.5,,,,,,,-1.6,-6.5,34.7
1989-02,18.4,6.3,24.7,-12.1,49.5,25.0,12.0,7.3,7.5,14.8,15.1,3.4,3.5,0.5,-3.9,14.6,4.2,17.1,-3.0,,,,,,,-0.7,-3.9,31.1
1989-03,21.4,14.1,28.3,-0.1,49.5,31.7,3.4,6.8,7.3,12.7,14.5,2.8,3.4,2.6,-2.9,14.0,1.7,20.4,-2.9,,,,,,,-0.3,-5.0,34.3
1989-04,19.4,17.9,31.8,3.9,63.5,20.1,4.4,2.2,2.2,10.7,17.9,1.7,8.6,1.4,-4.9,11.5,3.0,19.1,-4.9,,,,,,,-2.2,-5.9,39.9
1989-05,22.4,3.6,26.3,-19.1,47.5,25.9,1.7,3.3,2.0,3.0,17.8,3.2,8.3,1.3,0.1,10.8,2.5,23.3,-3.8,,,,,,,-4.9,-5.7,31.8
1989-06,24.4,3.3,24.7,-18.1,34.5,18.4,-3.7,-0.6,1.7,9.0,16.6,-1.5,8.1,3.8,-8.9,8.1,-0.8,21.0,-2.8,,,,,,,-0.8,-5.2,34.5
1989-07,28.4,-1.0,17.2,-19.1,51.5,25.5,4.9,2.2,4.8,8.0,23.9,1.4,6.2,1.8,-6.9,13.1,4.2,27.3,-3.8,,,,,,,-3.8,-9.1,39.7
1989-08,1.4,-4.9,6.3,-16.1,49.5,19.6,-3.0,-2.0,4.5,2.1,22.5,-1.8,5.9,10.3,-9.9,14.8,-2.1,27.9,-1.3,,,,,,,-5.3,-9.1,34.0
1989-09,-1.6,-8.9,7.3,-25.1,49.5,23.7,-3.4,-1.6,4.2,3.5,25.2,0.9,6.0,6.0,-3.9,12.6,3.8,23.4,-3.9,,,,,,,-3.2,-4.9,33.1
1989-10,11.4,-0.9,16.2,-18.1,60.5,39.1,3.0,6.3,3.7,7.3,23.1,-0.1,6.1,5.5,-4.9,10.3,2.8,20.4,-4.7,,,,,,,-3.3,-3.9,32.0
1989-11,9.4,-12.6,7.9,-33.1,41.5,26.5,7.0,4.1,0.5,5.4,21.2,-0.5,6.0,9.9,-2.9,11.2,1.2,23.5,-6.7,,,,,,,-1.1,-1.7,32.2
1989-12,-4.6,0.9,21.8,-20.1,46.5,31.3,2.2,3.6,0.1,14.9,22.8,-1.5,6.2,5.6,-11.9,13.0,0.9,22.3,-5.2,,,,,,,-1.9,-2.6,26.9
1990-01,-7.6,-2.0,12.1,-16.1,50.5,32.0,7.3,5.5,4.5,13.1,22.9,-4.0,7.7,9.4,-15.9,13.4,1.7,16.7,-17.0,,,,,,,0.2,-4.2,30.3
1990-02,0.4,2.8,18.7,-13.1,50.5,32.0,1.8,3.2,4.6,12.0,24.1,-2.9,7.5,7.5,-14.9,13.8,0.5,21.0,-18.5,,,,,,,1.4,-1.4,25.7
1990-03,5.4,-7.9,11.3,-27.1,45.5,29.8,12.6,5.6,4.4,8.8,25.5,-1.5,7.4,9.6,-9.9,15.1,2.7,18.3,-18.5,,,,,,,0.7,0.4,25.6
1990-04,-0.6,-3.6,12.9,-20.1,34.5,32.0,5.6,3.9,4.1,14.8,25.9,-1.3,2.6,8.4,-9.9,14.5,2.7,17.1,-19.5,,,,,,,3.3,3.6,24.2
1990-05,5.4,-6.4,10.3,-23.1,29.5,28.0,2.5,3.2,3.8,11.7,20.8,-4.2,2.4,12.3,-11.9,11.7,-1.6,14.3,-21.0,,,,,,,5.0,5.8,24.1
1990-06,-0.6,-11.7,7.8,-31.1,36.5,36.2,13.9,8.2,3.6,13.1,25.6,-3.9,2.2,14.8,-9.9,13.0,3.4,15.0,-19.4,,,,,,,5.1,7.7,27.3
1990-07,-10.6,-11.0,14.1,-36.1,28.5,27.5,3.0,1.9,3.6,7.9,24.9,-5.0,2.2,12.8,-12.9,10.8,-1.0,10.5,-17.8,,,,,,,5.0,5.1,28.8
1990-08,-3.6,-20.0,8.1,-48.1,29.5,29.4,9.4,4.4,3.4,10.8,25.5,-3.8,1.9,14.3,-11.9,14.7,-1.1,15.0,-16.7,,,,,,,3.3,3.1,39.0
1990-09,-3.6,-14.4,12.2,-41.1,36.5,28.7,6.0,5.5,3.1,9.2,18.2,-2.8,2.1,9.0,-12.9,13.6,-0.2,24.5,-16.9,,,,,,,-2.1,-6.3,41.8
1990-10,1.4,-26.0,-1.8,-50.1,41.5,25.0,1.9,1.6,5.8,2.2,22.1,-5.1,2.1,12.5,-9.9,7.2,-1.5,30.5,-16.9,,,,,,,0.1,-3.5,41.6
1990-11,-8.6,-10.1,18.9,-39.1,44.5,25.5,0.2,1.5,6.4,10.3,21.2,-1.2,2.0,5.9,-7.9,10.3,0.1,27.6,-13.6,,,,,,,1.1,-0.2,34.3
1990-12,-9.6,-14.6,15.0,-44.1,29.5,30.5,4.2,4.6,6.0,4.3,20.8,-1.8,2.2,5.6,-12.9,13.2,-4.4,25.4,-14.6,,,,,,,5.9,6.6,34.4
1991-01,-0.6,-15.0,8.2,-38.1,56.5,25.1,0.4,2.5,0.6,7.2,17.9,-3.9,1.7,11.4,-13.9,13.6,1.6,25.7,-21.6,,,,,,,3.3,-1.7,39.5
1991-02,2.4,-17.7,10.7,-46.1,52.5,21.0,-3.4,-0.5,0.5,1.3,19.1,-9.8,1.4,11.5,-18.9,0.9,-3.1,16.9,-16.0,,,,,,,2.3,1.0,38.4
1991-03,6.4,-12.4,8.3,-33.1,48.5,31.1,-4.7,3.0,0.3,7.9,17.5,-5.1,1.4,7.6,-17.9,10.2,-4.4,17.1,-16.3,,,,,,,5.0,11.0,31.4
1991-04,14.4,-21.0,9.1,-51.1,11.5,29.0,2.9,5.0,4.2,8.2,16.9,-7.6,-1.4,11.3,-20.9,9.5,-4.0,16.0,-13.5,,,,,,,5.2,10.3,32.9
1991-05,-1.6,-18.4,6.3,-43.1,11.5,31.0,4.2,7.4,4.0,11.5,12.8,-6.2,-1.6,8.4,-18.9,8.5,-2.5,11.1,-19.2,,,,,,,5.2,11.3,34.8
1991-06,13.4,-17.7,3.8,-39.1,8.5,22.1,-0.1,2.8,3.7,8.3,13.6,-5.0,-1.8,3.8,-17.9,6.8,-4.6,15.9,-18.8,,,,,,,3.4,9.4,27.6
1991-07,-4.6,-24.0,5.1,-53.1,14.5,28.4,-1.0,3.5,0.8,10.8,16.9,-8.4,-0.8,7.8,-21.9,4.5,-3.9,12.5,-24.3,,,,,,,5.5,11.9,29.3
1991-08,3.4,-20.1,-6.1,-34.1,19.5,29.3,-2.0,3.9,0.5,10.5,15.5,-5.2,-1.1,2.4,-22.9,9.7,-7.4,14.0,-26.8,,,,,,,3.7,10.8,32.4
1991-09,4.4,-17.5,5.1,-40.1,20.5,24.6,4.4,5.2,0.2,8.9,13.2,-3.4,-0.9,2.9,-17.9,10.7,-3.9,11.6,-22.7,,,,,,,4.2,8.9,34.7
1991-10,-12.6,-25.0,-7.0,-43.1,33.5,25.9,1.6,3.8,0.8,13.8,16.1,-2.8,-6.9,2.6,-15.9,10.1,-2.9,10.7,-25.4,,,,,,,4.9,11.2,30.4
1991-11,-17.6,-24.1,-1.1,-47.1,32.5,23.4,8.5,5.9,1.5,9.2,14.1,-1.5,-7.0,-0.1,-16.9,12.4,-5.6,14.8,-24.8,,,,,,,6.7,11.2,32.1
1991-12,-2.6,-20.5,-7.8,-33.1,19.5,21.6,1.1,3.6,1.2,4.4,11.8,-5.4,-6.8,1.5,-20.9,6.3,-4.3,14.6,-26.6,,,,,,,4.7,8.8,33.3
1992-01,-10.6,-22.4,-6.8,-38.1,41.5,21.2,9.5,5.2,0.5,7.5,14.9,-6.5,-7.3,0.4,-22.9,3.8,-5.0,18.8,-27.0,,,,,,,5.1,7.1,31.4
1992-02,-17.6,-19.6,-3.2,-36.1,36.5,20.9,-2.3,1.8,0.4,1.3,13.1,-6.2,-7.6,4.5,-19.9,5.9,-3.4,15.8,-22.5,,,,,,,0.9,2.7,42.6
1992-03,-6.6,-27.4,-12.7,-42.1,26.5,21.4,1.7,3.9,0.0,6.0,11.5,-6.1,-7.6,2.5,-22.9,7.3,-6.0,15.9,-18.9,,,,,,,-1.9,-5.6,40.6
1992-04,-4.6,-23.4,-3.8,-43.1,28.5,20.9,1.4,3.1,-1.0,-1.5,12.9,-4.9,-10.4,0.3,-21.9,7.5,-4.4,10.8,-19.6,,,,,,,-1.7,-6.8,38.4
1992-05,-17.6,-26.3,-2.6,-50.1,19.5,23.1,-9.3,0.7,-1.2,0.3,11.8,-6.3,-10.6,1.4,-21.9,4.4,-7.1,10.8,-16.1,,,,,,,0.7,-7.0,46.8
1992-06,-12.6,-26.7,-7.3,-46.1,14.5,19.0,-5.0,0.8,-1.3,1.6,11.6,-10.7,-10.8,0.9,-28.9,-2.4,-12.2,9.7,-22.9,,,,,,,-1.1,-4.6,44.8
1992-07,-12.6,-38.0,-27.9,-48.1,-11.5,14.4,-4.2,-1.2,-3.1,-0.2,13.9,-11.9,-9.8,9.8,-28.9,3.1,-6.4,7.5,-20.6,,,,,,,-2.0,-3.7,44.9
1992-08,-9.6,-31.3,-15.4,-47.1,-16.5,14.2,-6.6,-0.6,-3.4,-0.7,9.5,-10.8,-10.1,6.4,-26.9,0.8,-14.2,4.0,-28.8,,,,,,,-2.7,-5.6,46.4
1992-09,-20.6,-36.0,-19.0,-53.1,2.5,20.5,-6.0,0.4,-3.9,3.7,13.2,-13.6,-9.9,11.9,-31.9,2.9,-8.8,1.6,-22.3,,,,,,,-2.1,-3.5,40.7
1992-10,-14.6,-24.7,-13.2,-36.1,-1.5,11.7,-8.7,-4.4,-5.8,-0.4,16.1,-13.5,-14.0,10.6,-35.9,6.0,-17.6,0.9,-42.5,,,,,,,-6.8,-8.1,34.3
1992-11,-10.6,-40.6,-23.0,-58.1,-9.5,11.3,-10.8,-5.2,-5.4,-1.8,16.1,-16.8,-14.0,8.9,-35.9,-5.5,-14.5,-0.9,-41.4,,,,,,,-6.2,-9.9,41.1
1992-12,-11.6,-38.4,-25.6,-51.1,-3.5,9.8,-11.9,-7.3,-5.7,-4.5,19.8,-17.6,-13.8,12.4,-35.9,-4.5,-15.4,3.8,-46.7,,,,,,,-5.5,-13.1,39.1
1993-01,-5.6,-39.4,-22.7,-56.1,-8.5,14.2,-13.8,-5.5,-9.8,0.8,16.9,-24.8,-18.3,18.4,-46.9,-9.0,-20.9,5.0,-53.8,,,,,,,-9.4,-14.2,34.5
1993-02,-19.6,-49.1,-34.1,-64.1,-17.5,13.8,-7.3,-3.9,-10.1,0.0,18.1,-21.6,-18.6,13.6,-44.9,-6.1,-16.3,2.7,-50.4,,,,,,,-12.7,-17.8,32.3
1993-03,-18.6,-40.4,-21.7,-59.1,-18.5,2.8,-17.9,-11.5,-10.6,-10.9,19.5,-25.0,-18.6,16.5,-47.9,-10.6,-21.6,0.8,-54.7,,,,,,,-15.4,-24.6,42.3
1993-04,-1.6,-39.3,-19.5,-59.1,-21.5,6.9,-26.1,-11.7,-7.1,-13.5,15.9,-23.2,-24.4,13.3,-47.9,-8.4,-19.3,1.7,-54.0,,,,,,,-14.8,-21.3,36.3
1993-05,0.4,-38.8,-21.4,-56.1,-15.5,3.3,-21.3,-12.9,-7.2,-9.9,20.7,-24.4,-24.6,17.4,-45.9,-9.8,-21.0,0.5,-47.6,,,,,,,-16.6,-26.1,36.4
1993-06,-12.6,-47.1,-31.2,-63.1,-14.5,3.9,-23.2,-12.0,-7.4,-14.3,16.6,-27.2,-24.8,20.9,-48.9,-11.7,-20.4,-1.4,-47.7,,,,,,,-18.4,-26.1,38.0
1993-07,-21.6,-48.1,-31.1,-65.1,-6.5,3.3,-21.6,-12.7,-6.7,-13.3,19.9,-27.0,-20.8,19.9,-50.9,-10.2,-19.5,-5.6,-47.4,,,,,,,-20.0,-27.9,33.5
1993-08,-11.6,-49.5,-33.8,-65.1,-18.5,8.1,-15.2,-7.2,-6.9,-12.9,14.5,-21.8,-21.1,12.4,-45.9,-7.1,-21.6,6.0,-45.8,,,,,,,-19.8,-26.1,28.0
1993-09,-31.6,-48.6,-30.1,-67.1,-10.5,10.6,-11.9,-7.8,-7.0,-9.2,22.2,-22.5,-20.9,14.8,-46.9,-5.8,-16.5,1.6,-48.8,,,,,,,-18.5,-25.8,36.7
1993-10,-18.6,-41.2,-19.4,-63.1,-18.5,6.6,-20.0,-9.5,-15.8,-15.5,15.1,-19.5,-22.0,9.6,-43.9,-5.0,-16.6,-1.0,-40.8,,,,,,,-20.7,-30.8,38.1
1993-11,-25.6,-40.5,-21.0,-60.1,-2.5,9.2,-20.9,-7.6,-16.0,-11.6,11.1,-14.0,-22.0,5.8,-36.9,0.7,-14.2,1.3,-32.7,,,,,,,-20.0,-26.9,38.5
1993-12,-31.6,-39.8,-19.5,-60.1,4.5,7.9,-13.7,-5.5,-16.5,-9.5,10.8,-13.2,-21.8,3.4,-33.9,-2.3,-11.6,7.0,-25.2,,,,,,,-12.9,-19.0,34.4
1994-01,-31.6,-47.9,-24.7,-71.1,-3.5,10.4,-21.9,-5.8,-10.2,-12.5,5.9,-15.1,-16.3,8.5,-33.9,-2.9,-13.7,13.3,-14.2,,,,,,,-19.4,-25.0,34.4
1994-02,-12.6,-38.6,-11.0,-66.1,-3.5,16.8,-15.8,-3.0,-10.4,-4.9,10.1,-9.9,-16.6,1.6,-27.9,-0.2,-9.3,18.7,-12.7,,,,,,,-17.1,-22.6,33.8
1994-03,-13.6,-40.4,-17.7,-63.1,-0.5,12.0,-13.6,-4.4,-10.6,-5.8,11.5,-5.6,-16.6,0.5,-18.9,2.5,-5.9,15.7,-5.4,,,,,,,-13.3,-18.5,34.2
1994-04,-10.6,-48.1,-29.2,-67.1,4.5,20.0,-5.2,2.3,-11.4,13.4,7.9,-5.5,-5.4,3.3,-19.9,6.7,-3.9,10.6,1.3,,,,,,,-16.8,-22.0,39.2
1994-05,-26.6,-51.1,-26.2,-76.1,-10.5,21.4,-1.6,3.7,-11.6,6.8,8.7,-4.8,-5.6,1.4,-20.9,8.0,-5.7,13.2,7.7,,,,,,,-13.7,-19.7,28.5
1994-06,-16.6,-45.1,-20.2,-70.1,-10.5,30.9,-2.2,5.0,-11.8,6.0,13.7,-1.4,-5.8,1.0,-13.9,10.8,0.0,16.5,12.8,,,,,,,-16.1,-23.0,27.7
1994-07,-17.6,-43.2,-25.3,-61.1,-12.5,33.4,2.7,7.6,-5.0,9.8,13.1,1.2,-2.8,1.0,-10.9,15.4,-3.7,20.2,11.2,,,,,,,-17.7,-21.0,16.2
1994-08,-18.6,-39.7,-11.2,-68.1,-10.5,31.1,0.2,6.2,-4.8,8.0,12.6,-1.1,-3.1,4.4,-13.9,14.9,4.6,15.9,8.9,,,,,,,-14.7,-20.7,23.0
1994-09,-5.6,-44.1,-17.2,-71.1,-8.5,30.9,-3.6,7.0,-4.7,8.4,6.4,1.3,-2.9,1.8,-7.9,13.5,-1.6,17.5,8.1,,,,,,,-16.7,-22.7,21.8
1994-10,-13.6,-36.8,-10.5,-63.1,-5.5,27.5,4.4,7.9,-11.2,10.7,8.3,8.9,2.0,-10.4,-1.9,18.2,2.6,21.0,12.4,,,,,,,-15.1,-17.7,24.5
1994-11,-16.6,-37.0,-10.9,-63.1,-5.5,25.1,-2.8,4.3,-11.4,3.8,9.3,5.4,2.0,-6.2,-2.9,13.0,2.5,24.4,16.3,,,,,,,-14.9,-23.1,25.3
1994-12,-14.6,-39.2,-18.3,-60.1,-2.5,27.0,-1.9,6.1,-11.8,1.7,6.9,1.2,2.2,-1.7,-5.9,7.8,-0.1,25.3,14.6,,,,,,,-12.0,-16.5,23.0
1995-01,-15.6,-44.4,-20.6,-68.1,-9.5,26.6,5.0,8.5,-4.9,7.5,6.0,1.2,-0.3,-6.5,-9.9,7.1,-1.7,23.7,15.0,,,,,,,-15.5,-20.3,22.9
1995-02,-10.6,-36.5,-8.9,-64.1,-2.5,25.0,-2.9,3.9,-5.0,3.8,10.3,0.7,-0.6,1.7,-7.9,11.7,-2.3,22.9,4.0,,,,,,,-14.5,-18.4,25.0
1995-03,-7.6,-34.4,-10.7,-58.1,4.5,22.1,-0.1,4.8,-5.0,6.6,7.7,-2.6,-0.6,4.5,-9.9,6.5,-0.1,14.7,6.1,,,,,,,-17.1,-21.1,21.4
1995-04,3.4,-30.0,-6.9,-53.1,-2.5,24.1,2.5,4.5,-6.7,3.7,13.0,-4.5,-2.4,4.2,-12.9,3.8,-6.3,16.4,9.4,,,,,,,-17.9,-19.9,24.2
1995-05,-8.6,-31.6,-5.0,-58.1,-6.5,19.7,6.3,4.4,-6.8,6.9,12.8,-4.2,-2.6,3.4,-15.9,6.8,-2.3,12.8,3.8,,,,,,,-16.2,-20.6,27.4
1995-06,-3.6,-31.6,-5.2,-58.1,-9.5,26.9,-0.5,3.6,-7.0,2.8,15.7,-3.2,-2.8,4.0,-12.9,7.4,-5.2,10.3,2.4,,,,,,,-16.5,-19.2,28.1
1995-07,1.4,-31.4,-7.7,-55.1,-5.5,20.4,-3.3,3.3,-11.3,4.6,7.1,-0.3,-2.8,1.0,-7.9,8.1,-1.7,10.1,6.7,,,,,,,-13.5,-18.3,28.5
1995-08,-3.6,-29.4,-4.6,-54.1,-13.5,19.2,-4.7,2.3,-11.6,4.7,7.7,-2.4,-3.0,3.5,-10.9,7.1,-6.1,6.9,1.3,,,,,,,-13.0,-14.6,25.7
1995-09,-18.6,-37.2,-15.4,-59.1,-15.5,18.1,-5.1,1.6,-11.8,5.7,8.4,-3.0,-2.9,3.8,-10.9,5.9,-5.5,5.4,-3.4,,,,,,,-11.4,-11.3,19.2
1995-10,2.4,-30.8,-9.5,-52.1,-7.5,20.2,-0.6,3.1,0.0,1.5,10.3,-5.0,-2.0,6.6,-12.9,4.4,-4.6,9.0,-4.1,,,,,,,-6.1,0.2,13.9
1995-11,-5.6,-32.9,-6.7,-59.1,-8.5,26.9,-5.8,3.6,0.0,5.7,10.3,-7.8,-2.0,8.7,-19.9,5.3,-7.9,5.5,-12.2,,,,,,,-7.9,2.5,10.6
1995-12,-10.6,-29.1,-7.2,-51.1,-6.5,23.0,-4.9,2.0,0.0,4.5,11.9,-9.7,-1.8,12.2,-24.9,7.9,-8.7,5.7,-17.3,,,,,,,-5.2,2.0,12.9
1996-01,-1.6,-23.4,5.3,-52.1,-5.5,17.6,-10.8,-2.1,-4.5,1.1,13.0,-11.8,-7.3,13.5,-23.9,1.9,-7.0,2.1,-17.5,,,,,,,-5.9,0.3,12.0
1996-02,-3.6,-21.9,0.3,-44.1,-2.5,23.0,-1.9,4.3,-4.5,2.1,8.3,-10.0,-7.6,10.7,-23.9,4.5,-6.2,5.2,-11.2,,,,,,,-10.6,-7.3,20.4
1996-03,-12.6,-22.3,3.4,-48.1,-6.5,22.1,-2.2,3.4,-4.6,3.9,9.7,-11.3,-7.6,11.4,-22.9,0.4,-6.9,1.6,-10.9,,,,,,,-13.6,-10.7,17.1
1996-04,3.4,-18.9,4.3,-42.1,-7.5,19.1,-6.2,0.9,-12.1,2.7,10.0,-9.8,-5.4,12.2,-21.9,4.8,-8.9,2.3,-11.8,,,,,,,-11.9,-13.2,22.0
1996-05,1.4,-26.0,-4.8,-47.1,-4.5,23.7,-3.8,3.0,-12.6,6.7,10.8,-8.9,-5.7,8.4,-19.9,1.6,-4.7,6.5,-13.7,,,,,,,-15.3,-15.4,27.6
1996-06,4.4,-16.1,3.8,-36.1,2.5,18.1,-1.8,3.8,-13.1,5.4,4.7,-3.0,-5.8,4.1,-14.9,10.0,-6.2,5.1,-7.4,,,,,,,-15.6,-16.6,27.5
1996-07,4.4,-15.1,6.0,-36.1,2.5,24.5,-0.2,6.0,-12.6,7.6,6.2,-6.4,-7.8,7.1,-13.9,1.8,-4.8,4.9,-5.2,,,,,,,-16.2,-16.6,21.6
1996-08,6.4,-6.5,9.0,-22.1,0.5,26.2,2.2,7.6,-13.0,13.5,5.7,-6.0,-8.0,4.5,-17.9,4.3,-6.2,1.8,-11.3,,,,,,,-15.9,-17.7,32.8
1996-09,6.4,-13.4,0.3,-27.1,-6.5,23.4,2.2,5.7,-13.5,5.1,8.4,-6.8,-7.9,5.8,-14.9,0.2,-8.5,8.2,-9.2,,,,,,,-12.4,-17.8,24.6
1996-10,8.4,-15.3,4.4,-35.1,-4.5,27.0,3.8,7.8,-3.9,12.3,7.3,-0.9,-4.0,0.5,-11.9,9.8,0.4,3.1,-11.3,,,,,,,-12.8,-17.6,21.9
1996-11,10.4,-14.4,3.4,-32.1,-1.5,26.8,8.1,6.9,-3.6,7.7,14.3,-3.7,-4.0,3.6,-12.9,5.6,-6.8,4.7,-5.8,,,,,,,-15.5,-17.1,24.1
1996-12,10.4,-15.1,1.8,-32.1,-1.5,25.0,9.0,6.7,-3.4,11.2,13.9,-1.4,-3.7,3.1,-9.9,9.0,-5.1,0.0,-0.8,,,,,,,-14.3,-16.1,22.7
1997-01,25.4,-1.4,13.4,-16.1,16.5,32.6,7.9,8.9,-0.4,10.6,13.9,3.1,-0.3,2.6,-9.9,21.8,-0.4,7.6,1.6,,,,,,,-12.5,-14.9,27.6
1997-02,17.4,-5.3,8.6,-19.1,13.5,27.1,4.9,5.9,0.0,11.2,14.3,-1.4,-0.6,4.7,-13.9,14.4,-1.3,5.4,-2.0,,,,,,,-11.8,-13.4,2.5
1997-03,25.4,-12.3,1.5,-26.1,3.5,29.0,8.7,11.0,0.4,13.1,4.6,0.3,-0.6,2.5,-12.9,16.3,-1.2,8.5,-2.1,,,,,,,-10.8,-11.5,2.7
1997-04,22.4,-5.2,7.7,-18.1,5.5,26.0,7.9,8.3,-0.7,13.6,9.1,5.6,2.5,-1.8,-3.9,18.8,1.2,8.1,-0.4,,,,,,,-9.9,-9.7,-0.2
1997-05,26.4,-8.4,4.3,-21.1,4.5,28.7,15.2,10.7,-0.4,17.7,11.8,4.6,2.3,-1.6,-3.9,16.3,2.4,8.1,-0.1,,,,,,,-9.0,-7.8,-2.2
1997-06,11.4,-0.1,13.9,-14.1,3.5,24.1,5.8,6.7,-0.2,15.0,9.7,2.6,2.1,2.1,-2.9,12.7,-0.1,3.9,1.8,20.1,9.2,-0.2,7.6,-3.8,8.7,-8.0,-6.1,-5.5
