country,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA
1965-04,,,,,,,,,,,,,,,,9.9,,0.3,,,,,,,,,,
1965-05,,,,,,,,,,,,,,,,12.9,,-0.7,,,,,,,,,,
1965-06,,,,,,,,,,,,,,,,12.9,,1.3,,,,,,,,,,
1965-07,,,,,,,,,,,,,,,,14.9,,2.3,,,,,,,,,,
1965-08,,,,,,,,,,,,,,,,15.9,,2.3,,,,,,,,,,
1965-09,,,,,,,,,,,,,,,,17.9,,7.3,,,,,,,,,,
1965-10,,,,,,,,,,,,,,,,20.9,,6.3,,,,,,,,,,
1965-11,,,,,,,,,,,,,,,,23.9,,8.3,,,,,,,,,,
1965-12,,,,,,,,,,,,,,,,25.9,18.2,8.3,,,,,,,,,,
1966-01,,,,,,,,,,,,,,,,24.9,22.2,11.3,,,,,,,,,,
1966-02,,,,,,,,,,,,,,,,26.9,21.2,19.3,,,,,,,,,,
1966-03,,,,,,,,,,,,,,,,24.9,23.2,15.3,,,,,,,,,,
1966-04,,,,,,,,,,,,,,,,23.9,26.2,15.3,,,,,,,,,,
1966-05,,,,,,,,,,,,,,,,22.9,32.2,12.3,,,,,,,,,,
1966-06,,,,,,,,,,,,,,,,23.9,28.2,10.3,,,,,,,,,,
1966-07,,,,,,,,,,,,,,,,22.9,30.2,9.3,,,,,,,,,,
1966-08,,,,,,,,,,,,,,,,20.9,29.2,7.3,,,,,,,,,,
1966-09,,,,,,,,,,,,,,,,19.9,23.2,8.3,,,,,,,,,,
1966-10,,,,,,,,,,,,,,7.3,,16.9,22.2,6.3,,,,,,,,,,
1966-11,,,,,,,,,,,,,,9.3,,15.9,14.2,6.3,-10.6,,,,,,,,,
1966-12,,,,,,,,,,,,,,12.3,,12.9,17.2,6.3,-13.6,,,,,,,,,
1967-01,,,,,,,,,,,,,,14.3,,13.9,14.2,7.3,-15.6,,,,,,,,,
1967-02,,,,,,,,,,,,,,16.3,,11.9,12.2,11.3,-18.6,,,,,,,,,
1967-03,,,,,,,,,,,,,,16.3,,8.9,9.2,5.3,-16.6,,,,,,,,,
1967-04,,,,,,,,,,,,,,18.3,,7.9,2.2,3.3,-19.6,,,,,,,,,
1967-05,,,,,,,,,,,,,,23.3,,2.9,3.2,6.3,-22.6,,,,,,,,,
1967-06,,,,,,,,,,,,,,23.3,,1.9,12.2,5.3,-25.6,,,,,,,,,
1967-07,,,,,,,,,,,,,,22.3,,3.9,9.2,5.3,-26.6,,,,,,,,,
1967-08,,,,,,,,,,,,,,21.3,,4.9,5.2,4.3,-27.6,,,,,,,,,
1967-09,,,,,,,,,,,,,,23.3,,8.9,5.2,8.3,-29.6,,,,,,,,,
1967-10,,,,,,,,,,,,,,26.3,,9.9,3.2,13.3,-22.6,,,,,,,,,
1967-11,,,,,,,,,,,,,,20.3,,11.9,4.2,9.3,-24.6,,,,,,,,,
1967-12,,,,,,,,,,,,,,17.3,,12.9,6.2,11.3,-24.6,,,,,,,,,
1968-01,,,,,,,,,,,,,,16.3,,9.9,9.2,9.3,-23.6,,,,,,,,,
1968-02,,,,,,,,,,,,,,17.3,,17.9,10.2,8.3,-21.6,,,,,,,,,
1968-03,,,,,,,,,,,,,,15.3,,18.9,13.2,4.3,-21.6,,,,,,,,,
1968-04,,,,,,,,,,,,,,10.3,,20.9,16.2,5.3,-10.6,,,,,,,,,
1968-05,,,,,,,,,,,,,,-1.7,,25.9,10.2,32.3,-15.6,,,,,,,,,
1968-06,,,,,,,,,,,,,,-3.7,,27.9,8.2,53.3,-12.6,,,,,,,,,
1968-07,,,,,,,,,,,,,,-7.7,,32.9,10.2,50.3,-9.6,,,,,,,,,
1968-08,,,,,,,,,,,,,,-10.7,,36.9,-0.8,46.3,-4.6,,,,,,,,,
1968-09,,,,,,,,,,,,,,-14.7,,30.9,35.2,34.3,-0.6,,,,,,,,,
1968-10,,,,,,,,,,,,,,-14.7,,31.9,41.2,33.3,4.4,,,,,,,,,
1968-11,,,,,,,,,,,,,,-16.7,,28.9,43.2,29.3,9.4,,,,,,,,,
1968-12,,,,,,,,,,,,,,-17.7,,28.9,45.2,11.3,10.4,,,,,,,,,
1969-01,,,,,,,,,,,,,,-19.7,,26.9,42.2,23.3,3.4,,,,,,,,,
1969-02,,,,,,,,,,,,,,-22.7,,27.9,41.2,29.3,14.4,,,,,,,,,
1969-03,,,,,,,,,,,,,,-22.7,,28.9,39.2,29.3,15.4,,,,,,,,,
1969-04,,,,,,,,,,,,,,-22.7,,30.9,38.2,30.3,15.4,,,,,,,,,
1969-05,,,,,,,,,,,,,,-23.7,,29.9,42.2,31.3,21.4,,,,,,,,,
1969-06,,,,,,,,,,,,,,-19.7,,32.9,42.2,35.3,23.4,,,,,,,,,
1969-07,,,,,,,,,,,,,,-18.7,,30.9,39.2,45.3,26.4,,,,,,,,,
1969-08,,,,,,,,,,,,,,-16.7,,27.9,35.2,55.3,30.4,,,,,,,,,
1969-09,,,,,,,,,,,,,,-16.7,,27.9,32.2,55.3,34.4,,,,,,,,,
1969-10,,,,,,,,,,,,,,-16.7,,26.9,30.2,52.3,34.4,,,,,,,,,
1969-11,,,,,,,,,,,,,,-14.7,,28.9,30.2,56.3,30.4,,,,,,,,,
1969-12,,,,,,,,,,,,,,-15.7,,27.9,24.2,60.3,28.4,,,,,,,,,
1970-01,,,,,,,,,,,,,,-10.7,,26.9,24.2,53.3,40.4,,,,,,,,,
1970-02,,,,,,,,,,,,,,-3.7,,21.9,28.2,49.3,35.4,,,,,,,,,
1970-03,,,,,,,,,,,,,,-4.7,,19.9,23.2,44.3,38.4,,,,,,,,,
1970-04,,,,,,,,,,,,,,2.3,,16.9,28.2,41.3,36.4,,,,,,,,,
1970-05,,,,,,,,,,,,,,0.3,,18.9,19.2,34.3,48.4,,,,,,,,,
1970-06,,,,,,,,,,,,,,15.3,,16.9,19.2,31.3,25.4,,,,,,,,,
1970-07,,,,,,,,,,,,,,15.3,,14.9,19.2,31.3,20.4,,,,,,,,,
1970-08,,,,,,,,,,,,,,14.3,,11.9,18.2,31.3,16.4,,,,,,,,,
1970-09,,,,,,,,,,,,,,16.3,,15.9,14.2,32.3,6.4,,,,,,,,,
1970-10,,,,,,,,,,,,,,10.3,,20.9,16.2,37.3,9.4,,,,,,,,,
1970-11,,,,,,,,,,,,,,14.3,,23.9,4.2,41.3,18.4,,,,,,,,,
1970-12,,,,,,,,,,,,,,16.3,,23.9,8.2,45.3,19.4,,,,,,,,,
1971-01,,,,,,,,,,,,,,16.3,,26.9,10.2,48.3,11.4,,,,,,,,,
1971-02,,,,,,,,,,,,,,13.3,,29.9,13.2,44.3,13.4,,,,,,,,,
1971-03,,,,,,,,,,,,,,17.3,,28.9,14.2,45.3,5.4,,,,,,,,,
1971-04,,,,,,,,,,,,,,15.3,,22.9,19.2,44.3,7.4,,,,,,,,,
1971-05,,,,,,,,,,,,,,18.3,,23.9,19.2,43.3,3.4,,,,,,,,,
1971-06,,,,,,,,,,,,,,12.3,,22.9,18.2,42.3,5.4,,,,,,,,,
1971-07,,,,,,,,,,,,,,12.3,,23.9,18.2,41.3,1.4,,,,,,,,,
1971-08,,,,,,,,,,,,,,11.3,,23.9,18.2,39.3,-1.6,,,,,,,,,
1971-09,,,,,,,,,,,,,,10.3,,22.9,21.2,32.3,-9.6,,,,,,,,,
1971-10,,,,,,,,,,,,,,13.3,,17.9,18.2,30.3,-15.6,,,,,,,,,
1971-11,,,,,,,,,,,,,,9.3,,17.9,16.2,29.3,-14.6,,,,,,,,,
1971-12,,,,,,,,,,,,,,9.3,,18.9,24.2,32.3,-12.6,,,,,,,,,
1972-01,,,,,,,,,,,,,,7.3,,21.9,21.2,33.3,-11.6,,,,,,,,,
1972-02,,,,,,,,,,,,,,5.3,,19.9,17.2,40.3,-12.6,,,,,,,,,
1972-03,,,,,,,,,,,,,,6.3,,21.9,24.2,38.3,-11.6,,,,,,,,,
1972-04,,,,,,,,,,,,,,5.3,,23.9,24.2,40.3,-11.6,,,,,,,,,
1972-05,,,,,,,,,,,,,,4.3,,23.9,24.2,49.3,-2.6,,,,,,,,,
1972-06,,,,,,,,,,,,,,3.3,,27.9,25.2,41.3,-1.6,,,,,,,,,
1972-07,,,,,,,,,,,,,,1.3,,27.9,24.2,42.3,0.4,,,,,,,,,
1972-08,,,,,,,,,,,,,,-0.7,,27.9,25.2,43.3,3.4,,,,,,,,,
1972-09,,,,,,,,,,,,,,-1.7,,34.9,28.2,45.3,5.4,,,,,,,,,
1972-10,,,,,,,,,,,,,,-3.7,,33.9,25.2,45.3,11.4,,,,,,,,,
1972-11,,,,,,,,,,,,,,-5.7,,33.9,28.2,46.3,5.4,,,,,,,,,
1972-12,,,,,,,,,,,,,,-7.7,,31.9,37.2,42.3,8.4,,,,,,,,,
1973-01,,,,,,,,,,,,,,-6.7,,29.9,35.2,46.3,11.4,,,,,,,14.0,,
1973-02,,,,,,,,,,,,,,-9.7,,31.9,34.2,47.3,10.4,,,,,,,14.0,,
1973-03,,,,,,,,,,,,,,-11.7,,29.9,33.2,49.3,14.4,,,,,,,13.0,,
1973-04,,,,,,,,,,,,,,-12.7,,29.9,32.2,47.3,14.4,,,,,,,12.0,,
1973-05,,,,,,,,,,,,,,-9.7,,27.9,29.2,48.3,10.4,,,,,,,12.0,,
1973-06,,,,,,,,,,,,,,-12.7,,26.9,29.2,63.3,17.4,,,,,,,12.0,,
1973-07,,,,,,,,,,,,,,-13.7,,27.9,32.2,63.3,18.4,,,,,,,10.0,,
1973-08,,,,,,,,,,,,,,-14.7,,28.9,36.2,62.3,20.4,,,,,,,,,
1973-09,,,,,,,,,,,,,,-12.7,,24.9,29.2,69.3,23.4,,,,,,,10.0,,
1973-10,,,,,,,,,,,,,,-13.7,,27.9,31.2,62.3,22.4,,,,,,,8.0,,
1973-11,,,,,,,,,,,,,,-14.7,,16.9,27.2,71.3,23.4,,,,,,,8.0,,
1973-12,,,,,,,,,,,,,,-12.7,,9.9,24.2,76.3,12.4,,,,,,,7.0,,
1974-01,,,,,,,,,,,,,,-13.7,,11.9,19.2,75.3,16.4,,,,,,,1.0,,
1974-02,,,,,,,,,,,,,,-11.7,,11.9,20.2,76.3,26.4,,,,,,,0.0,,
1974-03,,,,,,,,,,,,,,-10.7,,10.9,21.2,76.3,22.4,,,,,,,-1.0,,
1974-04,,,,,,,,,,,,,,-7.7,,7.9,18.2,72.3,21.4,,,,,,,0.0,,
1974-05,,,,,,,,,,,,,,-7.7,,9.9,17.2,65.3,9.4,,,,,,,-1.0,,
1974-06,,,,,,,,,,,,,,0.3,,8.9,18.2,65.3,17.4,,,,,,,-2.0,,
1974-07,,,,,,,,,,,,,,4.3,,2.9,13.2,61.3,14.4,,,,,,,-3.0,,
1974-08,,,,,,,,,,,,,,7.3,,-4.1,10.2,57.3,12.4,,,,,,,,,
1974-09,,,,,,,,,,,,,,18.3,,-12.1,3.2,50.3,0.4,,,,,,,-5.0,,
1974-10,,,,,,,,,,,,,,38.3,,-25.1,-7.8,47.3,-18.6,,,,,,,-7.0,,
1974-11,,,,,,,,,,,,,,36.3,,-18.1,-8.8,44.3,-17.6,,,,,,,-7.0,,
1974-12,,,,,,,,,,,,,,37.3,,-17.1,-22.8,39.3,-25.6,,,,,,,-6.0,,
1975-01,,,,,,,,,,,,,,39.3,,-9.1,-23.8,36.3,-18.6,,,,,,,-3.0,,
1975-02,,,,,,,,,,,,,,43.3,,-19.1,-29.8,32.3,-42.6,,,,,,,-2.0,,
1975-03,,,,,,,,,,,,,,41.3,,-17.1,-31.8,31.3,-40.6,,,,,,,-3.0,,
1975-04,,,,,,,,,,,,,,40.3,,-14.1,-34.8,33.3,-45.6,,,,,,,-4.0,,
1975-05,,,,,,,,,,,,,,39.3,,-15.1,-31.8,32.3,-44.6,,,,,,,-4.0,,
1975-06,,,,,,,,,,,,,,34.3,,-11.1,-29.8,27.3,-46.6,,,,,,,-4.0,,
1975-07,,,,,,,,,,,,,,32.3,,-10.1,-26.8,33.3,-49.6,,,,,,,-2.0,,
1975-08,,,,,,,,,,,,,,30.3,,-8.1,-23.8,38.3,-53.6,,,,,,,,,
1975-09,,,,,,,,,,,,,,28.3,,8.9,-15.8,43.3,-51.6,,,,,,,-2.0,,
1975-10,,,,,,,,,,,,,,17.3,,22.9,-5.8,52.3,-39.6,,,,,,,0.0,,
1975-11,,,,,,,,,,,,,,4.3,,24.9,6.2,51.3,-28.6,,,,,,,0.0,,
1975-12,,,,,,,,,,,,6.2,,3.3,-9.9,31.9,24.2,35.3,-30.6,,,,,,,0.0,,
1976-01,,,,,,,,,,,,5.2,,2.3,-11.9,29.9,24.2,38.3,-31.6,,,,,,,4.0,,
1976-02,,,,,,,,,,,,-1.8,,8.3,-16.9,19.9,17.2,33.3,-28.6,,,,,,,4.0,,
1976-03,,,,,,,,,,,,1.87,,1.3,-15.9,22.9,22.2,42.3,-26.6,,,,,,,4.0,,
1976-04,,,,,,,,,,,,8.2,,-4.7,-6.9,26.9,30.2,51.3,-22.6,,,,,,,4.0,,
1976-05,,,,,,,,,,,,4.87,,-1.7,-10.9,23.9,27.2,45.3,-21.6,,,,,,,4.0,,
1976-06,,,,,,,,,,,,6.87,,-3.7,-4.9,21.9,32.2,45.3,-20.6,,,,,,,4.0,,
1976-07,,,,,,,,,,,,5.2,,-3.7,-5.9,17.9,29.2,48.3,-19.6,,,,,,,2.0,,
1976-08,,,,,,,,,,,,3.53,,-2.7,-6.9,14.9,27.2,54.3,-18.6,,,,,,,,,
1976-09,,,,,,,,,,,,-0.47,,1.3,-11.9,11.9,22.2,24.3,-18.6,,,,,,,2.0,,
1976-10,,,,,,,,,,,,-5.47,,0.3,-19.9,3.9,18.2,32.3,-21.6,,,,,,,0.0,,
1976-11,,,,,,,,,,,,-8.14,,3.3,-16.9,-4.1,15.2,38.3,-18.6,,,,,,,0.0,,
1976-12,,,,,,,,,,,,-6.47,,6.3,-15.9,2.9,12.2,41.3,-18.6,,,,,,,0.0,,
1977-01,,,,,,,,,,,,-8.47,,10.3,-17.9,2.9,12.2,45.3,-14.6,,,,,,,0.0,,
1977-02,,,,,,,,,,,,-8.8,,11.3,-16.9,1.9,17.2,43.3,-15.6,,,,,,,0.0,,
1977-03,,,,,,,,,,,,-13.13,,16.3,-21.9,-1.1,11.2,30.3,-21.6,,,,,,,-1.0,,
1977-04,,,,,,,,,,,,-17.13,,19.3,-27.9,-4.1,7.2,33.3,-24.6,,,,,,,-6.0,,
1977-05,,,,,,,,,,,,-16.46,,19.3,-28.9,-1.1,9.2,47.3,-19.6,,,,,,,-7.0,,
1977-06,,,,,,,,,,,,-18.13,,23.3,-30.9,-0.1,2.2,35.3,-20.6,,,,,,,-7.0,,
1977-07,,,,,,,,,,,,-18.13,,25.3,-29.9,0.9,1.2,33.3,-19.6,,,,,,,-4.0,,
1977-08,,,,,,,,,,,,-18.8,,27.3,-29.9,0.9,0.2,34.3,-18.6,,,,,,,,,
1977-09,,,,,,,,,,,,-18.8,,28.3,-28.9,0.9,-1.8,27.3,-20.6,,,,,,,-4.0,,
1977-10,,,,,,,,,,,,-19.13,,28.3,-29.9,0.9,0.2,35.3,-15.6,,,,,,,0.0,,
1977-11,,,,,,,,,,,,-20.8,,29.3,-31.9,-1.1,0.2,36.3,-17.6,,,,,,,0.0,,
1977-12,,,,,,,,,,,,-18.13,,26.3,-30.9,2.9,-1.8,41.3,-17.6,,,,,,,0.0,,
1978-01,,,,,,,,,,,,-18.46,,24.3,-33.9,2.9,-5.8,42.3,-24.6,,,,,,,1.0,,
1978-02,,,,,,,,,,,,-14.46,,23.3,-27.9,7.9,-1.8,42.3,-14.6,,,,,,,1.0,,
1978-03,,,,,,,,,,,,-9.46,,19.3,-22.9,13.9,1.2,41.3,-2.6,,,,,,,1.0,,
1978-04,,,,,,,,,,,,-9.79,,21.3,-19.9,11.9,4.2,44.3,-3.6,,,,,,,2.0,,
1978-05,,,,,,,,,,,,-7.79,,18.3,-16.9,11.9,4.2,45.3,-10.6,,,,,,,2.0,,
1978-06,,,,,,,,,,,,-8.79,,17.3,-18.9,9.9,6.2,46.3,-4.6,,,,,,,2.0,,
1978-07,,,,,,,,,,,,-6.12,,14.3,-16.9,12.9,6.2,44.3,-4.6,,,,,,,1.0,,
1978-08,,,,,,,,,,,,-4.45,,11.3,-16.9,14.9,8.2,44.3,-3.6,,,,,,,,,
1978-09,,,,,,,,,,,,-3.45,,9.3,-13.9,12.9,11.2,44.3,-2.6,,,,,,,1.0,,
1978-10,,,,,,,,,,,,-3.45,,10.3,-14.9,14.9,12.2,42.3,1.4,,,,,,,0.0,,
1978-11,,,,,,,,,,,,-2.12,,10.3,-9.9,13.9,15.2,42.3,8.4,,,,,,,0.0,,
1978-12,,,,,,,,,,,,-3.12,,10.3,-10.9,11.9,17.2,38.3,1.4,,,,,,,-1.0,,
1979-01,,,,,,,,,,,,-4.45,,11.3,-11.9,9.9,15.2,38.3,-0.6,,,,,,,-4.0,,
1979-02,,,,,,,,,,,,-5.45,,14.3,-12.9,10.9,13.2,42.3,0.4,,,,,,,-4.0,,
1979-03,,,,,,,,,,,,-3.78,,10.3,-12.9,11.9,13.2,48.3,1.4,,,,,,,-4.0,,
1979-04,,,,,,,,,,,,-1.78,,7.3,-8.9,10.9,13.2,47.3,1.4,,,,,,,-5.0,,
1979-05,,,,,,,,,,,,-2.11,,11.3,-5.9,10.9,13.2,46.3,2.4,,,,,,,-6.0,,
1979-06,,,,,,,,,,,,1.89,,4.3,-4.9,14.9,21.2,52.3,9.4,,,,,,,-6.0,,
1979-07,,,,,,,,,,,,2.22,,4.3,-3.9,14.9,20.2,52.3,9.4,,,,,,,-6.0,,
1979-08,,,,,,,,,,,,2.22,,4.3,-3.9,14.9,19.2,53.3,9.4,,,,,,,,,
1979-09,,,,,,,,,,,,0.22,,8.3,-5.9,14.9,19.2,50.3,9.4,,,,,,,-7.0,,
1979-10,,,,,,,,,,,,1.89,,5.3,-2.9,13.9,19.2,53.3,1.4,,,,,,,-6.0,,
1979-11,,,,,,,,,,,,2.56,,2.3,-2.9,12.9,18.2,53.3,3.4,,,,,,,-6.0,,
1979-12,,,,,,,,,,,,-1.11,,9.3,-5.9,11.9,17.2,47.3,1.4,,,,,,,-6.0,,
1980-01,,,,,,,,,,,,-1.11,,9.3,-2.9,8.9,20.2,51.3,-0.6,,,,,,,-9.0,,
1980-02,,,,,,,,,,,,-3.44,,11.3,-3.9,4.9,19.2,45.3,-4.6,,,,,,,-10.0,,
1980-03,,,,,,,,,,,,-5.77,,12.3,-7.9,2.9,16.2,47.3,-5.6,,,,,,,-10.0,,
1980-04,,,,,,,,,,,,-8.1,,13.3,-12.9,1.9,10.2,44.3,-13.6,,,,,,,-10.0,,
1980-05,,,,,,,,,,,,-11.77,,16.3,-18.9,-0.1,10.2,42.3,-18.6,,,,,,,-10.0,,
1980-06,,,,,,,,,,,,-15.44,,17.3,-19.9,-9.1,4.2,35.3,-28.6,,,,,,,-10.0,,
1980-07,,,,,,,,,,,,-18.77,,21.3,-24.9,-10.1,1.2,36.3,-30.6,,,,,,,-10.0,,
1980-08,,,,,,,,,,,,-22.1,,25.3,-29.9,-11.1,-0.8,35.3,-33.6,,,,,,,,,
1980-09,,,,,,,,,,,,-23.1,,27.3,-30.9,-11.1,-2.8,38.3,-33.6,,,,,,,-10.0,,
1980-10,,,,,,,,,,,,-25.77,,30.3,-35.9,-11.1,-8.8,38.3,-31.6,,,,,,,-10.0,,
1980-11,,,,,,,,,,,,-29.44,,35.3,-43.9,-9.1,-12.8,39.3,-35.6,,,,,,,-10.0,,
1980-12,,,,,,,,,,,,-21.77,,29.3,-34.9,-1.1,-10.8,43.3,-29.6,,,,,,,-10.0,,
1981-01,,,,,,,,,,,,-25.77,,28.3,-41.9,-7.1,-15.8,40.3,-34.6,,,,,,,-11.0,,
1981-02,,,,,,,,,,,,-25.44,,27.3,-39.9,-9.1,-12.8,43.3,-29.6,,,,,,,-12.0,,
1981-03,,,,,,,,,,,,-26.44,,28.3,-41.9,-9.1,-12.8,39.3,-34.6,,,,,,,-11.0,,
1981-04,,,,,,,,,,,,-26.11,,28.3,-40.9,-9.1,-9.8,43.3,-33.6,,,,,,,-8.0,,
1981-05,,,,,,,,,,,,-23.78,,25.3,-38.9,-7.1,-11.8,45.3,-27.6,,,,,,,-8.0,,
1981-06,,,,,,,,,,,,-22.78,,28.3,-36.9,-3.1,-7.8,54.3,-33.6,,,,,,,-8.0,,
1981-07,,,,,,,,,,,,-19.78,,25.3,-32.9,-1.1,-3.8,55.3,-31.6,,,,,,,-7.0,,
1981-08,,,,,,,,,,,,-17.78,,22.3,-29.9,-1.1,-0.8,55.3,-28.6,,,,,,,,,
1981-09,,,,,,,,,,,,-14.78,,15.3,-31.9,2.9,-4.8,52.3,-27.6,,,,,,,-7.0,,
1981-10,,,,,,,,,,,,-12.45,,16.3,-24.9,3.9,1.2,47.3,-27.6,,,,,,,-7.0,,
1981-11,,,,,,,,,,,,-11.45,,12.3,-25.9,3.9,3.2,43.3,-32.6,,,,,,,-7.0,,
1981-12,,,,,,,,,,,,-11.78,,13.3,-23.9,1.9,2.2,45.3,-25.6,,,,,,,-7.0,,
1982-01,,,,,,,,,,,,-12.78,,15.3,-25.9,2.9,4.2,47.3,-17.6,,,,,,,-3.0,,
1982-02,,,,,,,,,,,,-14.45,,16.3,-29.9,2.9,3.2,43.3,-26.6,,,,,,,-2.0,,
1982-03,,,,,,,,,,,,-11.45,,14.3,-20.9,0.9,6.2,45.3,-24.6,,,,,,,-3.0,,
1982-04,,,,,,,,,,,,-10.45,,11.3,-21.9,1.9,5.2,50.3,-24.6,,,,,,,-3.0,,
1982-05,,,,,,,,,,,,-10.45,,11.3,-21.9,1.9,3.2,41.3,-23.6,,,,,,,-3.0,,
1982-06,,,,,,,,,,,,-12.45,,12.3,-24.9,-0.1,2.2,7.3,-20.6,,,,,,,-3.0,,
1982-07,,,,,,,,,,,,-14.45,,12.3,-26.9,-4.1,-1.8,24.3,-23.6,,,,,,,-6.0,,
1982-08,,,,,,,,,,,,-18.45,,13.3,-31.9,-10.1,-4.8,39.3,-27.6,,,,,,,,,
1982-09,,,,,,,,,,,,-17.45,,15.3,-27.9,-9.1,-7.8,50.3,-30.6,,,,,,,-6.0,,
1982-10,,,,,,,,,,,,-18.45,,20.3,-25.9,-9.1,-5.8,53.3,-29.6,,,,,,,-9.0,,
1982-11,,,,,,,,,,,,-16.12,,16.3,-26.9,-5.1,-3.8,48.3,-21.6,,,,,,,-9.0,,
1982-12,,,,,,,,,,,,-15.79,,14.3,-26.9,-6.1,3.2,42.3,-31.6,,,,,,,-9.0,,
1983-01,,,,,,,,,,,,-13.79,,10.3,-26.9,-4.1,-1.8,39.3,-28.6,,,,,,,-8.0,,
1983-02,,,,,,,,,,,,-15.12,,14.3,-29.9,-1.1,-2.8,33.3,-28.6,,,,,,,-9.0,,
1983-03,,,,,,,,,,,,-17.79,,16.3,-29.9,-7.1,-5.8,40.3,-31.6,,,,,,,-10.0,,
1983-04,,,,,,,,,,,,-22.46,,23.3,-33.9,-10.1,-1.8,45.3,-29.6,,,,,,,-16.0,,
1983-05,,,,,,,,,,,,-23.13,,23.3,-32.9,-13.1,-2.8,43.3,-27.6,,,,,,,-17.0,,
1983-06,,,,,,,,,,,,-26.13,,25.3,-34.9,-18.1,-4.8,39.3,-26.6,,,,,,,-18.0,,
1983-07,,,,,,,,,,,,-25.13,,23.3,-36.9,-15.1,-5.8,40.3,-26.6,,,,,,,-18.0,,
