country,ESP,ESP
1995-Q3,78.1,2.2
1995-Q4,78.2,6.8
1996-Q1,77.0,7.2
1996-Q2,77.0,3.8
1996-Q3,77.3,10.5
1996-Q4,76.4,10.9
1997-Q1,78.2,8.9
1997-Q2,80.3,13.9
1997-Q3,80.2,12.0
1997-Q4,80.2,9.1
1998-Q1,81.1,9.4
1998-Q2,82.3,5.5
1998-Q3,80.9,9.5
1998-Q4,81.1,7.7
1999-Q1,80.2,9.2
1999-Q2,80.1,6.2
1999-Q3,79.7,6.5
1999-Q4,81.4,5.5
2000-Q1,80.1,11.2
2000-Q2,81.5,8.1
2000-Q3,80.8,8.2
2000-Q4,80.6,11.5
2001-Q1,79.2,6.0
2001-Q2,81.1,2.5
2001-Q3,78.7,2.7
2001-Q4,77.7,-1.9
2002-Q1,77.8,0.4
2002-Q2,77.2,7.6
2002-Q3,79.1,7.2
2002-Q4,80.5,9.0
2003-Q1,78.4,10.3
2003-Q2,77.5,8.9
2003-Q3,79.7,7.1
2003-Q4,80.4,11.9
2004-Q1,79.0,10.2
2004-Q2,79.3,10.8
2004-Q3,80.6,8.4
2004-Q4,80.4,7.8
2005-Q1,79.6,7.7
2005-Q2,79.6,12.4
2005-Q3,81.1,12.4
2005-Q4,81.0,8.0
2006-Q1,80.1,7.1
2006-Q2,80.9,9.9
2006-Q3,80.2,9.4
2006-Q4,81.7,12.0
2007-Q1,81.1,10.4
2007-Q2,81.5,9.0
2007-Q3,82.2,7.7
2007-Q4,80.9,7.9
2008-Q1,80.9,7.5
2008-Q2,80.1,-0.5
2008-Q3,79.6,-9.1
2008-Q4,76.8,-17.4
2009-Q1,72.7,-20.3
2009-Q2,69.7,-12.8
2009-Q3,68.5,-4.2
2009-Q4,69.7,0.6
2010-Q1,68.5,6.1
2010-Q2,71.2,5.3
2010-Q3,73.1,4.2
2010-Q4,72.7,0.9
2011-Q1,72.5,0.1
2011-Q2,74.0,2.9
2011-Q3,72.5,-1.9
2011-Q4,72.1,-4.4
2012-Q1,71.6,-1.7
2012-Q2,72.6,-7.9
2012-Q3,71.0,-7.5
2012-Q4,73.0,-5.6
2013-Q1,67.8,-4.9
2013-Q2,75.8,-1.7
2013-Q3,76.7,1.1
2013-Q4,73.5,-1.9
2014-Q1,75.5,0.9
2014-Q2,74.9,2.0
2014-Q3,75.7,5.5
2014-Q4,76.8,14.3
2015-Q1,76.7,9.7
2015-Q2,77.9,10.8
2015-Q3,78.0,5.5
2015-Q4,78.0,2.8
2016-Q1,77.8,5.7
2016-Q2,78.2,8.4
2016-Q3,79.0,8.7
2016-Q4,79.2,13.5
2017-Q1,77.7,10.1
2017-Q2,78.3,6.2
2017-Q3,79.3,4.1
2017-Q4,79.4,4.2
2018-Q1,79.4,12.7
2018-Q2,80.2,10.9
2018-Q3,79.5,1.8
2018-Q4,78.5,16.9
2019-Q1,80.6,-5.3
2019-Q2,80.5,-4.6
2019-Q3,80.9,4.6
2019-Q4,79.0,-5.4
2020-Q1,79.9,-2.5
2020-Q2,70.0,-30.6
2020-Q3,71.9,-23.6
2020-Q4,75.6,-5.0
2021-Q1,77.0,0.7
2021-Q2,77.4,7.4
2021-Q3,77.5,15.4
2021-Q4,79.2,13.9
2022-Q1,78.8,9.6
2022-Q2,80.0,5.6
2022-Q3,78.9,-1.1
2022-Q4,77.2,-3.8
