country,FRA,FRA
2001-Q1,87.5,13.7
2001-Q2,86.8,13.6
2001-Q3,85.3,1.1
2001-Q4,85.2,-15.8
2002-Q1,84.9,-22.5
2002-Q2,85.7,-9.8
2002-Q3,85.0,-10.6
2002-Q4,84.8,-20.4
2003-Q1,85.2,-4.0
2003-Q2,84.8,-18.6
2003-Q3,84.8,-19.0
2003-Q4,84.0,-10.0
2004-Q1,83.8,-0.7
2004-Q2,83.0,10.3
2004-Q3,83.7,11.3
2004-Q4,83.9,10.2
2005-Q1,83.5,17.1
2005-Q2,83.7,0.0
2005-Q3,83.7,2.5
2005-Q4,83.1,2.6
2006-Q1,83.8,5.9
2006-Q2,84.8,17.0
2006-Q3,85.8,15.0
2006-Q4,86.6,16.7
2007-Q1,86.4,8.7
2007-Q2,86.8,17.9
2007-Q3,86.9,24.4
2007-Q4,87.7,20.3
2008-Q1,87.3,13.5
2008-Q2,86.2,13.5
2008-Q3,85.6,-5.3
2008-Q4,83.9,-18.5
2009-Q1,77.3,-42.6
2009-Q2,72.6,-56.0
2009-Q3,72.3,-31.5
2009-Q4,75.0,-15.9
2010-Q1,75.8,6.8
2010-Q2,78.7,10.3
2010-Q3,79.1,18.9
2010-Q4,79.3,20.0
2011-Q1,82.2,27.4
2011-Q2,84.8,27.9
2011-Q3,83.3,15.0
2011-Q4,83.2,1.9
2012-Q1,82.8,-4.8
2012-Q2,83.5,0.5
2012-Q3,82.2,-17.8
2012-Q4,80.5,-18.9
2013-Q1,82.1,-18.2
2013-Q2,80.6,-22.2
2013-Q3,80.8,-14.5
2013-Q4,79.8,-3.0
2014-Q1,81.7,0.1
2014-Q2,81.3,9.6
2014-Q3,82.5,-2.9
2014-Q4,82.0,-0.6
2015-Q1,81.9,-3.0
2015-Q2,82.7,3.8
2015-Q3,82.9,1.9
2015-Q4,83.4,3.9
2016-Q1,82.6,1.2
2016-Q2,82.8,9.4
2016-Q3,83.8,12.7
2016-Q4,83.6,5.8
2017-Q1,84.6,11.0
2017-Q2,84.3,7.1
2017-Q3,84.7,16.7
2017-Q4,85.2,18.9
2018-Q1,86.2,23.2
2018-Q2,85.9,17.6
2018-Q3,85.9,11.5
2018-Q4,85.7,0.9
2019-Q1,85.2,2.0
2019-Q2,85.1,-0.4
2019-Q3,84.3,-3.1
2019-Q4,83.4,3.7
2020-Q1,82.6,-1.7
2020-Q2,62.4,-23.6
2020-Q3,72.9,-40.4
2020-Q4,76.0,0.7
2021-Q1,77.1,-9.2
2021-Q2,82.8,8.4
2021-Q3,82.0,27.8
2021-Q4,81.1,16.7
2022-Q1,81.4,20.8
