country,CHN,CHN,CHN
1998-12,,104.7786,107.136
1999-01,,105.9454,107.3664
1999-02,,106.1788,107.8272
1999-03,,105.7121,107.4816
1999-04,,105.8288,107.712
1999-05,,106.6455,107.9424
1999-06,,107.579,108.4032
1999-07,,106.5288,107.3664
1999-08,,108.279,108.864
1999-09,,108.3957,109.44
1999-10,,108.279,109.5552
1999-11,,108.6291,109.3248
1999-12,,109.9126,109.7856
2000-01,,109.6792,109.6704
2000-02,5.0,110.0292,110.016
2000-03,4.666667,110.3793,110.2464
2000-04,4.333333,110.6126,110.7072
2000-05,4.0,111.0794,111.168
2000-06,5.0,111.196,111.168
2000-07,6.0,111.4294,111.2832
2000-08,7.0,111.7794,111.6288
2000-09,4.0,112.3628,112.4352
2000-10,1.0,112.4795,112.5504
2000-11,-2.0,112.7129,113.0112
2000-12,0.6666667,112.9462,113.2416
2001-01,3.333333,113.1796,113.472
2001-02,6.0,112.9462,113.2416
2001-03,3.0,113.1796,113.3568
2001-04,0.0,113.763,113.3568
2001-05,-3.0,113.413,112.7808
2001-06,-3.333333,113.6463,113.0112
2001-07,-3.666667,114.4631,113.7024
2001-08,-4.0,113.763,112.7808
2001-09,-4.0,113.5296,112.6656
2001-10,-4.0,113.413,112.4352
2001-11,-4.0,113.0629,111.9744
2001-12,0.0,113.2963,112.2048
2002-01,4.0,113.0629,111.8592
2002-02,8.0,113.2963,112.32
2002-03,8.0,113.413,111.9744
2002-04,8.0,113.2963,111.744
2002-05,8.0,113.2963,112.0896
2002-06,9.333333,113.5296,112.2048
2002-07,10.66667,113.5296,112.0896
2002-08,12.0,113.5296,111.8592
2002-09,11.66667,113.5296,111.9744
2002-10,11.33333,113.6463,112.2048
2002-11,11.0,113.8797,112.6656
2002-12,7.666667,113.763,112.4352
2003-01,4.333333,113.9964,112.896
2003-02,1.0,114.113,113.0112
2003-03,4.666667,113.8797,112.5504
2003-04,8.333333,103.4952,100.5696
2003-05,12.0,99.99476,96.4224
2003-06,13.33333,103.3785,99.9936
2003-07,14.66667,106.4122,104.3712
2003-08,16.0,108.1624,106.2144
2003-09,16.0,108.6291,106.2144
2003-10,16.0,109.9126,107.712
2003-11,16.0,110.2626,108.0576
2003-12,14.33333,111.196,109.0944
2004-01,12.66667,111.3127,108.6336
2004-02,11.0,111.0794,108.288
2004-03,11.0,111.3127,108.4032
2004-04,11.0,110.846,107.8272
2004-05,11.0,108.0457,104.0256
2004-06,11.33333,105.1287,102.1824
2004-07,11.66667,106.2955,103.5648
2004-08,12.0,105.9454,102.9888
2004-09,11.0,106.5288,103.7952
2004-10,10.0,107.1122,104.4864
2004-11,9.0,108.1624,105.7536
2004-12,8.0,108.7458,107.8272
2005-01,9.4,109.0958,108.288
2005-02,9.0,109.5625,108.864
2005-03,15.8,110.1459,109.9008
2005-04,13.4,110.496,109.6704
2005-05,5.8,110.0292,109.9008
2005-06,3.4,110.3793,109.5552
2005-07,2.2,110.1459,109.5552
2005-08,5.2,110.2626,109.9008
2005-09,10.2,110.0292,109.7856
2005-10,8.2,109.3292,109.5552
2005-11,8.2,109.2125,109.6704
2005-12,8.6,110.0292,110.4768
2006-01,4.2,110.2626,110.3616
2006-02,4.2,109.2125,110.4768
2006-03,10.6,109.9126,111.3984
2006-04,16.2,109.4458,111.0528
2006-05,9.6,109.4458,110.9376
2006-06,8.2,109.7959,111.5136
2006-07,4.8,109.6792,111.2832
2006-08,6.2,110.2159,111.8592
2006-09,14.0,111.6861,113.5872
2006-10,9.4,111.5694,113.2416
2006-11,10.6,112.0361,113.7024
2006-12,9.6,113.1096,114.8544
2007-01,10.2,112.3628,114.1632
2007-02,6.2,111.8261,113.5872
2007-03,12.2,111.0327,112.2048
2007-04,17.2,112.2928,113.8176
2007-05,11.4,112.7829,114.1632
2007-06,9.0,113.693,115.2
2007-07,6.6,112.8529,114.2784
2007-08,8.0,113.483,115.0848
2007-09,12.2,113.0863,114.7392
2007-10,6.4,112.5729,114.2784
2007-11,10.8,112.0361,113.7024
2007-12,10.6,113.1096,114.624
2008-01,6.0,111.5928,113.5872
2008-02,6.8,110.0059,111.5136
2008-03,16.8,110.3093,111.8592
2008-04,18.4,109.6792,111.2832
2008-05,6.6,110.0059,111.744
2008-06,4.0,109.8426,111.168
2008-07,-3.2,110.2159,111.6288
2008-08,-3.2,109.3058,110.592
2008-09,2.4,108.9324,110.1312
2008-10,-10.8,107.859,108.5184
2008-11,-22.4,105.1987,104.6016
2008-12,-17.6,101.8383,100.9152
2009-01,-9.4,101.3,100.1
2009-02,-2.0,101.0,99.9
2009-03,4.8,100.3,99.0
2009-04,7.0,100.5,99.6
2009-05,6.2,101.2,100.3
2009-06,6.4,101.0,100.1
2009-07,6.6,102.1,101.1
2009-08,8.0,102.7,102.0
2009-09,8.6,102.8,102.2
2009-10,10.4,103.2,102.6
2009-11,10.4,103.3,103.0
2009-12,13.2,103.9,104.0
2010-01,11.6,104.7,104.6
2010-02,4.0,104.2,104.5
2010-03,10.2,107.9,108.2
2010-04,11.4,106.6,106.8
2010-05,7.8,108.0,108.2
2010-06,4.2,108.5,108.9
2010-07,2.4,107.8,108.6
2010-08,3.4,107.3,107.9
2010-09,7.6,104.1,104.5
2010-10,9.4,103.8,104.1
2010-11,10.4,102.9,103.1
2010-12,7.8,100.4,100.6
2011-01,5.8,99.9,100.0
2011-02,4.4,99.6,99.6
2011-03,6.8,107.6,109.3
2011-04,5.8,106.6,107.5
2011-05,4.0,105.8,106.6
2011-06,1.8,108.1015,111.3691
2011-07,1.4,105.5687,111.8426
2011-08,1.8,105.0132,110.4321
2011-09,2.4,103.3706,108.8504
2011-10,0.8,100.4735,106.2509
2011-11,-2.0,97.03346,101.7144
2011-12,0.6,100.4624,105.3164
2012-01,1.0,103.9,109.3
2012-02,2.0,105.0,110.9
2012-03,6.2,100.0,106.6
2012-04,6.6,103.0,108.5
2012-05,0.8,104.2,108.9
2012-06,0.4,99.3,103.2
2012-07,0.2,98.2,101.5
2012-08,-1.6,99.4,103.7
2012-09,-0.4,100.8,104.0
2012-10,0.4,106.1,109.3
2012-11,1.2,105.1,109.4
2012-12,1.2,103.7,107.6
2013-01,0.8,104.5,110.1
2013-02,0.2,108.2,113.3
2013-03,1.8,102.6,107.9
2013-04,1.2,103.7,108.1
2013-05,1.6,99.0,102.7
2013-06,0.2,97.0,100.5
2013-07,0.6,97.2,101.0
2013-08,2.0,97.8,101.6
2013-09,2.2,99.8,103.5
2013-10,2.8,102.9,107.5
2013-11,2.8,98.9,102.7
2013-12,2.0,102.3,106.8
2014-01,1.0,101.1,105.0
2014-02,0.4,103.1,107.0
2014-03,0.6,107.9,112.3
2014-04,0.8,104.8,107.4
2014-05,1.6,102.3,105.6
2014-06,2.0,104.7,108.9
2014-07,3.4,104.4,108.0
2014-08,2.2,103.8,107.0
2014-09,2.2,105.4,108.4
2014-10,1.6,103.4,107.2
2014-11,0.6,105.5,109.0
2014-12,0.2,105.8,109.1
2015-01,-0.4,105.7,109.0
2015-02,-0.2,109.8,113.0
2015-03,0.2,107.1,110.3
2015-04,0.2,107.6,110.9
2015-05,0.4,109.9,113.4
2015-06,0.4,105.54,108.0
2015-07,0.0,104.48,106.98
2015-08,-0.6,104.0,106.8
2015-09,-0.4,105.6,108.5
2015-10,-0.4,103.8,106.4
2015-11,-0.8,104.1,106.6
2015-12,-0.6,103.7,105.8
2016-01,-1.2,104.0,106.6
2016-02,-2.0,104.4,106.9
2016-03,0.4,100.0,103.4
2016-04,0.2,101.0,104.7
2016-05,0.2,99.8,102.8
2016-06,0.0,102.9,102.5
2016-07,-0.2,106.8,109.8
2016-08,0.8,105.6,108.3
2016-09,0.8,104.6,107.6
2016-10,2.4,107.2,110.2
2016-11,3.4,108.6,111.5
2016-12,2.8,108.4,111.5
2017-01,2.6,109.2,112.4
2017-02,3.2,112.6,116.2
2017-03,3.6,111.0,114.2
2017-04,2.4,113.4,116.4
2017-05,2.4,112.0,114.7
2017-06,3.4,113.3,116.4
2017-07,2.8,114.6,117.4
2017-08,3.4,114.1,117.6
2017-09,4.8,118.6,121.9
2017-10,3.2,123.9,127.6
2017-11,3.6,121.3,124.6
2017-12,3.2,122.6,125.9
2018-01,2.6,122.3,125.7
2018-02,0.6,124.0,127.4
2018-03,3.0,122.3,125.7
2018-04,2.8,122.9,126.5
2018-05,3.8,122.9,126.1
2018-06,3.0,118.2,121.2
2018-07,2.4,119.7,122.5
2018-08,2.6,118.7,121.9
2018-09,1.6,118.5,121.9
2018-10,0.4,119.1,122.3
2018-11,0.0,122.1,125.3
2018-12,-1.2,123.0,126.3
2019-01,-1.0,123.7,127.2
2019-02,-1.6,126.0,129.3
2019-03,1.0,124.1,127.2
2019-04,0.2,125.3,128.7
2019-05,-1.2,123.4,126.2
2019-06,-1.2,125.9,129.4
2019-07,-0.6,124.4,127.6
2019-08,-1.0,122.4,125.4
2019-09,-0.4,124.1,128.0
2019-10,-1.4,124.3,128.5
2019-11,0.4,124.6,128.9
2019-12,0.4,126.6,130.6
2020-01,0.0,126.4,130.7
2020-02,-28.6,118.9,121.2
2020-03,4.0,122.2,125.2
2020-04,1.6,116.4,119.3
2020-05,1.2,115.8,118.8
2020-06,1.8,112.6,115.1
2020-07,2.2,117.2,120.6
2020-08,2.0,116.4,120.1
2020-09,3.0,120.5,124.2
2020-10,2.8,121.7,125.2
2020-11,4.2,124.0,127.0
2020-12,3.8,122.1,125.2
2021-01,2.6,122.8,126.0
2021-02,1.2,127.0,131.0
2021-03,3.8,122.2,126.7
2021-04,2.2,121.5,125.9
2021-05,2.0,121.8,125.4
2021-06,1.8,122.8,126.3
2021-07,0.8,117.8,120.4
2021-08,0.2,117.5,119.0
2021-09,-0.8,121.2,124.5
2021-10,-1.6,120.2,122.9
2021-11,0.2,119.5,122.6
2021-12,0.6,119.8,122.7
2022-01,0.2,121.5,124.5
2022-02,0.4,120.5,123.9
2022-03,-1.0,113.2,116.2
2022-04,-5.2,86.7,86.8
2022-05,-0.8,86.8,87.7
2022-06,0.4,88.9,91.0
2022-07,-1.0,87.9,89.6
2022-08,-0.8,87.0,87.9
2022-09,0.2,87.2,88.4
2022-10,-1.6,86.8,86.3
2022-11,-4.0,85.5,84.2
2022-12,-6.0,,
2023-01,0.2,,
