country,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
1976-03,,,,,,,,,,,,,,,,24.28,,65.75,,,,,,,,-11.0,,
1976-04,,,,,,,,,,,,,,,,31.33,,69.51,,,,,,,,-9.0,,
1976-05,,,,,,,,,,,,,,,,35.66,,74.47,,,,,,,,-7.0,,
1976-06,,,,,,,,,,,,,,,,33.02,,69.0,,,,,,,,-10.0,,
1976-07,,,,,,,,,,,,,,,,35.76,,76.1,,,,,,,,-14.0,,
1976-08,,,,,,,,,,,,,,,,40.54,,75.33,,,,,,,,-17.0,,
1976-09,,,,,,,,,,,,,,,,27.3,,73.6,,,,,,,,-21.0,,
1976-10,,,,,,,,,,,,,,,,25.8,,80.48,,,,,,,,-24.0,,
1976-11,,,,,,,,,,,,,,,,24.24,,78.2,,,,,,,,-22.0,,
1976-12,,,,,,,,,,,,,,,,24.84,,74.75,,,,,,,,-20.0,,
1977-01,,,,,,,,,,,,,,,,19.56,,74.85,,,,,,,,-16.0,,
1977-02,,,,,,,,,,,,,,,,20.82,,73.19,,,,,,,,-15.0,,
1977-03,,,,,,,,,,,,-1.24,,6.34,-18.37,20.65,,68.15,2.65,,,,,,,-16.0,,
1977-04,,,,,,,,,,,,-5.24,,10.83,-21.56,16.24,,67.34,0.23,,,,,,,-15.0,,
1977-05,,,,,,,,,,,,-4.57,,10.3,-22.02,17.11,,61.9,-6.11,,,,,,,-15.0,,
1977-06,,,,,,,,,,,,-5.9,,10.1,-26.26,17.53,,60.81,-12.26,,,,,,,-11.0,,
1977-07,,,,,,,,,,,,-6.23,,11.64,-25.31,17.18,,53.96,-8.0,,,,,,,-7.0,,
1977-08,,,,,,,,,,,,-4.23,,10.06,-25.56,22.09,,55.15,-16.03,,,,,,,-2.0,,
1977-09,,,,,,,,,,,,-3.9,,8.99,-25.64,22.47,,51.49,-12.74,,,,,,,2.0,,
1977-10,,,,,,,,,,,,-3.57,,8.33,-23.81,20.68,,49.08,-18.71,,,,,,,7.0,,
1977-11,,,,,,,,,,,,-0.57,,4.12,-23.73,25.12,,47.68,-16.27,,,,,,,8.0,,
1977-12,,,,,,,,,,,,-4.9,,8.49,-27.71,21.65,,50.78,-18.1,,,,,,,10.0,,
1978-01,,,,,,,,,,,,-5.23,,10.73,-25.56,20.14,,45.02,-27.58,,,,,,,12.0,,
1978-02,,,,,,,,,,,,-6.9,,11.46,-26.7,17.48,,43.39,-29.28,,,,,,,11.0,,
1978-03,,,,,,,,,,,,-9.23,,11.06,-29.52,12.44,,48.59,-31.49,,,,,,,12.0,,
1978-04,,,,,,,,,,,,-8.56,,13.97,-27.69,15.13,,45.17,-29.84,,,,,,,11.0,,
1978-05,,,,,,,,,,,,-7.89,,8.4,-26.85,11.59,,48.07,-22.86,,,,,,,12.0,,
1978-06,,,,,,,,,,,,-5.22,,9.01,-24.39,17.94,,54.96,-18.19,,,,,,,11.0,,
1978-07,,,,,,,,,,,,-2.22,,7.75,-19.43,20.81,,51.15,-20.05,,,,,,,10.0,,
1978-08,,,,,,,,,,,,0.11,,8.16,-14.55,22.89,,50.71,-10.99,,,,,,,8.0,,
1978-09,,,,,,,,,,,,-0.22,,9.01,-13.51,21.85,,54.99,-13.44,,,,,,,6.0,,
1978-10,,,,,,,,,,,,0.78,,7.08,-14.71,23.69,,53.49,-15.96,,,,,,,4.0,,
1978-11,,,,,,,,,,,,4.78,,7.18,-8.63,29.1,,53.78,-5.21,,,,,,,-1.0,,
1978-12,,,,,,,,,,,,-1.55,,6.5,-10.66,12.38,,57.59,-16.32,,,,,,,-5.0,,
1979-01,,,,,,,,,,,,-4.55,,11.8,-19.56,17.2,,58.99,-21.75,,,,,,,-10.0,,
1979-02,,,,,,,,,,,,0.45,,4.44,-14.79,20.13,,64.14,-16.4,,,,,,,-6.0,,
1979-03,,,,,,,,,,,,3.12,,2.66,-7.56,19.18,,62.18,-13.62,,,,,,,-3.0,,
1979-04,,,,,,,,,,,,5.12,,2.25,-6.18,22.36,,65.29,-13.79,,,,,,,2.0,,
1979-05,,,,,,,,,,,,3.45,,4.62,-5.68,20.16,,68.49,-13.49,,,,,,,6.0,,
1979-06,,,,,,,,,,,,-0.55,,-1.07,-7.6,5.04,,66.16,-16.41,,,,,,,4.0,,
1979-07,,,,,,,,,,,,-5.22,,3.92,-15.55,3.19,,67.96,-22.81,,,,,,,0.0,,
1979-08,,,,,,,,,,,,-7.22,,6.27,-20.6,4.6,,65.81,-28.16,,,,,,,-3.0,,
1979-09,,,,,,,,,,,,-8.55,,7.99,-22.4,4.33,,60.59,-27.07,,,,,,,-5.0,,
1979-10,,,,,,,,,,,,-9.55,,8.65,-25.24,5.04,,68.09,-24.32,,,,,,,-9.0,,
1979-11,,,,,,,,,,,,-15.22,,15.27,-30.23,-1.57,,65.73,-31.71,,,,,,,-11.0,,
1979-12,,,,,,,,,,,,-19.22,,15.49,-33.74,-8.64,,61.61,-31.98,,,,,,,-14.0,,
1980-01,,,,,,,,,,,,-20.85509,,15.0,-37.91539,-9.64988,,59.41,-25.96,,,,,,,-15.0,,
1980-02,,,,,,,,,,,,-22.6383,,16.0,-37.4074,-14.5075,,56.69,-26.03,,,,,,,-19.0,,
1980-03,,,,,,,,,,,,-25.68387,,18.0,-42.58652,-16.4651,,52.36,-30.71,,,,,,,-24.0,,
1980-04,,,,,,,,,,,,-30.63148,,26.0,-48.76465,-17.12979,,45.31,-37.32,,,,,,,-21.0,,
1980-05,,,,,,,,,,,,-37.73302,,26.0,-59.50193,-27.69715,,40.37,-47.38,,,,,,,-20.0,,
1980-06,,,,,,,,,,,,-43.73079,,30.0,-63.92998,-37.26239,,34.81,-48.33,,,,,,,-21.0,,
1980-07,,,,,,,,,,,,-48.07596,,36.0,-68.69602,-39.53187,,21.68,-48.47,,,,,,,-25.0,,
1980-08,,,,,,,,,,,,-51.05794,,38.0,-71.89594,-43.27787,,21.36,-45.79,,,,,,,-21.0,,
1980-09,,,,,,,,,,,,-51.15193,,35.0,-71.52762,-46.92817,,20.62,-56.63,,,,,,,-23.0,,
1980-10,,,,,,,,,,,,-44.5149,,33.0,-72.7711,-27.7736,,15.3,-57.86,,,,,,,-18.0,,
1980-11,,,,,,,,,,,,-47.88025,,35.0,-73.42369,-35.21706,,13.03,-53.34,,,,,,,-22.0,,
1980-12,,,,,,,,,,,,-46.04983,,32.0,-74.58614,-31.56336,,21.8,-54.56,,,,,,,-24.0,,
1981-01,,,,,,,,,,,,-38.8418,,31.0,-70.8999,-14.62551,,14.47,-57.01,,,,,,,-20.0,,
1981-02,,,,,,,,,,,,-39.62753,,25.0,-73.38742,-20.49516,,17.36,-62.03,,,,,,,-20.0,,
1981-03,,,,,,,,,,,,-38.00869,,24.0,-72.57262,-17.45345,,24.0,-59.88,,,,,,,-22.0,,
1981-04,,,,,,,,,,,,-34.95716,,26.0,-71.75884,-7.11266,,25.57,-57.78,,,,,,,-26.0,,
1981-05,,,,,,,,,,,,-31.73764,,21.0,-69.51289,-4.700027,,25.45,-54.07,,,,,,,-19.0,,
1981-06,,,,,,,,,,,,-29.74303,,18.0,-66.94444,-4.28465,,30.71,-50.09,,,,,,,-21.0,,
1981-07,,,,,,,,,,,,-27.08948,,20.0,-63.71389,2.445461,,33.9,-38.16,,,,,,,-24.0,,
1981-08,,,,,,,,,,,,-25.74066,,16.0,-62.91382,1.691844,,39.59,-46.78,,,,,,,-23.0,,
1981-09,,,,,,,,,,,,-22.83336,,14.0,-57.53675,3.036674,,42.88,-41.32,,,,,,,-18.0,,
1981-10,,,,,,,,,,,,-23.18163,,17.0,-55.77596,3.231065,,43.35,-35.99,,,,,,,-24.0,,
1981-11,,,,,,,,,,,,-21.88202,,17.0,-54.42173,5.775664,,47.01,-46.35,,,,,,,-20.0,,
1981-12,,,,,,,,,,,,-23.04859,,18.0,-54.58207,3.436291,,42.31,-37.29,,,,,,,-23.0,,
1982-01,,,,,,,,,,,,-24.49009,,18.0,-57.88369,2.413421,,37.29,-39.67,,,,,,,-18.0,,
1982-02,,,,,,,,,,,,-25.28297,,24.0,-51.36651,-0.4823946,,30.85,-41.61,,,,,,,-21.0,,
1982-03,,,,,,,,,,,,-21.33199,,18.0,-45.55571,-0.4402424,,28.18,-41.84,,,,,,,-16.0,,
1982-04,,,,,,,,,,,,-23.94542,,18.0,-54.75638,0.9201151,,26.81,-45.68,,,,,,,-15.0,,
1982-05,,,,,,,,,,,,-25.07401,,19.0,-50.52713,-5.694908,,27.58,-46.87,,,,,,,-10.0,,
1982-06,,,,,,,,,,,,-25.08811,,18.0,-51.95962,-5.304718,,30.74,-46.11,,,,,,,-7.0,,
1982-07,,,,,,,,,,,,-25.09959,,18.0,-55.73256,-1.566219,,25.16,-48.04,,,,,,,-8.0,,
1982-08,,,,,,,,,,,,-29.09077,,23.0,-55.93517,-8.337148,,25.51,-47.03,,,,,,,-7.0,,
1982-09,,,,,,,,,,,,-26.84604,,23.0,-51.53816,-5.999947,,20.43,-46.11,,,,,,,-9.0,,
1982-10,,,,,,,,,,,,-23.84248,,19.0,-51.77369,-0.753749,,18.16,-57.53,,,,,,,-6.0,,
1982-11,,,,,,,,,,,,-27.88148,,23.0,-56.41648,-4.227969,,19.72,-51.63,,,,,,,-3.0,,
1982-12,,,,,,,,,,,,-26.38108,,16.0,-56.57698,-6.566245,,17.58,-50.19,,,,,,,-5.0,,
1983-01,,,,,,,,,,,,-23.8047,,15.0,-52.87086,-3.543244,,24.29,-45.17,,,,,,,-3.0,,
1983-02,,,,,,,,,,,,-18.9376,,13.0,-48.34035,4.527544,,26.51,-37.02,,,,,,,-5.0,,
1983-03,,,,,,,,,,,,-12.31639,,12.0,-36.52158,11.5724,,27.6,-37.45,,,,,,,-1.0,,
1983-04,,,,,,,,,,,,-10.93137,,12.0,-39.75547,18.96135,,30.4,-28.03,,,,,,,-2.0,,
1983-05,,,,,,,,,,,,-7.742483,,9.0,-28.53229,14.30484,,29.65,-26.41,,,,,,,-2.0,,
1983-06,,,,,,,,,,,,-5.433558,,8.0,-25.97097,17.6703,,25.51,-31.78,,,,,,,-2.0,,
1983-07,,,,,,,,,,,,-8.777525,,13.0,-31.75713,18.42455,,29.17,-27.86,,,,,,,0.0,,
1983-08,,,,,,,,,,,,-5.445841,,10.0,-24.96172,18.6242,,29.32,-23.63,,,,,,,1.0,,
1983-09,,,,,,,,,,,,-3.527475,,7.0,-24.53953,20.9571,,29.02,-24.18,,,,,,,0.0,,
1983-10,,,,,,,,,,,,-5.505767,,9.0,-26.77579,19.25849,,32.93,-22.17,,,,,,,-1.0,,
1983-11,,,,,,,,,,,,0.7800996,,6.0,-20.42424,28.76454,,31.62,-13.05,,,,,,,1.0,,
1983-12,,,,,,,,,,,,2.944798,,7.0,-15.58666,31.42105,,39.09,-14.86,,,,,,,4.0,,
1984-01,,,,,,,,,,,,0.2043737,,7.0,-13.87288,21.486,,32.55,-15.74,,,,,,,3.0,,
1984-02,,,,,,,,,,,,2.071249,,8.0,-12.32228,26.53603,,33.1,-13.97,,,,,,,3.0,,
1984-03,,,,,,,,,,,,2.706939,,9.0,-10.47364,27.59446,,33.27,-11.63,,,,,,,-1.0,,
1984-04,,,,,,,,,,,,-1.246789,,10.0,-10.75604,17.01567,,25.84,-15.2,,,,,,,1.0,,
1984-05,,,,,,,,,,,,-0.405548,,9.0,-11.52343,19.30679,,28.27,-11.35,,,,,,,-6.0,,
1984-06,,,,,,,,,,,,-0.1064612,,8.0,-9.967621,17.64824,,28.33,-10.99,,,,,,,-8.0,,
1984-07,,,,,,,,,,,,1.211927,,7.0,-6.783144,17.41892,,33.2,-7.81,,,,,,,-9.0,,
1984-08,,,,,,,,,,,,-1.801387,,10.0,-10.98585,15.58168,,31.18,-6.85,,,,,,,-10.0,,
1984-09,,,,,,,,,,,,-1.543365,,8.0,-9.541031,12.91094,,36.79,-4.88,,,,,,,-8.0,,
1984-10,,,,,,,,,,,,-0.8390058,,8.0,-10.78615,16.26913,,34.18,-6.35,,,,,,,-9.0,,
1984-11,,,,,,,,,,,,-0.8894635,,10.0,-11.43532,18.76693,,35.73,-6.24,,,,,,,-7.0,,
1984-12,,,,,,,,,,,,0.9415426,,10.0,-9.596682,22.42131,,32.8,-4.1,,,,,,,-5.0,,
1985-01,1.5,-25.3,-15.4,-35.1,12.8,51.0,37.6,25.0,,32.4,13.6,-2.454174,-7.4,13.0,-14.87536,20.51284,13.4,32.8,-4.1,,,,,,,-9.9,-13.2,43.4
1985-02,1.1,-25.3,-15.5,-35.1,12.6,50.6,29.7,20.7,29.3,37.3,18.1,-0.5840038,-7.0,9.0,-11.30175,18.54974,13.9,35.6,-4.7,,,,,,,-13.8,-18.5,43.5
1985-03,0.9,-25.3,-15.5,-35.0,12.4,46.8,40.5,25.5,28.6,34.2,10.7,0.7357308,-6.7,12.0,-9.420192,23.62738,14.9,33.9,-3.1,,,,,,,-11.7,-13.8,50.1
1985-04,3.5,-24.9,-12.3,-37.4,7.5,48.2,32.5,19.8,28.7,31.5,21.3,4.43836,-5.6,7.0,-3.753618,24.0687,13.3,27.8,5.4,,,,,,,-13.2,-15.2,45.2
1985-05,4.1,-24.7,-12.0,-37.3,7.1,40.7,23.7,12.8,25.9,29.2,26.0,1.930734,-4.1,10.0,-1.509666,17.30187,13.7,29.0,2.6,,,,,,,-14.1,-18.4,46.1
1985-06,4.6,-24.5,-11.6,-37.5,6.7,41.3,25.1,13.6,26.0,30.3,25.8,3.887662,-3.4,8.0,-1.959184,21.62217,14.3,31.0,-3.3,,,,,,,-15.4,-21.3,51.1
1985-07,6.2,-21.4,-7.9,-34.9,9.1,43.1,27.1,15.5,26.0,34.1,23.9,0.2005671,-12.4,12.0,-2.80372,15.40542,18.2,27.9,2.8,,,,,,,-13.5,-17.6,41.5
1985-08,7.1,-20.9,-7.2,-34.5,9.1,41.5,46.7,23.0,32.0,33.4,19.2,-2.494872,-11.9,14.0,-8.012756,14.52814,19.2,20.6,-3.8,,,,,,,-14.0,-16.9,38.3
1985-09,8.2,-20.4,-6.6,-34.2,9.2,42.3,23.2,12.8,32.1,29.2,27.1,-1.230207,-11.4,14.0,-5.542735,15.85211,20.0,23.9,-8.6,,,,,,,-11.4,-13.7,35.3
1985-10,8.0,-19.8,-4.5,-35.2,14.2,41.4,24.9,16.3,32.2,27.1,17.5,0.490265,-6.9,12.0,-6.802687,20.27348,14.2,19.5,-7.5,,,,,,,-10.5,-12.2,35.8
1985-11,9.0,-19.2,-3.6,-34.9,14.4,42.8,25.4,16.6,33.8,25.6,18.5,-0.2268007,-6.3,13.0,-4.451415,16.77101,14.7,18.7,-1.7,,,,,,,-11.3,-12.3,32.0
1985-12,9.9,-18.6,-2.5,-34.6,14.1,42.8,28.9,18.3,33.9,34.6,16.7,0.6085412,-5.6,12.0,-8.609657,22.43528,15.6,19.3,-9.3,,,,,,,-9.0,-9.9,33.3
1986-01,10.2,-8.7,5.3,-22.6,22.1,41.9,38.6,20.6,35.7,35.4,18.6,-9.119693,-11.5,16.0,-16.89415,5.535074,8.5,18.3,-12.7,,,,,,,-10.4,-14.4,36.8
1986-02,11.3,-7.7,6.2,-21.6,22.9,43.5,35.5,20.0,37.5,28.3,19.1,-1.572685,-10.9,13.0,-11.288,19.56995,9.1,15.6,-10.8,,,,,,,-11.7,-17.3,38.0
1986-03,12.8,-6.7,7.2,-20.6,24.1,39.6,24.4,14.1,36.7,25.4,21.7,-5.233458,-10.3,11.0,-13.36951,8.669138,9.7,17.1,-12.5,,,,,,,-12.2,-18.3,33.5
1986-04,-6.8,-17.1,0.1,-34.3,18.1,41.1,19.6,13.4,37.0,31.5,20.4,-8.873598,-17.5,15.0,-22.74857,11.12777,-4.1,16.4,-20.8,,,,,,,-11.0,-13.7,30.2
1986-05,-6.8,-16.7,0.6,-34.0,18.4,44.3,21.6,16.2,26.8,34.8,17.3,-7.397151,-16.6,14.0,-18.48713,10.29568,-4.6,17.5,-15.1,,,,,,,-11.3,-14.4,27.6
1986-06,-6.6,-16.4,1.2,-33.9,18.6,44.7,30.0,17.6,26.8,32.6,21.8,-10.7813,-16.1,18.0,-22.94279,8.598881,-4.8,13.2,-22.5,,,,,,,-10.8,-14.4,25.2
1986-07,2.8,-5.5,11.5,-22.5,19.3,46.1,26.2,17.8,26.8,28.1,18.8,-10.8102,-17.0,16.0,-22.81592,6.385313,-3.9,16.7,-23.2,,,,,,,-9.5,-12.7,26.1
1986-08,3.5,-4.5,12.6,-21.7,19.6,40.1,26.8,18.8,25.4,29.4,10.3,-9.858468,-16.7,15.0,-21.04152,6.466115,-3.8,17.0,-20.0,,,,,,,-8.8,-13.8,28.8
1986-09,4.3,-3.6,13.6,-20.8,19.8,40.9,30.3,19.4,25.6,40.1,13.1,-6.916833,-16.6,12.0,-20.53969,11.7892,-3.8,17.2,-18.9,,,,,,,-8.8,-10.6,31.3
1986-10,11.6,-4.2,3.8,-12.3,27.4,39.7,28.8,17.7,25.6,35.1,15.5,-3.509953,-16.6,10.0,-16.81511,16.28524,0.9,16.0,-16.7,,,,,,,-8.0,-9.4,28.9
1986-11,12.7,-3.4,4.2,-11.0,28.0,45.8,25.5,19.6,16.1,38.6,12.5,-0.5582387,-16.2,11.0,-8.455413,17.7807,1.0,20.6,-10.5,,,,,,,-6.3,-5.3,30.5
1986-12,13.9,-2.6,4.7,-9.8,28.5,45.7,33.9,21.0,16.1,35.9,16.5,-0.7180839,-15.6,5.0,-11.616,14.46174,1.2,21.9,-9.5,,,,,,,-7.1,-6.9,34.8
1987-01,17.7,-4.8,9.3,-18.9,36.2,44.3,28.7,18.6,17.9,30.8,17.4,-2.12583,-8.8,10.0,-12.92368,16.54618,7.6,21.5,-9.8,,,,,,,-8.1,-6.7,35.4
1987-02,18.7,-4.1,9.8,-18.0,37.6,46.6,34.2,21.5,33.6,34.5,16.4,6.444056,-8.1,6.0,-0.2685901,25.60076,8.0,27.1,-6.0,,,,,,,-2.0,3.6,30.9
1987-03,20.4,-3.3,10.3,-16.9,38.8,43.4,32.7,20.5,31.6,30.0,14.5,7.798876,-7.3,7.0,0.6848542,29.71177,8.2,23.0,-9.0,,,,,,,-2.4,3.2,30.0
1987-04,30.7,4.3,20.4,-11.8,47.5,44.3,35.7,25.4,31.7,36.1,3.8,6.477444,-7.2,5.0,2.246803,22.18553,16.8,24.3,-7.9,,,,,,,-0.1,3.2,32.7
1987-05,31.8,5.1,21.2,-11.0,48.7,50.9,36.6,27.6,43.3,45.0,4.5,11.60691,-6.5,0.0,7.535607,27.28514,17.7,30.7,-7.3,,,,,,,-0.6,4.6,33.6
1987-06,32.6,5.8,22.0,-10.4,49.9,51.4,21.8,22.8,43.5,27.4,4.7,12.5459,-5.6,-1.0,1.062055,35.57565,18.3,27.2,5.5,,,,,,,1.9,9.6,26.2
1987-07,28.4,13.6,25.1,2.1,50.8,53.1,34.2,26.0,43.8,41.4,9.3,10.50374,0.7,1.0,8.161658,24.34958,22.8,25.7,12.3,,,,,,,-0.8,5.8,34.1
1987-08,29.3,14.8,26.1,3.6,51.9,48.7,21.0,20.2,34.3,40.1,9.0,16.10539,1.6,-1.0,9.920511,37.39567,23.5,29.6,11.1,,,,,,,-0.2,6.2,34.8
1987-09,30.1,16.1,27.2,5.0,52.7,49.5,27.8,21.4,34.6,44.5,13.2,12.39176,2.5,3.0,9.454232,30.72106,24.3,28.4,9.9,,,,,,,-1.9,2.3,35.8
1987-10,42.9,28.6,40.8,16.3,61.5,48.3,33.5,25.4,35.0,38.4,5.5,17.15578,5.2,-7.0,16.16924,28.29811,24.2,27.9,10.6,,,,,,,-0.2,4.2,37.8
1987-11,44.3,30.3,42.2,18.3,62.9,41.1,27.6,21.4,47.2,45.4,4.5,19.78189,6.1,-5.0,13.5489,40.79676,25.0,31.6,12.9,,,,,,,-2.5,0.7,41.5
1987-12,45.6,31.9,43.6,20.3,64.2,40.8,22.0,17.4,47.5,44.0,10.8,16.62172,7.0,2.0,16.37647,35.48869,25.8,29.4,6.4,,,,,,,-2.4,0.1,36.3
1988-01,52.9,27.8,41.8,13.9,56.7,45.9,43.0,27.2,48.8,42.2,7.2,16.86134,9.4,-1.0,22.0397,27.54431,32.8,31.6,13.4,,,,,,,-2.5,1.9,38.4
1988-02,54.4,29.1,43.0,15.3,57.6,42.9,39.4,24.8,29.7,41.1,7.8,17.4686,10.2,-2.0,17.76258,32.64322,33.7,29.1,11.5,,,,,,,-2.5,1.1,41.2
1988-03,55.9,30.4,44.2,16.7,58.4,40.5,37.7,24.7,29.6,42.4,4.2,16.16985,11.2,1.0,16.74625,32.76329,34.5,24.8,8.5,,,,,,,-2.0,0.8,36.5
1988-04,43.9,26.2,38.9,13.5,69.4,40.9,26.9,18.8,29.5,46.7,11.4,13.1606,6.5,2.0,15.24428,26.23753,34.8,29.9,5.8,,,,,,,-4.4,-3.3,42.5
1988-05,44.3,27.0,39.6,14.3,70.8,48.3,36.3,26.8,34.2,37.5,4.3,17.28189,6.9,-3.0,18.56938,30.27628,35.2,22.0,3.8,,,,,,,-1.9,0.4,43.8
1988-06,44.7,27.7,40.3,15.1,72.0,48.8,39.9,25.4,34.3,44.3,12.3,13.53911,7.3,-1.0,11.05568,28.56165,35.5,30.3,4.0,,,,,,,-2.6,-0.5,48.4
1988-07,43.0,29.4,37.5,21.2,69.1,49.8,27.2,21.6,34.4,43.4,12.2,14.48145,14.4,1.0,16.1396,28.30474,29.5,29.5,9.0,,,,,,,-3.2,-3.1,51.1
1988-08,43.2,30.3,38.2,22.5,70.0,48.7,42.5,29.0,42.1,39.7,4.3,16.07203,15.1,0.0,15.8822,32.33389,29.5,29.5,5.8,,,,,,,-4.3,-4.3,51.5
1988-09,43.4,31.3,38.9,23.7,70.9,49.3,26.3,23.5,42.3,39.0,5.1,15.69857,15.7,0.0,15.44251,31.65319,29.4,33.8,8.7,,,,,,,-6.5,-8.0,51.2
1988-10,43.4,31.4,38.7,24.1,69.5,49.2,21.9,20.7,42.3,41.3,9.1,14.48865,9.0,1.0,17.15945,27.3065,27.3,34.7,6.0,,,,,,,-8.3,-10.0,49.9
1988-11,43.7,32.5,39.4,25.7,70.5,35.1,34.9,19.6,42.6,33.9,11.2,12.79414,9.2,6.0,14.55491,29.82749,27.1,35.6,-2.9,,,,,,,-7.1,-12.8,51.1
1988-12,43.9,33.6,40.0,27.1,71.4,34.4,23.9,14.2,42.7,18.4,15.7,14.29757,9.3,1.0,12.37122,31.5215,27.1,33.0,-3.0,,,,,,,-10.5,-15.6,52.8
1989-01,49.6,40.6,49.2,32.0,67.4,32.0,19.9,12.7,44.4,22.4,13.9,7.17987,3.3,7.0,9.009771,19.52984,29.8,29.9,-3.4,,,,,,,-11.1,-15.7,52.5
1989-02,50.9,41.8,50.3,33.3,68.1,29.2,3.2,4.8,39.2,15.5,17.9,5.827075,3.2,6.0,0.7939996,22.68723,29.6,27.0,-9.3,,,,,,,-9.2,-9.4,48.9
1989-03,52.6,43.1,51.4,34.7,68.9,27.6,22.8,9.8,39.4,21.9,21.1,3.874967,3.2,9.0,2.808392,17.81651,29.7,27.3,-11.9,,,,,,,-13.4,-18.5,51.9
1989-04,39.0,34.2,34.6,33.7,63.9,27.0,25.5,12.3,39.3,19.6,15.7,-0.1628279,-1.8,12.0,2.23852,9.272997,15.1,28.5,-5.6,,,,,,,-14.2,-20.1,53.2
1989-05,39.3,34.9,34.9,35.0,64.6,22.3,27.5,10.3,32.5,18.4,18.9,-0.3779976,-2.1,8.0,-7.397436,14.26344,14.6,28.6,-11.7,,,,,,,-12.7,-18.5,50.7
