country,USA,USA,USA,USA
2015-Q2,5.2,76.05006,4.489361,3.366667
2015-Q3,1.933333,76.26337,1.380195,3.433333
2015-Q4,-2.8,75.68763,-3.112926,3.233333
2016-Q1,-0.3333333,75.5328,-4.937031,3.1
2016-Q2,3.533333,75.15804,-0.1212559,3.133333
2016-Q3,2.333333,75.08487,-2.080738,3.066667
2016-Q4,6.533333,75.12797,4.098134,2.933333
2017-Q1,13.93333,75.35083,12.88278,3.2
2017-Q2,11.66667,76.21757,9.996232,3.066667
2017-Q3,17.26667,76.1702,16.02335,3.133333
2017-Q4,17.73333,77.0926,16.55842,3.033333
2018-Q1,19.46667,77.3251,14.19769,3.133333
2018-Q2,17.46667,77.83697,12.9387,3.433333
2018-Q3,19.46667,78.10664,15.35045,3.566667
2018-Q4,14.2,77.49937,12.93653,3.433333
2019-Q1,10.66667,76.52296,9.870445,2.966667
2019-Q2,4.4,75.77523,7.807127,3.333333
2019-Q3,-1.266667,75.6762,-2.684503,3.3
2019-Q4,-4.266667,75.37783,-7.309619,2.966667
2020-Q1,0.06666667,74.40083,-9.850617,2.733333
2020-Q2,-8.533334,64.2776,-32.02601,3.0
2020-Q3,10.4,71.94863,-5.915599,3.433333
2020-Q4,18.2,74.28513,1.165351,3.066667
2021-Q1,22.8,75.66666,8.903584,4.133333
2021-Q2,21.66667,76.73333,4.625141,5.366667
2021-Q3,20.33333,77.5,3.240367,5.966667
2021-Q4,20.4,78.53333,5.967854,6.433333
2022-Q1,15.53333,79.1,8.574511,6.733333
2022-Q2,9.666667,79.56667,-1.28304,7.933333
2022-Q3,4.333333,79.4,2.374729,7.033333
2022-Q4,-0.7333333,78.5,-0.2080324,7.066667
2023-Q1,-2.966667,78.2,-1.623926,5.733333
2023-Q2,-3.333333,78.26667,-1.109229,6.033333
