country,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA
1987-06,,,,,,,,,,82.0,-0.9,9.1,-17.7,21.6,-1.6,,,,,
1987-07,,,,,,,,,,76.1,-20.4,-17.9,-47.1,-16.5,1.2,,,,,
1987-08,,,,,,,,,,80.7,-1.3,2.1,-16.2,21.2,-1.7,,,,,
1987-09,,,,,,,,,,80.0,1.7,-1.1,-13.9,22.6,-1.1,,,,,
1987-10,,,,,,,,,,79.3,4.7,-4.3,-11.6,25.4,-2.4,,,,,
1987-11,,,,,,,,,,79.6,2.0,-6.2,-11.9,19.7,-0.7,,,,,
1987-12,,,,,,,,,,80.0,1.4,-8.5,-12.4,18.2,-0.4,,,,,
1988-01,,,,,,,,,,80.3,0.3,-9.4,-12.8,13.7,-0.1,,,,,
1988-02,,,,,,,,,,80.4,3.0,-11.2,-14.7,16.4,1.2,,,,,
1988-03,,,,,,,,,,80.4,3.7,-12.8,-15.6,17.0,2.1,,,,,
1988-04,,,,,,,,,,80.4,5.8,-14.2,-17.3,15.8,5.5,,,,,
1988-05,,,,,,,,,,79.9,5.0,-13.6,-15.0,18.4,2.1,,,,,
1988-06,,,,,,,,,,79.5,5.1,-12.9,-12.9,18.4,1.4,,,,,
1988-07,,,,,,,,,,79.1,5.1,-12.9,-11.1,20.2,0.2,,,,,
1988-08,,,,,,,,,,79.2,3.7,-11.9,-11.3,19.1,0.2,,,,,
1988-09,,,,,,,,,,79.2,2.7,-12.1,-12.8,20.7,-0.1,,,,,
1988-10,,,,,,,,,,79.2,1.1,-12.3,-13.6,18.8,-0.4,,,,,
1988-11,,,,,,,,,,79.3,3.0,-8.1,-15.8,20.8,-1.7,,,,,
1988-12,,,,,,,,,,79.4,2.3,-4.5,-19.6,22.1,-2.4,,,,,
1989-01,,,,,,,,,,79.4,1.8,-1.3,-21.6,25.4,-4.1,,,,,
1989-02,,,,,,,,,,79.4,6.0,-1.2,-12.9,25.4,-3.8,,,,,
1989-03,,,,,,,,,,79.4,8.7,-1.7,-3.5,26.0,-3.9,,,,,
1989-04,,,,,,,,,,79.4,13.4,-2.3,5.5,33.0,-1.6,,,,,
1989-05,,,,,,,,,,80.6,12.1,2.4,6.2,25.4,-6.9,,,,,
1989-06,,,,,,,,,,81.8,13.1,5.1,8.0,23.4,-9.6,,,,,
1989-07,,,,,,,,,,83.0,14.8,23.2,9.0,16.9,-11.7,,,,,
1989-08,,,,,,,,,,82.8,12.8,10.1,4.6,20.1,-14.8,,,,,
1989-09,,,,,,,,,,82.5,11.6,9.9,0.3,18.7,-17.0,,,,,
1989-10,,,,,,,,,,82.2,12.3,9.6,-4.4,15.2,-21.5,,,,,
1989-11,,,,,,,,,,81.6,8.1,4.9,-11.7,17.8,-21.7,,,,,
1989-12,,,,,,,,,,81.1,5.4,0.5,-19.6,17.1,-25.4,,,,,
1990-01,,,,,,,,,,80.4,2.1,-3.1,-26.2,13.9,-28.1,,,,,
1990-02,,,,,,,,,,79.9,1.0,-4.3,-25.9,17.4,-26.8,,,,,
1990-03,,,,,,,,,,79.3,0.7,-4.7,-26.4,18.9,-24.9,,,,,
1990-04,,,,,,,,,,61.4,-38.9,-44.5,-71.3,-55.2,-26.6,,,,,
1990-05,,,,,,,,,,78.1,-1.9,-4.5,-21.8,22.4,-19.9,,,,,
1990-06,,,,,,,,,,77.6,-2.9,-2.0,-18.1,23.5,-15.7,,,,,
1990-07,,,,,,,,,,77.0,-5.5,11.2,-13.7,31.2,-8.7,,,,,
1990-08,,,,,,,,,,77.4,-6.2,-2.0,-17.5,25.2,-15.8,,,,,
1990-09,,,,,,,,,,77.7,-7.4,-3.0,-20.6,22.7,-20.0,,,,,
1990-10,,,,,,,,,,78.1,-7.3,-4.4,-24.0,17.9,-25.5,,,,,
1990-11,,,,,,,,,,77.5,-8.9,-5.1,-24.7,24.7,-20.7,,,,,
1990-12,,,,,,,,,,76.8,-9.6,-6.5,-23.7,25.2,-17.4,,,,,
1991-01,,,,,,,,,,69.5,-37.7,-27.0,-49.2,-20.4,-9.1,,,,,
1991-02,,,,,,,,,,75.6,-10.0,-6.3,-22.0,28.4,-14.8,,,,,
1991-03,,,,,,,,,,75.0,-9.4,-4.7,-20.4,29.0,-14.9,,,,,
1991-04,,,,,,,,,,74.4,-8.1,7.3,-19.1,35.9,-18.6,,,,,
1991-05,,,,,,,,,,75.7,-6.9,-1.5,-18.7,29.3,-18.8,,,,,
1991-06,,,,,,,,,,76.8,-5.9,-1.0,-18.1,27.5,-22.7,,,,,
1991-07,,,,,,,,,,78.0,10.2,0.3,1.8,32.2,-27.6,,,,,
1991-08,,,,,,,,,,77.8,-8.2,-2.0,-24.5,21.1,-23.8,,,,,
1991-09,,,,,,,,,,77.4,-10.4,-4.0,-31.6,15.6,-23.0,,,,,
1991-10,,,,,,,,,,77.1,-15.9,-6.4,-36.7,4.8,-22.6,,,,,
1991-11,,,,,,,,,,74.9,-13.0,-14.1,-38.6,10.6,-22.7,,,,,
1991-12,,,,,,,,,,72.7,-11.6,-21.6,-41.8,9.1,-21.4,,,,,
1992-01,,,,,,,,,,70.6,-27.6,-28.9,-43.2,5.3,-21.1,,,,,
1992-02,,,,,,,,,,71.1,-10.0,-30.3,-41.0,11.4,-18.8,,,,,
1992-03,,,,,,,,,,71.8,-10.3,-30.7,-38.3,13.0,-15.9,,,,,
1992-04,,,,,,,,,,72.4,-9.4,-30.9,-35.7,19.3,-14.6,,,,,
1992-05,,,,,,,,,,72.6,-11.0,-28.5,-34.7,12.4,-14.8,,,,,
1992-06,,,,,,,,,,72.8,-11.9,-26.0,-32.1,11.5,-14.7,,,,,
1992-07,,,,,,,,,,73.0,-11.7,-23.7,-30.7,6.3,-14.6,,,,,
1992-08,,,,,,,,,,73.1,-13.2,-22.0,-30.6,10.1,-14.8,,,,,
1992-09,,,,,,,,,,73.0,-16.4,-20.0,-29.5,10.6,-14.0,,,,,
1992-10,,,,,,,,,,73.1,-19.8,-17.2,-29.2,9.5,-15.6,,,,,
1992-11,,,,,,,,,,73.3,-16.0,-14.1,-21.6,12.7,-14.7,,,,,
1992-12,,,,,,,,,,73.4,-14.7,-11.6,-13.7,15.1,-13.5,,,,,
1993-01,,,,,,,,,,73.6,-12.4,-8.9,-5.8,35.4,-12.1,,,,,
1993-02,,,,,,,,,,74.8,-13.0,-9.3,-3.0,15.5,-11.8,,,,,
1993-03,,,,,,,,,,76.1,-12.3,-9.7,-0.3,15.0,-9.9,,,,,
1993-04,,,,,,,,,,77.3,-11.6,-9.1,2.8,13.7,-5.6,,,,,
1993-05,,,,,,,,,,77.9,-13.0,-9.5,-1.7,15.4,-9.8,,,,,
1993-06,,,,,,,,,,78.4,-12.9,-11.0,-5.1,16.4,-9.7,,,,,
1993-07,,,,,,,,,,79.0,-13.6,-10.6,-9.2,17.0,-13.5,,,,,
1993-08,,,,,,,,,,78.4,-13.3,-10.0,-9.5,18.1,-10.8,,,,,
1993-09,,,,,,,,,,77.7,-12.3,-9.0,-9.6,17.7,-10.0,,,,,
1993-10,,,,,,,,,,77.1,-14.0,-8.1,-9.7,14.9,-12.7,,,,,
1993-11,,,,,,,,,,77.6,-11.9,-7.1,-9.6,21.8,-6.7,,,,,
1993-12,,,,,,,,,,78.1,-9.7,-4.6,-8.7,24.1,-5.5,,,,,
1994-01,,,,,,,,,,78.6,-6.2,-3.0,-8.4,28.3,-3.2,,,,,
1994-02,,,,,,,,,,78.8,-9.1,-5.3,-7.0,27.3,-3.8,,,,,
1994-03,,,,,,,,,,79.1,-10.3,-5.7,-6.3,29.0,-2.9,,,,,
1994-04,,,,,,,,,,79.3,-12.7,-7.2,-5.5,32.7,-1.5,,,,,
1994-05,,,,,,,,,,79.6,-9.8,-6.5,-6.7,29.5,-2.8,,,,,
1994-06,,,,,,,,,,79.8,-8.0,-5.0,-9.1,29.3,-1.7,,,,,70.63658
1994-07,,,,,,,,,,80.1,-7.5,-3.6,-10.7,31.8,-1.5,,,,,76.56122
1994-08,,,,,,,,,,80.7,-4.4,-1.0,0.5,29.0,0.2,,,,,83.75151
1994-09,,,,,,,,,,81.4,-1.2,3.0,10.4,27.9,2.0,,,,,84.42597
1994-10,,,,,,,,,,82.1,1.5,14.0,20.5,28.5,6.3,,,,,86.17439
1994-11,,,,,,,,,,83.1,2.2,8.0,21.4,28.0,2.3,,,,,87.93903
1994-12,,,,,,,,,,84.1,4.2,10.4,22.3,26.9,0.5,,,,,88.79968
1995-01,,,,,,,,,,85.1,8.4,12.1,23.0,29.0,-0.2,,,,,90.0845
1995-02,,,,,,,,,,85.4,3.8,12.7,17.0,24.1,-3.8,,,,,89.84945
1995-03,,,,,,,,,,85.8,1.8,12.3,11.6,20.3,-4.9,,,,,85.23319
1995-04,,,,,,,29.7,42.0,7.7,86.1,1.8,12.5,6.4,17.2,-6.6,,,,,81.54685
1995-05,,,,,,,15.8,28.5,-1.6,85.1,-6.7,-0.5,-2.3,15.2,-9.6,,,,,81.10499
1995-06,,,,,,,6.0,15.4,-9.9,84.0,-13.1,-13.2,-10.9,11.8,-13.5,,,,,79.66904
1995-07,,,,,,,-5.1,4.0,-23.6,83.0,-23.6,-25.9,-38.3,-3.2,-18.0,,,,,77.71445
1995-08,,,,,,,-7.2,5.3,-18.1,82.4,-17.2,-25.9,-22.2,11.9,-16.4,,,,,77.27723
1995-09,,,,,,,-11.8,6.7,-19.4,81.8,-17.0,-27.9,-26.7,14.0,-17.8,,,,,77.47711
1995-10,,,,,,,-23.1,7.8,-20.8,81.1,-15.7,-28.8,-31.2,20.9,-19.3,,,,,77.4318
1995-11,,,,,,,-11.2,8.5,-18.5,81.2,-17.5,-24.0,-29.3,16.7,-18.1,,,,,77.39935
1995-12,,,,,,,-7.3,9.8,-16.0,81.3,-16.9,-18.5,-25.9,17.5,-19.2,,,,,77.66917
1996-01,,,,,,,0.4,9.5,-13.9,81.4,-19.1,-13.8,-23.5,17.1,-19.6,,,,,79.27908
1996-02,,,,,,,-2.5,13.7,-12.9,81.8,-16.5,-15.1,-20.9,20.0,-15.6,,,,,80.52431
1996-03,,,,,,,-2.7,16.0,-11.7,82.2,-15.3,-15.7,-17.3,21.8,-15.3,,,,,82.46277
1996-04,,,,,,,-2.5,21.2,-10.1,82.5,-12.3,-16.5,-14.6,23.2,-3.5,,,,,82.24348
1996-05,,,,,,,-0.5,27.3,-7.9,82.2,-12.6,-14.5,-11.2,25.4,-12.6,,,,,80.79681
1996-06,,,,,,,2.2,35.6,-5.5,81.7,-11.1,-14.2,-8.0,26.6,-11.5,,,,,81.13226
1996-07,,,,,,,5.3,43.6,-2.3,81.3,-9.9,-13.0,-5.3,32.7,-8.0,,,,,81.27838
1996-08,,,,,,,6.0,43.4,-3.0,82.2,-11.1,-13.8,-3.1,26.9,-7.4,,,,,82.00648
1996-09,,,,,,,8.1,42.7,-2.5,83.1,-11.0,-14.9,-0.6,27.1,-5.8,,,,,81.79987
1996-10,,,,,,,8.5,42.8,-3.3,83.9,-11.9,-16.7,1.9,20.5,-1.4,,,,,83.01999
1996-11,,,,,,,8.8,42.4,-2.0,83.8,-11.5,-16.0,2.7,27.7,-5.1,,,,,84.0987
1996-12,,,,,,,8.6,44.9,-0.9,83.5,-10.9,-14.5,4.2,29.4,-7.2,,,,,84.34598
1997-01,,,,,,,6.9,43.3,-0.3,83.3,-11.7,-12.8,5.0,34.9,-8.7,,,,,85.34154
1997-02,,,,,,,6.4,43.8,-0.4,83.7,-10.6,-10.1,4.1,30.7,-7.6,,,,,84.61767
1997-03,,,,,,,5.3,44.0,-0.6,84.1,-10.3,-8.7,2.7,29.8,-7.4,,,,,86.08509
1997-04,,,,,,,5.2,45.2,-0.1,84.3,-11.2,-6.6,1.7,32.2,-8.4,,,,,86.58405
1997-05,,,,,,,4.2,42.3,-1.9,84.4,-9.7,-9.6,-0.3,27.4,-5.6,,,,,83.04723
1997-06,,,,,,,4.3,39.6,-3.2,84.4,-8.1,-13.2,-3.0,26.6,-4.5,,,,,81.48598
1997-07,,,,,,,3.9,37.6,-4.6,84.5,-6.2,-17.0,-5.3,23.8,-1.0,,,,,82.56106
1997-08,,,,,,,4.1,37.4,-4.9,84.4,-8.1,-17.8,-5.0,24.8,-5.3,,,,,81.32472
1997-09,,,,,,,4.1,37.6,-5.1,84.2,-9.9,-17.9,-3.7,23.4,-5.8,,,,,78.01421
1997-10,,,,,,,5.1,37.8,-4.8,84.1,-10.0,-18.7,-3.0,24.6,-8.4,,,,,77.17948
1997-11,,,,,,,-3.3,27.4,-9.5,83.2,-12.5,-22.0,-5.3,18.9,-10.2,,,,,77.68883
1997-12,,,,,,,-9.5,17.0,-13.6,82.2,-16.0,-24.5,-7.8,16.1,-11.2,,,,,75.56719
1998-01,,,,,,,-19.6,6.3,-19.6,81.2,-22.2,-27.7,-10.2,7.0,-11.7,,,,,76.03533
1998-02,,,,,,,-14.7,8.8,-16.7,81.4,-17.7,-26.1,-10.9,14.4,-12.5,,,,,80.11111
1998-03,,,,,,,-12.9,9.9,-15.5,81.5,-15.3,-23.7,-11.5,14.9,-14.4,,,,,78.86113
1998-04,,,,,,,-11.0,13.4,-13.9,81.7,-12.2,-22.6,-12.1,17.4,-15.3,,,,,74.40358
1998-05,,,,,,,-13.2,18.2,-13.5,82.2,-12.7,-19.6,-14.4,17.4,-18.6,,,,,72.87189
1998-06,,,,,,,-15.6,22.7,-13.5,82.6,-13.0,-17.1,-16.9,16.5,-22.5,,,,,75.74238
1998-07,,,,,,,-16.7,28.4,-12.6,83.0,-10.4,-14.1,-19.7,15.7,-28.9,,,,,79.89372
1998-08,,,,,,,-20.6,15.5,-16.6,82.3,-15.0,-16.8,-24.8,17.8,-26.3,,,,,83.05193
1998-09,,,,,,,-24.1,3.6,-20.3,81.5,-17.9,-18.9,-29.8,17.5,-26.8,,,,,84.4533
1998-10,,,,,,,-28.7,-9.0,-30.5,80.8,-23.0,-36.6,-35.4,-4.8,-26.4,,,,,84.86113
1998-11,,,,,,,-26.5,-6.7,-23.2,80.5,-20.5,-22.0,-32.4,18.0,-28.2,,,,,81.87034
1998-12,,,,,,,-26.1,-4.8,-22.6,80.1,-20.9,-22.6,-29.6,18.0,-27.2,,,,,75.19596
1999-01,,,,,,,-25.3,-4.0,-21.6,79.7,-21.1,-23.7,-26.1,21.4,-29.8,,,,,75.91687
1999-02,,,,,,,-26.3,0.9,-21.1,79.6,-20.7,-22.1,-25.6,18.4,-20.5,,,,,73.91141
1999-03,,,,,,,-27.3,6.8,-19.9,79.4,-19.4,-20.7,-23.8,17.7,-15.4,,,,,67.23973
1999-04,,,,,,,-29.7,12.5,-19.8,79.3,-20.0,-18.7,-23.2,13.6,-7.2,,,,,67.30383
1999-05,,,,,,,-22.9,20.2,-14.7,79.4,-14.8,-15.6,-18.7,20.4,-7.8,,,,,67.97675
1999-06,,,,,,,-17.3,27.7,-10.8,79.4,-11.1,-13.1,-13.8,22.6,-7.5,,,,,74.64726
1999-07,,,,,,,-11.1,36.7,-5.8,79.4,-6.5,-9.1,-9.8,28.5,4.0,,,,,78.21333
1999-08,,,,,,,-7.5,36.4,-5.3,79.8,-6.0,-8.9,-7.7,25.0,-4.3,,,,,77.77249
1999-09,,,,,,,-4.1,38.5,-4.2,80.2,-4.7,-9.9,-5.7,24.6,-1.8,,,,,78.17419
1999-10,,,,,,,0.2,38.8,-2.4,80.6,-2.4,-9.6,-3.4,26.7,1.7,,,,,76.52848
1999-11,,,,,,,3.3,43.4,-2.6,80.8,-3.3,-10.0,-5.4,22.0,0.8,,,,,75.75204
1999-12,,,,,,,6.1,46.3,-2.6,80.8,-4.9,-11.6,-5.5,19.8,1.7,,,,,76.10609
2000-01,,,,,,,9.3,49.6,-3.0,81.0,-7.8,-11.7,-6.7,14.9,5.2,,,,,79.05576
2000-02,,,,,,,9.9,48.9,-1.4,81.4,-2.9,-11.1,-5.5,19.2,1.6,,,,,82.07217
2000-03,,,,,,,11.6,48.7,0.1,81.7,-0.3,-9.7,-3.0,20.7,-2.4,,,,,78.67039
2000-04,,,,,,,12.8,49.5,1.2,82.1,2.8,-8.7,-1.8,20.3,-5.1,,,,,75.78345
2000-05,,,,,,,16.8,52.0,3.7,81.9,4.3,-7.6,2.2,23.6,-2.8,,,,,73.67371
2000-06,,,,,,,19.7,54.7,6.1,81.8,6.8,-5.1,5.3,25.4,-1.5,,,,,76.07061
2000-07,,,,,,,24.7,59.3,9.5,81.7,9.7,-3.1,9.2,29.8,4.0,,,,,77.83596
2000-08,,,,,,,19.7,57.3,7.1,81.7,8.9,-4.9,6.4,26.0,-2.3,,,,,74.49902
2000-09,,,,,,,16.8,54.6,5.6,81.6,9.5,-6.9,4.2,25.7,-5.9,,,,,74.88722
2000-10,,,,,,,13.1,52.4,4.1,81.6,10.4,-8.6,1.0,26.4,-11.3,,,,,77.93281
2000-11,,,,,,,14.3,52.6,4.0,82.1,9.7,-8.0,1.5,23.0,-5.2,,,,,78.33491
2000-12,,,,,,,14.4,51.3,3.5,82.5,8.1,-6.6,0.7,21.7,-1.3,,,,,79.01461
2001-01,,,,,,,17.9,52.0,6.0,82.8,8.0,-3.2,4.2,22.7,-2.3,,,,,83.95194
2001-02,,,,,,,16.6,50.3,7.0,82.6,12.6,-6.3,0.0,38.5,-2.7,,,,,84.94955
2001-03,,,,,,,13.5,50.9,3.5,82.6,8.9,-8.5,-4.2,28.9,-3.6,,,,,82.63923
2001-04,,,,,,,10.3,51.7,2.0,82.0,7.6,-11.0,-6.0,29.7,-2.7,,,,,81.0774
2001-05,,,,,,,4.9,42.4,-1.8,80.8,5.2,-11.7,-8.8,20.2,-6.2,,,,,79.75607
2001-06,,,,,,,-0.3,33.1,-5.9,80.1,1.7,-12.7,-14.4,12.5,-7.8,,,,,68.98347
2001-07,,,,,,,-5.6,23.8,-11.0,79.3,-5.1,-13.6,-19.7,-0.2,-10.7,,,,,72.62421
2001-08,,,,,,,-10.3,18.6,-14.2,78.8,-6.9,-15.9,-23.6,-4.4,-14.4,,,,,72.24155
2001-09,,,,,,,-15.1,13.3,-16.6,78.2,-7.7,-18.2,-29.4,-2.6,-19.2,,,,,74.28348
2001-10,,,,,,,-20.0,8.1,-17.3,77.8,-5.8,-20.6,-30.1,4.1,-25.0,,,,,69.55231
2001-11,,,,,,,-14.1,15.5,-8.1,77.7,4.4,-16.6,-19.0,28.4,-21.8,,,,,68.4548
2001-12,,,,,,,-8.3,23.0,-0.1,79.0,14.4,-12.7,-10.1,47.0,-19.5,,,,,72.1913
2002-01,,,,,,,-4.6,32.9,-0.2,80.4,10.7,-8.8,-1.7,24.0,-19.4,,,,,72.54914
