country,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU
1993-09,,,,,,,,,,,,-5.9,-39.5,2.0,-25.3,9.6,18.7,86.5,-22.2,,,,,,,,,
1993-10,-9.3,-9.1,-21.4,3.3,94.3,,,,,,,-7.0,-41.9,0.9,-24.8,4.6,-3.2,90.9,-33.8,,,,,,,,,
1993-11,-7.0,-7.7,-20.5,5.1,94.3,,,,,,,-6.9,-41.4,0.5,-24.6,4.5,-3.8,91.4,-33.2,,,,,,,,,
1993-12,-4.9,-6.6,-19.9,6.7,94.3,,,,,,,-6.7,-41.1,0.2,-24.3,4.4,-4.3,91.1,-33.2,,,,,,,,,
1994-01,-1.4,-4.5,-18.5,9.5,95.3,-22.8,44.9,11.5,-15.0,2.1,-12.3,-16.6,-46.0,17.8,-38.0,6.2,5.2,83.8,-25.8,,,,,,,,,
1994-02,0.6,-3.4,-17.9,11.1,95.3,-20.7,45.9,12.5,-15.0,2.2,-12.4,-16.4,-47.0,17.6,-37.6,6.1,5.4,83.5,-25.4,,,,,,,,,
1994-03,2.1,-2.1,-16.9,12.6,95.3,-19.4,46.5,13.2,-15.0,1.9,-12.4,-16.2,-47.3,17.3,-37.2,6.1,4.9,83.8,-25.2,,,,,,,,,
1994-04,5.4,-3.0,-21.4,15.3,97.3,-0.2,49.1,17.8,-23.0,57.2,-4.4,-18.9,-54.4,21.7,-39.5,4.4,-1.1,85.4,-39.5,,,,,,,,,
1994-05,8.8,-1.8,-20.5,16.9,97.3,0.8,49.4,18.2,-23.0,45.0,-4.4,-18.7,-54.3,21.5,-39.1,4.5,-1.5,85.6,-39.5,,,,,,,,,
1994-06,10.9,-0.3,-19.6,18.9,97.3,2.2,50.2,18.9,-23.0,37.4,-4.4,-18.6,-54.4,21.4,-38.8,4.6,-1.8,85.9,-39.2,,,,,,,,,
1994-07,16.9,-2.5,-22.9,17.9,83.3,-6.7,25.8,8.0,-37.0,21.7,-4.9,-17.2,-51.6,21.5,-38.9,8.8,-5.0,74.9,-31.8,,,,,,,,,
1994-08,16.0,-1.0,-22.0,19.9,83.3,-5.9,26.2,8.4,-37.0,18.9,-4.9,-16.9,-51.5,21.0,-38.6,8.9,-5.7,75.1,-31.2,,,,,,,,,
1994-09,16.5,0.2,-21.4,21.8,83.3,-5.0,26.8,8.9,-37.0,18.0,-4.9,-16.6,-51.5,20.6,-38.2,9.1,-5.4,75.5,-31.2,,,,,,,,,
1994-10,13.9,2.5,-16.9,21.9,82.3,-47.8,26.0,-2.0,-30.0,4.3,-15.9,-8.7,-49.0,11.8,-27.8,13.6,0.7,76.1,-23.8,,,,,,,,,
1994-11,13.4,3.8,-16.2,23.8,82.3,-47.1,26.8,-1.5,-30.0,5.0,-15.9,-8.4,-48.4,11.6,-27.4,13.8,0.1,76.5,-23.2,,,,,,,,,
1994-12,10.5,4.8,-15.7,25.2,82.3,-46.6,27.5,-1.0,-30.0,4.4,-16.0,-8.1,-48.0,11.4,-27.1,14.1,-0.5,76.3,-23.5,,,,,,,,,
1995-01,13.5,10.2,-8.1,28.5,80.3,35.3,25.7,20.4,5.0,-0.7,-0.1,6.2,-45.0,11.4,17.1,12.9,11.8,66.7,-5.5,,,,,,,,,
1995-02,9.2,11.1,-7.6,29.9,80.3,37.6,26.7,21.6,5.0,-0.6,-0.4,6.5,-46.0,11.3,17.7,13.2,11.9,66.4,-5.4,,,,,,,,,
1995-03,5.6,11.8,-7.4,31.0,80.3,38.9,27.4,22.3,5.0,-2.4,-0.6,6.8,-46.3,11.2,18.1,13.5,11.3,66.7,-5.2,,,,,,,,,
1995-04,72.0,19.7,2.3,37.0,82.3,44.8,36.5,27.5,-18.0,1.6,-1.3,14.8,-41.4,10.5,42.1,12.8,19.0,72.3,-0.8,,,,,,,,,
1995-05,65.8,20.1,2.3,37.9,82.3,45.7,36.6,27.6,-18.0,-1.3,-0.5,15.1,-41.3,10.4,42.5,13.2,18.5,72.6,-0.2,,,,,,,,,
1995-06,60.3,20.9,2.4,39.4,82.3,46.9,37.4,28.1,-18.0,-2.7,0.0,15.4,-41.5,10.4,42.8,13.6,18.2,73.0,-0.2,,,,,,,,,
1995-07,49.0,24.8,8.2,41.4,90.3,54.6,42.1,17.6,-22.0,0.3,43.9,12.0,-42.6,-0.3,23.0,12.7,16.6,72.8,-5.8,,,,,,,,,
1995-08,44.4,25.2,7.8,42.6,90.3,55.1,42.4,17.7,-22.0,-2.2,44.2,12.4,-42.5,-0.6,23.4,13.2,15.7,73.0,-5.2,,,,,,,,,
1995-09,37.9,25.8,7.8,43.8,90.3,55.6,42.9,18.0,-22.0,-3.5,44.5,12.7,-42.6,-0.8,23.8,13.5,16.1,73.5,-5.5,,,,,,,,,
1995-10,31.1,16.5,4.3,28.6,85.3,61.7,46.0,16.3,-14.0,0.0,58.7,17.2,-35.0,-0.3,28.4,22.8,18.5,67.2,-7.5,,,,,,,,,
1995-11,24.4,16.7,3.9,29.5,85.3,62.1,46.7,16.6,-14.0,-0.4,58.9,17.4,-34.4,-0.3,28.7,23.2,17.7,67.7,-7.2,,,,,,,,,
1995-12,19.7,17.0,3.7,30.4,85.3,62.3,47.2,16.9,-14.0,0.0,58.9,17.8,-34.0,-0.5,29.1,23.8,17.0,67.4,-7.8,,,,,,,,,
1996-01,3.0,-3.0,-7.7,1.8,89.3,26.8,53.0,23.2,-21.0,3.0,10.1,18.2,-34.9,2.9,33.5,24.2,16.6,78.5,-5.2,,,,,,,,,
1996-02,-2.1,-2.9,-8.1,2.4,89.3,29.0,54.1,24.7,-21.0,4.1,8.8,18.6,-35.9,3.0,34.1,24.6,16.7,78.1,-5.3,,,,,,,,,
1996-03,-8.9,-3.2,-9.3,2.9,89.3,29.9,54.7,25.6,-21.0,5.0,7.7,18.9,-36.3,3.0,34.6,25.0,15.9,78.5,-5.8,,,,,,,,,
1996-04,81.3,44.0,29.2,58.8,91.3,55.2,40.8,16.2,-24.0,10.3,47.3,27.1,-23.5,1.2,54.6,27.9,13.4,81.4,-8.2,,,,,,,,,
1996-05,71.0,43.5,27.9,59.0,91.3,55.7,40.8,15.8,-24.0,11.8,49.2,27.4,-23.3,1.2,55.0,28.4,12.8,81.7,-8.2,,,,,,,,,
1996-06,62.7,42.7,26.4,58.9,91.3,56.8,41.6,16.0,-24.0,13.8,50.6,27.6,-23.5,1.3,55.3,28.8,12.3,82.1,-8.8,,,,,,,,,
1996-07,56.9,42.2,24.3,60.0,96.3,41.9,39.5,21.9,-13.0,71.6,15.6,7.9,-21.7,1.9,-11.3,36.9,33.2,84.8,-13.2,,,,,,,,,
1996-08,49.8,41.1,22.6,59.6,96.3,42.1,39.6,21.9,-13.0,62.6,16.1,8.2,-21.6,1.8,-11.0,37.3,32.1,85.0,-13.5,,,,,,,,,
1996-09,43.7,40.1,21.0,59.3,96.3,42.4,40.0,22.0,-13.0,57.0,16.5,8.6,-21.6,1.6,-10.5,37.9,32.4,85.6,-13.5,,,,,,,,,
1996-10,5.4,-15.5,-19.6,-11.5,89.3,40.8,49.2,24.4,-13.0,47.6,16.9,4.2,-20.0,4.6,-14.5,31.8,29.2,73.2,-16.2,,,,,,,,,
1996-11,0.4,-16.8,-21.5,-12.1,89.3,40.9,49.9,24.6,-13.0,46.5,17.0,4.5,-19.4,4.7,-14.2,32.4,28.2,73.8,-16.5,,,,,,,,,
1996-12,-4.6,-17.9,-23.5,-12.3,89.3,40.8,50.3,24.7,-13.0,44.1,17.1,4.9,-19.0,4.6,-13.7,32.9,27.4,73.5,-16.5,,,,,,,,,
1997-01,-5.1,-19.0,-21.2,-16.7,90.3,37.5,53.3,25.0,-20.0,46.0,15.8,0.9,-24.9,5.7,-23.9,32.5,10.4,71.3,-13.2,,,,,,,,,
1997-02,-8.9,-20.3,-23.5,-17.1,90.3,38.7,54.5,25.9,-20.0,45.9,15.4,1.2,-25.9,5.9,-23.2,32.7,10.4,70.9,-13.4,,,,,,,,,
1997-03,-12.0,-21.6,-25.7,-17.5,90.3,38.8,54.9,26.2,-20.0,50.8,15.0,1.5,-26.2,5.9,-22.7,33.1,9.4,71.3,-13.8,,,,,,,,,
1997-04,67.7,-25.2,-28.3,-22.2,95.3,32.7,56.7,28.9,-23.0,32.9,2.6,-8.3,-38.5,11.1,-22.7,8.8,12.9,71.5,-15.2,,,,,,,,,
1997-05,43.2,-26.7,-30.8,-22.6,95.3,32.8,56.3,28.7,-23.0,37.4,3.1,-8.1,-38.3,11.1,-22.3,9.2,12.1,71.8,-15.5,,,,,,,,,
1997-06,24.8,-28.5,-33.4,-23.6,95.3,33.6,57.1,29.1,-23.0,37.2,3.5,-7.9,-38.5,11.3,-22.0,9.6,11.4,72.4,-15.5,,,,,,,,,
1997-07,13.6,24.8,2.5,47.2,85.3,43.9,55.1,32.5,-19.0,36.1,1.5,-13.3,-39.7,11.1,-43.5,14.7,4.8,-2.1,-12.2,,,,,,,,,
1997-08,4.3,22.9,-0.4,46.2,85.3,43.7,54.9,32.3,-19.0,34.4,1.7,-13.1,-39.6,11.1,-43.2,15.1,3.5,-1.8,-12.8,,,,,,,,,
1997-09,-0.6,21.2,-3.1,45.6,85.3,43.8,55.2,32.5,-19.0,31.7,1.5,-12.7,-39.6,10.9,-42.8,15.5,3.9,-1.3,-12.2,,,,,,,,,
1997-10,-12.0,16.9,-10.2,43.9,89.3,39.6,56.6,31.1,-19.0,36.8,2.9,-9.6,-42.9,10.5,-38.5,20.1,9.3,66.0,-15.2,,,,,,,,,
1997-11,-13.7,15.2,-13.1,43.4,89.3,39.6,57.2,31.4,-19.0,34.4,2.6,-9.5,-42.3,10.7,-38.3,20.5,8.0,66.7,-15.8,,,,,,,,,
1997-12,-16.4,13.3,-16.2,42.8,89.3,39.2,57.5,31.4,-19.0,34.0,2.4,-9.2,-41.9,10.6,-37.9,20.8,7.0,66.4,-15.2,,,,,,,,,
1998-01,-15.8,10.3,-21.6,42.1,94.3,39.9,24.0,20.5,0.0,-15.5,2.3,-6.1,-36.8,9.5,-33.4,24.4,9.7,72.0,-17.5,,,,,,,,,
1998-02,-16.9,8.4,-24.8,41.6,94.3,40.1,25.3,21.1,0.0,-4.5,2.2,-6.0,-37.9,9.7,-32.4,24.2,9.8,71.6,-17.4,,,,,,,,,
1998-03,-18.6,6.4,-28.2,41.1,94.3,39.3,25.7,21.0,0.0,-0.4,2.1,-5.8,-38.2,9.7,-31.9,24.3,8.6,72.1,-17.5,,,,,,,,,
1998-04,103.0,-28.4,8.0,-64.7,94.3,18.4,24.8,14.0,7.0,21.6,1.1,-6.8,-30.5,12.1,-35.1,26.9,5.3,61.6,-23.2,,,,,,,,,
1998-05,72.9,-30.4,4.4,-65.2,94.3,18.1,24.0,13.6,7.0,21.1,1.2,-6.6,-30.3,12.1,-34.7,27.1,4.5,62.1,-23.8,,,,,,,,,
1998-06,51.3,-32.1,1.2,-65.5,94.3,19.0,24.8,14.1,7.0,23.3,1.4,-6.5,-30.5,12.3,-34.5,27.2,3.6,62.8,-23.2,,,,,,,,,
1998-07,29.3,1.0,-10.2,12.2,89.3,14.2,22.4,12.8,0.0,25.8,-1.8,-8.5,-32.7,14.4,-36.9,25.9,9.3,52.0,-24.2,,,,,,,,,
1998-08,18.9,-0.7,-13.5,12.0,89.3,13.9,21.8,12.3,0.0,25.9,-1.2,-8.4,-32.7,14.4,-36.7,26.0,7.7,52.5,-24.8,,,,,,,,,
1998-09,9.9,-2.5,-17.0,12.0,89.3,13.9,22.0,12.3,0.0,26.6,-0.9,-8.1,-32.6,14.3,-36.3,26.1,8.4,52.9,-24.2,,,,,,,,,
1998-10,-39.4,-33.2,-20.0,-46.4,89.3,5.6,24.0,10.4,67.0,23.0,-1.6,-9.8,-31.9,15.4,-37.7,23.5,1.5,53.9,-25.5,,,,,,,,,
1998-11,-46.2,-34.6,-23.3,-45.9,89.3,5.5,24.5,10.5,67.0,22.8,-1.6,-9.8,-31.3,15.7,-37.5,23.8,0.0,54.5,-25.5,,,,,,,,,
1998-12,-52.9,-36.0,-26.6,-45.4,89.3,5.0,24.7,10.5,67.0,21.9,-1.8,-9.6,-30.9,15.5,-37.1,23.9,-1.2,54.2,-25.2,,,,,,,,,
1999-01,-18.4,-28.0,-30.8,-25.2,87.3,12.3,16.6,9.2,-11.0,-18.8,1.4,-15.9,-36.8,19.1,-47.2,18.6,-4.0,58.8,-29.7,,,,,,,,,
1999-02,-25.7,-29.7,-34.6,-24.9,87.3,11.9,18.4,9.7,-11.0,-10.4,1.1,-15.9,-37.9,19.3,-46.2,17.8,-3.7,58.3,-29.4,,,,,,,,,
1999-03,-31.8,-31.6,-38.6,-24.5,87.3,10.2,18.7,9.4,-11.0,-5.3,0.9,-15.9,-38.2,19.3,-45.6,17.2,-5.0,59.0,-29.2,,,,,,,,,
1999-04,-44.1,-33.7,-10.7,-56.7,94.3,-8.4,20.1,3.1,-16.0,1.7,2.4,-7.2,-38.5,8.2,-39.3,26.0,-24.5,62.6,-28.2,,,,,,,,,
1999-05,-56.0,-35.1,-14.0,-56.3,94.3,-8.9,18.7,2.5,-16.0,3.1,2.3,-7.1,-38.3,8.1,-39.0,25.7,-25.4,63.3,-28.7,,,,,,,,,
1999-06,-66.9,-36.6,-17.4,-55.8,94.3,-7.3,19.7,3.3,-16.0,4.5,2.3,-7.3,-38.5,8.4,-38.9,25.5,-26.3,64.2,-28.2,,,,,,,,,
1999-07,60.3,-34.1,-13.2,-54.9,90.3,-2.0,11.4,5.2,-9.0,5.1,-6.2,-6.6,-38.8,6.7,-33.4,20.2,22.9,53.0,-25.4,,,,,,,,,
1999-08,49.4,-35.4,-16.5,-54.4,90.3,-2.3,10.4,4.5,-9.0,5.4,-5.2,-6.7,-38.7,6.8,-33.3,20.1,21.0,53.7,-25.4,,,,,,,,,
1999-09,37.9,-36.8,-19.3,-54.3,90.3,-1.9,10.6,4.5,-9.0,4.7,-4.7,-6.5,-38.7,6.5,-32.9,19.9,22.1,53.8,-25.2,,,,,,,,,
1999-10,32.4,-37.1,-24.8,-49.3,84.3,6.0,8.5,5.0,-1.0,7.5,-0.4,-6.8,-34.9,6.2,-32.9,18.8,10.6,56.7,-22.7,,,,,,,,,
1999-11,21.2,-37.5,-25.9,-49.1,84.3,6.2,9.1,5.3,-1.0,6.5,-0.5,-6.8,-34.3,6.6,-32.8,19.0,9.0,57.4,-22.2,,,,,,,,,
1999-12,12.0,-38.0,-27.5,-48.5,84.3,6.0,9.2,5.2,-1.0,7.4,-0.4,-6.6,-33.9,6.4,-32.4,18.9,7.7,56.9,-22.1,,,,,,,,,
2000-01,-2.3,-40.3,-33.7,-47.0,78.3,-2.4,17.9,5.7,-10.0,2.8,-1.4,-8.5,-36.7,3.8,-34.2,12.3,6.5,59.6,-17.7,,,,,,,,,
2000-02,-11.3,-43.4,-40.5,-46.4,78.3,-3.0,20.4,6.3,-10.0,4.9,-1.3,-8.9,-37.8,4.0,-33.1,10.5,7.2,59.2,-17.3,,,,,,,,,
2000-03,-20.5,-46.6,-47.9,-45.4,78.3,-5.7,20.8,5.4,-10.0,5.4,-1.1,-9.1,-38.2,4.0,-32.7,9.5,5.7,60.0,-17.1,,,,,,,,,
2000-04,-33.8,-16.6,14.1,-47.4,92.3,-5.6,7.7,2.2,-2.0,5.2,-4.5,-0.3,-34.5,-3.6,-36.6,32.1,-11.9,47.8,-18.8,,,,,,,,,
2000-05,-43.1,-17.2,12.1,-46.4,92.3,-6.3,5.6,1.2,-2.0,5.7,-4.2,-0.3,-34.3,-3.8,-36.5,31.7,-12.8,48.7,-18.1,,,,,,,,,
2000-06,-53.0,-17.6,10.7,-45.8,92.3,-3.8,6.9,2.4,-2.0,6.8,-4.1,-0.6,-34.5,-3.5,-36.5,31.3,-13.6,49.8,-18.2,,,,,,,,,
2000-07,67.1,-22.5,0.7,-45.6,84.3,7.7,22.2,12.0,-6.0,4.5,-6.1,0.9,-25.8,-1.0,-20.6,22.3,33.4,57.8,-15.7,,,,,,,,,
2000-08,57.4,-22.9,-0.6,-45.2,84.3,7.6,20.6,11.3,-6.0,5.8,-5.7,0.8,-25.7,-0.8,-20.7,22.1,31.3,58.8,-15.1,,,,,,,,,
2000-09,48.4,-23.0,-1.5,-44.5,84.3,8.4,20.8,11.6,-6.0,5.6,-5.6,1.0,-25.7,-1.2,-20.2,22.1,33.2,58.7,-15.5,,,,,,,,,
2000-10,36.6,-35.1,-24.9,-45.3,81.3,18.6,6.2,10.0,-6.0,9.3,-5.3,-4.9,-23.9,6.1,-27.9,19.2,25.6,59.5,-16.4,,,,,,,,,
2000-11,27.9,-33.4,-22.2,-44.6,81.3,19.2,7.2,10.6,-6.0,9.3,-5.3,-4.9,-23.2,6.6,-27.9,19.9,23.8,60.2,-16.2,,,,,,,,,
2000-12,19.6,-32.4,-20.8,-43.9,81.3,19.1,7.3,10.6,-6.0,10.8,-5.4,-4.6,-22.8,6.3,-27.4,19.9,22.6,59.7,-16.7,,,,,,,,,
2001-01,7.8,-28.0,-11.3,-44.7,82.0,11.1,12.8,8.9,-5.0,9.4,-2.6,-4.0,-18.7,1.4,-28.1,17.4,4.1,52.5,-15.1,,,,,,,,,
2001-02,-0.2,-24.0,-4.1,-43.8,82.7,9.8,16.5,9.9,-5.0,11.2,-3.2,-4.8,-19.9,1.8,-27.0,14.4,5.4,52.1,-15.4,,,,,,,,,
2001-03,-8.8,-18.8,5.7,-43.4,83.5,5.5,17.1,8.7,-5.0,10.6,-3.4,-5.2,-20.2,1.8,-26.8,13.0,4.0,53.1,-15.4,,,,,,,,,
2001-04,-16.6,-18.1,6.4,-42.7,84.3,21.2,9.6,11.2,6.0,18.3,-2.7,1.9,-11.6,-0.4,-22.0,27.4,-1.9,51.7,-11.5,,,,,,,,,
2001-05,-24.2,-16.7,7.5,-40.8,84.3,19.9,6.4,9.7,6.0,17.0,-2.8,2.1,-11.4,-0.8,-22.1,27.4,-2.5,52.9,-11.1,,,,,,,-14.1,0.9,47.4
2001-06,-30.5,-15.5,8.4,-39.4,84.3,23.9,8.5,11.7,6.0,20.5,-2.8,1.8,-11.5,-0.5,-22.4,27.2,-3.0,54.3,-11.5,,,,,,,-12.6,3.1,51.3
2001-07,67.4,-14.7,7.3,-36.7,82.3,17.6,18.1,11.3,5.0,21.3,1.7,0.0,-13.9,-0.7,-24.9,24.2,26.9,44.6,-13.4,,,,,,,-12.7,4.9,44.2
2001-08,57.1,-14.5,7.9,-36.8,82.3,17.5,15.8,10.7,5.0,21.0,1.2,-0.1,-13.8,-0.5,-25.2,24.3,24.8,46.0,-13.1,,,,,,,-15.4,0.6,53.1
2001-09,52.5,-11.4,12.9,-35.6,82.3,18.8,16.1,11.1,5.0,22.8,1.7,0.5,-13.7,-1.1,-24.6,25.1,27.8,45.6,-13.8,,,,,,,-12.8,1.8,51.1
2001-10,43.1,-25.0,-14.9,-35.1,81.3,18.6,12.0,10.4,14.0,22.4,-0.6,-1.7,-16.9,0.8,-21.9,17.7,17.7,46.3,-11.1,,,,,,,-18.3,-3.9,55.2
2001-11,37.3,-22.6,-10.3,-34.8,81.3,19.6,13.4,11.0,14.0,22.7,0.0,-1.3,-16.2,1.9,-22.0,20.0,15.9,47.2,-11.2,,,,,,,-17.0,-0.3,60.6
2001-12,29.5,-21.3,-7.3,-35.3,81.3,19.2,13.7,10.9,14.0,23.1,0.3,-0.7,-15.7,1.5,-21.4,20.8,14.8,46.6,-11.7,,,,,,,-14.2,-2.1,62.1
2002-01,68.5,-4.5,21.6,-30.6,75.3,53.1,9.8,16.9,2.0,23.5,12.2,0.9,-9.7,-1.1,-21.2,22.9,25.3,45.4,-1.1,,,,,,,-15.5,-2.9,59.8
2002-02,64.4,-12.3,4.8,-29.4,75.3,51.1,15.3,18.9,2.0,20.4,9.8,-0.5,-10.9,-0.5,-19.8,17.9,27.5,44.9,-1.3,,,,,,,-17.0,-5.4,59.6
2002-03,58.5,-19.2,-8.1,-30.4,75.3,44.6,16.0,17.1,2.0,21.9,9.3,-1.2,-11.3,-0.4,-19.8,15.9,26.2,46.3,-1.7,,,,,,,-19.2,-6.2,54.6
2002-04,79.4,-22.3,-15.1,-29.5,5.3,31.0,26.3,18.1,1.0,18.9,3.1,-5.4,-8.6,-1.2,-15.9,-1.4,30.0,44.7,4.9,,,,,,,-18.7,-6.3,60.2
2002-05,59.4,-23.3,-15.8,-30.8,39.8,29.3,21.5,15.9,1.0,19.2,3.2,-4.2,-11.4,4.7,-16.7,8.7,21.4,37.9,1.9,,,,,,,-15.6,-7.4,59.7
2002-06,40.3,-27.0,-19.0,-35.1,73.3,15.7,9.1,3.9,-2.0,12.4,13.1,-3.7,-14.6,11.3,-18.0,18.1,13.4,31.8,-1.7,65.7,20.2,-2.2,-3.0,-48.4,0.0,-20.5,-14.4,62.0
2002-07,25.1,-29.7,-14.4,-45.0,77.3,24.5,9.7,11.3,3.0,15.4,0.3,-1.2,-14.9,9.6,-19.4,25.3,13.4,41.4,-4.0,53.7,21.7,10.6,0.7,0.6,0.0,-22.9,-16.8,62.4
2002-08,21.2,-23.0,-11.7,-34.4,57.3,18.1,18.6,11.6,8.0,16.9,2.0,0.5,-13.8,5.7,-16.8,24.0,18.2,32.0,-8.3,53.7,25.9,21.2,2.8,-34.4,2.0,-18.5,-10.7,56.4
2002-09,6.7,-26.8,-19.3,-34.2,51.3,23.1,19.8,10.8,7.0,15.2,10.7,-0.8,-12.8,8.0,-18.2,23.7,3.4,30.5,-9.4,52.3,27.8,26.1,4.9,-35.4,0.0,-14.2,-5.2,50.7
2002-10,1.8,-26.8,-17.0,-36.6,60.3,15.4,21.5,12.0,1.0,11.4,0.9,-0.8,-12.9,7.7,-19.9,25.2,10.4,27.2,-9.0,48.6,35.1,34.7,22.0,-34.4,-1.0,-14.2,-4.3,50.0
2002-11,-8.1,-27.8,-19.7,-36.0,58.3,11.7,22.5,11.4,0.0,11.9,0.1,0.0,-14.2,2.2,-18.2,20.3,16.8,26.1,-9.4,44.7,37.2,38.2,28.8,-0.4,1.0,-13.7,-1.0,47.4
2002-12,-12.9,-26.8,-18.3,-35.3,57.3,15.2,18.8,11.5,0.0,11.2,-0.5,-1.4,-13.7,2.9,-18.5,17.1,9.8,29.5,-10.3,44.7,27.3,6.8,30.4,-36.4,-36.0,-11.0,3.8,51.2
2003-01,-18.2,-22.8,-7.7,-37.9,56.3,33.4,14.1,15.1,2.0,15.4,2.0,1.3,-17.6,2.3,-20.4,26.6,-14.4,28.3,-9.0,39.9,13.6,-2.0,3.1,0.6,-36.0,-11.0,2.8,50.0
2003-02,-28.6,-20.0,-0.3,-39.7,67.3,34.5,2.8,10.9,5.0,19.7,4.6,3.2,-14.9,4.2,-20.7,34.5,-3.9,25.8,-9.2,36.6,14.1,-3.5,9.0,30.6,0.0,-14.0,-3.6,53.2
2003-03,34.4,-16.8,3.8,-37.4,66.3,32.5,14.1,14.4,2.0,15.3,3.3,5.4,-11.3,3.4,-17.8,37.4,13.0,22.5,-8.5,34.7,19.1,10.0,12.5,34.6,1.0,-13.9,-3.1,50.6
2003-04,80.3,-5.1,6.1,-16.2,53.3,37.4,17.1,17.7,13.0,20.6,1.5,10.7,-6.5,0.6,-6.2,39.0,26.6,22.7,-3.0,72.1,36.6,19.3,18.6,7.6,6.0,-14.6,-6.7,57.5
2003-05,27.5,-8.4,2.1,-18.8,49.3,49.3,27.2,25.2,16.0,26.0,1.1,10.0,-9.3,0.2,-6.9,37.1,18.9,21.2,-6.2,32.3,35.3,47.9,25.7,6.6,-30.0,-14.4,-6.1,51.4
