country,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN
1979-Q1,18.0,2.0,,22.54326,24.37008,,-7.0,,11.48251,11.48251,-11.0,2.400276,18.0,3.186471,15.0,-6.0,
1979-Q2,19.0,0.0,,20.3476,28.63671,,-8.0,,18.6301,18.6301,-6.0,-1.44399,14.0,-9.214581,22.0,-1.0,
1979-Q3,17.0,-2.0,,7.553765,13.79736,,-10.0,,22.22775,22.22775,-3.0,-2.065846,14.0,-20.25844,24.0,-6.0,
1979-Q4,12.0,-5.0,,12.33768,18.17213,,-13.0,,22.07664,22.07664,-1.0,-5.928245,16.0,-22.67467,22.0,-13.0,
1980-Q1,4.0,0.0,,1.179478,14.08854,,-11.0,,19.62613,19.62613,1.0,-9.288529,19.0,-36.57634,20.0,-9.0,
1980-Q2,1.0,0.0,,-5.819416,3.8467,,-14.0,,19.83763,19.83763,5.0,-7.745348,17.0,-27.59571,20.0,-12.0,
1980-Q3,1.0,-2.0,,-12.29105,-11.69694,,-10.0,,8.796119,8.796119,1.0,-7.229378,28.0,-7.558531,7.0,-11.0,
1980-Q4,2.0,-1.0,,-12.18172,-26.34127,,-15.0,,0.03759045,0.03759045,-3.0,-5.706911,33.0,2.064466,7.0,-11.0,
1981-Q1,4.0,4.0,,-7.052627,-19.95273,,-7.0,,-6.097348,-6.097348,-6.0,-4.193623,33.0,4.407816,6.0,-13.0,
1981-Q2,14.0,1.0,,-7.502325,-22.07586,,-10.0,,-11.86341,-11.86341,-8.0,-0.883664,33.0,5.708361,7.0,-17.0,
1981-Q3,10.0,2.0,,0.1701352,-17.43641,,-7.0,,-12.78463,-12.78463,-7.0,-1.338317,32.0,3.483747,11.0,-8.0,
1981-Q4,9.0,6.0,,-0.6720562,-14.49725,,-9.0,,-9.080642,-9.080642,-7.0,-1.495663,26.0,2.886424,7.0,-11.0,
1982-Q1,4.0,6.0,,-6.322642,-21.19484,,-1.0,,-9.642586,-9.642586,-8.0,1.704509,25.0,8.29037,1.0,-9.0,
1982-Q2,4.0,10.0,,-11.16838,-23.8235,,-7.0,,-16.52778,-16.52778,-12.0,7.156269,29.0,12.6969,10.0,-6.0,
1982-Q3,-7.0,11.0,,-13.4709,-22.35282,,-4.0,,-22.51445,-22.51445,-15.0,7.571309,31.0,12.82852,-1.0,-6.0,
1982-Q4,-10.0,16.0,,-18.20509,-20.65718,,-2.0,,-26.18867,-26.18867,-17.0,12.64159,30.0,14.78839,0.0,-10.0,
1983-Q1,-12.0,17.0,,-18.25785,-27.34202,,6.0,,-30.06699,-30.06699,-20.0,14.55049,29.0,19.05209,-4.0,-1.0,
1983-Q2,-11.0,17.0,,-9.122902,-17.48452,,-4.0,,-27.21392,-27.21392,-17.0,11.23904,27.0,14.62598,7.0,-16.0,
1983-Q3,-16.0,16.0,,-9.140513,-17.52688,,-5.0,,-20.39419,-20.39419,-15.0,10.65217,26.0,11.33634,3.0,-15.0,
1983-Q4,-13.0,9.0,,-1.671493,-13.63944,,-8.0,,-14.28481,-14.28481,-10.0,6.582705,20.0,8.542727,4.0,-17.0,
1984-Q1,-14.0,12.0,,1.982478,-8.480242,,-7.0,,-4.285375,-4.285375,-7.0,4.415138,19.0,6.830113,3.0,-16.0,
1984-Q2,-15.0,12.0,,0.7348529,-6.197291,,-9.0,,3.012751,3.012751,-3.0,0.3281196,20.0,5.546557,8.0,-15.0,
1984-Q3,-15.0,12.0,,0.1561535,-3.789464,,-7.0,,5.624556,5.624556,-2.0,1.753298,21.0,7.970664,10.0,-17.0,
1984-Q4,-10.0,10.0,,-0.05375918,-8.426139,,-8.0,,6.679995,6.679995,-2.0,-0.4384752,21.0,9.170835,9.0,-20.0,
1985-Q1,-14.0,16.0,,2.276634,-0.696082,,-7.0,,5.625014,5.625014,-3.0,-0.694568,22.0,10.49836,11.0,-18.0,
1985-Q2,-13.0,11.0,,1.570983,-1.934194,,-11.0,,3.032119,3.032119,-2.0,1.25739,24.0,11.84262,12.0,-18.0,
1985-Q3,-10.0,8.0,,1.163988,-2.206014,,-11.0,,-0.2963548,-0.2963548,-5.0,2.92857,27.0,15.43062,13.0,-20.0,
1985-Q4,-11.0,11.0,,3.014941,-0.908356,,-13.0,,-7.374766,-7.374766,-8.0,6.652549,26.0,22.60474,8.0,-17.0,
1986-Q1,-12.0,14.0,,0.2869969,-1.112497,,-8.0,,-14.30535,-14.30535,-11.0,6.183522,26.0,27.19769,10.0,-19.0,
1986-Q2,-4.0,12.0,,0.5912313,-0.6142643,,-6.0,,-22.0943,-22.0943,-12.0,11.01706,27.0,35.37928,7.0,-18.0,
1986-Q3,-4.0,9.0,,-1.056986,-1.570578,,-8.0,,-26.22485,-26.22485,-15.0,15.10346,29.0,38.84228,7.0,-15.0,
1986-Q4,-1.0,10.0,,0.2477512,0.4569037,,-7.0,,-27.34669,-27.34669,-18.0,20.91154,28.0,36.87887,10.0,-15.0,
1987-Q1,7.0,13.0,,-1.751984,-1.364721,,-6.0,,-26.26453,-26.26453,-19.0,20.06983,25.0,33.78919,8.0,-12.0,
1987-Q2,9.0,9.0,,1.736246,-1.377896,,-6.0,,-22.23726,-22.23726,-17.0,16.66153,24.0,30.40063,13.0,-17.0,
1987-Q3,16.0,-1.0,,8.406689,6.111216,,-9.0,,-12.20843,-12.20843,-13.0,10.27717,19.0,17.90767,18.0,-17.0,
1987-Q4,30.0,-10.0,,13.69752,10.71626,,-12.0,,4.719442,4.719442,-6.0,5.204952,16.0,14.09662,23.0,-21.0,
1988-Q1,39.0,-6.0,,20.3129,18.50195,,-11.0,,15.8535,15.8535,-3.0,2.954847,15.0,16.38671,28.0,-25.0,
1988-Q2,45.0,-13.0,,27.73145,28.78097,,-17.0,,25.61777,25.61777,3.0,-2.609155,14.0,13.68674,39.0,-29.0,
1988-Q3,46.0,-22.0,,29.82693,32.87958,,-20.0,,29.66433,29.66433,4.0,-7.679174,14.0,11.873,42.0,-35.0,
1988-Q4,51.0,-30.0,,28.2657,31.87252,,-28.0,,32.89668,32.89668,7.0,-12.50786,13.0,13.12011,37.0,-37.0,
1989-Q1,57.0,-28.0,,32.36235,33.48421,,-27.0,,34.94886,34.94886,8.0,-15.14484,12.0,-1.03861,36.0,-38.0,
1989-Q2,62.0,-33.0,,27.66609,30.84015,,-35.0,,40.51482,40.51482,10.0,-20.72268,9.0,5.39447,42.0,-42.0,
1989-Q3,60.0,-47.0,,21.2068,26.67789,,-40.0,,39.44706,39.44706,9.0,-25.67237,14.0,6.607948,43.0,-48.0,
1989-Q4,63.0,-56.0,,29.96696,32.02025,,-48.0,,37.0771,37.0771,10.0,-32.42055,15.0,6.838279,47.0,-55.0,
1990-Q1,65.0,-55.0,,30.36821,33.4752,,-50.0,,37.15547,37.15547,10.0,-37.2546,16.0,3.864484,50.0,-55.0,
1990-Q2,64.0,-55.0,,24.44247,29.83349,,-53.0,,33.36316,33.36316,11.0,-37.60386,16.0,-3.900265,51.0,-60.0,
1990-Q3,63.0,-64.0,,25.91588,34.74648,,-58.0,,34.17519,34.17519,13.0,-41.57672,16.0,-3.597129,50.0,-63.0,
1990-Q4,62.0,-68.0,,20.38481,29.80309,11.39597,-57.0,16.0,33.30268,33.30268,13.0,-44.66798,13.0,-11.74839,47.0,-63.0,
1991-Q1,59.0,-64.0,-22.0,13.44603,27.63027,5.358767,-51.0,25.0,32.31474,32.31474,13.0,-45.37069,14.0,-6.999078,43.0,-60.0,
1991-Q2,53.0,-60.0,-14.0,16.17188,23.88054,5.684139,-52.0,23.0,27.22881,27.22881,10.0,-41.22635,18.0,-0.152897,45.0,-60.0,
1991-Q3,47.0,-59.0,-9.0,12.92208,19.83773,2.586605,-51.0,25.0,19.99662,19.99662,8.0,-37.458,22.0,3.95946,39.0,-58.0,
1991-Q4,38.0,-53.0,-2.0,4.441388,13.41631,-2.7141,-48.0,26.0,9.493646,9.493646,4.0,-32.14943,26.0,8.769978,31.0,-57.0,
1992-Q1,31.0,-42.0,6.0,-1.400198,4.850991,-8.516402,-44.0,29.0,-4.57209,-4.57209,-3.0,-24.45561,30.0,12.44452,21.0,-49.0,
1992-Q2,21.0,-34.0,8.0,-11.18174,-5.08639,-15.08938,-36.0,29.0,-18.05569,-18.05569,-8.0,-13.71662,31.0,14.16244,15.0,-42.0,
1992-Q3,13.0,-28.0,10.0,-18.65789,-15.913,-21.85696,-30.0,31.0,-25.9024,-25.9024,-12.0,-6.415292,35.0,15.60191,3.0,-34.0,
1992-Q4,9.0,-20.0,12.0,-25.71929,-28.06438,-27.26122,-20.0,28.0,-31.36362,-31.36362,-17.0,1.417691,33.0,19.45371,-12.0,-24.0,
1993-Q1,2.0,-12.0,16.0,-30.53357,-34.98642,-32.84,-11.0,33.0,-38.59393,-38.59393,-21.0,8.403687,32.0,18.90189,-20.0,-14.0,
1993-Q2,3.0,-11.0,11.0,-23.38272,-35.09741,-27.16005,-11.0,23.0,-36.3976,-36.3976,-22.0,8.863381,29.0,20.27385,-19.0,-6.0,
1993-Q3,-3.0,-8.0,17.0,-29.94959,-38.59969,-31.18309,-7.0,25.0,-39.60263,-39.60263,-23.0,15.45653,30.0,24.2863,-23.0,-4.0,
1993-Q4,4.0,-11.0,23.0,-30.03555,-35.30769,-31.44774,1.0,29.0,-44.1815,-44.1815,-26.0,24.14359,32.0,30.25172,-26.0,-1.0,
1994-Q1,2.0,1.0,21.0,-26.87745,-34.14114,-30.33953,5.0,30.0,-44.7906,-44.7906,-29.0,26.32465,31.0,29.38269,-26.0,3.0,
1994-Q2,11.0,2.0,19.0,-16.50081,-31.22103,-24.57395,2.0,26.0,-37.74726,-37.74726,-26.0,21.30279,25.0,26.21423,-20.0,0.0,
1994-Q3,2.0,0.0,18.0,-8.107099,-19.95808,-17.68839,2.0,25.0,-29.18566,-29.18566,-23.0,19.2485,23.0,27.06786,-15.0,-2.0,
1994-Q4,3.0,0.0,19.0,-3.297436,-17.52858,-14.60867,3.0,23.0,-21.06025,-21.06025,-21.0,16.06974,22.0,23.21749,-12.0,-3.0,
1995-Q1,0.0,5.0,15.0,-8.446702,-19.56625,-18.00432,5.0,26.0,-17.10412,-17.10412,-20.0,14.27587,21.0,22.56079,-15.0,-2.0,
1995-Q2,-3.0,7.0,21.0,-15.47181,-19.16847,-19.88009,4.0,25.0,-17.84811,-17.84811,-17.0,18.59045,22.0,31.22215,-15.0,-1.0,
1995-Q3,-10.0,6.0,24.0,-17.38328,-20.4915,-20.95826,4.0,25.0,-21.86131,-21.86131,-19.0,19.9629,26.0,30.91485,-17.0,-1.0,
1995-Q4,-7.0,3.0,21.0,-11.38363,-17.44142,-17.27501,2.0,23.0,-20.98631,-20.98631,-20.0,18.11195,25.0,25.36367,-11.0,-4.0,
1996-Q1,1.0,4.0,18.0,-6.155463,-14.23965,-15.1317,2.0,25.0,-17.52114,-17.52114,-17.0,17.4069,26.0,22.47997,-8.0,-6.0,
1996-Q2,9.0,3.0,12.0,-5.326859,-11.061,-13.12929,1.0,23.0,-13.67352,-13.67352,-17.0,14.59162,25.0,23.18296,0.0,-9.0,
1996-Q3,6.0,1.0,13.0,-5.947828,-11.07264,-14.00682,-2.0,25.0,-10.67843,-10.67843,-15.0,13.77404,24.0,19.99041,-1.0,-12.0,
1996-Q4,7.0,1.0,14.0,-4.075583,-11.24028,-12.77195,-4.0,23.0,-7.086615,-7.086615,-13.0,10.20261,22.0,20.51755,-3.0,-13.0,
1997-Q1,-2.0,9.0,21.0,-14.09785,-5.011837,-11.70323,-6.0,16.0,0.1712242,0.1712242,-8.0,6.527672,20.0,18.19359,-5.0,-15.0,
1997-Q2,-9.0,10.0,19.0,-15.0152,-23.72992,-20.58171,-7.0,23.0,-1.242065,-1.242065,-9.0,5.519375,18.0,17.10004,-6.0,-14.0,
1997-Q3,-19.0,12.0,25.0,-20.72926,-32.99232,-25.90719,-4.0,24.0,-5.696273,-5.696273,-8.0,4.681695,23.0,22.36252,-9.0,-13.0,
1997-Q4,-27.0,22.0,31.0,-40.76072,-42.91051,-37.55708,-3.0,29.0,-14.33429,-14.33429,-10.0,9.209406,27.0,26.527,-11.0,-8.0,
1998-Q1,-34.0,26.0,32.0,-42.8126,-52.72208,-40.84489,2.0,27.0,-32.95328,-32.95328,-16.0,18.67906,34.0,31.81935,-24.0,-5.0,
1998-Q2,-41.0,27.0,35.0,-46.76497,-54.31954,-41.69484,3.0,24.0,-44.79131,-44.79131,-23.0,25.44179,37.0,33.12378,-25.0,-2.0,
1998-Q3,-40.0,25.0,36.0,-49.65976,-53.03717,-40.56564,2.0,19.0,-52.77726,-52.77726,-28.0,30.67113,38.0,34.72622,-32.0,3.0,
1998-Q4,-36.0,27.0,33.0,-45.55197,-50.78076,-39.44424,5.0,22.0,-55.73164,-55.73164,-29.0,33.14037,36.0,36.49807,-31.0,6.0,
1999-Q1,-26.0,25.0,33.0,-35.1345,-45.13516,-33.75655,6.0,21.0,-49.80582,-49.80582,-30.0,31.75574,34.0,35.43992,-33.0,5.0,
1999-Q2,-24.0,28.0,29.0,-34.71424,-42.81445,-33.17623,7.0,22.0,-42.45391,-42.45391,-29.0,28.50824,30.0,33.23989,-28.0,4.0,
1999-Q3,-23.0,26.0,29.0,-28.51609,-39.30429,-28.94013,5.0,19.0,-32.89137,-32.89137,-26.0,25.60303,29.0,30.93468,-26.0,2.0,
1999-Q4,-21.0,26.0,28.0,-25.63541,-35.72597,-27.45379,5.0,21.0,-26.06329,-26.06329,-23.0,22.98545,26.0,29.4749,-20.0,0.0,
2000-Q1,-22.0,29.0,29.0,-22.20321,-31.35782,-24.52034,3.0,20.0,-17.67255,-17.67255,-19.0,18.9875,24.0,28.29907,-19.0,0.0,
2000-Q2,-25.0,28.0,32.0,-23.66158,-31.45921,-25.04026,1.0,20.0,-12.25647,-12.25647,-18.0,16.51226,23.0,28.23845,-16.0,-1.0,
2000-Q3,-25.0,26.0,28.0,-21.34763,-29.38936,-22.24566,1.0,16.0,-6.868351,-6.868351,-15.0,13.46695,22.0,26.00029,-15.0,-2.0,
2000-Q4,-24.0,25.0,32.0,-22.87863,-30.80446,-23.2277,1.0,16.0,-6.361417,-6.361417,-15.0,13.90361,23.0,25.44795,-13.0,-6.0,
2001-Q1,-29.0,30.0,40.0,-28.19217,-32.52007,-26.23741,3.0,18.0,-18.57451,-18.57451,-19.0,18.22114,27.0,32.37825,-16.0,-3.0,
2001-Q2,-34.0,30.0,43.0,-27.53671,-32.24424,-25.92698,3.0,18.0,-30.10316,-30.10316,-24.0,23.47826,31.0,37.18014,-16.0,-6.0,
2001-Q3,-39.0,36.0,43.0,-34.20726,-31.27309,-27.49345,4.0,17.0,-42.85251,-42.85251,-29.0,29.3235,34.0,40.92271,-22.0,-1.0,
2001-Q4,-40.0,36.0,48.0,-33.27363,-31.96936,-27.081,6.0,16.0,-47.59662,-47.59662,-30.0,29.8808,35.0,42.44758,-24.0,2.0,
2002-Q1,-41.0,38.0,48.0,-33.9967,-35.62059,-28.5391,5.0,16.0,-46.47578,-46.47578,-31.0,27.45103,32.0,40.5909,-25.0,1.0,
2002-Q2,-42.0,33.0,45.0,-24.4601,-29.25938,-23.9065,5.0,18.0,-32.07552,-32.07552,-27.0,20.35599,27.0,35.08853,-24.0,1.0,
2002-Q3,-41.0,34.0,44.0,-24.16927,-26.96024,-21.70984,4.0,14.0,-27.72656,-27.72656,-25.0,20.2542,27.0,34.75922,-26.0,0.0,
2002-Q4,-41.0,36.0,44.0,-25.47458,-27.10609,-23.19355,2.0,17.0,-24.82161,-24.82161,-23.0,20.88555,24.0,33.52757,-27.0,2.0,
2003-Q1,-40.0,40.0,48.0,-26.97315,-28.76378,-23.91231,4.0,16.0,-21.39443,-21.39443,-20.0,17.60548,23.0,32.66191,-27.0,2.0,
2003-Q2,-37.0,34.0,42.0,-27.26718,-30.2957,-23.85429,2.0,14.0,-20.01494,-20.01494,-20.0,17.20595,23.0,34.11244,-31.0,1.0,
2003-Q3,-33.0,29.0,40.0,-24.27438,-30.71089,-22.66176,2.0,13.0,-14.71724,-14.71724,-19.0,13.32238,22.0,28.64965,-22.0,1.0,
2003-Q4,-32.0,20.0,50.0,-17.49582,-26.15169,-20.21584,-3.0,17.0,-3.936616,-3.936616,-14.0,7.838766,18.0,29.58967,-8.0,-4.0,
2004-Q1,-28.0,25.0,47.0,-9.119493,-15.92027,-14.01325,-1.0,17.0,4.626961,4.626961,-8.0,4.668545,17.0,19.62048,-4.0,-7.0,
2004-Q2,-30.0,21.0,44.0,-10.90956,-20.28208,-16.73055,-2.0,19.0,10.05291,10.05291,-5.0,3.117026,15.0,15.09923,2.0,-8.0,
2004-Q3,-30.0,17.0,41.0,-9.579657,-18.61115,-14.73027,-4.0,16.0,13.33895,13.33895,-4.0,2.451902,15.0,15.84309,5.0,-6.0,
2004-Q4,-26.0,16.0,40.0,-9.290552,-14.12459,-13.47171,-4.0,17.0,9.886476,9.886476,-3.0,1.755803,15.0,11.46289,2.0,-8.0,
2005-Q1,-24.0,17.0,42.0,-10.0,-12.0,-12.66667,-3.0,16.0,6.0,6.0,-4.0,2.0,18.0,13.0,2.0,-12.0,-8.0
2005-Q2,-24.0,13.0,39.0,-6.0,-6.0,-9.666667,-5.0,17.0,8.0,8.0,-2.0,0.0,19.0,13.0,7.0,-12.0,-8.0
2005-Q3,-20.0,7.0,33.0,-3.0,-9.0,-9.666667,-5.0,17.0,8.0,8.0,-3.0,-3.0,16.0,12.0,4.0,-13.0,-12.0
2005-Q4,-15.0,6.0,34.0,-4.0,-9.0,-10.0,-9.0,17.0,12.0,12.0,-1.0,-3.0,16.0,10.0,9.0,-14.0,-10.0
2006-Q1,-17.0,8.0,34.0,1.0,-3.0,-7.333333,-8.0,20.0,12.0,12.0,0.0,-7.0,16.0,11.0,5.0,-16.0,-17.0
2006-Q2,-15.0,3.0,32.0,-2.0,-5.0,-9.0,-11.0,20.0,12.0,12.0,0.0,-6.0,16.0,5.0,9.0,-18.0,-14.0
2006-Q3,-14.0,-3.0,32.0,-2.0,-7.0,-9.0,-13.0,18.0,13.0,13.0,1.0,-8.0,15.0,2.0,8.0,-21.0,-18.0
2006-Q4,-14.0,-3.0,33.0,-6.0,-9.0,-11.66667,-15.0,20.0,16.0,16.0,2.0,-8.0,14.0,5.0,9.0,-21.0,-19.0
2007-Q1,-12.0,-1.0,34.0,-6.0,-9.0,-11.66667,-13.0,20.0,15.0,15.0,1.0,-8.0,17.0,7.0,12.0,-24.0,-22.0
2007-Q2,-14.0,-1.0,32.0,-7.0,-12.0,-12.33333,-13.0,18.0,13.0,13.0,0.0,-9.0,16.0,2.0,12.0,-24.0,-19.0
2007-Q3,-17.0,-5.0,33.0,-6.0,-14.0,-12.33333,-14.0,17.0,9.0,9.0,0.0,-8.0,17.0,0.0,8.0,-25.0,-22.0
2007-Q4,-17.0,-4.0,32.0,-13.0,-14.0,-15.0,-15.0,18.0,9.0,9.0,0.0,-7.0,16.0,-1.0,6.0,-26.0,-22.0
2008-Q1,-21.0,0.0,28.0,-12.0,-14.0,-14.0,-12.0,16.0,2.0,2.0,0.0,-5.0,17.0,-7.0,2.0,-26.0,-23.0
2008-Q2,-25.0,2.0,23.0,-18.0,-16.0,-17.0,-9.0,17.0,-3.0,-3.0,-2.0,-3.0,16.0,-14.0,-1.0,-18.0,-15.0
2008-Q3,-29.0,2.0,27.0,-22.0,-23.0,-20.66667,-7.0,17.0,-11.0,-11.0,-6.0,2.0,20.0,-8.0,-7.0,-17.0,-13.0
2008-Q4,-31.0,9.0,39.0,-37.0,-33.0,-31.0,1.0,23.0,-25.0,-25.0,-14.0,22.0,28.0,19.0,-15.0,-10.0,-11.0
2009-Q1,-37.0,20.0,47.0,-46.0,-51.0,-40.33333,11.0,24.0,-57.0,-57.0,-36.0,36.0,39.0,36.0,-27.0,3.0,-1.0
2009-Q2,-42.0,15.0,42.0,-36.0,-43.0,-31.66667,10.0,16.0,-55.0,-55.0,-36.0,29.0,31.0,31.0,-31.0,3.0,5.0
2009-Q3,-36.0,14.0,42.0,-28.0,-32.0,-24.0,10.0,12.0,-43.0,-43.0,-34.0,24.0,25.0,26.0,-23.0,3.0,5.0
2009-Q4,-31.0,17.0,44.0,-30.0,-27.0,-22.33333,9.0,10.0,-32.0,-32.0,-30.0,23.0,22.0,30.0,-25.0,4.0,5.0
2010-Q1,-31.0,23.0,46.0,-21.0,-17.0,-16.66667,11.0,12.0,-23.0,-23.0,-25.0,17.0,17.0,26.0,-19.0,5.0,5.0
2010-Q2,-33.0,17.0,43.0,-17.0,-14.0,-14.66667,7.0,13.0,-10.0,-10.0,-19.0,11.0,14.0,19.0,-15.0,2.0,6.0
2010-Q3,-28.0,12.0,42.0,-27.0,0.0,-11.33333,5.0,7.0,-4.0,-4.0,-14.0,11.0,14.0,23.0,-11.0,1.0,2.0
2010-Q4,-27.0,11.0,40.0,-26.0,-19.0,-19.33333,7.0,13.0,-4.0,-4.0,-14.0,12.0,15.0,22.0,-11.0,-1.0,1.0
2011-Q1,-23.0,14.0,38.0,-18.0,-9.0,-12.33333,4.0,10.0,-4.0,-4.0,-12.0,8.0,13.0,10.0,-11.0,-1.0,1.0
2011-Q2,-26.0,10.0,35.0,-18.0,-20.0,-9.666667,5.0,-9.0,-15.0,-15.0,-13.0,6.0,14.0,10.0,-18.0,-1.0,3.0
2011-Q3,-21.0,5.0,32.0,-7.0,-6.0,-4.666667,0.0,1.0,-5.0,-5.0,-10.0,5.0,17.0,14.0,-12.0,-5.0,-4.0
2011-Q4,-17.0,4.0,30.0,-8.0,-5.0,-6.0,2.0,5.0,-5.0,-5.0,-10.0,7.0,18.0,18.0,-4.0,-6.0,-7.0
2012-Q1,-14.0,3.0,28.0,0.0,4.0,-1.666667,1.0,9.0,-7.0,-7.0,-11.0,8.0,19.0,18.0,-2.0,-11.0,-9.0
2012-Q2,-13.0,-3.0,29.0,-6.0,1.0,-5.0,-2.0,10.0,-8.0,-8.0,-11.0,8.0,19.0,20.0,3.0,-13.0,-12.0
2012-Q3,-10.0,-7.0,25.0,-11.0,-3.0,-8.666667,-3.0,12.0,-8.0,-8.0,-12.0,10.0,19.0,21.0,3.0,-12.0,-11.0
2012-Q4,-7.0,-8.0,25.0,-16.0,-13.0,-16.0,-4.0,19.0,-15.0,-15.0,-14.0,13.0,20.0,21.0,-1.0,-13.0,-12.0
2013-Q1,-3.0,-18.0,15.0,-5.0,-3.0,-7.333333,-4.0,14.0,-15.0,-15.0,-14.0,9.0,18.0,8.0,2.0,-14.0,-13.0
2013-Q2,3.0,-20.0,10.0,-1.0,-3.0,-5.333333,-9.0,12.0,-6.0,-6.0,-12.0,5.0,16.0,6.0,4.0,-15.0,-12.0
2013-Q3,10.0,-25.0,7.0,0.0,-1.0,-3.666667,-10.0,10.0,-2.0,-2.0,-10.0,3.0,15.0,4.0,6.0,-19.0,-16.0
2013-Q4,20.0,-30.0,3.0,7.0,4.0,-0.3333333,-13.0,12.0,6.0,6.0,-8.0,0.0,15.0,5.0,6.0,-20.0,-18.0
2014-Q1,24.0,-29.0,-6.0,-16.0,19.0,-1.666667,-14.0,8.0,10.0,10.0,-5.0,1.0,13.0,3.0,7.0,-20.0,-23.0
2014-Q2,18.0,-31.0,-8.0,-5.0,-13.0,-11.0,-16.0,15.0,6.0,6.0,-5.0,-3.0,13.0,2.0,9.0,-24.0,-22.0
2014-Q3,20.0,-35.0,-5.0,-4.0,-13.0,-11.0,-20.0,16.0,4.0,4.0,-4.0,-7.0,16.0,2.0,4.0,-27.0,-23.0
2014-Q4,19.0,-35.0,-4.0,-10.0,-14.0,-13.66667,-22.0,17.0,6.0,6.0,-3.0,-7.0,15.0,3.0,3.0,-28.0,-28.0
2015-Q1,19.0,-31.0,-2.0,-3.0,-5.0,-8.0,-21.0,16.0,5.0,5.0,-2.0,-8.0,15.0,5.0,11.0,-33.0,-32.0
2015-Q2,16.0,-30.0,-1.0,0.0,0.0,-5.333333,-22.0,16.0,4.0,4.0,-3.0,-7.0,16.0,4.0,14.0,-32.0,-28.0
