country,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
1994-03,-55.00753,,,44.0,-85.0,-59.13234,-36.0226,-56.06588,82.78853,-37.0
1994-04,-57.06945,,,43.0,-88.0,-61.14152,-40.20835,-54.01966,71.98238,-37.0
1994-05,-53.30768,,,43.0,-82.0,-56.57452,-34.92303,-49.62925,71.93805,-39.0
1994-06,-48.90656,,,33.0,-80.0,-56.47892,-33.71967,-52.74388,58.95827,-43.0
1994-07,-49.07424,,,33.0,-85.0,-65.33514,-29.22272,-53.42961,65.25748,-33.0
1994-08,-37.9525,,,12.0,-76.0,-54.54802,-25.85748,-51.2929,67.09879,-36.0
1994-09,-26.76683,,,-2.0,-69.54,-45.43041,-12.7605,-40.43618,69.81059,-36.07
1994-10,-24.76162,,,-2.97,-77.83,-30.43447,0.5751389,-33.50773,72.98141,-34.79
1994-11,-27.79679,,,4.24,-73.41,-24.75798,-5.740375,-22.68712,77.21503,-32.15
1994-12,-26.73721,,,2.25,-68.9,-21.37074,-9.061642,-21.07987,79.16612,-34.38
1995-01,-26.53065,,,3.0,-71.0,-15.82316,-5.591947,-2.862566,81.22757,-32.0
1995-02,-30.46461,,,1.0,-73.0,-22.72324,-17.39383,-18.1069,80.70019,-31.0
1995-03,-29.35156,,,2.0,-76.0,-31.33978,-10.05467,-22.78978,78.50352,-33.0
1995-04,-30.53625,,,8.0,-79.0,-40.28997,-4.608766,-33.94437,81.52335,-31.0
1995-05,-32.35534,46.0,,10.0,-86.0,-37.31655,-1.066025,-21.95183,76.96163,-42.0
1995-06,-32.62235,47.0,,12.0,-84.0,-38.58026,-1.86705,-20.1121,79.17667,-35.55
1995-07,-28.52439,47.0,,5.0,-80.0,-33.45086,-0.5731751,-19.19861,80.28909,-34.0
1995-08,-23.37616,47.0,,3.0,-78.0,-30.95163,10.87152,-17.4694,77.74081,-36.0
1995-09,-30.11249,48.0,,10.0,-79.0,-33.90461,-1.337467,-15.43757,67.8901,-34.0
1995-10,-34.31124,47.0,,13.0,-87.0,-43.11076,-2.933711,-23.30264,64.76041,-32.0
1995-11,-39.58582,46.0,,19.0,-91.0,-45.85416,-8.757461,-29.38265,50.42046,-39.0
1995-12,-38.19022,45.0,,26.0,-88.0,-47.51026,-0.570645,-28.18756,41.72361,-40.0
1996-01,-40.99081,43.0,,28.0,-90.0,-51.9411,-4.972436,-29.74102,44.77174,-39.0
1996-02,-37.75608,43.0,,22.0,-90.0,-54.94299,-1.268242,-34.51314,42.83732,-41.0
1996-03,-37.42856,43.0,,21.0,-93.0,-51.88175,1.714321,-31.6773,41.73963,-43.0
1996-04,-36.96033,42.0,,23.0,-94.0,-42.5711,6.119012,-25.65956,34.95296,-41.0
1996-05,-33.99454,42.0,,15.0,-87.0,-46.5847,0.01637553,-26.06349,35.2399,-47.0
1996-06,-34.30227,42.0,,16.0,-91.0,-41.70582,4.093197,-24.92917,27.01176,-39.0
1996-07,-31.21994,41.0,,5.0,-91.0,-39.61214,2.340182,-16.63722,23.92872,-42.0
1996-08,-30.56392,41.0,,5.0,-91.0,-43.19374,4.308238,-7.268011,24.11562,-40.0
1996-09,-31.94398,41.0,,5.0,-87.0,-38.3657,-3.831954,-16.7848,27.79842,-37.0
1996-10,-34.25612,41.0,,3.0,-87.0,-48.73925,-12.76837,-25.28578,23.36427,-36.0
1996-11,-30.62118,40.0,,1.0,-92.0,-39.00021,1.13647,-18.12349,22.53195,-38.0
1996-12,-25.76218,40.0,,-9.0,-92.0,-37.39587,5.713466,-15.97085,19.90914,-37.0
1997-01,-26.48003,38.0,,-1.0,-92.0,-28.47364,11.55992,-10.46476,17.31836,-43.0
1997-02,-21.27786,38.0,,-8.0,-88.0,-25.13913,16.16642,-10.00395,14.49298,-41.0
1997-03,-22.19601,38.0,,-7.0,-90.0,-20.65146,16.41198,-4.058096,16.19735,-43.0
1997-04,-18.55037,39.0,,-10.0,-83.0,-19.10902,17.34889,1.002205,13.45641,-41.0
1997-05,-18.82808,39.0,,-10.0,-87.0,-15.57446,20.51575,0.3313004,11.97103,-47.0
1997-06,-19.34439,40.0,,-8.0,-86.0,-19.29944,19.96683,8.098036,13.98759,-43.0
1997-07,-18.87541,40.0,,-7.0,-82.0,-18.84328,18.37376,-4.899835,11.66334,-38.0
1997-08,-15.84222,41.0,,-13.0,-77.0,-10.8871,16.47334,0.1391772,4.994657,-39.0
1997-09,-14.07928,41.0,,-16.0,-79.0,-14.83215,20.76215,-4.278371,2.930317,-46.0
1997-10,-15.86579,41.0,,-14.0,-80.0,-11.94122,18.40264,-0.7825184,1.886536,-48.0
1997-11,-19.28556,41.0,,-9.0,-84.0,-12.64185,17.14333,2.313728,12.35869,-48.0
1997-12,-18.894,41.0,,-10.0,-80.0,-11.36396,13.31799,3.194459,7.004043,-49.0
1998-01,-20.34637,40.0,-18.0,-3.0,-84.0,-12.63523,19.96089,1.231474,4.799126,-46.0
1998-02,-19.65644,40.0,-19.0,-3.0,-85.0,-17.3752,23.03069,5.528302,2.7272,-49.0
1998-03,-21.72849,41.0,-20.0,-2.0,-87.0,-17.16701,19.81453,-1.751151,6.979103,-48.0
1998-04,-26.42569,41.0,-23.0,7.0,-91.0,-23.42469,18.72293,-5.09204,5.969606,-48.0
1998-05,-21.56806,41.0,-24.0,0.0,-89.0,-26.33339,24.29581,-8.053426,5.127087,-47.0
1998-06,-27.81549,41.0,-24.0,3.0,-89.0,-36.18836,8.553523,-9.760902,-0.6755167,-49.0
1998-07,-30.93922,41.0,-27.0,6.0,-92.0,-44.20218,5.182328,-20.21748,-3.222934,-48.0
1998-08,-26.82359,40.0,-27.0,1.0,-92.0,-45.00293,12.52922,-22.10135,4.342011,-48.0
1998-09,-35.57396,40.0,-27.0,-3.0,-92.0,-52.3587,-17.72187,-33.36457,51.13493,-49.0
1998-10,-27.57938,40.0,-26.0,-6.0,-89.0,-45.69336,0.2618459,-24.59565,46.58152,-53.0
1998-11,-17.17387,40.0,-26.0,-14.0,-83.0,-14.34834,17.4784,-2.039619,41.89386,-50.0
1998-12,-16.3461,40.0,-23.0,-14.0,-80.0,-11.64204,16.9617,4.95906,43.06252,-48.0
1999-01,-15.93638,40.0,-22.0,-14.0,-83.0,-6.387695,21.19086,14.79043,45.17974,-41.0
1999-02,-14.20841,40.0,-19.0,-18.0,-79.0,1.9391,18.37477,11.2781,40.28558,-41.0
1999-03,-9.713386,42.0,-15.0,-17.0,-76.0,4.786982,29.85984,16.17126,37.50642,-44.0
1999-04,-9.767865,43.0,-11.0,-19.0,-78.0,4.968021,29.69641,27.07729,48.59377,-46.0
1999-05,-4.747258,43.0,-9.0,-24.0,-68.0,11.67956,29.75823,25.04157,37.10887,-39.0
1999-06,-3.648645,44.0,-8.0,-23.0,-67.0,17.87064,33.05407,24.81077,42.7328,-45.0
1999-07,-3.578722,45.0,-9.0,-23.0,-67.0,18.07715,33.26383,29.02658,41.25617,-42.0
1999-08,-3.187739,45.0,-8.0,-22.0,-69.0,9.838608,37.43678,29.22478,46.08718,-42.0
1999-09,-2.883883,46.0,-5.0,-21.0,-64.0,7.528287,34.34835,24.16812,45.8568,-45.0
1999-10,-4.674503,47.0,-4.0,-23.0,-69.0,2.0103,31.97649,27.68247,45.3296,-42.0
1999-11,-1.724161,47.0,-3.0,-25.0,-66.0,10.86518,35.82752,33.34782,46.26174,-40.0
1999-12,-0.7325475,46.0,-4.0,-23.0,-66.0,16.25777,40.80236,29.66419,41.88253,-42.0
2000-01,-2.028289,46.0,1.0,-21.0,-63.0,14.3842,35.91513,33.14224,43.37968,-41.0
2000-02,-5.940616,47.0,0.0,-13.0,-65.0,14.25346,34.17815,33.71292,47.34938,-42.0
2000-03,-3.486548,48.0,0.0,-21.0,-65.0,9.00825,33.54036,29.82229,40.60236,-40.0
2000-04,-8.489342,49.0,2.0,-13.0,-68.0,14.6384,29.53197,20.19206,44.27348,-41.0
2000-05,-4.422171,48.0,2.0,-17.0,-67.0,5.394241,36.73349,17.53842,46.75354,-40.0
2000-06,-1.740168,49.0,2.0,-19.0,-63.0,6.725031,38.7795,16.57939,42.69773,-41.0
2000-07,-2.464764,48.0,2.0,-18.0,-62.0,8.433936,36.60571,21.77678,46.99541,-43.0
2000-08,-0.9998327,49.0,3.0,-16.0,-58.0,9.7497,39.0005,19.03281,39.92007,-43.0
2000-09,-0.1139564,49.0,1.0,-16.0,-58.0,12.06657,41.65813,21.99819,44.24799,-42.0
2000-10,-0.5142415,50.0,1.0,-17.0,-58.0,12.19499,39.45728,20.37715,46.23351,-38.0
2000-11,0.0562194,50.0,3.0,-14.0,-55.0,8.7806,41.16866,25.03695,41.14222,-44.0
2000-12,-2.263848,50.0,3.0,-13.0,-59.0,9.296062,39.20846,25.22218,42.48649,-40.0
2001-01,-7.656045,49.0,1.0,-2.0,-61.0,4.880198,36.03186,16.04808,39.20118,-44.0
2001-02,-5.227981,50.0,0.0,-6.0,-58.0,-0.2831061,36.31606,13.23071,39.3028,-38.0
2001-03,-12.70389,50.0,1.0,4.0,-64.0,-0.8057386,29.88835,18.00623,38.95421,-43.0
2001-04,-11.47551,51.0,1.0,5.0,-63.0,1.028651,33.57348,10.19503,34.4568,-41.0
2001-05,-15.36294,51.0,1.0,11.0,-65.0,6.188371,29.91119,13.29727,35.95236,-43.0
2001-06,-12.23153,51.0,0.0,12.0,-59.0,1.380962,34.30542,8.541722,34.07469,-40.0
2001-07,-12.83504,51.0,-2.0,14.0,-57.0,-2.391099,32.49487,9.353409,36.46061,-40.0
2001-08,-11.66519,52.0,-2.0,9.0,-62.0,3.396004,36.00444,11.83833,34.31655,-48.0
2001-09,-10.09584,53.0,-3.0,10.0,-59.0,5.63777,38.71249,18.92928,26.80849,-45.0
2001-10,-7.49262,53.0,-2.0,10.0,-53.0,4.859692,40.52214,16.2198,31.20621,-38.0
2001-11,-11.01715,53.0,-4.0,11.0,-62.0,3.954447,39.94855,26.90152,32.51254,-47.0
2001-12,-18.53572,53.0,-3.0,21.0,-69.0,-2.058414,34.39283,8.349178,32.57399,-45.0
2002-01,-15.68738,52.0,-3.0,10.0,-69.0,-0.2203368,31.93786,4.545301,37.36225,-42.0
2002-02,-17.89799,51.0,-6.0,17.0,-67.0,-7.605381,30.30604,6.858531,32.45874,-45.0
2002-03,-21.88807,52.0,-5.0,15.0,-71.0,-16.04536,20.33578,2.114551,33.81763,-44.0
2002-04,-20.25265,52.0,-6.0,21.0,-64.0,-6.744928,24.24205,9.120446,35.27486,-44.0
2002-05,-18.43894,52.0,-7.0,21.0,-71.0,-12.06818,36.68317,-2.143382,30.30996,-47.0
2002-06,-15.49052,52.0,-8.0,9.0,-67.0,-8.030158,29.52844,11.83868,40.5334,-38.0
2002-07,-16.09443,53.0,-9.0,17.0,-66.0,3.163105,34.71672,11.31761,39.15761,-42.0
2002-08,-11.90572,53.0,-9.0,11.0,-58.0,-6.016161,33.28283,11.62398,39.77974,-38.0
2002-09,-12.2623,54.0,-9.0,10.0,-57.0,8.951143,30.21311,14.78619,38.64351,-38.0
2002-10,-10.67457,54.0,-9.0,7.0,-55.0,-2.216769,29.97629,12.3896,30.69485,-39.0
2002-11,-12.09669,54.0,-9.0,7.0,-57.0,-2.439998,27.70993,10.16225,36.31968,-36.0
2002-12,-15.11881,53.0,-9.0,13.0,-62.0,-3.711926,29.64356,9.895761,36.15078,-36.0
2003-01,-17.86362,53.0,-9.0,17.0,-65.0,-0.5741041,28.40915,10.76863,37.62034,
2003-02,-14.65793,53.0,-8.0,10.0,-61.0,2.373807,27.0262,13.62283,38.02085,
2003-03,-15.76274,54.0,-9.0,16.0,-59.0,7.48332,27.71177,14.56554,35.92931,
2003-04,-18.7622,55.0,-10.0,20.0,-55.0,0.6291054,18.7134,12.65621,28.56535,
2003-05,-12.99899,55.0,-9.0,13.0,-56.0,2.914536,30.00302,14.94342,27.56159,
2003-06,-11.25919,55.0,-6.0,15.0,-52.0,8.518193,33.22242,25.13041,30.36115,
2003-07,-7.306497,56.0,-8.0,11.0,-43.0,10.07446,32.08051,22.50079,24.93364,
2003-08,-4.06581,56.0,-7.0,6.0,-39.0,9.475032,32.80257,24.4741,26.75327,
2003-09,-8.642214,57.0,-6.0,12.0,-42.0,6.880321,28.07336,21.12209,29.25859,
2003-10,-4.036562,57.0,-7.0,-1.0,-42.0,3.606343,28.89031,15.08232,29.34018,
2003-11,-4.929952,57.0,-9.0,6.0,-42.0,4.753731,33.21014,19.03594,28.4419,
2003-12,-4.80155,56.0,-10.0,7.0,-41.0,4.417811,33.59535,21.42865,29.8118,
2004-01,-7.7454,56.0,-9.0,7.0,-51.0,0.09506321,34.7638,24.06552,24.56438,
2004-02,-8.874484,56.0,-9.0,7.0,-54.0,3.682065,34.37655,18.41477,27.66194,
2004-03,-9.965075,57.0,-6.0,18.0,-45.0,5.900646,33.10477,20.67802,32.56506,
2004-04,-11.86667,58.0,-5.0,12.0,-43.0,4.815544,19.39999,24.40384,33.67574,
2004-05,-7.536247,58.0,-9.0,10.0,-45.0,8.105721,32.39126,17.5167,33.15455,
2004-06,-9.728238,58.0,-7.0,12.0,-45.0,7.141739,27.81529,15.41712,26.26983,
2004-07,-6.976816,58.0,-8.0,14.0,-38.0,-1.043938,31.06955,16.98144,26.18011,
2004-08,-4.631622,58.0,-8.0,11.0,-37.0,7.054912,34.10514,15.14073,28.34939,
2004-09,-3.673643,59.0,-6.0,7.0,-39.0,4.221815,34.97907,17.927,27.49813,
2004-10,-3.297221,59.0,-5.0,10.0,-37.0,10.07561,37.10834,20.12,37.74844,
2004-11,-3.155277,58.0,-6.0,7.0,-39.0,7.457071,36.53417,13.78837,34.07396,
2004-12,-7.894426,58.0,-9.0,16.0,-46.0,4.739912,38.31672,18.74487,28.6968,
2005-01,-7.423473,57.0,-10.0,11.0,-51.0,1.601388,39.72958,4.724839,27.46629,
2005-02,-9.155398,53.0,-7.0,16.0,-50.0,10.87288,38.5338,28.38232,26.72965,
2005-03,-7.804649,56.0,-11.0,16.0,-45.0,13.9158,37.58605,30.00105,23.85529,
2005-04,-6.783653,58.0,-11.0,16.0,-41.0,6.618028,36.64904,11.50691,23.72959,
2005-05,-11.14943,58.0,-8.0,16.0,-48.0,-9.830297,30.55173,4.619111,21.61881,
2005-06,-15.51116,58.0,-8.0,25.0,-52.0,-0.873116,30.46653,15.14991,19.29002,
2005-07,-12.50056,59.0,-12.0,12.0,-49.0,-2.110026,23.49831,13.79578,19.56182,
2005-08,-10.58541,58.0,-14.0,13.0,-42.0,1.326611,23.24378,16.26851,18.49581,
2005-09,-6.168975,60.0,-10.0,16.0,-38.0,-0.523975,35.49308,15.19592,21.3088,
2005-10,-5.266161,60.0,-10.0,6.0,-41.0,-2.04867,31.20152,19.84752,20.63931,
2005-11,-11.86565,58.0,-9.0,14.0,-41.0,3.501517,19.40306,22.37027,26.42703,
2005-12,-11.50382,58.0,-8.0,16.0,-43.0,9.090412,24.48855,20.56776,29.53694,
2006-01,-10.29436,60.0,-10.0,14.0,-50.0,3.641778,33.11692,3.163715,25.49526,
2006-02,-8.712984,58.0,-8.0,11.0,-50.0,8.355831,34.86105,24.33291,27.69823,
2006-03,-7.821571,59.0,-8.0,14.0,-43.0,7.632693,33.53529,21.9439,25.08287,
2006-04,-5.864659,62.0,-4.0,11.0,-44.0,10.59573,37.40602,23.71005,24.93225,
2006-05,-4.947467,60.0,-9.0,9.0,-39.0,11.4531,33.1576,25.55744,27.36826,
2006-06,-3.9716,61.0,-5.0,10.0,-38.0,22.84969,36.0852,33.48209,29.49021,
2006-07,-1.826957,61.0,-7.0,8.0,-35.0,13.68216,37.51913,26.83287,28.52992,
2006-08,-1.412868,62.0,-8.0,3.0,-34.0,12.67951,32.7614,23.1746,30.27987,
2006-09,1.20173,59.0,-6.0,5.0,-26.0,15.14788,34.60519,25.62737,26.42222,
2006-10,0.4034972,61.0,-7.0,2.0,-27.0,13.04367,30.21049,14.12642,25.14243,
2006-11,1.197447,62.0,-5.0,3.0,-27.0,17.40234,33.59234,26.29075,26.1141,
2006-12,0.8434908,61.0,-4.0,5.0,-31.0,17.20605,38.53047,28.43216,27.16324,
2007-01,0.475989,60.0,-1.0,3.0,-28.0,20.29833,32.42797,28.2085,28.60145,
2007-02,1.840281,59.0,-4.0,2.0,-29.0,13.51347,36.52084,26.34362,25.55838,
2007-03,3.115176,59.0,-2.0,3.0,-29.0,24.783,41.34553,31.46684,25.29113,
2007-04,2.590647,61.0,-2.0,7.0,-25.0,15.02036,39.77194,33.23406,28.5204,
2007-05,2.97504,61.0,-3.0,7.0,-22.0,17.41908,37.92512,32.5697,33.32998,
2007-06,2.429879,61.0,0.0,4.0,-22.0,9.63419,33.28964,19.83396,25.29794,
2007-07,1.705407,63.0,1.0,7.0,-22.0,7.906571,34.11622,19.824,28.68979,
2007-08,3.681004,63.0,-1.0,1.0,-18.0,6.139275,30.04301,21.20885,23.77008,
2007-09,2.457163,62.0,-1.0,3.0,-25.0,8.636035,35.37149,8.958306,24.2056,
2007-10,-1.442923,63.0,-1.0,4.0,-24.0,7.307704,23.67123,20.21343,28.22595,
2007-11,1.10596,64.0,1.0,8.0,-25.0,6.130441,36.31788,19.9258,24.96162,
2007-12,-2.090935,63.0,3.0,12.0,-30.0,6.155357,35.7272,17.99802,34.55655,
2008-01,0.6737179,62.0,3.0,8.0,-31.0,5.490551,41.02115,14.78221,35.75112,
2008-02,-2.488258,62.0,3.0,8.0,-35.0,7.312264,35.53523,18.48946,28.88011,
2008-03,-1.340574,63.0,2.0,8.0,-31.0,4.755621,34.97828,18.11998,32.11301,
2008-04,0.1091027,63.0,0.0,5.0,-29.0,2.380309,34.32731,24.16139,31.28022,
2008-05,-1.989318,63.0,4.0,7.0,-35.0,1.228496,36.03205,16.30101,31.73471,
2008-06,-1.629743,65.0,-1.0,8.0,-32.0,8.676683,35.11077,11.51548,30.99191,
2008-07,-8.815018,63.0,-5.0,15.0,-38.0,-4.165842,26.55495,7.579065,39.35611,
2008-08,-2.88577,63.0,-6.0,1.0,-32.0,-0.8718785,24.34269,9.188505,34.57405,
2008-09,-11.31828,64.0,-7.0,11.0,-39.0,-14.49339,16.04515,-1.188172,19.76466,
2008-10,-18.84368,66.0,-9.0,11.0,-49.0,-27.70583,3.468967,-6.100005,14.06467,
2008-11,-34.86834,61.0,-19.0,18.0,-67.0,-53.25853,-19.60502,-39.8898,-4.565133,
2008-12,-38.70898,56.0,-29.0,26.0,-74.0,-48.5748,-16.12694,-38.66351,-18.18765,
2009-01,-39.12839,57.0,-20.0,27.0,-73.0,-35.50857,-17.38516,-13.82516,-3.066188,
2009-02,-36.01957,56.0,-20.0,24.0,-76.0,-33.6012,-8.058722,-10.4241,4.202351,
2009-03,-34.61136,55.0,-18.0,22.0,-76.0,-34.48408,-5.834085,-12.05447,5.768037,
2009-04,-35.32892,54.0,-25.0,26.0,-80.0,-27.73874,0.01323639,-13.67817,5.170549,
2009-05,-29.44255,55.0,-27.0,12.0,-74.0,-27.65933,-2.327641,-10.30029,4.212798,
2009-06,-28.68387,59.0,-20.0,15.0,-74.0,-28.57433,2.948391,-7.982382,0.7172131,
2009-07,-26.73391,58.0,-19.0,8.0,-73.0,-17.0484,0.7982793,3.561227,5.584442,
2009-08,-23.38443,57.0,-14.0,14.0,-64.0,-13.21681,7.84671,0.05665185,17.34235,
2009-09,-21.33109,57.0,-12.0,10.0,-63.0,-10.61498,9.006742,8.437257,14.49261,
2009-10,-18.53444,58.0,-11.0,8.0,-63.0,-4.55764,15.39668,14.44619,12.71245,
2009-11,-16.09202,58.0,-6.0,1.0,-59.0,-5.928737,11.72395,4.691274,14.63619,
2009-12,-24.90318,57.0,-7.0,11.0,-66.0,-7.420393,2.290467,5.744293,9.761171,
2010-01,-15.6075,55.0,-8.0,11.0,-54.0,-7.778931,18.17751,12.45646,10.13638,
2010-02,-16.64858,57.0,-5.0,9.0,-63.0,-2.558086,22.05425,7.449077,13.06503,
2010-03,-14.805,57.0,-4.0,9.0,-58.0,-0.9529035,22.585,10.95395,11.65531,
2010-04,-13.05703,59.0,-3.0,8.0,-49.0,3.282031,17.82891,13.53626,12.24353,
2010-05,-7.745125,59.0,-2.0,3.0,-43.0,4.11533,22.76462,17.41596,14.68659,
2010-06,-11.48838,59.0,1.0,6.0,-50.0,2.521523,21.53486,17.62694,15.77023,
2010-07,-6.703959,59.0,1.0,-2.0,-47.0,2.65119,24.88812,17.66514,15.09339,
2010-08,-6.169492,60.0,1.0,-3.0,-35.0,-1.356509,13.49152,12.72991,15.44149,
2010-09,-2.851672,61.0,1.0,-7.0,-40.0,-1.171866,24.44498,16.55638,13.04215,
2010-10,0.6905301,62.0,2.0,-10.0,-38.0,4.051869,30.07159,16.28575,23.4412,
2010-11,-6.182558,61.0,6.0,0.0,-41.0,3.822174,22.45233,17.09266,24.47645,
2010-12,-4.223737,61.0,3.0,-2.0,-38.0,7.748698,23.32879,26.15504,35.60269,
2011-01,-6.770761,61.0,2.0,0.0,-42.0,3.232156,21.68772,9.975504,28.50246,
2011-02,-2.760698,60.0,4.0,1.0,-32.0,-0.5633392,24.71791,10.77823,26.40746,
2011-03,-7.591427,61.0,3.0,3.0,-36.0,-0.3619957,16.22572,15.33466,24.87806,
2011-04,-6.803222,61.0,2.0,3.0,-39.0,-5.644442,21.59033,11.65865,14.53383,
2011-05,-5.522757,61.0,3.0,4.0,-37.0,-5.463385,24.43173,10.68756,18.88795,
2011-06,-0.9148141,61.0,5.0,3.0,-35.0,6.54159,35.25556,23.28134,21.42768,
2011-07,-6.493928,63.0,4.0,6.0,-37.0,-1.244874,23.51822,13.21814,17.78507,
2011-08,-6.141159,63.0,4.0,7.0,-35.0,-2.549807,23.57652,13.25591,15.64544,
2011-09,-10.98898,63.0,6.0,9.0,-39.0,-0.5453934,15.03306,8.490497,13.18613,
2011-10,-5.878497,63.0,8.0,3.0,-33.0,-6.089736,18.36451,6.010298,10.44426,
2011-11,-9.183993,64.0,8.0,6.0,-37.0,-8.691419,15.44802,7.54674,15.22394,
2011-12,-13.18304,63.0,6.0,8.0,-42.0,-3.898755,10.45087,11.25415,11.19877,
2012-01,-11.63423,62.0,2.0,4.0,-51.0,-13.67061,20.0973,-2.114946,16.6363,
2012-02,-11.85469,63.0,5.0,6.0,-44.0,-8.209032,14.43594,11.38966,15.95019,
2012-03,-11.54859,63.0,5.0,8.0,-43.0,-6.765799,16.35423,4.175665,18.29551,
2012-04,-12.5086,63.0,5.0,10.0,-40.0,0.5254309,12.47419,14.45342,19.20494,
2012-05,-16.09603,63.0,6.0,13.0,-42.0,-6.902116,6.711917,7.085347,16.32781,
2012-06,-17.14542,63.0,8.0,11.0,-46.0,-8.209745,5.563737,-2.161338,15.42257,
2012-07,-14.84237,64.0,7.0,6.0,-46.0,-19.85546,7.472889,-3.457173,17.0812,
2012-08,-13.26169,64.0,6.0,8.0,-43.0,-13.26888,11.21492,-0.4733547,18.76116,
2012-09,-9.4877,64.0,7.0,2.0,-44.0,-12.35081,17.5369,0.1202213,14.97106,
2012-10,-14.51777,64.0,6.0,5.0,-47.0,-14.41073,8.446679,-3.559008,15.65679,
2012-11,-19.03424,64.0,6.0,9.0,-52.0,-10.9318,3.897268,0.5552669,9.086003,
2012-12,-12.8188,65.0,9.0,7.0,-53.0,-10.79552,21.5436,-2.643764,10.43953,
2013-01,-16.93078,65.0,8.0,12.0,-57.0,-17.78368,18.20767,-0.3771612,10.73911,
2013-02,-17.09348,65.0,7.0,15.0,-50.0,7.142524,13.71954,17.74724,14.16157,
2013-03,-13.84266,65.0,5.0,13.0,-46.0,-6.693558,17.47202,1.407132,3.596785,
2013-04,-15.82693,64.0,7.0,13.0,-46.0,-8.808384,11.51921,-1.359381,5.944939,
2013-05,-15.33233,65.0,7.0,18.0,-46.0,-11.82472,18.00301,-14.89115,10.41006,
2013-06,-19.55432,62.0,7.0,21.0,-50.0,-10.15884,12.33704,7.411373,8.254371,
2013-07,-13.04183,63.0,5.0,11.0,-46.0,-11.36244,17.87452,2.800352,11.585,
2013-08,-13.53347,63.0,8.0,9.0,-45.0,-5.914121,13.39959,4.8486,8.812546,
2013-09,-14.80851,64.0,6.0,12.0,-45.0,-7.665738,12.57448,2.747216,12.94409,
2013-10,-14.16599,63.0,5.0,10.0,-47.0,-10.10196,14.50202,2.247849,11.60073,
2013-11,-13.54983,64.0,7.0,6.0,-49.0,-3.828574,14.35052,8.900695,7.005349,
2013-12,-13.46933,64.0,8.0,10.0,-47.0,-10.35527,16.592,2.139331,9.635624,
2014-01,-15.67282,63.0,5.0,8.0,-52.0,-6.158573,12.98155,3.31096,3.09128,
2014-02,-14.64694,63.0,3.0,11.0,-51.0,-4.896952,18.05919,2.000317,2.513821,
2014-03,-12.86593,63.0,2.0,6.0,-47.0,-8.346258,14.40221,1.677571,10.4071,
2014-04,-17.59325,64.0,3.0,7.0,-53.0,-8.5977,7.220254,-0.7569793,14.76023,
2014-05,-15.28914,63.0,3.0,12.0,-49.0,-3.422094,15.13257,0.113228,14.68707,
2014-06,-9.527992,62.0,2.0,7.0,-44.0,-8.155559,22.41603,4.397252,17.51518,
2014-07,-7.75519,61.0,1.0,2.0,-44.0,-5.969379,22.73443,19.23242,10.97,
2014-08,-6.643147,60.0,1.0,4.0,-37.0,-7.358178,21.07056,10.06587,11.68968,
2014-09,-7.653601,61.0,3.0,5.0,-38.0,-7.769782,20.0392,8.671313,9.277204,
2014-10,-8.355464,62.0,4.0,2.0,-38.0,-4.983474,14.93361,9.351094,12.57526,
2014-11,-10.61287,63.0,5.0,4.0,-45.0,-8.759232,17.16138,1.273394,22.70875,
