country,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE
1987-Q2,,,,,7.4,,,18.85667,85.51,,6.450081,-4.828393,68.48602
1987-Q3,,,,,8.016666,,,26.19333,85.89,,5.32209,-8.504057,80.9174
1987-Q4,,,,,18.93333,,,22.96667,86.64,,2.991826,-6.60303,83.20686
1988-Q1,,,,,12.05333,,,33.39667,85.79,,1.663113,-15.89835,86.76314
1988-Q2,,,,,18.30333,,,25.90667,86.96,,0.204451,-26.10584,89.06321
1988-Q3,,,,,8.843333,,,26.56667,87.4,,7.940441,0.8044873,84.75443
1988-Q4,,,,,15.12333,,,19.50333,88.2,,10.15902,6.691716,83.51846
1989-Q1,,,,,16.08,,,17.11,88.56,,17.80767,20.73675,100.3485
1989-Q2,,,,,17.26333,,,14.35333,89.42,,8.836803,-1.009522,107.7845
1989-Q3,,,,,36.77667,,,13.77,89.2,,-0.7063172,-8.639327,102.3922
1989-Q4,,,,,30.92667,,,13.93,88.72,,6.210958,15.13622,106.982
1990-Q1,,,,,31.37667,,,15.22,89.46,,-3.302726,-10.35098,134.6444
1990-Q2,,,,,34.17,,,18.54333,89.72,,-9.103511,-15.76838,114.3905
1990-Q3,,,,,21.08333,,,28.06333,89.66,,-5.771699,-17.29733,101.3959
1990-Q4,,,,,19.13333,,,28.69667,88.74,,-30.35927,-64.21955,129.2573
1991-Q1,,,,,20.01333,,,26.67667,88.3,,-33.93756,-70.0291,124.3515
1991-Q2,,,,,12.04,,,37.65667,85.05,,-20.84564,-36.34777,97.51041
1991-Q3,,,,,16.84,,,30.8,83.28,,-26.02802,-57.79772,104.0671
1991-Q4,,,,,20.94333,,,27.03333,83.22,,-32.0806,-57.13111,107.8138
1992-Q1,,,,,19.66,,,25.76333,82.58,,-36.58401,-68.93408,102.9679
1992-Q2,,,,,10.35,,,26.74667,82.01,,-32.37172,-56.59295,90.64191
1992-Q3,,,,,-3.503333,,,24.11,81.75,,-34.07758,-57.56103,97.25996
1992-Q4,,,,,-14.49667,,,15.13333,80.93,,-34.14709,-64.03289,70.76283
1993-Q1,,,,,-10.88667,,,14.63333,79.74,,-32.88836,-59.52014,74.42511
1993-Q2,,,,,-15.07,,,15.09,79.51,,-26.47481,-37.97935,59.881
1993-Q3,,,,,-10.18,,,23.72,79.57,,-28.06614,-39.52378,56.96015
1993-Q4,,,,,-11.02667,,,34.65667,80.3,,-13.97477,-7.324681,39.75941
1994-Q1,,,,,-12.78,,,33.62667,81.39,,-7.733902,9.669033,50.81321
1994-Q2,,,,32.34,2.386667,3.287778,2.69,24.86333,82.46,,-3.413183,23.32948,52.03762
1994-Q3,-27.58376,-12.16687,-15.97366,25.79,6.23,1.687778,5.98,26.95667,83.75,,-2.947347,20.35788,61.8395
1994-Q4,-40.83713,-12.99979,-27.89517,45.24,6.293334,7.684444,8.82,28.48,83.97,,-2.982479,19.97643,93.0507
1995-Q1,-55.08817,-23.32386,-31.74619,38.11,10.82333,3.276667,1.55,39.10333,84.43,,-16.97244,4.75231,123.0911
1995-Q2,-72.77251,-35.6864,-36.59553,2.36,-6.38,-11.09556,-4.12,29.26667,85.07,,-11.38536,0.06075537,67.53047
1995-Q3,-79.20987,-36.97743,-42.64581,20.36,-3.13,-6.992222,-4.29,38.20667,85.49,,-10.2457,-7.829526,56.70079
1995-Q4,-86.17529,-40.62053,-45.62722,4.66,-13.78333,-13.99,-6.44,32.84667,85.26,,-10.56959,-7.578991,51.20495
1996-Q1,-91.91154,-42.50609,-49.36593,-6.14,-18.39,-17.53555,-9.6,28.07667,84.86,,-19.74768,-26.6881,49.18761
1996-Q2,-93.52844,-41.01162,-52.13237,-2.1,-20.1,-18.38556,-8.1,32.95667,83.92,,-24.74168,-42.60632,45.49945
1996-Q3,-84.37296,-40.76662,-43.96795,-9.51,-17.04,-17.12111,-8.25,24.81333,83.05,,-26.92175,-55.20892,36.91347
1996-Q4,-86.82594,-43.06547,-43.76878,-17.2,-20.79333,-20.75444,-19.95,24.27,82.85,,-18.2772,-36.02488,28.06411
1997-Q1,-68.65402,-25.47941,-43.22275,-1.74,-19.28667,-14.29333,-8.8,21.85333,83.03,,-16.99989,-34.69378,18.52296
1997-Q2,-83.70685,-37.12554,-46.18307,11.49,-0.53,-2.864444,-3.83,19.55333,83.37,,-14.01252,-20.19647,22.91629
1997-Q3,-66.56854,-20.31909,-46.55343,25.78,-2.113333,2.58,-12.89,15.92667,83.79,,-4.711491,-0.5737243,22.50561
1997-Q4,-58.07015,-19.18498,-38.92236,35.45,12.84,10.28222,-2.59,17.44333,84.61,,-2.803648,14.35416,31.86805
1998-Q1,-52.65565,-20.42218,-32.32488,35.61,17.19667,11.38333,2.29,18.65667,85.45,,-3.657519,3.560655,26.86857
1998-Q2,-25.39523,-9.314033,-15.71384,33.2,13.61,9.2,-0.88,19.21,85.03,,0.8517569,14.31974,35.14407
1998-Q3,-30.2721,-11.43938,-18.94819,31.15,16.94333,9.845555,-2.32,18.55667,86.01,,7.129181,28.23256,31.59612
1998-Q4,-17.66753,-6.201049,-11.67924,24.52,19.24333,10.50333,4.7,12.25333,85.23,,5.250532,6.785954,33.29844
1999-Q1,-10.03675,0.6510916,-10.68923,30.43,11.43667,8.733334,4.98,15.66667,84.86,,1.081158,7.17339,41.57363
1999-Q2,-6.020997,-0.05176342,-5.725389,29.28,17.84333,10.29444,1.71,16.24,80.91,-11.93,-0.4583666,-0.5504913,44.70512
1999-Q3,4.204926,7.828459,-3.622644,40.83,32.40333,17.84111,9.26,19.71,81.26,-7.24,4.233037,14.43248,38.46618
1999-Q4,10.67599,12.68703,-2.225386,51.42,31.31667,20.53222,7.16,21.14,81.87,0.0,9.535786,33.13589,45.69891
2000-Q1,32.7772,18.70679,14.12736,47.34,39.93333,23.64444,8.49,16.34,82.19,3.92,14.18937,37.91344,59.50019
2000-Q2,11.76699,16.19146,-4.40577,52.18,33.77333,21.75778,14.11,20.68,82.51,4.46,10.85973,36.17653,58.82892
2000-Q3,22.55591,14.94507,7.718755,49.02,26.28667,20.39444,5.86,14.12333,82.99,12.06,12.31307,43.70633,67.56516
2000-Q4,20.5793,14.38406,6.088849,42.08,28.20333,19.53778,11.42,11.67,83.43,17.89,8.592761,34.92783,71.34167
2001-Q1,11.26668,7.521786,3.844152,38.14,29.39333,16.87333,4.9,16.91333,84.26,30.67,8.957304,29.7389,71.9145
2001-Q2,4.479321,4.731651,-0.454627,23.82,25.78667,9.241111,9.64,21.88333,83.81,7.72,4.917495,8.876306,72.38254
2001-Q3,-8.215242,-3.95288,-4.195551,33.8,24.02667,11.45111,6.44,23.47333,82.36,3.26,2.71685,9.142126,72.62193
2001-Q4,-17.26564,-7.01518,-10.03618,11.51,18.06667,2.538889,2.38,21.96,81.41,-5.35,-17.65974,-56.16666,62.74494
2002-Q1,-25.37403,-11.6715,-13.79533,17.27,13.92333,3.385556,-0.22,21.03667,79.93,-1.67,-2.042717,-3.762615,58.51978
2002-Q2,-36.89729,-15.4053,-21.68926,20.1,11.80667,4.575555,-2.62,18.18,79.76,-0.42,-2.957695,1.547462,65.47414
2002-Q3,-31.50642,-11.42391,-20.08921,7.36,-1.93,-5.228889,-1.65,21.11667,80.3,-6.51,-9.349248,-12.70526,65.60163
2002-Q4,-39.55008,-22.30571,-16.88259,6.74,-9.4,-8.928889,-12.31,24.12667,79.75,-10.84,-17.25869,-30.63234,53.56767
2003-Q1,-36.87779,-17.48921,-19.57074,4.1,-22.14333,-12.43444,-15.18,19.26,79.78,-11.9,-11.65011,-23.17059,52.46918
2003-Q2,-33.54839,-15.21143,-18.45753,0.99,-24.96333,-14.34889,-21.43,19.07333,79.85,-9.27,-17.59727,-31.47724,53.8235
2003-Q3,-41.32855,-15.20918,-26.19938,-0.42,-22.80333,-13.29778,-11.9,16.67,80.32,-11.7,-12.26848,-16.50766,37.91029
2003-Q4,-21.69447,-10.31086,-11.01536,1.63,-8.926666,-8.836667,-22.6,19.21333,79.83,-9.9,-8.619521,-0.06861076,61.34404
2004-Q1,-24.9306,-10.16346,-15.00803,38.98,-0.05333333,8.138889,-1.48,14.51,81.57,-9.75,-4.500573,20.08046,59.83078
2004-Q2,-8.992592,-3.377997,-5.555757,35.39,-1.44,5.678889,-3.87,16.91333,83.06,2.88,-2.771616,20.80114,53.68465
2004-Q3,-3.78338,-0.4291935,-3.523433,30.86,1.796667,2.906667,-11.19,23.93667,84.51,4.71,-6.668179,14.89902,59.02697
2004-Q4,-7.626724,-9.86716e-05,-7.379195,21.47,-8.773334,-4.291111,-9.92,25.57,85.12,4.95,-7.084383,0.1235751,63.0262
2005-Q1,7.352523,0.5267398,6.722893,14.39,-11.36,-6.478889,-8.82,22.46667,84.59,9.49,-5.8377,4.439987,44.63919
2005-Q2,0.3640734,-1.670991,2.097053,16.1,2.66,1.227778,-14.22,15.07667,83.77,1.2,-7.721307,-1.078038,34.73771
2005-Q3,11.33279,1.910561,9.265911,22.02,-1.01,3.016667,-0.96,11.96,83.72,0.4,-8.970111,-12.44619,46.53313
2005-Q4,13.41245,3.551797,9.917089,10.68,4.276667,1.488889,1.19,10.49,84.27,1.68,-8.068111,-7.923146,45.69484
2006-Q1,25.68445,10.24339,15.5797,24.86,6.143333,6.715556,-3.66,10.85667,84.8,2.68,2.385976,23.69205,42.61897
2006-Q2,28.52308,9.133313,19.35087,20.52,10.12333,6.06,-0.07,12.46333,85.91,6.82,1.344679,15.74364,48.60324
2006-Q3,24.73728,6.112563,18.45668,19.79,17.45667,8.237778,-3.1,12.53333,85.9,12.06,4.447304,25.02615,49.50993
2006-Q4,32.28116,10.94927,21.32512,24.12,17.2,10.00778,1.24,11.29667,87.11,10.51,4.391842,23.38585,49.71097
2007-Q1,31.1706,6.172646,25.30458,26.4,21.68,11.54444,1.07,13.44667,87.69,15.45,4.24841,24.7009,43.67777
2007-Q2,28.36708,6.123862,22.13529,22.92,25.45667,11.20556,9.68,14.76,88.24,9.42,5.453606,27.48409,46.9438
2007-Q3,26.83966,5.774252,20.81137,25.52,21.38333,11.32,7.52,12.94333,87.56,12.25,2.897846,22.26819,56.48898
2007-Q4,19.30907,2.618081,16.74116,25.21,30.99667,14.71778,10.23,12.05333,86.52,16.06,3.98041,15.60503,78.92522
2008-Q1,10.22842,-1.111533,11.64775,20.04,33.35,13.22333,15.86,13.72,87.3,27.15,-3.569853,-10.10919,87.49455
2008-Q2,4.75743,-5.631015,10.33987,21.01,26.59667,11.44667,19.06,13.26667,87.31,11.95,-6.733455,-22.51134,83.72147
2008-Q3,3.035592,-5.913378,8.63977,18.01,23.31333,10.03222,17.79,11.22667,86.59,19.14,-22.29945,-44.67612,99.19078
2008-Q4,-6.939521,-14.77006,7.82045,5.12,14.30667,2.388889,17.7,12.26,85.29,14.07,-24.44304,-56.76741,70.32502
2009-Q1,-8.726166,-13.90429,5.519265,-14.14,6.496666,-7.116667,-1.93,13.70667,82.27,-6.93,-18.4627,-58.32721,-4.290325
2009-Q2,-16.96693,-11.30768,-5.627815,-13.79,0.4133333,-9.037778,-5.94,13.73667,77.82,-20.18,-22.14536,-67.19277,10.98105
2009-Q3,-4.899552,-6.072223,0.9224185,-11.6,1.536667,-8.292222,-6.15,14.81333,75.91,-16.57,-13.10316,-32.16715,24.48207
2009-Q4,3.169632,-2.774388,5.645066,4.72,2.013333,-1.965556,-5.89,12.63,76.54,-11.36,3.206683,22.05966,35.7903
2010-Q1,7.349737,-0.4491008,8.326913,10.26,3.256667,0.6922222,1.2,11.44,76.94,-7.4,3.835513,22.6644,39.5235
2010-Q2,18.71978,2.632029,16.1626,11.83,4.72,1.963333,3.21,10.66,80.22,-0.44,7.664767,40.72952,55.72279
2010-Q3,21.97478,4.031761,17.74424,10.72,9.736667,3.598889,10.03,9.66,83.07,-4.45,9.80285,33.67836,33.39349
2010-Q4,25.08043,6.566845,17.91494,8.21,7.896667,2.064445,13.92,9.913333,83.97,-0.9,5.755747,22.67064,46.64441
2011-Q1,,,,9.87,6.846667,2.138889,5.24,10.3,84.63,-3.49,2.647626,13.92952,42.69941
2011-Q2,,,,4.75,5.346667,-0.09444445,3.69,10.38,84.32,2.37,2.306477,10.89481,72.91755
2011-Q3,,,,-0.25,-10.01667,-8.642222,2.93,15.66,84.92,-8.32,-7.901586,-21.04351,35.96046
2011-Q4,,,,-11.61,-14.89,-14.92889,1.72,18.28667,83.64,-16.68,-6.887074,-33.66606,6.392953
2012-Q1,,,,-7.93,-9.513333,-11.30889,3.69,16.48333,83.25,-16.25,-8.051481,-30.50733,27.6074
2012-Q2,,,,1.66,-7.04,-6.094444,2.08,12.90333,83.07,-7.98,-4.112231,-5.20858,37.1844
2012-Q3,,,,1.03,-2.12,-4.052222,-0.38,11.06667,81.71,-8.57,-7.681968,-19.02568,30.25781
2012-Q4,,,,2.44,-2.673333,-3.255556,2.15,9.533334,81.19,-8.75,-5.849051,-19.26471,34.34045
2013-Q1,,,,1.78,-4.193333,-4.384444,-0.35,10.74,81.0,-9.45,0.2803549,-1.540797,38.29727
2013-Q2,,,,-4.05,-7.01,-8.215555,4.26,13.58667,81.75,-6.87,-1.344705,0.2428086,37.89194
2013-Q3,,,,0.36,1.236667,-3.13,6.46,10.98667,81.51,-2.87,-2.214243,-5.109626,51.57652
2013-Q4,,,,3.03,5.503334,-1.038889,2.58,11.65,81.63,-6.94,0.3188913,5.199462,49.54131
2014-Q1,,,,9.54,6.806667,1.901111,4.1,10.64333,82.2,2.02,2.79362,16.29744,55.33214
2014-Q2,,,,11.11,15.27667,6.064445,6.99,8.193334,82.36,-1.56,-0.301421,4.970074,53.12352
2014-Q3,,,,8.9,2.743333,0.3355556,6.42,10.63667,82.21,-6.88,2.253726,5.374115,53.2457
2014-Q4,,,,4.77,-2.32,-3.054445,1.86,11.61333,82.39,-3.89,-2.529369,-9.799574,48.45224
2015-Q1,,,,1.7,-5.03,-5.634444,3.16,13.57333,82.41,-8.02,-4.531899,-13.64139,31.92795
2015-Q2,,,,-2.1,-12.47333,-9.991111,-8.34,15.4,81.51,-29.31,0.7480503,-10.23372,9.709548
2015-Q3,,,,-0.78,-11.69333,-8.95,-10.83,14.37667,81.65,-22.41,-7.430912,-24.37722,16.33874
2015-Q4,,,,3.49,-10.69667,-6.614444,-6.56,12.63667,81.84,-11.36,-5.750364,-12.03615,30.8723
2016-Q1,,,,2.2,-10.11667,-6.608889,-5.99,11.91,81.25,-11.33,-6.740528,-17.08004,18.61028
2016-Q2,,,,8.57,-10.69,-4.626667,-1.68,11.76,81.23,-10.92,-6.510813,-19.10634,26.14944
2016-Q3,,,,4.92,-12.18333,-6.524445,-4.68,12.31,81.4,-9.55,-7.696762,-18.81768,30.21158
2016-Q4,,,,11.99,-10.75,-4.12,-5.17,13.6,80.96,-8.07,-4.028421,-2.954146,39.43283
2017-Q1,,,,8.64,-8.133333,-4.426667,-5.09,13.78667,80.6,-9.19,-0.6593555,13.03669,44.21236
2017-Q2,,,,5.27,-3.693333,-3.854445,-5.42,13.14,81.45,-4.95,-5.33764,2.569838,41.81607
2017-Q3,,,,7.36,-1.376667,-1.953333,-1.25,11.84333,82.02,4.24,0.07422645,15.95566,43.23384
2017-Q4,,,,3.13,1.036667,-2.901111,-1.95,12.87,83.34,1.56,-1.298406,17.73112,51.76596
2018-Q1,,,,7.73,5.363333,0.4844444,-1.81,11.64,83.62,5.84,-1.078598,30.44772,46.36839
2018-Q2,,,,14.79,7.013333,2.636667,-1.1,13.89333,83.89,9.19,-5.136702,12.20588,56.29303
2018-Q3,,,,7.61,8.22,0.5455555,-1.58,14.19333,84.19,5.83,-5.53933,5.822097,57.42956
2018-Q4,,,,13.71,5.8,2.011111,1.88,13.47667,83.65,-0.05,-3.455384,12.22501,51.66457
2019-Q1,,,,,5.11,,,14.31667,83.78,4.67,-8.969409,-5.728811,56.48122
2019-Q2,,,,,10.13,,,14.25667,82.11,3.32,-9.133633,-4.49957,51.17803
2019-Q3,,,,,9.03,,,14.83333,80.12,0.23,-8.745513,-2.696875,47.28434
2019-Q4,,,,,6.11,,,15.32333,80.45,-3.96,-10.50204,-20.21272,47.99402
2020-Q1,,,,,6.473333,,,15.28333,80.8,1.59,-8.742685,-5.184556,54.68327
2020-Q2,,,,,-18.14333,,,21.64333,80.31,-5.46,-38.97478,-76.9429,58.4979
2020-Q3,,,,,10.61667,,,12.24333,76.86,-3.35,-12.94717,-19.282,43.1394
2020-Q4,,,,,15.45,,,11.33,78.19,-4.05,-13.01258,-15.20943,35.74964
2021-Q1,,,,,7.553333,,,14.65667,80.34,-3.68,-13.83922,-16.45012,43.92249
2021-Q2,,,,,23.36,,,9.553333,82.29,11.75,-6.419025,5.612249,60.5646
2021-Q3,,,,,20.57,,,7.403333,84.03,28.05,7.489029,47.78928,73.91562
2021-Q4,,,,,20.30667,,,7.943333,85.03,27.41,3.613848,43.28551,74.76814
2022-Q1,,,,,20.97,,,6.69,83.84,41.62,-3.694907,21.16039,93.64447
2022-Q2,,,,,18.28333,,,4.216667,85.63,52.38,-27.55674,-30.95503,122.1917
2022-Q3,,,,,10.63333,,,7.556667,85.29,49.87,-41.78793,-53.92456,115.2281
2022-Q4,,,,,12.08,,,11.25667,84.48,54.01,-46.5253,-57.39095,104.4707
2023-Q1,,,,,15.34667,,,11.62333,83.94,40.21,-30.08697,-16.2573,90.02193
2023-Q2,,,,,9.14,,,15.33333,83.52,18.52,-29.56247,-17.72411,84.18411
2023-Q3,,,,,,,,,82.27,5.93,-27.09505,-6.814391,78.88477
