country,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20
2001,,,4.31136510364829,4.31136510364829,63.637715234291,2.23724500995716,2.23724500995716,61.3954782993369,54764.3934497256,100.0,,,,,,,,,,,,
2002,,,3.51563142220659,3.51563142220659,65.8749827474421,2.63446218621665,2.63446218621665,63.0129189591798,56207.1406866696,100.0,5143.54777779348,5143.40657816572,,,,5292.48338824332,5291.75153730922,,,,-148.935610449848,-148.344959143497
2003,,,3.35605524774729,3.35605524774729,68.0857835628903,3.39804364308881,3.39804364308881,65.1541254461969,58117.0838577349,100.0,6014.36992074029,6013.05641650083,16.9080516019646,16.9080516019646,,6232.12007790883,6231.25328372659,17.7540789622011,17.7540789622011,,-217.750157168536,-218.196867225767
2004,,,3.06335038280783,3.06335038280783,70.1714896743018,4.65401584563659,4.65401584563659,68.1864087685488,60821.8621494958,100.0,7280.81445474496,7242.67869256059,20.4492057098529,20.4492057098529,,7567.07033092298,7535.95017289535,20.9379530852337,20.9379530852337,,-286.255876178009,-293.271480334763
2005,,,3.2930145055951,3.2930145055951,72.4822470080687,4.49515860332751,4.49515860332751,71.2514959886083,63555.9013186129,100.0,8189.25654018829,8176.18470995726,12.8889607978265,12.8889607978265,19.2616700890177,8555.00940320315,8545.61097678034,13.3979230318753,13.3979230318753,20.1319741643522,-365.752863014863,-369.426266823082
2006,2442239.17474737,2322793.29645733,3.33426192475867,3.33426192475867,74.8989949722682,5.03433836927164,5.03433836927164,74.8385373898429,66755.5204446322,100.0,9400.33362979933,9399.53465442244,14.9623569899948,14.9623569899948,20.5946465640117,9792.67708674837,9800.86702167816,14.6888975909216,14.6888975909216,21.4739771438975,-392.343456949043,-401.33236725573
2007,2917240.26456677,2738998.31697722,3.38002365321525,3.38002365321525,77.4305987183514,5.19510544635038,5.19510544635038,78.7264783217516,70223.5401229909,100.0,10875.6448362095,10891.2876329528,15.8704982041689,15.8704982041689,21.2801976725768,11286.0985653486,11294.8548894866,15.2434255510649,15.2434255510649,22.0687170178225,-410.453729139053,-403.567256533772
2008,3272411.150776,3073540.60315912,4.97944874506995,4.97944874506995,81.2862156945325,2.70329837777282,2.70329837777282,80.8546899331011,72121.8919439503,100.0,12347.5745445027,12322.5094701982,13.1409791521357,13.1409791521357,22.1568213371521,12895.0361768414,12877.6523822512,14.0134380499035,14.0134380499035,23.1550110604948,-547.461632338754,-555.142912053006
2009,2913568.41705077,2759067.34265907,2.03117500912376,2.03117500912376,82.9372809935823,-0.834108110890327,-0.834108110890327,80.1802744063339,71520.3173935183,100.0,9633.87126942391,9630.79913604938,-21.8438487765719,-21.8438487765719,18.2557083320573,9816.84329613225,9812.52073673942,-23.8019442871154,-23.8019442871154,18.6001715996395,-182.972026708344,-181.721600690037
2010,3141955.26075674,2981685.51004155,3.28068580559482,3.28068580559482,85.658192598685,5.28100728022274,5.28100728022274,84.414600535035,75297.3105619084,100.0,11657.0731241003,11635.6075605588,20.8166362540487,20.8166362540487,20.2890245590162,11936.2390785598,11911.2093286724,21.3878640182148,21.3878640182148,20.769591732897,-279.16595445951,-275.601768113527
2011,3541026.46265753,3298725.63865669,4.15993925321392,4.15993925321392,89.2215213761913,4.03545813902295,4.03545813902295,87.8211164028498,78335.9020094443,100.0,13846.6406159297,13832.5474261698,18.881178779679,18.881178779679,21.8016176371379,14287.7217667531,14281.8921293172,19.9029564104645,19.9029564104645,22.5098343598768,-441.081150823371,-449.34470314741
2012,3597233.16203099,3357403.18723743,3.24709238278282,3.24709238278282,92.1186266006006,3.0547582208429,3.0547582208429,90.5038391758018,80728.8744159492,100.0,13804.7084368277,13804.7141661024,-0.201215721225308,-0.201215721225308,21.4575412107583,14196.3128720347,14196.3763136608,-0.598770911319789,-0.598770911319789,22.0663264830071,-391.604435207016,-391.662147558389
2013,3823464.52399988,3545836.75083324,3.15827711776175,3.15827711776175,95.0279881057237,3.28392000729074,3.28392000729074,93.4759128578622,83379.9460745552,100.0,14117.2827556089,14141.0501591595,2.43638505665672,2.43638505665672,21.4313350560637,14379.2431565377,14380.7628074943,1.29882788226783,1.29882788226783,21.7946292970018,-261.960400928797,-239.712648334789
2014,4093617.45793868,3863686.70932337,2.79021368827601,2.79021368827601,97.6794720375429,3.41026266242181,3.41026266242181,96.6636870124118,86223.4212434832,100.0,14342.6181297766,14341.8519457297,1.41999203955959,1.41999203955959,21.1655907554081,14522.010898478,14525.9275520266,1.00943702691961,1.00943702691961,21.4372480675654,-179.392768701404,-184.075606296928
2015,3878490.42995374,3680147.5700694,2.37565571767748,2.37565571767748,100.0,3.45146465100155,3.45146465100155,100.0,89199.3921485862,100.0,12700.8161181838,12718.4746538593,-11.3191608588161,-11.3191608588161,19.7899373704913,12674.659933426,12665.8063715905,-12.8055242859624,-12.8055242859624,19.7079855613415,26.1561847577637,52.6682822687598
2016,3941115.79356153,3723111.34056858,2.25471756798459,2.25471756798459,102.254717567985,3.21412774754195,3.21412774754195,103.214127747542,92066.3745622727,100.0,12347.9291361376,12333.4730625965,-3.02710507148717,-3.02710507148717,18.8201802562672,12256.9687628595,12241.3488720904,-3.35120786665618,-3.35120786665618,18.6796039674564,90.9603732780938,92.1241905061562
2017,4268057.58487486,4035952.04934494,2.34826552813949,2.34826552813949,104.65592985153,3.7135604494597,3.7135604494597,107.047046773829,95485.3150352686,100.0,13598.1827506682,13612.9895509972,10.3743404790095,10.3743404790095,19.5150886279224,13676.705552087,13696.4801845962,11.8870177437996,11.8870177437996,19.6347777754224,-78.5228014187617,-83.4906335989531
2018,4670696.21539266,4386218.48303749,3.23418883751285,3.23418883751285,104.873548636784,3.64808917085949,3.64808917085949,110.95221849491,98968.7044728314,,14922.4472548308,14959.7574262656,9.89325577767571,9.89325577767571,20.1366188785905,15155.4855359635,15161.5417426328,10.6966281722828,10.6966281722828,20.4082311620376,-233.038281132643,-201.784316367172
2019,4784137.14694571,4549835.9910402,3.57441080445855,3.57441080445855,108.622160090276,2.88280729793859,2.88280729793859,114.150757146906,101821.781508049,,14570.4931249404,14582.6084213405,-2.52109037719403,-2.52109037719403,19.3638407601158,14672.8430827553,14675.4165287878,-3.20630462321681,-3.20630462321681,19.4870780686914,-102.349957814844,-92.8081074473418
2020,4062385.17937153,3741636.43351754,2.70738322826416,2.70738322826416,111.562978234739,-3.23580456989348,-3.23580456989348,110.457061730579,98527.027648865,,13530.0295619722,13467.0179588041,-7.65014344692814,-7.65014344692814,18.4183306188184,13554.6785521605,13521.7578584354,-7.86116474506438,-7.86116474506438,18.4931963071641,-24.6489901883184,-54.739899631293
2021,,,4.29043302604466,4.29043302604466,116.349513097761,,,,,,,,,,,,,,,,,
