country,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR
subject,CCUSMA02,IR3OBD01,IR3TIB01,IRLTLT01,IRSTCB01,IRSTCI01,MABMM301,MABMM301,MANMM101,MANMM101,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,PRCNTO01,PRCNTO01,PRCNTO01,PRCNTO01,PRCNTO01,PRCNTO01,PREND401,PREND401,PREND401,PREND401,PRINTO01,PRINTO01,PRINTO01,PRINTO01,PRINTO01,PRINTO01,PRMITO01,PRMITO01,PRMITO01,PRMITO01,PRMNCG03,PRMNCG03,PRMNCG03,PRMNCG03,PRMNIG01,PRMNIG01,PRMNIG01,PRMNIG01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNVG01,PRMNVG01,PRMNVG01,PRMNVG01,SLRTCR03,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO02,SLRTTO02,SLRTTO02,SLRTTO02,SPASTT01,SPASTT01,SPASTT01
measure,ST,ST,ST,ST,ST,ST,IXOB,IXOBSA,GPSA,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,ML,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,GP,GY,IXOB
unit,Bulgarian Lev,Percentage,Percentage,Percentage,Percentage,Percentage,Index,Index,Percentage,Index,Percentage,Percentage,Index,Index,Index,Index,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Number,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Percentage,Percentage,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2015=100,2015=100,,2015=100,,,2015=100,2015=100,2015=100,2015=100,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,2015=100
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2.076975,,,,3.96041666666667,2.43233333333333,17.8974302856554,17.8974302856554,13.3387130249481,17.7502209583277,22.7825030376671,22.7825030376671,50.525,50.525,50.5123719070232,50.5123719070232,3.00642753472944,3.00642753472944,41.4,41.4,41.4,41.4,74.1416666666666,74.1416666666666,74.1416666666666,74.1416666666666,4.73994363310277,4.73994363310277,68.1333333333334,68.1333333333334,68.1333333333334,68.1333333333334,108.875,108.875,108.875,108.875,78.3833333333334,78.3833333333334,78.3768019331722,78.3768019331722,60.325,60.325,60.3199733355554,60.3199733355554,8.05882352941178,8.05882352941178,61.2333333333334,61.2333333333334,61.2282309807516,61.2282309807516,55.65,55.65,55.6453628864261,55.6453628864261,,5.81793292265567,5.81793292265567,38.65,38.65,38.65,38.65,25.4833333333333,25.4833333333333,25.4812098991751,25.4812098991751,52.0076499248668,52.0076499248668,29.3042453865372
2003,1.73270166666667,,,6.44666666666667,2.6793,1.98275,20.8062393301972,20.8062393301972,17.8896714483036,20.9256771691204,20.6828302820386,20.6828302820386,60.975,60.975,60.959760059985,60.959760059985,5.33413848631242,5.33413848631242,43.6083333333333,43.6083333333333,43.6083333333333,43.6083333333333,77.95,77.95,77.95,77.95,13.0014677103718,13.0014677103718,76.9916666666666,76.9916666666666,76.9916666666666,76.9916666666666,115.575,115.575,115.575,115.575,92.9333333333334,92.9333333333334,92.9255895342054,92.9255895342054,71.6916666666667,71.6916666666667,71.6856928589284,71.6856928589284,17.5694066412629,17.5694066412629,71.9916666666667,71.9916666666667,71.9856678610116,71.9856678610116,60.75,60.75,60.7449379218398,60.7449379218398,,15.5023717119448,15.5023717119448,44.6416666666667,44.6416666666667,44.6416666666666,44.6416666666666,29.4666666666667,29.4666666666667,29.4642113157237,29.4642113157237,124.636934432515,124.636934432515,65.8281584948989
2004,1.57510891666667,,,5.36,2.60833333333333,1.939825,25.453597987392,25.453597987392,23.8476788877484,25.9159654654991,102.091020910209,102.091020910209,123.225,123.225,123.194201449638,123.194201449638,35.1614752532008,35.1614752532008,58.9416666666667,58.9416666666667,58.9416666666666,58.9416666666666,79.35,79.35,79.35,79.35,12.8693581556445,12.8693581556445,86.9,86.9,86.9,86.9,135.725,135.725,135.725,135.725,103.633333333333,103.633333333333,103.624697941838,103.624697941838,88.075,88.075,88.0676610282476,88.0676610282476,16.529690936451,16.529690936451,83.8916666666667,83.8916666666667,83.8846762769769,83.8846762769769,69.5583333333333,69.5583333333333,69.5525372885593,69.5525372885593,,16.6137763673698,16.6137763673698,52.0583333333333,52.0583333333333,52.0583333333333,52.0583333333333,35.925,35.925,35.9220064994584,35.9220064994584,68.3501090823745,68.3501090823745,110.821776633081
2005,1.57413333333333,3.79399166666667,3.79399166666667,3.87416666666667,2.04,2.036825,32.4086662813185,32.4086662813185,30.4715524968786,33.8129624873916,54.6155406776222,54.6155406776222,190.525,190.525,190.477380654836,190.477380654836,31.7404213205146,31.7404213205146,77.65,77.65,77.65,77.65,86.3916666666667,86.3916666666667,86.3916666666666,86.3916666666666,6.93325661680094,6.93325661680094,92.925,92.925,92.925,92.925,134.366666666667,134.366666666667,134.366666666667,134.366666666667,106.758333333333,106.758333333333,106.749437546871,106.749437546871,95.6166666666667,95.6166666666667,95.6086992750604,95.6086992750604,7.7182874739247,7.7182874739247,90.3666666666667,90.3666666666667,90.3591367386051,90.3591367386051,78.4666666666667,78.4666666666667,78.4601283226398,78.4601283226398,,14.566992156235,14.566992156235,59.6416666666667,59.6416666666667,59.6416666666666,59.6416666666666,43.875,43.875,43.8713440546621,43.8713440546621,52.1783144440466,52.1783144440466,168.646711717169
2006,1.55926666666667,3.90240833333333,3.90240833333333,4.18333333333333,2.68416666666667,2.83275833333333,39.3009178194081,39.3009178194081,21.9748070207741,41.2432957420026,61.2649258627476,61.2649258627476,307.25,307.25,307.173206698325,307.173206698325,23.9321742863275,23.9321742863275,96.2333333333333,96.2333333333333,96.2333333333333,96.2333333333333,85.3083333333333,85.3083333333333,85.3083333333333,85.3083333333333,5.9994619316653,5.9994619316653,98.5,98.5,98.5,98.5,135.458333333333,135.458333333333,135.458333333333,135.458333333333,111.491666666667,111.491666666667,111.482376468628,111.482376468628,105.233333333333,105.233333333333,105.224564619615,105.224564619615,8.68683142751752,8.68683142751752,98.2166666666667,98.2166666666667,98.2084826264478,98.2084826264478,85.1333333333334,85.1333333333334,85.1262394800434,85.1262394800434,2706.75,12.9383820036328,12.9383820036328,67.3583333333333,67.3583333333333,67.3583333333333,67.3583333333333,52.5583333333333,52.5583333333333,52.5539538371802,52.5539538371802,18.4466100274521,18.4466100274521,199.756312951756
2007,1.42905,4.74415,4.74415,4.53916666666667,3.92416666666667,4.09323333333333,50.6923446830813,50.6923446830813,30.3581644206195,53.7640032758421,21.0008136696501,21.0008136696501,371.775,371.775,371.68207948013,371.68207948013,27.9702112919986,27.9702112919986,123.15,123.15,123.15,123.15,101.416666666667,101.416666666667,101.416666666667,101.416666666667,9.62774957698818,9.62774957698818,107.983333333333,107.983333333333,107.983333333333,107.983333333333,124.658333333333,124.658333333333,124.658333333333,124.658333333333,120.383333333333,120.383333333333,120.373302224815,120.373302224815,114.083333333333,114.083333333333,114.073827181068,114.073827181068,9.52825386051246,9.52825386051246,107.575,107.575,107.566036163653,107.566036163653,93.1666666666667,93.1666666666667,93.1589034247146,93.1589034247146,3420.16666666667,18.978102189781,18.978102189781,80.1416666666667,80.1416666666667,80.1416666666666,80.1416666666666,66.5833333333334,66.5833333333334,66.577785184568,66.577785184568,58.9211603669609,58.9211603669609,317.455050449188
2008,1.33711666666667,6.12908333333333,6.12908333333333,5.37666666666667,5.1175,5.276625,62.2335138294686,62.2335138294686,13.5916731857192,61.071430892654,-23.0246789052518,-23.0246789052518,286.175,286.175,286.103474131467,286.103474131467,12.6607118689945,12.6607118689945,138.741666666667,138.741666666667,138.741666666667,138.741666666667,103.858333333333,103.858333333333,103.858333333333,103.858333333333,0.640530946133664,0.640530946133664,108.675,108.675,108.675,108.675,117.9,117.9,117.9,117.9,118.725,118.725,118.71510707441,118.71510707441,116.291666666667,116.291666666667,116.281976501958,116.281976501958,0.720427608645131,0.720427608645131,108.35,108.35,108.340971585701,108.340971585701,96.7166666666666,96.7166666666666,96.708607616032,96.708607616032,3646.5,8.90090464801915,8.90090464801915,87.275,87.275,87.275,87.275,80.45,80.45,80.4432963919674,80.4432963919674,-32.5279702682823,-32.5279702682823,214.193366023916
2009,1.40669166666667,6.8175,6.8175,7.215,2.40583333333333,2.015675,65.1516560530055,65.1516560530055,-11.1455699986279,54.2646718133495,-59.1858128767363,-59.1858128767363,116.8,116.8,116.770807298175,116.770807298175,-14.4753438644964,-14.4753438644964,118.658333333333,118.658333333333,118.658333333333,118.658333333333,97.1833333333334,97.1833333333334,97.1833333333333,97.1833333333333,-18.2501341921632,-18.2501341921632,88.8416666666666,88.8416666666666,88.8416666666666,88.8416666666666,100.258333333333,100.258333333333,100.258333333333,100.258333333333,99.725,99.725,99.7166902758103,99.7166902758103,84.6583333333333,84.6583333333333,84.6512790600783,84.6512790600783,-22.3734810029226,-22.3734810029226,84.1083333333333,84.1083333333333,84.1013248895926,84.1013248895926,69.9916666666667,69.9916666666667,69.9858345137905,69.9858345137905,2081.0,-7.66733505203858,-7.66733505203858,80.5833333333333,80.5833333333333,80.5833333333333,80.5833333333333,73.7083333333333,73.7083333333333,73.702191484043,73.702191484043,-62.7087177225742,-62.7087177225742,79.8754527434983
2010,1.47739166666667,5.13983333333333,5.13983333333333,6.005,0.2,0.183341666666667,70.2648802478207,70.2648802478207,2.29717036447867,55.5112237726274,-36.3655821917808,-36.3655821917808,74.325,74.325,74.3064233941514,74.3064233941514,-14.916777863614,-14.916777863614,100.958333333333,100.958333333333,100.958333333333,100.958333333333,95.0166666666667,95.0166666666667,95.0166666666666,95.0166666666666,2.03545633617862,2.03545633617862,90.65,90.65,90.65,90.65,101.583333333333,101.583333333333,101.583333333333,101.583333333333,97.575,97.575,97.5668694275476,97.5668694275476,90.1583333333333,90.1583333333333,90.1508207649362,90.1508207649362,3.89378777370455,3.89378777370455,87.3833333333333,87.3833333333333,87.376051995667,87.376051995667,75.6583333333333,75.6583333333333,75.6520289975836,75.6520289975836,1303.83333333333,-8.35573940020684,-8.35573940020684,73.85,73.85,73.85,73.85,71.1333333333333,71.1333333333333,71.1274060494959,71.1274060494959,3.19195000846234,3.19195000846234,82.4250372641038
2011,1.40645833333333,4.61885833333333,4.61885833333333,5.35666666666667,0.195,0.197683333333333,76.1396476080838,76.1396476080838,4.63538432689788,58.084382339053,-14.4635048772284,-14.4635048772284,63.575,63.575,63.5591102224444,63.5591102224444,-12.802311184482,-12.802311184482,88.0333333333333,88.0333333333333,88.0333333333333,88.0333333333333,102.558333333333,102.558333333333,102.558333333333,102.558333333333,5.81908439051293,5.81908439051293,95.925,95.925,95.925,95.925,109.866666666667,109.866666666667,109.866666666667,109.866666666667,98.3416666666667,98.3416666666667,98.3334722106491,98.3334722106491,96.3666666666666,96.3666666666666,96.3586367802683,96.3586367802683,5.1878695403395,5.1878695403395,91.9166666666666,91.9166666666666,91.9090075827015,91.9090075827015,79.425,79.425,79.4183818015166,79.4183818015166,1552.58333333333,0.564206725344179,0.564206725344179,74.2666666666666,74.2666666666666,74.2666666666666,74.2666666666666,75.2666666666667,75.2666666666667,75.2603949670861,75.2603949670861,-0.217262113960413,-0.217262113960413,82.2459588857111
