country,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN
1996-03,,124.167071737477,2330.762,2337.0,,,,,,,,,,,,-0.672202451852807,9.69432319367617,18.9010741,15.695741989952,,,,,,13.99,13.99,,,97.7003141463586,2337.0,101.193833508077,,101.302198499316,99.4133686290186,13.98,101.202497036454,355101.713691222,104.469741511135,102.382985631645,7.20385875020644,46.6087435041586,102.457622550612,103.554551769159,44.614586798026,2.96804486224187,27.6549908712905,5.30212002504837,5.33267172178399,232.493,234.95693985811,1.79054002736943,2.57888031373339,2.58010601229568,53.162,53.8610663347896,20.3610248313995,13.6642469841928,62.7434071626188,64.5747981466188,,,,110.993236226881,113.952299659065,3.9548,4.06571245693381,3.14860806697814,14.8638363735281,9217.6975576,9476.20809754795,3.5631,3.56790733411966,8.97980962128225,12.6564250259837,8304.7380822,8315.94283388741,0.3917,0.497805122814145,912.959475399999,1160.26526366054
1996-04,,124.640183146894,2339.25,2342.0,,,,,,,,,,,,0.2786624173914,8.20446734718363,18.95374429,15.7394801240087,,,,,,13.98,13.98,,,97.5540214960187,2342.0,101.828347921789,,101.372534241394,99.3618311422111,13.98,101.283584235705,369085.798298706,104.964120426612,102.647292054863,7.71102072186584,46.9560007332246,102.875076842622,104.172234333637,44.7352872032638,2.66989516548269,29.1857276877519,5.41791796435413,5.47504846627496,238.004,240.468768809987,1.26745882485275,2.56987654945214,2.61280779363907,53.586,54.6926339650094,1.95578327918475,0.198474153471564,64.0277393983377,65.8377412513377,,,,109.208672086721,112.592265902742,4.0298,4.16438482187904,2.4269390910061,15.2092836432897,9426.70965,9741.53719458054,3.69,3.69864198796414,3.66418299584943,13.7770684740407,8631.8325,8652.04827034511,0.3398,0.465742833914899,794.87715,1089.48892423543
1996-05,,125.30836999298,2349.0,2354.0,,,,,,,,,,,,0.674870980862038,8.37606840199065,19.08165761,15.8457013079042,,,,,,13.99,13.99,,,97.4006719088711,2354.0,102.435195341381,,101.34131953886,99.3028235158195,13.75,101.304176287176,369376.137677136,105.371656936717,102.865170515988,8.0331108055075,47.2590462896653,103.311874949906,104.818538803924,44.8498653846242,2.08529623763733,30.2309053951668,5.52915584161087,5.58921944595102,242.153,244.870974273726,1.24769873745887,2.58405627448331,2.64540776349253,53.751,55.2154894828951,1.87345988300249,3.06802389764514,67.4814059145565,67.0711849215565,,,,103.399720918432,106.99309911379,4.0755,4.06207589935444,-2.45675956715332,6.89325910840361,9573.3495,9541.81628758359,3.9415,3.79657747368765,2.64787687054346,18.9383540053878,9258.5835,8918.16048569229,0.134,0.265498425666794,314.766,623.655801891297
1996-06,,125.385093390301,2344.0,2342.0,,,,,,,,,,,,-0.74921137839242,7.38054608766359,18.93869566,15.7269835107193,,,,,,13.99,13.99,,,97.2405232285802,2342.0,102.909611369605,,101.241656369825,99.2382237259646,13.75,101.269908641736,363489.386803503,105.658395235417,103.018467454342,8.15051863589035,47.5021401391011,103.744727691128,105.459005548085,44.9582260200541,1.82613233198591,29.821937880275,5.66087945216364,5.69128598935917,249.443,249.331714778416,1.10290703109681,2.65295673804733,2.67458415171727,56.448,55.9048183862629,-2.91926764788983,-2.67480862838973,66.2564335720851,65.1131975190851,,,,103.085588953691,110.777967584191,4.136,4.19477561873407,3.26679566476627,10.68743922077,9694.784,9832.55405031266,4.0122,3.78665154291266,-0.261444178178405,7.63906914449202,9404.5968,8875.91121658728,0.1238,0.408124075821409,290.1872,956.642833725383
1996-07,,126.156624418627,2348.5,2353.0,,,,,,,,,,,,0.675407231291884,7.37288135063482,19.06660898,15.8332046946148,,,,,,13.92,13.92,,,97.0761803772111,2353.0,103.224433396333,,101.141775133076,99.1651038815124,13.75,101.209929498426,345006.106924212,105.859496659828,103.125980935451,8.11411798499656,47.7005991125541,104.163838945792,106.079139822753,45.0602927631863,1.64090718209256,28.6722099004951,5.79030000107548,5.78467470991199,253.392,252.980381692477,2.36249812694603,2.74841108397023,2.73777115220519,57.716,57.8407046749606,-0.415824086924468,-1.18422971423395,69.100312094034,64.842441160034,,,,113.374198941209,116.025271332429,4.069,4.05656847957503,-3.29474450413499,7.72523691173778,9556.0465,9526.85107428197,3.589,3.49628010604033,-7.66829040331962,-0.0539494920299619,8428.7665,8211.01382903572,0.48,0.5602883735347,1127.28,1315.83724524624
1996-08,,124.293689726477,2358.5,2363.0,,,,,,,,,,,,-0.039463283732803,6.96790543756791,19.05908467,15.8269563921221,,,,,,13.96,13.96,,,96.9084638074299,2363.0,103.368882565565,,101.121434401395,99.0770915742119,13.75,101.157088071507,340692.324464049,106.028573559181,103.216373363441,7.98145416191734,47.87827308042,104.561511023182,106.667551807695,45.1560098124836,1.10308394615902,27.1002421173844,5.85756091629873,5.84848452797455,255.284,254.872638874201,1.25250133169006,2.77609645542328,2.77206177234519,57.598,57.3294825773425,-0.0374696879578174,-1.23193897207118,67.5515585156672,64.8181448996672,,,,125.823263939438,121.74522918004,4.3214,4.20484919119705,3.65532376363466,10.0151729495758,10192.0219,9917.13681743825,3.4345,3.45381023923231,-1.21471579850408,-5.68099140907286,8100.26825,8145.8114492294,0.8869,0.751038951964746,2091.75365,1771.32536820885
1996-09,,125.873466516119,2344.0,2340.0,,,,,,,,,,,,0.197394369411754,6.81818178512908,19.09670623,15.8581979128894,,,,,,13.96,13.96,,,96.738627538789,2340.0,103.346793209613,,101.210645680169,98.966414699185,13.75,101.135325655404,332190.120494886,106.197785109949,103.306837779197,7.77243375263958,48.0495526576341,104.922094308188,107.201085687818,45.2453434955234,1.28714842129859,26.1838654260114,5.93280194010779,5.92376320424627,259.926,259.517203829219,1.43923255594025,2.82347455196206,2.81195818784355,59.684,59.4982715046331,-0.598462380732406,-1.49691882612916,66.456098667554,64.430232686554,,,,118.823561688935,119.616741761472,4.331,4.23900440575554,0.812281558872443,9.6614994792243,10151.864,9936.226327091,3.6449,3.54382199626249,2.60615814985235,-3.48625318450955,8543.6456,8306.71875923929,0.6861,0.69518240949305,1608.2184,1629.50756785171
1996-10,,127.745128514025,2344.0435,2352.0,,,,,,,,,,,,0.394011035692614,6.52173914251331,19.17194936,15.9206809627282,,,,,,13.93,13.93,,,96.570300767989,2352.0,103.245260746402,,101.407240648528,98.8270254087937,13.75,101.151712951379,354087.26347963,106.414236312951,103.422557607604,7.52761356082191,48.2357471081705,105.213962863419,107.632946423561,45.3282838644962,2.6007731662517,26.9291828884834,6.08291549786335,6.0778268480946,268.32,268.250751873156,1.97643110623492,2.87155080134618,2.86753460416241,59.595,59.6385026497343,3.69255776922704,3.16370894221818,70.1795828803524,66.8093562493524,,,,127.035164460603,122.030042580244,4.4724,4.2594525947412,0.482381876223043,13.6856331263486,10483.5001494,9984.34216826126,3.5206,3.49049504915176,-1.50478627783723,1.15774050132606,8252.4395461,8181.87223174636,0.9518,0.768957545589446,2231.0606033,1802.4699365149
1996-11,,127.141996170475,2348.0,2368.0,,,,,,,,,,,,0.431711134041947,6.53621981237357,19.2547168,15.9894123150596,,,,,,13.4,13.4,,,96.4036490362989,2368.0,103.126073668104,,101.700099750496,98.658974936892,13.38,101.183054789906,364700.41202568,106.691627489204,103.570857357719,7.25322139350304,48.4431711697796,105.409269046271,107.921929495938,45.4048478871331,3.31537625700134,28.3286311506741,6.28366186579468,6.27932967635798,277.359,277.014697324636,0.789897220264723,2.88353977089715,2.89018518029082,60.182,60.4393295719915,0.74020578698336,3.26754994461395,67.4814059145565,67.3038829705565,,,,122.017469401166,119.429306773144,4.4562,4.34907520607801,2.10408754043789,9.45594287828794,10463.1576,10211.6285838712,3.6521,3.64154772692359,4.32754310333551,6.01773595302971,8575.1308,8550.3540628166,0.8041,0.70752747915442,1888.0268,1661.27452105458
1996-12,,127.742219341176,2377.75,2383.0,,,,,,,,,,,,0.312622151887458,6.03056588860139,19.31491131,16.0393987599131,,,,,,12.8,12.8,,,96.2381993294682,2383.0,103.061310573743,,102.042490008603,98.4736065478861,12.88,101.21320188274,367563.006408887,107.029109039717,103.751282814238,6.9543280208903,48.6715757732654,105.509476484362,108.070200548662,45.4750826293473,2.83581319683667,29.4708619537899,6.51756080604714,6.45739973599302,288.632,283.713461439298,2.04500818273534,2.99172938768845,2.94928970372397,64.089,62.0941041443198,-1.53321364035433,2.71669413868665,63.9467940893638,66.2719706563638,,,,122.373510349153,118.773527241154,4.6825,4.38131892739826,0.74139259020361,3.51733591661875,11133.814375,10417.6810796212,3.8264,3.68880088784648,1.2976120173717,6.78614936094681,9098.2226,8771.04631107697,0.8561,0.692518039551778,2035.591775,1646.63476854424
