,id,name
109,P6OIEQ03,International investment position BPM6 > Other investment > Other equity > Liabilties
110,P6OIIP02,"International investment position BPM6 > Other investment > Insurance, pensions and standardised guarantee schemes > Assets"
111,P6TTTT03,International investment position BPM6 > Financial account (IIP) > Total > Liabilities
112,P6OITT02,International investment position BPM6 > Other investment > Total > Assets
113,P6DIDB01,International investment position BPM6 > Direct investment > Debt instruments > Net
114,P6OIIP01,"International investment position BPM6 > Other investment > Insurance, pensions and standardised guarantee schemes > Net"
115,P6OILN02,International investment position BPM6 > Other investment > Loans > Assets
116,P6OITT01,International investment position BPM6 > Other investment > Total > Net
117,P6PIDB01,International investment position BPM6 > Portfolio investment > Debt instruments > Net
118,P6PIEQ03,International investment position BPM6 > Portfolio investment > Equity and investment fund shares > Liabilities
119,P6PITT02,International investment position BPM6 > Portfolio investment > Total > Assets
120,P6DITT03,International investment position BPM6 > Direct investment > Total > Liabilities
121,P6FDTT01,International investment position BPM6 > Financial derivatives > Total > Net
122,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
