time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02,99.9298599973221,0.728805938201171,8.23452697527725,33.6167125694073,33.6167125694073,0.640432941782353,7.49319438663108,33.5775661102506,33.5775661102506,0.950129809200472,-3.74041931497914,26.3876683922887,0.615606114657138,8.82102865282686,34.5879459962345,101.139937536825,0.0208207880366097,100.588491006168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68909830409163,16.5510387702459,9.06459994388267,9.04616839593104,1.29337905824387,7.2396517591617,7.34565850117335,0.429087630577876,4.07493893567635,39.4245196397288,,,,1.56202046041092,1.5739901026731,59.0638135745661,,,,13.0398916060271,1.02943892267124,113.142818857666,2.39106473367503,3.50043419865,61.0041865011746,,,,,,,,,,
1987-03,100.085639155188,0.59259029163168,8.69147921767227,33.8159219444593,33.8159219444593,0.724622687226961,8.11965034334348,33.8208767721041,33.8208767721041,0.144535549868978,-0.487425568644593,26.4258079538971,0.75501427538952,9.00014284483344,34.8490899260701,101.196818338775,0.0247605635881143,100.613397283446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16952397261157,16.775669018264,9.20014981242408,9.15196550392426,1.06091123934478,7.39408239188718,7.42358941781618,0.507897047345514,5.16274289957867,39.6247556109091,,,,0.314788156165495,2.18604428319257,59.2497394642785,,,,1.34037846273154,7.18872883050591,114.659360833762,-0.0950696501819914,3.59730864219188,60.9461900344716,,,,,,,,,,
1987-04,100.236951096132,0.848030518582719,8.98545418395555,34.1026912826884,34.1026912826884,1.02929949938362,8.76928042649818,34.1689948874066,34.1689948874066,1.58132670391721,3.71372295301061,26.8436863117979,1.01989653776249,9.32165113313322,35.2045145876679,101.259532713757,0.100174964134496,100.714186718089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44836819715017,17.2665501889511,9.35149672840444,9.28451966169726,1.75674597177266,7.62222743573507,7.55400302587461,0.873754477000445,6.16306522259117,39.9709786870599,,,,0.420860097374708,2.31932982859442,59.4990979754821,,,,1.31322648955277,0.746579876630868,116.165097932983,1.6461500366242,3.94446519939933,61.9494557640451,,,,,,,,,,
1987-05,100.38258177568,1.15664594612314,9.40105525002151,34.4971386789286,34.4971386789286,0.745703585643098,8.98027324666967,34.4237943074602,34.4237943074602,0.641547989340969,4.28472406460602,27.0159014415963,0.611457674334896,9.43465393113362,35.4197752938265,101.294668815823,-0.0486796216253098,100.665159433072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32353574691528,17.6731631464097,9.42063993472249,9.4074035983492,1.44697770394117,7.64847676828048,7.66330776541405,0.693515725645456,6.60861763536382,40.2481837099491,,,,0.594344399107021,3.80126032544617,59.8527275318186,,,,-3.21806253524091,-4.35221471372657,112.426832437376,-1.22108731914985,2.15848702402584,61.192998815428,,,,,,,,,,
1987-06,100.509422940453,0.392462747052119,9.32971769833273,34.6325270970423,34.6325270970423,0.610605982287967,8.93032687077632,34.633988054832,34.633988054832,1.65429006662142,5.3672573375857,27.4628228155528,0.633256518965178,9.48496833420389,35.6440733298775,101.347353929861,0.0264990825662251,100.691834776785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25622242731465,18.0670686018471,9.56275301942938,9.52558151217967,0.895029074809908,7.74777831471513,7.73189659800668,0.596366854827588,6.89707764237339,40.4882105372653,,,,0.421387047003772,3.60344231630204,60.1049391729161,,,,2.83257007835851,-2.00653185999327,115.611401253043,1.07907728227334,3.6304691094067,61.8533185639871,,,,,,,,,,
1987-07,100.663545704837,0.0809113135473356,8.55939758036979,34.6605487296311,34.6605487296311,0.685108722488086,9.27782926222704,34.8712685279412,34.8712685279412,0.704088964286362,8.5019545201377,27.6561855202786,0.760996147410826,9.65417424130839,35.9153233546981,101.414444780401,0.0891134252510283,100.781564719703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44042533449324,18.7039706487981,9.71795876246988,9.66279040153891,1.05671706292747,7.83352279653838,7.81360086864572,0.9410914664795,8.07165407070225,40.8692416315618,,,,0.293168142092197,3.54434506513477,60.281147706395,,,,2.64600602163183,2.38185428969304,118.670485891891,1.07983136441945,4.49337351947302,62.5212300977753,,,,,,,,,,
1987-08,100.866821332466,0.694755164299732,8.49151892320042,34.9013546819048,34.9013546819048,0.859859276164248,9.56365871397464,35.1711123650948,35.1711123650948,1.96179517279416,10.1158603459725,28.1987432327945,0.787592706452561,9.79687858131816,36.1981898219386,101.44709230292,0.0187318514708126,100.800442972716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5022440713223,19.2158773698942,9.83223441407497,9.80794909747033,1.69196873976224,7.88119811587494,7.945804552793,0.761824405379489,8.44914388504567,41.1805934886045,,,,0.522680005683226,4.70761383147747,60.5962252126527,,,,4.65178229184807,0.887602788153489,124.19077854026,0.681952349945537,4.40049695946815,62.9475950956419,,,,,,,,,,
1987-09,101.038413340644,0.925212001421211,8.72162599594908,35.2242662040804,35.2242662040804,0.934001646355574,9.65579566158091,35.4996111336263,35.4996111336264,-0.120170272264066,8.98425032098598,28.1648567262766,1.02231824417466,9.94463582006883,36.5682505205492,101.409606247856,0.0381922566637076,100.838940936615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44019546356584,19.4220521810721,9.95972375723228,9.94920273544094,1.26540938115164,7.9702785270146,8.04635150901201,0.570873062821931,8.51922472403722,41.4156824039412,,,,0.465005124388835,4.58409214209146,60.8780007650777,,,,-2.841777985436,-12.2860999670723,120.661552335762,-0.911629480099825,1.06575785797368,62.3737462617362,,,,,,,,,,
1987-10,101.151210033465,0.901897735593475,9.0942698613507,35.5419530633544,35.5419530633544,1.02429493228928,9.93595589965346,35.8632318514505,35.8632318514505,-0.836633523806593,9.31122871789446,27.9292200929724,1.19575338124991,10.1084431438659,37.0055166126126,101.285424776692,-0.11057687706321,100.727436384863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54954636487154,19.6905931676978,10.1025454427886,10.1033702447617,1.47956826851682,8.04943118573146,8.16540277271268,1.14530952916728,9.04834722102894,41.8900201610832,,,,1.24152729241303,5.78507922519976,61.6338177596516,,,,-5.21509721204576,-0.383302121159582,114.368935083888,0.411593820406069,3.80888348000011,62.6304727469053,,,,,,,,,,
1987-11,101.184824137593,0.124040168602304,8.85523985662354,35.5860393618588,35.5860393618588,0.827369763740272,10.1590542565622,36.1599533880895,36.1599533880895,-0.20690901580351,9.23704176771408,27.8714320185565,1.17078922459073,10.5111651760161,37.4387732136172,101.167923089504,-0.261336190016604,100.464199140314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24548749836,19.626954914536,10.2509814108364,10.2292064580732,1.25508149344369,8.21327108464469,8.26788523177814,0.719958393343603,9.23555904153011,42.1916108772062,,,,0.452060645540026,6.40435651486688,61.9124399940868,,,,0.646156463206867,1.28146577537126,115.107937349834,0.436702509000265,4.52248808154142,62.9039815927897,,,,,,,,,,
