country,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20
2001,,,4.31230670658096,4.31230670658096,63.6901020322674,2.23984079511146,2.23984079511146,61.3145685103391,54702.119717708,100.0,,,,,,,,,,,,
2002,,,3.51588473687363,3.51588473687363,65.9293726085192,2.61980469222292,2.61980469222292,62.9208904531892,56135.2084168179,100.0,5143.94366716348,5140.76611994152,,,,5293.90645294777,5292.49006622039,,,,-149.962785784289,-151.723946278869
2003,,,3.35650597601958,3.35650597601958,68.1422959400763,3.40115616724811,3.40115616724811,65.0609281993252,58044.454519884,100.0,6014.76850778548,6015.90827375859,17.0235745684346,17.0235745684346,,6233.43956875286,6234.47338276441,17.7984900256362,17.7984900256362,,-218.671060967377,-218.565109005824
2004,,,3.0637135076379,3.0637135076379,70.229980665207,4.65357030146133,4.65357030146133,68.0885842318641,60745.5940170666,100.0,7280.30268677349,7244.12414915101,20.416133682588,20.416133682588,,7568.4929003612,7530.38307772352,20.7861934023447,20.7861934023447,,-288.190213587708,-286.258928572508
2005,,,3.29335162343185,3.29335162343185,72.5429008735805,4.49777172284816,4.49777172284816,71.1510533199326,63477.7921676424,100.0,8189.93495065473,8182.77248110792,12.9573750067068,12.9573750067068,19.2770411293729,8556.6180115982,8546.50742290498,13.4936607433342,13.4936607433342,20.1339308265264,-366.683060943478,-363.734941797064
2006,2447725.74893338,2327110.19590895,3.33342196564118,3.33342196564118,74.9610618658137,5.01904440452046,5.01904440452046,74.722156280344,66663.7707435456,100.0,9401.25461992132,9412.39392678778,15.0269538658048,15.0269538658048,20.6258676153286,9794.50307922638,9803.85474662397,14.7118262642497,14.7118262642497,21.4836960391422,-393.248459305055,-391.460819836195
2007,2920941.67170368,2744073.25900352,3.37772825204706,3.37772825204706,77.4930428304898,5.20709312668018,5.20709312668018,78.613008544125,70135.0153679186,100.0,10875.9037646113,10888.7338000535,15.6850625329654,15.6850625329654,21.2805165802351,11288.1440536269,11292.2030679758,15.1812563508686,15.1812563508686,22.0690411785307,-412.240289015644,-403.469267922283
2008,3279978.7024124,3082082.45419498,4.97550378076975,4.97550378076975,81.3487121063543,2.70741460269944,2.70741460269944,80.74138861707,72033.8610155951,100.0,12346.5225393463,12323.7752937555,13.1791402017281,13.1791402017281,22.1617318739331,12897.0961324598,12877.5806517926,14.0395773461861,14.0395773461861,23.1576349606589,-550.573593113469,-553.805358037135
2009,2925086.51947758,2767062.22265665,2.02009078883088,2.02009078883088,82.9920299464474,-0.840442500788181,-0.840442500788181,80.0628036714056,71428.4578326613,100.0,9633.49211867924,9636.42806833498,-21.806201114217,-21.806201114217,18.268874370589,9818.79471220442,9817.29149722364,-23.7644728254369,-23.7644728254369,18.61175777481,-185.302593525182,-180.86342888867
2010,3158860.63258555,2996472.180292,3.26971595552971,3.26971595552971,85.7056335914243,5.28656622297689,5.28656622297689,84.2953768074664,75204.5705580361,100.0,11656.5551894972,11634.1887735984,20.7313404001636,20.7313404001636,20.2860616691427,11938.209563501,11910.992035624,21.3266616254844,21.3266616254844,20.7687122563854,-281.654374003812,-276.803262025576
2011,3556862.35483451,3320098.5372621,4.15068128506522,4.15068128506522,89.2630012851501,4.10503936987254,4.10503936987254,87.7557352123954,78291.747787387,100.0,13845.3334388437,13832.4973259945,18.8952456864435,18.8952456864435,21.800375065158,14290.939487621,14285.5886120759,19.9361780223664,19.9361780223664,22.5144587004223,-445.606048777219,-453.091286081414
2012,3614785.96329242,3377985.99102406,3.23646896842259,3.23646896842259,92.1519706220267,3.10481466353148,3.10481466353148,90.4803881473596,80722.5614530249,100.0,13803.299881268,13802.3143074997,-0.218203682122247,-0.218203682122247,21.4541025358003,14198.5935406791,14186.9518156598,-0.69046364902791,-0.69046364902791,22.0519770918592,-395.293659411062,-384.637508160141
2013,3837104.72325175,3572562.45653077,3.140436003231,3.140436003231,95.0459442851277,3.26258952287521,3.26258952287521,93.4323918113122,83356.2072855878,100.0,14108.7302738084,14119.873729025,2.30076938150002,2.30076938150002,21.4040948244758,14381.591211124,14387.9445326856,1.41674349527249,1.41674349527249,21.8104591455271,-272.86093731559,-268.070803660594
2014,4107201.28539245,3895533.52208349,2.77961240048461,2.77961240048461,97.6878531386348,3.43355049926682,3.43355049926682,96.6404401668265,86218.284757012,100.0,14339.7965520394,14334.1943278165,1.5178648400439,1.5178648400439,21.1586600435829,14524.2804754457,14534.6034892264,1.01931833423186,1.01931833423186,21.4544833887195,-184.483923406312,-200.409161409902
2015,3897577.1254786,3708518.34007783,2.3668724279199,2.3668724279199,100.0,3.47634988765993,3.47634988765993,100.0,89215.5340023047,100.0,12697.535504287,12710.628837469,-11.3265207183414,-11.3265207183414,19.7795603287247,12676.7906046339,12668.354475735,-12.8400407680522,-12.8400407680522,19.7137753625386,20.744899653041,42.2743617340527
2016,3959870.70854801,3751616.23573097,2.24812134196911,2.24812134196911,102.248121341969,3.22659856196502,3.22659856196502,103.226598561965,92094.1611394725,100.0,12343.0758288741,12329.1013755401,-3.00164112104548,-3.00164112104548,18.815390342373,12259.2917321375,12242.7704261171,-3.35942643879325,-3.35942643879325,18.6836410394397,83.7840967365332,86.3309494230059
2017,4294196.18806878,4075266.58895245,2.34854814439179,2.34854814439179,104.649467698421,3.74352585316913,3.74352585316913,107.090912966479,95541.7298709879,100.0,13596.987253801,13619.4853193228,10.4661637898662,10.4661637898662,19.5224843518749,13685.4300144408,13712.9718139575,12.0087311667962,12.0087311667962,19.6564900492877,-88.4427606397949,-93.4864946347578
2018,4696840.71693234,4422738.395766,3.23042250080756,3.23042250080756,107.914601162336,3.67006799818281,3.67006799818281,111.021222292224,99048.1763238932,,14917.139907746,14944.374276505,9.72789298654751,9.72789298654751,20.1102685771199,15160.9497590211,15165.7787882035,10.5943991860846,10.5943991860846,20.4082070596592,-243.809851275057,-221.404511698414
2019,4832261.82685188,4589338.21097326,3.56374802662707,3.56374802662707,111.760405631701,2.85248307770882,2.85248307770882,114.188083870775,101873.508792312,,14557.3559425989,14559.0428067425,-2.57843829813836,-2.57843829813836,19.3348462794925,14679.6649062906,14686.636077896,-3.15936765924709,-3.15936765924709,19.5042939771741,-122.308963691709,-127.593271153502
2020,4157000.64558093,3828013.87384257,2.6946489876156,2.6946489876156,114.771956270611,-2.98488553645997,-2.98488553645997,110.779700270955,98832.7011628855,,13533.9411404495,13477.7092007341,-7.42723007523311,-7.42723007523311,18.3653678519505,13551.8272642011,13524.2649119188,-7.91448198084361,-7.91448198084361,18.4288068792202,-17.8861237516602,-46.5557111847871
2021,4935362.027097,4386413.05647073,4.28440471406258,4.28440471406258,119.689251375491,6.3,6.3,,,,17055.9970691251,17022.3872472769,26.3003006946449,26.3003006946449,,17188.9882781244,17152.9523605904,26.830940330617,26.830940330617,,-132.991208999361,-130.565113313428
2022,5579015.85322461,5013673.82990345,8.56310930811569,8.56310930811569,129.938372800839,3.2,3.2,,,,18846.8738788404,18844.5947611859,10.7047706496071,10.7047706496071,,19559.9626168882,19568.9254194642,14.0848817631221,14.0848817631221,,-713.088738047859,-724.330658278274
