country,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
subject,BSCICP02,BSCICP03,BSEMFT02,CCRETT01,CCUSMA02,CCUSSP02,CP010000,CP010000,CP010000,CPALTT01,CPALTT01,CPALTT01,CPALTT01,CSCICP02,CSCICP03,CSCICP04,CSCICP04,CSESFT02,IR3TIB01,IR3TTS01,IRLTLT01,IRSTCB01,IRSTCI01,LOLITOAA,LOLITONO,LOLITOTR,LOLITOTR,LORSGPNO,LORSGPRT,MABMM301,MABMM301,MABMM301,MABMM301,MABMM301,MABMM301,MANMM101,MANMM101,MANMM101,MANMM101,MANMM101,PIEATI01,PRCNTO01,PRCNTO01,PRCNTO01,PRENEL01,PRINTO01,SLRTCR03,SLRTTO02,SLRTTO02,SPASTT01,SPASTT01,SPASTT01,XTEITT01,XTEITT01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01,XTNTVA01,XTNTVA01
measure,STSA,IXNSA,STSA,IXOB,ST,ST,GP,GY,IXOB,GP,GY,IXNB,IXOB,STSA,IXNSA,GPSA,IXNSA,STSA,ST,ST,ST,ST,ST,STSA,STSA,GYSA,STSA,STSA,STSA,GPSA,GYSA,IXOB,IXOBSA,ST,STSA,GPSA,IXOB,IXOBSA,ST,STSA,GY,IXOB,IXOBSA,ML,ML,IXPY,IXOB,ML,MLSA,GP,GY,IXOB,ST,STSA,CXML,CXMLSA,GPSA,GYSA,NCML,NCMLSA,CXML,CXMLSA,GPSA,GYSA,NCML,NCMLSA,CXML,CXMLSA,NCML,NCMLSA
unit,Percentage,Index,Percentage,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Percentage,Index,Percentage,Percentage,Index,Index,Percentage,Index,Percentage,Index,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Index,Index,Percentage,Index,Index,Index,Percentage,Percentage,Index,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Index,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Index,Index,Square metres,Gigawatt hours,Index,Index,Yuan Renminbi,Yuan Renminbi,Percentage,Percentage,Index,Percentage,Percentage,US Dollar,US Dollar,Percentage,Percentage,Yuan Renminbi,Yuan Renminbi,US Dollar,US Dollar,Percentage,Percentage,Yuan Renminbi,Yuan Renminbi,US Dollar,US Dollar,Yuan Renminbi,Yuan Renminbi
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Billions,Billions,Units,Units,Units,Billions,Billions,Units,Units,Units,Millions,Thousands,Units,Units,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Units,Units,Billions,Billions,Billions,Billions,Units,Units,Billions,Billions,Billions,Billions,Billions,Billions
reference_period,,,,2015=100,,,,,2015=100,,,2020=100,2015=100,,,,,,,,,,,,,,,,,,,2015=100,2015=100,,,,2015=100,2015=100,,,,2015=100,2015=100,,,2000=100,2015=100,,,,,2015=100,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-11,,,,70.4645406877573,5.6131,5.7198,,,,,8.2,,,120.88048,103.261836200197,0.0277716142549264,101.3243679,124.0704,,,,7.2,7.2,101.794295172853,101.233663479834,,6.7360421160977,99.8884198767206,99.7734487778302,2.38844395629287,31.1626851128966,1.9277946875296,1.89872652678293,,,2.66332350151624,3.29414789903815,3.1637380463367,,,,,,,,,,,,,,,111.669941060904,107.156636741942,8.526,7.85267747805422,4.37595421619033,,47.8572906,44.0778639520661,7.635,7.3282231663964,3.20320220218515,,42.8560185,41.1340494552996,0.891,0.524454311657814,5.0012721,2.94381449676648
1992-12,,,,69.303430667036,5.7982,5.7518,,,,,8.8,,,120.99716,103.304329028861,0.0138819518853345,101.3384337,120.0384,,,,7.2,7.2,101.861801481741,101.279901460271,,6.82482590439595,100.09973185517,100.161846189911,2.20805643014087,31.2328606960033,1.9277946875296,1.94065147994835,,,1.96342871900237,3.29414789903815,3.22585578773248,,,,,,,,,,,,,,,84.8235029603538,105.011932692631,11.318,7.55430892000596,-3.79957739105042,,65.6240276,43.8013939799786,13.343,7.19376239090595,-1.83483461730563,,77.3653826,41.7108730949509,-2.025,0.36054652910001,-11.741355,2.09052088502767
1993-01,,,,67.4102772559504,5.764,5.775,,,27.8700575557884,,10.3,37.0670916281079,41.3468896208478,121.23052,103.339519119159,0.0277600501338802,101.3665653,110.2464,,,,7.2,7.2,101.890710969308,101.299702814288,,6.91227054150099,100.302614680302,100.534750579027,6.9176352729882,37.1672356822526,2.08177723317516,2.07489867125103,,,11.0619682016291,3.6172026795729,3.58269892920186,,,,,,,,,,100.21,96.5910659962965,,,,104.775280898876,88.1866540085769,3.357,4.67271867761766,-38.1449881504981,-15.6321516338612,19.349748,26.9335504577882,3.204,5.29866874999385,-26.3435673564615,6.6732929505787,18.467856,30.5415266749646,0.153,-0.625950072376186,0.881892,-3.60797621717634
1993-02,,,,67.278670688753,5.7699,5.7402,0.758558718021273,,28.0814683070954,0.566440704063789,10.8,37.2770547229021,41.5810952335246,121.3472,103.369817530515,0.0138761730343421,101.3806311,111.0528,,,,7.2,7.2,101.887016090703,101.297172032684,,6.99866958616083,100.483660450973,100.867517842449,6.59925441507076,42.9652763239068,2.23575977882072,2.21182651342181,,,10.1400274561751,3.94025746010765,3.94598558429502,,,,,,,,,,91.54,92.8367665140019,,,,89.9582882743704,88.6978600520986,5.823,7.57401940690616,62.090207638344,19.0205984779695,33.5981277,43.7013345759078,6.473,8.53912304361953,61.1560081695887,46.8242862997633,37.3485627,49.2698860493803,-0.65,-0.965103636713379,-3.750435,-5.56855147347253
1993-03,,,,68.3883729360125,5.7313,5.719,1.46110715573544,,28.491768649966,1.85087610884192,12.2,37.9670068228482,42.3507097909967,121.46388,103.408334974807,0.0138742478197074,101.3946969,112.32,,,,7.2,7.2,101.849591333488,101.271538203484,,7.08383831843088,100.631765623683,101.139739352174,2.00399869122493,42.9861890975699,2.23575977882072,2.25615148780295,,,1.69948026719627,3.94025746010765,4.01304683064652,,,,,,,,,,96.64,100.18138179193,,,,91.0973357953047,92.6115561262849,6.907,7.10407171624064,-6.20473312013182,13.1756904163375,39.5860891,40.71556622729,7.582,7.67082642100684,-10.168451937948,27.5516301587451,43.4547166,43.9638074667165,-0.675,-0.566754704766199,-3.8686275,-3.24824123942651
1993-04,,,,69.1903429112203,5.7063,5.7084,4.13986370649331,,29.671289039644,2.88939203711998,12.6,39.0640224947204,43.5743878273615,121.58056,103.483234004938,0.0138723231392167,101.4087627,114.048,,,,7.2,7.2,101.771746400282,101.218218853661,,7.16719306540831,100.739822895521,101.338351683789,1.58202674510902,41.2856292134031,2.28888337761416,2.29184440775016,,,1.96214086767863,4.03412726726346,4.09178846254972,,,,,,,,,,96.49,101.987860514654,,,,92.1668226172972,94.030391948881,6.895,7.0972379676428,-0.0961948143374432,8.49958334992817,39.3449385,40.4989690147601,7.481,7.5478128087578,-1.60365527125166,23.6739674777913,42.6888303,43.0700842306146,-0.586,-0.450574841114994,-3.3438918,-2.57111521585449
1993-05,,,,69.4678124885403,5.7217,5.729,1.34194008429605,,30.0694599607943,1.4970992079859,14.0,39.6488496660963,44.2267396424097,121.9306,103.63386217047,0.0416110983671414,101.45096,116.5824,,,,8.46,8.46,101.652758708781,101.136719055454,17.3401470871226,7.24854914429572,100.80575006484,101.459527691592,1.66611661437507,39.59846056361,2.3420069764076,2.33002920820332,,,2.06757068066956,4.12799707441928,4.17638908111642,,,,,,,,,,97.66,102.924594446903,,,,84.7690680455988,88.6366282658277,7.213,7.35456142945968,3.62568456898375,9.57357873492397,41.2706221,42.0805941309395,8.509,8.29742914791706,9.93157035226785,34.3977178550348,48.6859453,47.475400355637,-1.296,-0.942867718457377,-7.4153232,-5.39480622469758
1993-06,,,,68.6730084865687,5.7374,5.7612,-2.45735235255478,,29.3305473790472,-0.138358391150482,15.1,39.5939921555886,44.1655482369821,122.86404,103.87050358742,0.110917038143362,101.5634864,119.232,,,,8.46,8.46,101.490020417544,101.025252585864,16.8188437227661,7.32757962303275,100.826567666482,101.49779103408,2.00151434682713,39.4973947261817,2.3420069764076,2.37666507709077,,,1.85759818311215,4.12799707441928,4.25396960880693,,,,,,,,,,102.08,104.79440629962,,,,94.1096817874069,89.9066623328413,6.95,6.67341218370873,-9.26158891028519,-8.43688144238974,39.87493,38.2880350628105,7.385,7.4226002951853,-10.5433723763868,10.2629844550935,42.370699,42.5864269335962,-0.435,-0.749188111476574,-2.495769,-4.2983918707857
1993-07,,,,68.1887638787222,5.7612,5.7612,-3.37858755965769,,28.3395891541192,-0.692865294283252,16.2,39.3196591253213,43.8595404812181,123.79748,104.127702572498,0.110794148555335,101.6760128,121.536,,,,10.08,10.08,101.287184000856,100.886321181948,16.2875452197032,7.40440268159006,100.802991712657,101.454457762015,0.206807227365,37.151559641294,2.37750112948716,2.38158019224045,,,-2.68029852741748,4.08893847383485,4.13995052402529,,,,,,,,,,97.84,105.266624916285,,,,87.0036513007759,87.4876867611599,7.625,7.59111119964034,13.751571020473,8.20492110360094,43.92915,43.7339098433679,8.764,8.67677667642986,16.8967252898971,40.3326394944992,50.4911568,49.9886457882477,-1.139,-1.08566547678952,-6.5620068,-6.2547359448798
1993-08,,,,68.488462977293,5.7764,5.7918,3.96158174764235,,29.4622851454056,2.14310900507127,16.4,40.1623222807994,44.799498242854,124.61424,104.304827025567,0.0968374912514288,101.7744733,123.264,,,,10.08,10.08,101.075605997632,100.741402288656,15.788793732116,7.48119811973029,100.751777892332,101.360325307134,0.407101219350184,34.9489173101395,2.41299528256672,2.39127563424286,,,-2.83164894885246,4.04987987325042,4.02272165852872,,,,,,,,,,97.45,105.524359165646,,,,87.1988123786685,86.1998995623496,7.636,7.515470033076,-0.996443927312245,-0.105483136297118,44.1085904,43.4123610990602,8.757,8.71865288849896,0.482624062261006,33.8265115236118,50.5839348,50.3624265451254,-1.121,-1.20318285542296,-6.4753444,-6.95006544606519
