country,TUR,TUR
1983-Q1,4.112348,22.38611
1983-Q2,4.604867,22.64749
1983-Q3,5.208868,22.99472
1983-Q4,5.921255,23.43185
1984-Q1,6.607003,23.86516
1984-Q2,7.285897,24.29757
1984-Q3,7.05576,24.61717
1984-Q4,5.919433,24.81889
1985-Q1,4.837051,25.01953
1985-Q2,3.787939,25.21794
1985-Q3,3.717121,25.53222
1985-Q4,4.63331,25.96882
1986-Q1,5.531053,26.40337
1986-Q2,6.403948,26.83289
1986-Q3,7.438983,27.43156
1986-Q4,8.622358,28.20795
1987-Q1,6.644913,28.15785
1987-Q2,9.376588,29.3489
1987-Q3,8.799616,29.84543
1987-Q4,12.90502,31.84819
1988-Q1,8.765928,30.62615
1988-Q2,3.501964,30.37668
1988-Q3,2.182466,30.49679
1988-Q4,-5.086585,30.2282
1989-Q1,-2.551731,29.84465
1989-Q2,-1.503368,29.92001
1989-Q3,0.7668132,30.73065
1989-Q4,4.335803,31.53884
1990-Q1,10.27831,32.91218
1990-Q2,12.18211,33.5649
1990-Q3,5.846893,32.52744
1990-Q4,8.831753,34.32427
1991-Q1,-0.6155363,32.70959
1991-Q2,-0.2259733,33.48905
1991-Q3,4.620678,34.03042
1991-Q4,0.03133539,34.33503
1992-Q1,8.081124,35.35289
1992-Q2,4.770315,35.08659
1992-Q3,5.784964,35.99907
1992-Q4,5.368328,36.17825
1993-Q1,4.803663,37.05113
1993-Q2,10.62187,38.81344
1993-Q3,8.22623,38.96044
1993-Q4,8.521194,39.26106
1994-Q1,3.858582,38.48078
1994-Q2,-11.61688,34.30453
1994-Q3,-7.779537,35.9295
1994-Q4,-5.848577,36.96485
1995-Q1,-1.243551,38.00225
1995-Q2,12.93219,38.74086
1995-Q3,10.21286,39.59892
1995-Q4,7.707096,39.81377
1996-Q1,7.853404,40.98672
1996-Q2,7.213269,41.53534
1996-Q3,5.739006,41.87151
1996-Q4,7.252958,42.70144
1997-Q1,6.40849,43.61335
1997-Q2,7.933939,44.83073
1997-Q3,7.750168,45.11662
1997-Q4,7.992981,46.11456
1998-Q1,7.640075,46.94544
1998-Q2,3.882994,46.5715
1998-Q3,1.772261,45.9162
1998-Q4,-0.6877143,45.79742
1999-Q1,-4.090021,45.02536
1999-Q2,-3.864924,44.77155
1999-Q3,-4.137498,44.01642
1999-Q4,-1.017627,45.33138
2000-Q1,2.265206,46.04528
2000-Q2,6.849094,47.83799
2000-Q3,10.30077,48.55045
2000-Q4,8.639857,49.24794
2001-Q1,1.473861,46.72392
2001-Q2,-7.060068,44.4606
2001-Q3,-7.277589,45.01715
2001-Q4,-10.12913,44.25956
2002-Q1,-1.695971,45.9315
2002-Q2,7.767541,47.91409
2002-Q3,7.889603,48.56882
2002-Q4,12.07773,49.60511
2003-Q1,8.088299,49.64658
2003-Q2,3.964298,49.81355
2003-Q3,5.487093,51.23384
2003-Q4,6.405673,52.78265
2004-Q1,9.245057,54.23643
2004-Q2,11.4139,55.49922
2004-Q3,9.546928,56.1251
2004-Q4,8.057712,57.03572
2005-Q1,10.00916,59.66504
2005-Q2,7.959939,59.91692
2005-Q3,8.263382,60.76293
2005-Q4,10.05777,62.77224
2006-Q1,6.412513,63.49107
2006-Q2,9.192999,65.42508
2006-Q3,6.861393,64.93211
2006-Q4,5.777239,66.39874
2007-Q1,6.486234,67.60925
2007-Q2,3.369974,67.62989
2007-Q3,4.765524,68.02647
2007-Q4,5.968187,70.36154
2008-Q1,6.263136,71.8437
2008-Q2,2.460997,69.29426
2008-Q3,0.01294358,68.03527
2008-Q4,-5.762222,66.30716
2009-Q1,-12.93391,62.55151
2009-Q2,-6.113517,65.05795
2009-Q3,-2.085238,66.61658
2009-Q4,2.428115,67.91717
2010-Q1,8.257694,67.71682
2010-Q2,8.042974,70.29053
2010-Q3,8.438593,72.23808
2010-Q4,9.577552,74.42197
2011-Q1,12.37879,76.09934
2011-Q2,11.23875,78.19032
2011-Q3,11.11767,80.26927
2011-Q4,9.320907,81.35877
2012-Q1,5.96001,80.63486
2012-Q2,4.907951,82.02785
2012-Q3,3.994314,83.47548
2012-Q4,4.246284,84.8135
2013-Q1,8.263884,87.29844
2013-Q2,9.549767,89.86133
2013-Q3,9.22809,91.17867
2013-Q4,7.713279,91.3554
2014-Q1,7.68313,94.00569
2014-Q2,2.914726,92.48054
2014-Q3,3.921102,94.75388
2014-Q4,5.117751,96.03075
2015-Q1,4.085661,97.84644
2015-Q2,7.414384,99.3374
2015-Q3,6.306599,100.7296
2015-Q4,6.117065,101.905
2016-Q1,4.524424,102.2734
2016-Q2,4.428795,103.7368
2016-Q3,0.03215391,100.762
2016-Q4,4.32619,106.3136
2017-Q1,5.37331,107.7689
2017-Q2,6.255758,110.2264
2017-Q3,11.05109,111.8973
2017-Q4,7.233755,114.0041
2018-Q1,7.339411,115.6785
2018-Q2,5.636346,116.4391
2018-Q3,2.364886,114.5436
2018-Q4,-2.725968,110.8964
2019-Q1,-2.311555,113.0045
2019-Q2,-0.6399317,115.694
2019-Q3,1.055488,115.7526
2019-Q4,5.803424,117.3321
2020-Q1,4.369337,117.9421
2020-Q2,-8.630151,105.7094
2020-Q3,5.615139,122.2522
2020-Q4,5.323417,123.5782
2021-Q1,7.520445,126.8119
2021-Q2,22.35588,129.3417
2021-Q3,8.670948,132.8526
2021-Q4,9.198787,134.9459
2022-Q1,7.041509,135.7413
2022-Q2,6.914896,138.2855
2022-Q3,3.959609,138.1131
