country,USA,USA
1970-Q1,0.3227915,28.19552
1970-Q2,0.1611246,28.23548
1970-Q3,0.4213437,28.49566
1970-Q4,-0.1673525,28.19031
1971-Q1,2.697159,28.956
1971-Q2,3.106441,29.1126
1971-Q3,3.005277,29.35204
1971-Q4,4.365553,29.42097
1972-Q1,3.472506,29.9615
1972-Q2,5.251378,30.64141
1972-Q3,5.378364,30.9307
1972-Q4,6.891806,31.44861
1973-Q1,7.561185,32.22694
1973-Q2,6.319554,32.57782
1973-Q3,4.771349,32.40651
1973-Q4,4.024055,32.71412
1974-Q1,0.6389984,32.43288
1974-Q2,-0.2082617,32.50997
1974-Q3,-0.6290398,32.20266
1974-Q4,-1.945763,32.07758
1975-Q1,-2.299772,31.68699
1975-Q2,-1.834842,31.91346
1975-Q3,0.7986154,32.45984
1975-Q4,2.554795,32.8971
1976-Q1,6.154303,33.63711
1976-Q2,6.173985,33.88379
1976-Q3,4.958257,34.06927
1976-Q4,4.311516,34.31546
1977-Q1,3.22684,34.72252
1977-Q2,4.465304,35.39681
1977-Q3,5.769993,36.03507
1977-Q4,5.013271,36.03579
1978-Q1,4.114112,36.15105
1978-Q2,6.077933,37.5482
1978-Q3,5.247033,37.92584
1978-Q4,6.65956,38.43561
1979-Q1,6.510448,38.50464
1979-Q2,2.656695,38.54574
1979-Q3,2.389453,38.83206
1979-Q4,1.284088,38.92916
1980-Q1,1.420554,39.05162
1980-Q2,-0.7750688,38.24699
1980-Q3,-1.623746,38.20153
1980-Q4,-0.03905153,38.91396
1981-Q1,1.600001,39.67645
1981-Q2,2.968671,39.38242
1981-Q3,4.325719,39.85402
1981-Q4,1.299825,39.41977
1982-Q1,-2.190515,38.80733
1982-Q2,-1.010745,38.98436
1982-Q3,-2.556042,38.83533
1982-Q4,-1.443184,38.85087
1983-Q1,1.431473,39.36285
1983-Q2,3.26848,40.25855
1983-Q3,5.736967,41.0633
1983-Q4,7.899664,41.91996
1984-Q1,8.578045,42.73941
1984-Q2,7.996532,43.47784
1984-Q3,6.900732,43.89697
1984-Q4,5.575644,44.25727
1985-Q1,4.554822,44.68611
1985-Q2,3.683988,45.07956
1985-Q3,4.262424,45.76805
1985-Q4,4.18246,46.10831
1986-Q1,4.146107,46.53885
1986-Q2,3.702004,46.74841
1986-Q3,3.119179,47.19564
1986-Q4,2.90724,47.44879
1987-Q1,2.711585,47.80079
1987-Q2,3.353601,48.31616
1987-Q3,3.261986,48.73515
1987-Q4,4.474555,49.57191
1988-Q1,4.241258,49.82814
1988-Q2,4.484493,50.4829
1988-Q3,4.1932,50.77871
1988-Q4,3.799339,51.45531
1989-Q1,4.315163,51.97831
1989-Q2,3.747911,52.37495
1989-Q3,3.907542,52.76291
1989-Q4,2.743212,52.86684
1990-Q1,2.821007,53.44462
1990-Q2,2.412705,53.6386
1990-Q3,1.727362,53.67432
1990-Q4,0.6030627,53.18567
1991-Q1,-0.9501974,52.93679
1991-Q2,-0.5389308,53.34953
1991-Q3,-0.1028089,53.61914
1991-Q4,1.166401,53.80602
1992-Q1,2.858937,54.45022
1992-Q2,3.169836,55.04062
1992-Q3,3.665385,55.58448
1992-Q4,4.382646,56.16415
1993-Q1,3.319906,56.25791
1993-Q2,2.806668,56.58543
1993-Q3,2.286512,56.85543
1993-Q4,2.607711,57.62875
1994-Q1,3.430707,58.18796
1994-Q2,4.225611,58.97651
1994-Q3,4.337048,59.32128
1994-Q4,4.116167,60.00084
1995-Q1,3.481406,60.21371
1995-Q2,2.402375,60.39335
1995-Q3,2.673326,60.90713
1995-Q4,2.199792,61.32074
1996-Q1,2.60131,61.78006
1996-Q2,4.002379,62.81052
1996-Q3,4.050135,63.37395
1996-Q4,4.421453,64.03201
1997-Q1,4.314069,64.4453
1997-Q2,4.311272,65.51845
1997-Q3,4.674703,66.33649
1997-Q4,4.483553,66.90292
1998-Q1,4.855527,67.57446
1998-Q2,4.09279,68.19998
1998-Q3,4.103453,69.05858
1998-Q4,4.883127,70.16987
1999-Q1,4.816337,70.82907
1999-Q2,4.721886,71.42031
1999-Q3,4.791118,72.36726
1999-Q4,4.823574,73.55457
2000-Q1,4.224745,73.82142
2000-Q2,5.244457,75.16592
2000-Q3,3.973172,75.24253
2000-Q4,2.905594,75.69176
2001-Q1,2.197505,75.44364
2001-Q2,0.9962983,75.91479
2001-Q3,0.4892363,75.61065
2001-Q4,0.1673183,75.81841
2002-Q1,1.337259,76.45252
2002-Q2,1.325379,76.92095
2002-Q3,2.146517,77.23364
2002-Q4,1.992525,77.32911
2003-Q1,1.679257,77.73636
2003-Q2,1.955065,78.4248
2003-Q3,3.231135,79.72916
2003-Q4,4.300441,80.6546
2004-Q1,4.341952,81.11163
2004-Q2,4.227491,81.7402
2004-Q3,3.49486,82.51559
2004-Q4,3.351105,83.35742
2005-Q1,3.908843,84.28216
2005-Q2,3.617736,84.69735
2005-Q3,3.448599,85.36122
2005-Q4,2.972737,85.83542
2006-Q1,3.213107,86.99023
2006-Q2,2.972904,87.21532
2006-Q3,2.325278,87.34611
2006-Q4,2.63456,88.0968
2007-Q1,1.576725,88.36183
2007-Q2,1.934375,88.9024
2007-Q3,2.368036,89.4145
2007-Q4,2.133365,89.97623
2008-Q1,1.392471,89.59224
2008-Q2,1.376011,90.1257
2008-Q3,0.2659673,89.65231
2008-Q4,-2.541154,87.6898
2009-Q1,-3.234227,86.69463
2009-Q2,-3.978837,86.53974
2009-Q3,-3.132816,86.84367
2009-Q4,0.1055725,87.78237
2010-Q1,1.745266,88.20768
2010-Q2,2.913595,89.06116
2010-Q3,3.344209,89.7479
2010-Q4,2.775961,90.21918
2011-Q1,2.037797,90.00517
2011-Q2,1.743709,90.61413
2011-Q3,0.9426535,90.59391
2011-Q4,1.543076,91.61133
2012-Q1,2.638069,92.37957
2012-Q2,2.403336,92.79189
2012-Q3,2.573712,92.92554
2012-Q4,1.551852,93.033
2013-Q1,1.700868,93.95083
2013-Q2,1.519938,94.20227
2013-Q3,2.237022,95.0043
2013-Q4,3.009145,95.8325
2014-Q1,1.650818,95.50179
2014-Q2,2.689152,96.73551
2014-Q3,3.059783,97.91123
2014-Q4,2.685835,98.4064
2015-Q1,3.9693,99.29253
2015-Q2,3.279088,99.90755
2015-Q3,2.447321,100.3074
2015-Q4,2.119861,100.4925
2016-Q1,1.795017,101.0749
2016-Q2,1.493251,101.3994
2016-Q3,1.805762,102.1187
2016-Q4,2.181566,102.6848
2017-Q1,2.087462,103.1848
2017-Q2,2.330414,103.7625
2017-Q3,2.410821,104.5806
2017-Q4,2.994143,105.7593
2018-Q1,3.32881,106.6196
2018-Q2,3.298963,107.1855
2018-Q3,3.130031,107.854
2018-Q4,2.125111,108.0068
2019-Q1,1.851285,108.5934
2019-Q2,2.154053,109.4944
2019-Q3,2.670265,110.734
2019-Q4,3.182556,111.4442
2020-Q1,1.226555,109.9254
2020-Q2,-7.52846,101.2511
2020-Q3,-1.468931,109.1074
2020-Q4,-1.083285,110.2369
2021-Q1,1.572607,111.6541
2021-Q2,11.95027,113.3509
2021-Q3,4.735317,114.274
2021-Q4,5.421092,116.213
2022-Q1,3.565082,115.6346
2022-Q2,1.870598,115.4713
2022-Q3,1.713213,116.2318
2022-Q4,0.6516917,116.9703
2023-Q1,1.717927,117.6211
2023-Q2,2.382468,118.2223
2023-Q3,2.930891,119.6384
