country,CAN,CAN
1984-Q1,6.20856,46.35817
1984-Q2,6.175094,47.25782
1984-Q3,5.44696,47.461
1984-Q4,5.777615,48.20172
1985-Q1,5.57424,48.94229
1985-Q2,3.897541,49.09971
1985-Q3,4.766072,49.72303
1985-Q4,4.72885,50.48111
1986-Q1,3.09188,50.45552
1986-Q2,3.351971,50.74552
1986-Q3,2.184693,50.80932
1986-Q4,-0.07841853,50.44152
1987-Q1,2.283001,51.60743
1987-Q2,3.001274,52.26853
1987-Q3,4.443662,53.06712
1987-Q4,6.564366,53.75269
1988-Q1,5.674438,54.53586
1988-Q2,5.263711,55.01979
1988-Q3,3.695032,55.02797
1988-Q4,3.075025,55.40559
1989-Q1,2.768692,56.04579
1989-Q2,2.261022,56.26381
1989-Q3,2.61499,56.46694
1989-Q4,1.712748,56.35455
1990-Q1,1.517905,56.89651
1990-Q2,0.7188008,56.66823
1990-Q3,-0.3627582,56.2621
1990-Q4,-1.052992,55.76114
1991-Q1,-3.405397,54.95895
1991-Q2,-2.550798,55.22274
1991-Q3,-1.717187,55.29597
1991-Q4,-0.6599563,55.39314
1992-Q1,0.8611658,55.43224
1992-Q2,0.4937826,55.49541
1992-Q3,0.9042889,55.79601
1992-Q4,1.301202,56.11392
1993-Q1,1.872476,56.4702
1993-Q2,2.6834,56.98458
1993-Q3,3.106925,57.52955
1993-Q4,2.961316,57.77563
1994-Q1,3.820282,58.62752
1994-Q2,4.385073,59.48339
1994-Q3,4.721824,60.24599
1994-Q4,5.033274,60.68364
1995-Q1,4.458118,61.2412
1995-Q2,2.998863,61.26722
1995-Q3,1.829496,61.34819
1995-Q4,1.503114,61.59578
1996-Q1,0.724941,61.68517
1996-Q2,1.398941,62.12431
1996-Q3,2.115619,62.64609
1996-Q4,2.510963,63.14243
1997-Q1,3.733984,63.98848
1997-Q2,4.159823,64.70857
1997-Q3,4.516819,65.4757
1997-Q4,4.697355,66.10845
1998-Q1,4.771821,67.04189
1998-Q2,3.660754,67.0774
1998-Q3,3.379738,67.68861
1998-Q4,3.777592,68.60576
1999-Q1,4.180328,69.84447
1999-Q2,4.98397,70.42052
1999-Q3,5.666703,71.52431
1999-Q4,5.714644,72.52634
2000-Q1,5.46561,73.6619
2000-Q2,5.834015,74.52885
2000-Q3,5.268841,75.29282
2000-Q4,4.019778,75.44173
2001-Q1,2.992719,75.86639
2001-Q2,2.114776,76.10497
2001-Q3,1.007614,76.05148
2001-Q4,1.412839,76.5076
2002-Q1,2.319735,77.62629
2002-Q2,2.601616,78.08494
2002-Q3,3.561617,78.76015
2002-Q4,3.509618,79.19273
2003-Q1,2.585525,79.63333
2003-Q2,1.835049,79.51783
2003-Q3,1.33948,79.81512
2003-Q4,1.478749,80.36378
2004-Q1,1.65109,80.94815
2004-Q2,3.004913,81.90727
2004-Q3,3.834568,82.87569
2004-Q4,3.869931,83.47381
2005-Q1,3.481225,83.76614
2005-Q2,3.00863,84.37156
2005-Q3,3.038726,85.39405
2005-Q4,3.316411,86.24215
2006-Q1,3.791761,86.94235
2006-Q2,3.098518,86.98582
2006-Q3,2.150783,87.23069
2006-Q4,1.549039,87.57807
2007-Q1,1.374069,88.137
2007-Q2,2.301904,88.98816
2007-Q3,2.396965,89.32158
2007-Q4,2.124856,89.43898
2008-Q1,1.553367,89.50609
2008-Q2,0.9485071,89.83221
2008-Q3,1.398121,90.5704
2008-Q4,0.09004439,89.51952
2009-Q1,-2.241924,87.49944
2009-Q2,-3.647508,86.55558
2009-Q3,-4.005406,86.94269
2009-Q4,-1.750049,87.95288
2010-Q1,1.736039,89.01846
2010-Q2,3.38397,89.4846
2010-Q3,3.644163,90.11102
2010-Q4,3.603082,91.12189
2011-Q1,3.142513,91.81587
2011-Q2,2.791475,91.98254
2011-Q3,3.473559,93.24108
2011-Q4,3.138873,93.98209
2012-Q1,2.423929,94.04142
2012-Q2,2.570695,94.34712
2012-Q3,1.324693,94.47624
2012-Q4,0.7326737,94.67068
2013-Q1,1.570229,95.51809
2013-Q2,1.824159,96.06817
2013-Q3,2.521167,96.85815
2013-Q4,3.381364,97.87183
2014-Q1,2.637347,98.03723
2014-Q2,2.979894,98.93089
2014-Q3,3.119072,99.87922
2014-Q4,2.756381,100.5696
2015-Q1,2.011861,100.0096
2015-Q2,0.814395,99.73659
2015-Q3,0.2147757,100.0937
2015-Q4,-0.4071634,100.1601
2016-Q1,0.7430273,100.7527
2016-Q2,0.5155941,100.2508
2016-Q3,1.196347,101.2912
2016-Q4,1.696685,101.8595
2017-Q1,2.370529,103.1411
2017-Q2,3.965922,104.2267
2017-Q3,2.930375,104.2594
2017-Q4,2.875449,104.7884
2018-Q1,2.778235,106.0066
2018-Q2,2.501066,106.8335
2018-Q3,2.985765,107.3724
2018-Q4,2.707271,107.6253
2019-Q1,1.771338,107.8843
2019-Q2,2.08916,109.0654
2019-Q3,1.860816,109.3704
2019-Q4,1.91157,109.6826
2020-Q1,-0.3155462,107.5439
2020-Q2,-12.24152,95.71413
2020-Q3,-4.536907,104.4083
2020-Q4,-3.020634,106.3695
2021-Q1,0.3321461,107.9011
2021-Q2,12.38112,107.5646
2021-Q3,4.753922,109.3718
2021-Q4,4.436163,111.0882
2022-Q1,3.943443,112.1561
2022-Q2,5.248164,113.2098
2022-Q3,3.983169,113.7283
2022-Q4,2.156062,113.4834
2023-Q1,1.800656,114.1757
2023-Q2,1.195035,114.5627
2023-Q3,0.4650759,114.2572
