country,OECD,OECD
2020-06,97.5183,97.89356
2020-07,98.43269,98.17459
2020-08,99.12006,98.42894
2020-09,99.56815,98.64249
2020-10,99.88898,98.72021
2020-11,100.0391,98.73159
2020-12,100.2365,98.84962
2021-01,100.4446,98.99451
2021-02,100.7816,99.27654
2021-03,101.1821,99.6903
2021-04,101.4577,100.0173
2021-05,101.6849,100.2647
2021-06,101.8502,100.4224
2021-07,101.9497,100.3234
2021-08,102.0013,100.0764
2021-09,102.0562,99.90396
2021-10,102.0857,99.7138
2021-11,102.0807,99.48316
2021-12,101.9787,99.2432
2022-01,101.8305,98.90869
2022-02,101.6745,98.44188
2022-03,101.4642,97.89358
2022-04,101.2685,97.49211
2022-05,101.0815,97.1107
2022-06,100.7905,96.73693
2022-07,100.4633,96.53911
2022-08,100.1572,96.54607
2022-09,99.88837,96.56357
2022-10,99.71958,96.65775
2022-11,99.62043,96.84089
2022-12,99.5967,97.11956
2023-01,99.62531,97.4357
2023-02,99.63008,97.6885
2023-03,99.61696,97.84982
2023-04,99.55432,98.04199
2023-05,99.47178,98.20318
2023-06,99.38545,98.35616
2023-07,99.319,98.46945
