country,COL,COL,COL,COL,COL,COL,COL,COL,COL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2004-11,101.0269,100.8708,100.0805,100.0431,2.169415,62.33567,100.2917,100.1738,62.28551
2004-12,100.9506,101.109,100.109,100.0577,2.137883,62.60851,100.3188,100.2138,62.54032
2005-01,100.8591,101.2281,100.1081,100.0572,2.234341,62.86564,100.2837,100.162,62.79773
2005-02,100.9202,101.008,100.0433,100.0241,2.423314,63.08498,100.2149,100.0603,63.05765
2005-03,100.9338,100.7814,99.9758,99.98969,2.684478,63.30466,100.1374,99.94599,63.31998
2005-04,100.6079,100.8727,99.98637,99.99509,3.081435,63.57596,100.0558,99.82549,63.58463
2005-05,100.1665,101.1917,100.1003,100.0532,3.636069,63.91556,99.96648,99.69363,63.85149
2005-06,100.2582,101.6894,100.3006,100.1554,4.2956,64.31317,99.87061,99.55209,64.12045
2005-07,100.5003,102.1431,100.5061,100.2602,4.932538,64.71732,99.7869,99.42849,64.39143
2005-08,100.9038,102.3335,100.687,100.3525,5.474437,65.10857,99.7401,99.35939,64.6643
2005-09,101.1948,102.0658,100.839,100.4301,5.863047,65.4838,99.7487,99.37209,64.93895
2005-10,101.3706,101.8651,101.0366,100.5309,6.152341,65.89128,99.81001,99.46261,65.21527
2005-11,101.5548,101.9137,101.3169,100.6739,6.448804,66.35558,99.911,99.61171,65.49312
2005-12,101.7172,102.2207,101.6799,100.8591,6.818203,66.87728,100.035,99.79485,65.77238
2006-01,102.0715,102.5931,102.0733,101.0598,7.248426,67.42241,100.1656,99.98766,66.0529
2006-02,102.536,102.8785,102.4124,101.2328,7.68778,67.93481,100.2902,100.1716,66.33456
2006-03,103.0635,103.2006,102.7022,101.3806,8.076313,68.41734,100.4032,100.3384,66.6172
