country,ESP,ESP
1983-Q1,1.782393,47.16925
1983-Q2,2.023536,47.46057
1983-Q3,1.490332,47.53036
1983-Q4,1.787282,47.83747
1984-Q1,2.255562,48.23318
1984-Q2,1.314595,48.08448
1984-Q3,2.046888,48.50326
1984-Q4,1.521188,48.56517
1985-Q1,1.811959,49.10715
1985-Q2,2.030873,49.06102
1985-Q3,2.198531,49.56962
1985-Q4,3.24048,50.13891
1986-Q1,2.389015,50.28032
1986-Q2,4.926023,51.47778
1986-Q3,3.117271,51.11484
1986-Q4,2.597686,51.44136
1987-Q1,4.404611,52.49498
1987-Q2,3.501615,53.28033
1987-Q3,6.389219,54.38068
1987-Q4,7.876543,55.49316
1988-Q1,6.051287,55.6716
1988-Q2,5.766164,56.35256
1988-Q3,5.494359,57.36855
1988-Q4,3.147626,57.23988
1989-Q1,5.241584,58.58967
1989-Q2,4.993,59.16624
1989-Q3,4.515255,59.95888
1989-Q4,4.5763,59.85935
1990-Q1,3.06207,60.38373
1990-Q2,3.792339,61.41003
1990-Q3,2.114544,61.22674
1990-Q4,6.152411,63.54214
1991-Q1,3.208298,62.32102
1991-Q2,2.720813,63.08088
1991-Q3,3.806465,63.55732
1991-Q4,0.5215099,63.87352
1992-Q1,3.513692,64.51079
1992-Q2,0.9332666,63.66959
1992-Q3,0.2406394,63.71026
1992-Q4,-0.905532,63.29512
1993-Q1,-2.799834,62.70459
1993-Q2,-1.522315,62.70034
1993-Q3,-0.4010555,63.45475
1993-Q4,0.6299801,63.69387
1994-Q1,2.417825,64.22068
1994-Q2,2.649333,64.36148
1994-Q3,2.234295,64.87251
1994-Q4,2.231624,65.11528
1995-Q1,2.548777,65.85752
1995-Q2,2.965465,66.2701
1995-Q3,2.567871,66.53835
1995-Q4,2.949569,67.0359
1996-Q1,2.396043,67.43549
1996-Q2,2.516054,67.93749
1996-Q3,2.978766,68.52038
1996-Q4,2.747444,68.87767
1997-Q1,3.180673,69.5804
1997-Q2,3.353231,70.21559
1997-Q3,3.694539,71.05189
1997-Q4,4.565802,72.02249
1998-Q1,4.422108,72.65732
1998-Q2,4.651064,73.48137
1998-Q3,4.397366,74.1763
1998-Q4,4.109377,74.98217
1999-Q1,4.235349,75.73461
1999-Q2,4.295402,76.63769
1999-Q3,4.69283,77.65726
1999-Q4,4.729482,78.52843
2000-Q1,5.353171,79.78881
2000-Q2,5.421774,80.79281
2000-Q3,5.161392,81.66546
2000-Q4,5.054051,82.49731
2001-Q1,4.49758,83.37738
2001-Q2,3.968221,83.99885
2001-Q3,3.815871,84.78171
2001-Q4,3.468421,85.35866
2002-Q1,2.817271,85.72634
2002-Q2,2.894486,86.43018
2002-Q3,2.573237,86.96335
2002-Q4,2.642343,87.61413
2003-Q1,3.159462,88.43484
2003-Q2,2.858566,88.90084
2003-Q3,2.902477,89.48743
2003-Q4,3.008808,90.25027
2004-Q1,2.673777,90.79939
2004-Q2,3.139712,91.69208
2004-Q3,3.428017,92.55508
2004-Q4,3.242821,93.17692
2005-Q1,3.625702,94.0915
2005-Q2,3.528898,94.9278
2005-Q3,3.555723,95.84608
2005-Q4,3.894749,96.80593
2006-Q1,4.068644,97.91975
2006-Q2,4.158263,98.87514
2006-Q3,4.119585,99.79455
2006-Q4,4.065324,100.7414
2007-Q1,3.828491,101.6686
2007-Q2,3.753222,102.5861
2007-Q3,3.586287,103.3735
2007-Q4,3.259416,104.025
2008-Q1,2.543975,104.255
2008-Q2,1.744348,104.3756
2008-Q3,0.7849541,104.1849
2008-Q4,-1.475902,102.4897
2009-Q1,-4.249602,99.8246
2009-Q2,-4.364487,99.82014
2009-Q3,-3.984658,100.0335
2009-Q4,-2.430919,99.99824
2010-Q1,0.1516447,99.97598
2010-Q2,0.3125952,100.1322
2010-Q3,0.05007177,100.0836
2010-Q4,0.1376531,100.1359
2011-Q1,0.009648999,99.98563
2011-Q2,-0.4561303,99.67545
2011-Q3,-1.050981,99.03172
2011-Q4,-1.758501,98.375
2012-Q1,-2.527052,97.45893
2012-Q2,-3.161014,96.52469
2012-Q3,-3.038069,96.02306
2012-Q4,-3.113791,95.31181
2013-Q1,-2.503864,95.01869
2013-Q2,-1.647089,94.93484
2013-Q3,-1.169611,94.89996
2013-Q4,-0.2666542,95.05766
2014-Q1,0.408439,95.40679
2014-Q2,0.9708017,95.85648
2014-Q3,1.749571,96.56031
2014-Q4,2.453533,97.38992
2015-Q1,3.249943,98.50745
2015-Q2,3.874514,99.57044
2015-Q3,4.051458,100.4724
2015-Q4,4.168952,101.4501
2016-Q1,3.687759,102.1402
2016-Q2,3.006353,102.5639
2016-Q3,2.9561,103.4425
2016-Q4,2.518368,104.005
2017-Q1,2.625222,104.8216
2017-Q2,3.248165,105.8953
2017-Q3,3.015771,106.5621
2017-Q4,3.011234,107.1368
2018-Q1,2.645141,107.5943
2018-Q2,2.199627,108.2246
2018-Q3,2.088723,108.7878
2018-Q4,2.210501,109.505
2019-Q1,2.395591,110.1718
2019-Q2,2.151599,110.5532
2019-Q3,1.922526,110.8793
2019-Q4,1.474888,111.1201
2020-Q1,-4.673703,105.0227
2020-Q2,-21.93707,86.30106
2020-Q3,-9.216818,100.6598
2020-Q4,-9.466968,100.6004
2021-Q1,-4.429803,100.3704
2021-Q2,17.87525,101.7276
2021-Q3,4.201975,104.8895
2021-Q4,6.625335,107.2655
2022-Q1,6.857139,107.2529
2022-Q2,7.796367,109.6586
2022-Q3,4.771119,109.8939
2022-Q4,2.680341,110.1406
