country,OECD
1980-Q2,100.5584
1980-Q3,100.1789
1980-Q4,100.4069
1981-Q1,100.71
1981-Q2,100.7296
1981-Q3,100.4978
1981-Q4,99.97187
1982-Q1,99.3147
1982-Q2,98.70985
1982-Q3,98.128
1982-Q4,97.75867
1983-Q1,97.7942
1983-Q2,98.16982
1983-Q3,98.7368
1983-Q4,99.35299
1984-Q1,99.8167
1984-Q2,100.0273
1984-Q3,100.1239
1984-Q4,100.1404
1985-Q1,100.2214
1985-Q2,100.4107
1985-Q3,100.5582
1985-Q4,100.4769
1986-Q1,100.1867
1986-Q2,99.85998
1986-Q3,99.54372
1986-Q4,99.19451
1987-Q1,99.01097
1987-Q2,99.25661
1987-Q3,99.71655
1987-Q4,100.16
1988-Q1,100.3064
1988-Q2,100.2959
1988-Q3,100.4251
1988-Q4,100.6962
1989-Q1,100.867
1989-Q2,100.8451
1989-Q3,100.904
1989-Q4,101.0976
1990-Q1,101.3127
1990-Q2,101.3981
1990-Q3,101.1988
1990-Q4,100.7861
1991-Q1,100.4128
1991-Q2,100.1807
1991-Q3,100.0414
1991-Q4,100.0596
1992-Q1,100.1353
1992-Q2,100.0731
1992-Q3,99.88809
1992-Q4,99.60336
1993-Q1,99.29099
1993-Q2,99.05646
1993-Q3,98.98575
1993-Q4,99.1394
1994-Q1,99.36847
1994-Q2,99.55516
1994-Q3,99.74343
1994-Q4,99.83823
1995-Q1,99.6987
1995-Q2,99.52319
1995-Q3,99.46012
1995-Q4,99.44073
1996-Q1,99.52035
1996-Q2,99.69208
1996-Q3,99.8015
1996-Q4,99.86636
1997-Q1,99.98962
1997-Q2,100.2485
1997-Q3,100.4597
1997-Q4,100.4853
1998-Q1,100.2894
1998-Q2,100.0577
1998-Q3,99.94894
1998-Q4,99.90588
1999-Q1,99.85146
1999-Q2,99.92442
1999-Q3,100.262
1999-Q4,100.7484
2000-Q1,101.1987
2000-Q2,101.5061
2000-Q3,101.5317
2000-Q4,101.3481
2001-Q1,100.9778
2001-Q2,100.4371
2001-Q3,99.84473
2001-Q4,99.43756
2002-Q1,99.32922
2002-Q2,99.36714
2002-Q3,99.28683
2002-Q4,99.01389
2003-Q1,98.7116
2003-Q2,98.6569
2003-Q3,98.92268
2003-Q4,99.2738
2004-Q1,99.49369
2004-Q2,99.57323
2004-Q3,99.59438
2004-Q4,99.65002
2005-Q1,99.75607
2005-Q2,99.91022
2005-Q3,100.151
2005-Q4,100.4634
2006-Q1,100.7954
2006-Q2,101.0068
2006-Q3,101.167
2006-Q4,101.4652
2007-Q1,101.7955
2007-Q2,102.0825
2007-Q3,102.3629
2007-Q4,102.6143
2008-Q1,102.6585
2008-Q2,102.3091
2008-Q3,101.2227
2008-Q4,99.34504
2009-Q1,97.62341
2009-Q2,97.01752
2009-Q3,97.28356
2009-Q4,97.84966
2010-Q1,98.46008
2010-Q2,99.12125
2010-Q3,99.66401
2010-Q4,99.93301
2011-Q1,99.99692
2011-Q2,100.0565
2011-Q3,100.1866
2011-Q4,100.2927
2012-Q1,100.2827
2012-Q2,100.0957
2012-Q3,99.80573
2012-Q4,99.5739
2013-Q1,99.55388
2013-Q2,99.67208
2013-Q3,99.79887
2013-Q4,99.81174
2014-Q1,99.74471
2014-Q2,99.74653
2014-Q3,99.85854
2014-Q4,100.0018
2015-Q1,100.1446
2015-Q2,100.1989
2015-Q3,100.1373
2015-Q4,100.0062
2016-Q1,99.88373
2016-Q2,99.75795
2016-Q3,99.71179
2016-Q4,99.81944
2017-Q1,99.98972
2017-Q2,100.1839
2017-Q3,100.4117
2017-Q4,100.6407
2018-Q1,100.7975
2018-Q2,100.8261
2018-Q3,100.6924
2018-Q4,100.5801
2019-Q1,100.6574
2019-Q2,100.7957
2019-Q3,100.7928
2019-Q4,100.6233
2020-Q1,98.34733
2020-Q2,89.43136
2020-Q3,94.93683
2020-Q4,96.46066
2021-Q1,97.0141
2021-Q2,98.03182
2021-Q3,98.96104
