country,MEX,MEX
1983-Q2,-5.553619,45.7375
1983-Q3,-4.079716,46.11719
1983-Q4,-0.7995198,46.64774
1984-Q1,2.69785,47.93528
1984-Q2,3.262565,47.22972
1984-Q3,4.892368,48.37341
1984-Q4,2.785532,47.94713
1985-Q1,1.8543,48.82414
1985-Q2,3.286315,48.78184
1985-Q3,1.474999,49.08692
1985-Q4,2.099228,48.95365
1986-Q1,-1.66809,48.00971
1986-Q2,-1.950428,47.83038
1986-Q3,-4.409441,46.92246
1986-Q4,-4.410904,46.79435
1987-Q1,-1.949127,47.07394
1987-Q2,1.111442,48.36199
1987-Q3,3.178231,48.41377
1987-Q4,4.710846,48.99876
1988-Q1,3.385812,48.66777
1988-Q2,0.3093991,48.51162
1988-Q3,0.3257938,48.5715
1988-Q4,1.102862,49.53915
1989-Q1,3.697689,50.46736
1989-Q2,4.071222,50.48664
1989-Q3,5.880558,51.42777
1989-Q4,2.896988,50.9743
1990-Q1,3.200574,52.0826
1990-Q2,5.399555,53.21269
1990-Q3,4.882214,53.93858
1990-Q4,7.160126,54.62412
1991-Q1,5.16884,54.77467
1991-Q2,4.51049,55.61284
1991-Q3,3.295725,55.71625
1991-Q4,3.841642,56.72258
1992-Q1,3.54718,56.71762
1992-Q2,3.658958,57.64769
1992-Q3,4.427336,58.183
1992-Q4,2.660116,58.23147
1993-Q1,2.638614,58.21418
1993-Q2,1.249191,58.36782
1993-Q3,1.337155,58.96099
1993-Q4,2.583397,59.73582
1994-Q1,3.675148,60.35364
1994-Q2,5.578983,61.62416
1994-Q3,5.314472,62.09446
1994-Q4,5.150309,62.8124
1995-Q1,-1.901624,59.20594
1995-Q2,-8.626526,56.30813
1995-Q3,-7.603641,57.37302
1995-Q4,-6.913651,58.46977
1996-Q1,1.42464,60.04941
1996-Q2,8.03709,60.83367
1996-Q3,7.817202,61.85799
1996-Q4,8.987869,63.72496
1997-Q1,6.305811,63.83601
1997-Q2,7.351727,65.30599
1997-Q3,7.579106,66.54627
1997-Q4,7.016962,68.19651
1998-Q1,7.814522,68.82449
1998-Q2,6.1431,69.3178
1998-Q3,4.703971,69.67658
1998-Q4,2.308271,69.77067
1999-Q1,2.399622,70.47602
1999-Q2,2.272761,70.89323
1999-Q3,2.739925,71.58567
1999-Q4,3.545077,72.24409
2000-Q1,4.436551,73.60273
2000-Q2,5.386258,74.71172
2000-Q3,5.431942,75.47417
2000-Q4,3.569995,74.8232
2001-Q1,1.68558,74.84336
2001-Q2,-0.3627439,74.44071
2001-Q3,-1.152691,74.60418
2001-Q4,-0.925985,74.13036
2002-Q1,-1.627313,73.62543
2002-Q2,-0.1810322,74.30595
2002-Q3,0.375149,74.88406
2002-Q4,1.255066,75.06074
2003-Q1,2.19132,75.23879
2003-Q2,1.487239,75.41106
2003-Q3,0.6657931,75.38263
2003-Q4,1.53382,76.21204
2004-Q1,2.720067,77.28534
2004-Q2,4.065954,78.47723
2004-Q3,3.883439,78.31007
2004-Q4,4.115553,79.34858
2005-Q1,2.833188,79.47498
2005-Q2,1.568866,79.70844
2005-Q3,2.639975,80.37743
2005-Q4,2.988933,81.72026
2006-Q1,4.631837,83.15613
2006-Q2,5.338975,83.96406
2006-Q3,4.754752,84.19918
2006-Q4,3.28966,84.40858
2007-Q1,2.217035,84.99973
2007-Q2,2.015134,85.65604
2007-Q3,2.370545,86.19516
2007-Q4,2.517706,86.53374
2008-Q1,1.598264,86.35825
2008-Q2,1.598789,87.02551
2008-Q3,1.282712,87.3008
2008-Q4,-0.7604043,85.87573
2009-Q1,-5.654221,81.47536
2009-Q2,-7.75969,80.27259
2009-Q3,-5.019444,82.91879
2009-Q4,-1.841743,84.29412
2010-Q1,4.542686,85.17654
2010-Q2,7.283396,86.11916
2010-Q3,4.834944,86.92786
2010-Q4,3.921747,87.59992
2011-Q1,3.626411,88.26539
2011-Q2,3.041626,88.73859
2011-Q3,4.06647,90.46275
2011-Q4,3.944592,91.05538
2012-Q1,3.834893,91.65027
2012-Q2,4.178731,92.44673
2012-Q3,2.771139,92.9696
2012-Q4,2.974764,93.76407
2013-Q1,2.556587,93.99339
2013-Q2,1.113712,93.47633
2013-Q3,1.483172,94.3485
2013-Q4,1.185249,94.8754
2014-Q1,1.63526,95.53043
2014-Q2,3.485504,96.73444
2014-Q3,2.903691,97.08809
2014-Q4,3.400848,98.10197
2015-Q1,3.252811,98.63785
2015-Q2,3.150198,99.78177
2015-Q3,4.138015,101.1056
2015-Q4,2.710352,100.7609
2016-Q1,2.74249,101.343
2016-Q2,1.989843,101.7673
2016-Q3,1.728558,102.8533
2016-Q4,3.130269,103.915
2017-Q1,3.03019,104.4139
2017-Q2,2.91143,104.7302
2017-Q3,1.585818,104.4843
2017-Q4,1.833008,105.8197
2018-Q1,2.4896,107.0134
2018-Q2,2.139033,106.9704
2018-Q3,2.855473,107.4679
2018-Q4,1.271712,107.1655
2019-Q1,0.1923236,107.2192
2019-Q2,-0.2266442,106.7279
2019-Q3,-0.1158532,107.3434
2019-Q4,-0.5981093,106.5245
2020-Q1,-1.571525,105.5342
2020-Q2,-18.87682,86.58109
2020-Q3,-8.329215,98.4025
2020-Q4,-4.23902,102.0089
2021-Q1,-2.870854,102.5045
2021-Q2,19.51224,103.475
2021-Q3,4.598629,102.9277
2021-Q4,1.214044,103.2473
2022-Q1,1.874908,104.4263
2022-Q2,1.852244,105.3916
2022-Q3,4.199997,107.2506
