country,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1982-03,102.0298,,99.38752,99.57523,-2.651134,47.12015,102.4747,102.8326,47.41053
1982-04,101.5097,,98.81413,99.17616,-2.957351,46.92486,102.1301,102.4243,47.48801
1982-05,100.9969,,98.32203,98.83369,-3.178706,46.76523,101.7926,102.0245,47.56333
1982-06,100.5304,99.87682,97.92247,98.5556,-3.2925,46.64691,101.453,101.6222,47.63657
1982-07,100.1393,99.76608,97.62209,98.34655,-3.321739,46.57339,101.0853,101.1865,47.70784
1982-08,99.78816,99.64574,97.44558,98.2237,-3.253189,46.5568,100.6611,100.684,47.77723
1982-09,99.44176,99.49681,97.40909,98.19831,-3.053349,46.60524,100.167,100.0986,47.84486
1982-10,99.0898,99.30081,97.53381,98.28512,-2.650753,46.72927,99.62445,99.45578,47.91084
1982-11,98.7672,99.07819,97.81754,98.48258,-2.008224,46.92823,99.07285,98.80228,47.97527
1982-12,98.54731,98.86337,98.24304,98.77871,-1.136175,47.19427,98.55683,98.19092,48.03828
1983-01,98.50555,98.70636,98.75333,99.13385,-0.1001961,47.50033,98.11454,97.66692,48.09998
1983-02,98.58054,98.66667,99.28345,99.50279,1.010908,47.81538,97.77659,97.26653,48.16048
1983-03,98.71376,98.85977,99.78751,99.8536,2.11637,48.11739,97.55994,97.00986,48.21985
1983-04,98.87232,99.38632,100.2314,100.1626,3.122179,48.38994,97.47201,96.90568,48.27821
1983-05,99.0137,100.0286,100.5811,100.4059,3.958589,48.61647,97.50983,96.95049,48.33561
1983-06,99.09023,100.4972,100.8269,100.577,4.59918,48.79228,97.6675,97.13728,48.39212
1983-07,99.07082,100.5626,100.9803,100.6837,5.044322,48.92271,97.9344,97.45349,48.44779
1983-08,99.02759,100.3594,101.0701,100.7462,5.29433,49.02168,98.29948,97.88602,48.50267
1983-09,99.05733,100.0452,101.1265,100.7855,5.361012,49.10376,98.74757,98.41689,48.55678
1983-10,99.22697,99.72705,101.1593,100.8083,5.231062,49.1737,99.24863,99.01053,48.61015
1983-11,99.44588,99.50007,101.1852,100.8264,4.925275,49.23958,99.76858,99.62653,48.66281
1983-12,99.5899,99.48887,101.2044,100.8397,4.464932,49.30146,100.2765,100.2283,48.71475
1984-01,99.57595,99.79857,101.194,100.8325,3.890391,49.34828,100.751,100.7904,48.766
1984-02,99.51164,100.2497,101.1084,100.7729,3.225481,49.35766,101.1712,101.2883,48.81658
1984-03,99.5461,100.6208,100.9193,100.6413,2.490469,49.31574,101.5113,101.6912,48.86649
1984-04,99.77118,100.7503,100.6021,100.4205,1.695247,49.21027,101.7373,101.959,48.91576
1984-05,100.0239,100.7168,100.1559,100.11,0.8727658,49.04078,101.8199,102.0568,48.96443
1984-06,100.0528,100.6002,99.60075,99.72363,0.05031613,48.81683,101.7543,101.9791,49.01252
1984-07,99.65674,100.4041,98.98799,99.29717,-0.7340435,48.56359,101.579,101.7714,49.06008
1984-08,99.04733,100.0619,98.3901,98.88105,-1.438294,48.3166,101.3511,101.5014,49.10718
1984-09,98.49481,99.41201,97.87037,98.51934,-2.029759,48.10707,101.1182,101.2254,49.15387
1984-10,98.18715,98.31924,97.4672,98.23875,-2.480263,47.95407,100.8943,100.9602,49.20021
1984-11,98.03226,97.10354,97.1576,98.02328,-2.829169,47.84651,100.6742,100.6995,49.24628
1984-12,97.90048,96.19651,96.90255,97.84578,-3.115744,47.76536,100.4475,100.4308,49.29216
1985-01,97.71414,95.92075,96.67719,97.68893,-3.343129,47.69851,100.211,100.1506,49.33791
1985-02,97.51414,95.9606,96.49504,97.56216,-3.454205,47.65274,99.9678,99.86256,49.38362
1985-03,97.38534,95.91408,96.38023,97.48226,-3.397704,47.64013,99.72634,99.57649,49.42936
1985-04,97.39556,95.52927,96.3511,97.46199,-3.130134,47.66992,99.49981,99.30811,49.47522
1985-05,97.46346,95.02707,96.42522,97.51357,-2.63002,47.751,99.30341,99.07542,49.52128
1985-06,97.47874,94.76779,96.59189,97.62957,-1.922596,47.87828,99.15033,98.89406,49.5676
1985-07,97.36481,95.03527,96.83915,97.80165,-1.065723,48.04604,99.04572,98.77012,49.61427
1985-08,97.19389,95.5779,97.15195,98.01936,-0.1441043,48.24697,98.98688,98.70041,49.66135
1985-09,97.07268,96.05937,97.5087,98.26763,0.7554694,48.4705,98.95992,98.66846,49.7089
1985-10,97.08487,96.23421,97.85999,98.51212,1.539216,48.69218,98.93298,98.63657,49.75699
1985-11,97.18407,96.18441,98.16499,98.72439,2.184515,48.89172,98.87379,98.56644,49.80566
1985-12,97.31203,96.03417,98.39381,98.88364,2.698275,49.0542,98.76693,98.43983,49.85496
1986-01,97.42999,95.8892,98.55193,98.99368,3.110751,49.18229,98.63335,98.28157,49.90495
1986-02,97.52117,95.8764,98.65833,99.06773,3.426177,49.28541,98.50819,98.13329,49.95565
1986-03,97.57067,96.17848,98.74673,99.12926,3.652907,49.38038,98.42047,98.02936,50.00711
1986-04,97.57215,96.93612,98.84364,99.1967,3.798117,49.48048,98.37239,97.9724,50.05935
1986-05,97.5762,97.83553,98.96294,99.27973,3.856862,49.59269,98.35325,97.94972,50.11238
1986-06,97.65625,98.45557,99.11092,99.38272,3.847111,49.72021,98.35033,97.94627,50.16623
1986-07,97.87186,98.47334,99.29021,99.50751,3.784678,49.86443,98.35756,97.95483,50.22089
1986-08,98.15613,98.14886,99.50677,99.65822,3.692245,50.02837,98.37373,97.97398,50.27634
1986-09,98.42619,97.8102,99.75478,99.83083,3.587072,50.20918,98.40001,98.00512,50.3326
1986-10,98.62524,97.68077,100.012,100.0098,3.498472,50.39566,98.43666,98.04855,50.38962
1986-11,98.77862,97.72076,100.2646,100.1856,3.454856,50.58086,98.48282,98.10323,50.44739
1986-12,98.92529,97.86704,100.537,100.3752,3.512189,50.77708,98.53542,98.16554,50.50587
1987-01,99.09492,98.10374,100.8303,100.5793,3.665037,50.98484,98.58734,98.22707,50.56501
