country,ZAF,ZAF
1983-Q1,-4.453499,46.62695
1983-Q2,-3.249436,46.82056
1983-Q3,-2.109085,47.3603
1983-Q4,2.541563,48.56153
1984-Q1,5.916251,49.38551
1984-Q2,7.66955,50.41149
1984-Q3,4.678251,49.57594
1984-Q4,2.246739,49.65259
1985-Q1,-0.05820082,49.35677
1985-Q2,-2.804155,48.99788
1985-Q3,-1.426912,48.86853
1985-Q4,-0.5266291,49.3911
1986-Q1,-1.122663,48.80266
1986-Q2,0.2892407,49.1396
1986-Q3,0.7809673,49.25018
1986-Q4,0.1333626,49.45697
1987-Q1,2.077765,49.81667
1987-Q2,1.739359,49.99431
1987-Q3,1.881365,50.17675
1987-Q4,2.70087,50.79274
1988-Q1,3.491729,51.55613
1988-Q2,3.856223,51.9222
1988-Q3,4.870304,52.62051
1988-Q4,4.571266,53.11461
1989-Q1,3.660927,53.44356
1989-Q2,3.376637,53.67543
1989-Q3,2.086711,53.71856
1989-Q4,0.5111852,53.38613
1990-Q1,-0.02749977,53.42886
1990-Q2,-0.5415071,53.38477
1990-Q3,-0.7048732,53.3399
1990-Q4,0.006157802,53.38941
1991-Q1,-0.8686698,52.96474
1991-Q2,-1.010671,52.84523
1991-Q3,-0.9658342,52.82473
1991-Q4,-1.227913,52.73384
1992-Q1,-1.133651,52.36431
1992-Q2,-1.517845,52.04312
1992-Q3,-2.620239,51.4406
1992-Q4,-3.281271,51.0035
1993-Q1,-1.346413,51.65927
1993-Q2,-0.059836,52.01198
1993-Q3,2.407391,52.67897
1993-Q4,4.166548,53.12858
1994-Q1,2.795771,53.10354
1994-Q2,3.094816,53.62165
1994-Q3,2.93412,54.22464
1994-Q4,3.959652,55.23229
1995-Q1,4.268642,55.37034
1995-Q2,3.558021,55.52952
1995-Q3,3.085874,55.89794
1995-Q4,1.545603,56.08596
1996-Q1,3.168867,57.12495
1996-Q2,4.098711,57.80552
1996-Q3,4.644752,58.49426
1996-Q4,5.272398,59.04304
1997-Q1,3.837502,59.31712
1997-Q2,3.258806,59.68929
1997-Q3,2.144435,59.74863
1997-Q4,1.209033,59.75689
1998-Q1,1.006026,59.91387
1998-Q2,0.5182117,59.9986
1998-Q3,0.1984221,59.86719
1998-Q4,0.2810434,59.92483
1999-Q1,0.9795362,60.50075
1999-Q2,1.639478,60.98227
1999-Q3,2.974827,61.64813
1999-Q4,4.007388,62.32625
2000-Q1,4.221428,63.05474
2000-Q2,4.349747,63.63484
2000-Q3,4.244973,64.26508
2000-Q4,3.988198,64.81194
2001-Q1,3.418422,65.21022
2001-Q2,2.987731,65.53608
2001-Q3,2.248753,65.71024
2001-Q4,2.16599,66.21577
2002-Q1,2.644758,66.93488
2002-Q2,3.430329,67.78419
2002-Q3,4.323746,68.55138
2002-Q4,4.388622,69.12173
2003-Q1,3.922632,69.56049
2003-Q2,3.12169,69.90019
2003-Q3,2.520959,70.27954
2003-Q4,2.261629,70.68501
2004-Q1,3.154859,71.75502
2004-Q2,4.088062,72.75776
2004-Q3,5.219011,73.94743
2004-Q4,5.732672,74.73714
2005-Q1,5.214827,75.49692
2005-Q2,5.626881,76.85175
2005-Q3,5.344718,77.89972
2005-Q4,4.929278,78.42114
2006-Q1,5.698532,79.79913
2006-Q2,5.309866,80.93248
2006-Q3,5.328083,82.05028
2006-Q4,6.074562,83.18488
2007-Q1,5.935401,84.53553
2007-Q2,5.307974,85.22835
2007-Q3,5.090652,86.22717
2007-Q4,5.126167,87.44908
2008-Q1,3.881016,87.81637
2008-Q2,4.294531,88.88851
2008-Q3,3.332733,89.10089
2008-Q4,1.308885,88.59369
2009-Q1,-0.6841492,87.21558
2009-Q2,-2.218811,86.91624
2009-Q3,-2.225664,87.11781
2009-Q4,-1.010038,87.69886
2010-Q1,1.727314,88.72206
2010-Q2,2.934508,89.4668
2010-Q3,3.610598,90.26328
2010-Q4,3.882122,91.10343
2011-Q1,3.695316,92.00063
2011-Q2,3.407653,92.51553
2011-Q3,2.919289,92.89833
2011-Q4,2.667734,93.53383
2012-Q1,2.242809,94.06402
2012-Q2,2.522476,94.84921
2012-Q3,2.515111,95.23483
2012-Q4,2.3042,95.68904
2013-Q1,2.516996,96.43161
2013-Q2,2.407849,97.13303
2013-Q3,2.477104,97.59389
2013-Q4,2.539736,98.11929
2014-Q1,1.609781,97.98395
2014-Q2,1.274154,98.37066
2014-Q3,1.280323,98.84341
2014-Q4,1.492299,99.58352
2015-Q1,2.366632,100.3029
2015-Q2,1.103366,99.45605
2015-Q3,1.073024,99.90402
2015-Q4,0.7566997,100.3371
2016-Q1,0.2730462,100.5767
2016-Q2,1.224121,100.6735
2016-Q3,0.7579511,100.6612
2016-Q4,0.4082724,100.7467
2017-Q1,0.6419289,101.2224
2017-Q2,1.093465,101.7743
2017-Q3,1.291712,101.9615
2017-Q4,1.603879,102.3626
2018-Q1,1.570386,102.812
2018-Q2,0.8840095,102.674
2018-Q3,1.802735,103.7996
2018-Q4,1.692027,104.0946
2019-Q1,0.2589041,103.0781
2019-Q2,0.8835598,103.5812
2019-Q3,-0.229652,103.5612
2019-Q4,-0.4492567,103.6269
2020-Q1,0.6693373,103.7681
2020-Q2,-17.24508,85.71855
2020-Q3,-5.730122,97.62703
2020-Q4,-3.38875,100.1153
2021-Q1,-2.515948,101.1573
2021-Q2,19.56623,102.4904
2021-Q3,3.168201,100.72
2021-Q4,1.774554,101.8919
