country,GBR,GBR
1978-Q1,2.559656,44.92338
1978-Q2,4.507415,45.44831
1978-Q3,5.230887,46.07452
1978-Q4,4.403684,46.49103
1979-Q1,3.12133,46.32558
1979-Q2,6.412955,48.36289
1979-Q3,2.623024,47.28307
1979-Q4,2.76041,47.77437
1980-Q1,2.144872,47.31921
1980-Q2,-4.111834,46.37429
1980-Q3,-2.024182,46.32597
1980-Q4,-4.091284,45.81979
1981-Q1,-3.221024,45.79505
1981-Q2,-1.025673,45.89864
1981-Q3,0.1606241,46.40038
1981-Q4,1.391144,46.45721
1982-Q1,1.626974,46.54012
1982-Q2,2.464639,47.02988
1982-Q3,1.604499,47.14487
1982-Q4,2.18747,47.47344
1983-Q1,3.895381,48.35303
1983-Q2,3.66413,48.75311
1983-Q3,4.531683,49.28133
1983-Q4,4.692888,49.70132
1984-Q1,3.505504,50.04805
1984-Q2,1.750658,49.60661
1984-Q3,1.305195,49.92455
1984-Q4,2.418784,50.90348
1985-Q1,2.522514,51.31052
1985-Q2,5.645903,52.40736
1985-Q3,5.06951,52.45548
1985-Q4,3.292276,52.57937
1986-Q1,3.633795,53.17504
1986-Q2,2.217182,53.56932
1986-Q3,2.591708,53.81497
1986-Q4,4.183132,54.77884
1987-Q1,3.984342,55.29372
1987-Q2,4.729279,56.10276
1987-Q3,6.775297,57.4611
1987-Q4,6.061921,58.09948
1988-Q1,6.898203,59.10799
1988-Q2,5.934028,59.43192
1988-Q3,4.965305,60.31422
1988-Q4,4.676221,60.81634
1989-Q1,3.309747,61.06432
1989-Q2,3.390244,61.4468
1989-Q3,1.946389,61.48817
1989-Q4,1.173319,61.52991
1990-Q1,1.415432,61.92864
1990-Q2,1.278918,62.23266
1990-Q3,0.13799,61.57301
1990-Q4,-0.2908702,61.35094
1991-Q1,-1.244936,61.15767
1991-Q2,-1.873655,61.06664
1991-Q3,-1.062534,60.91878
1991-Q4,-0.5544547,61.01078
1992-Q1,-0.2521893,61.00343
1992-Q2,-0.2411713,60.91936
1992-Q3,0.6148614,61.29335
1992-Q4,1.133783,61.70251
1993-Q1,1.843925,62.12829
1993-Q2,2.468623,62.42323
1993-Q3,2.642756,62.91318
1993-Q4,2.643713,63.33374
1994-Q1,3.128004,64.07166
1994-Q2,3.813584,64.80379
1994-Q3,4.126115,65.50905
1994-Q4,3.995569,65.86429
1995-Q1,3.455745,66.28582
1995-Q2,2.473948,66.40701
1995-Q3,2.386242,67.07225
1995-Q4,2.015957,67.19209
1996-Q1,1.776873,67.46363
1996-Q2,1.6316,67.4905
1996-Q3,1.693797,68.20832
1996-Q4,2.52322,68.88749
1997-Q1,3.675342,69.94315
1997-Q2,4.733745,70.68533
1997-Q3,4.599486,71.34555
1997-Q4,5.07515,72.38363
1998-Q1,4.110698,72.81831
1998-Q2,3.565794,73.20582
1998-Q3,2.91623,73.42616
1998-Q4,2.0747,73.88538
1999-Q1,2.193433,74.41553
1999-Q2,2.063279,74.71626
1999-Q3,3.467174,75.97196
1999-Q4,4.314616,77.07324
2000-Q1,4.774235,77.9683
2000-Q2,5.035944,78.47893
2000-Q3,3.826721,78.8792
2000-Q4,2.782264,79.21763
2001-Q1,2.472441,79.89602
2001-Q2,2.178308,80.18845
2001-Q3,2.127561,80.5574
2001-Q4,1.856438,80.68825
2002-Q1,1.342345,80.9685
2002-Q2,1.503758,81.39428
2002-Q3,1.7723,81.98512
2002-Q4,2.4588,82.67221
2003-Q1,2.750818,83.19579
2003-Q2,3.088573,83.9082
2003-Q3,3.354393,84.73523
2003-Q4,3.292148,85.39391
2004-Q1,3.098589,85.77369
2004-Q2,2.764085,86.2275
2004-Q3,2.004019,86.43333
2004-Q4,1.537253,86.70663
2005-Q1,1.846135,87.35719
2005-Q2,2.269019,88.18401
2005-Q3,2.900683,88.94049
2005-Q4,3.647193,89.86898
2006-Q1,3.229975,90.1788
2006-Q2,2.503162,90.3914
2006-Q3,1.776273,90.52032
2006-Q4,1.164564,90.91557
2007-Q1,1.866331,91.86184
2007-Q2,2.296422,92.46717
2007-Q3,2.927932,93.17069
2007-Q4,3.157552,93.78627
2008-Q1,2.589776,94.24085
2008-Q2,1.43262,93.79188
2008-Q3,-0.8565253,92.37267
2008-Q4,-3.70923,90.30753
2009-Q1,-6.033622,88.55472
2009-Q2,-5.854582,88.30075
2009-Q3,-4.281754,88.4175
2009-Q4,-1.759016,88.719
2010-Q1,1.137105,89.56168
2010-Q2,2.588062,90.58603
2010-Q3,3.102492,91.16064
2010-Q4,2.893269,91.28588
2011-Q1,2.183685,91.51743
2011-Q2,1.084296,91.56825
2011-Q3,0.6014875,91.70895
2011-Q4,0.4215434,91.67069
2012-Q1,0.9993453,92.432
2012-Q2,0.8867116,92.3802
2012-Q3,1.983557,93.52806
2012-Q4,1.922611,93.43316
2013-Q1,1.320043,93.65214
2013-Q2,2.065175,94.28801
2013-Q3,1.567637,94.99424
2013-Q4,2.324263,95.60479
2014-Q1,3.04176,96.50082
2014-Q2,3.241603,97.34446
2014-Q3,3.252499,98.08392
2014-Q4,3.260637,98.72211
2015-Q1,2.724046,99.12954
2015-Q2,2.478264,99.75691
2015-Q3,2.143906,100.1868
2015-Q4,2.233221,100.9268
2016-Q1,2.185048,101.2956
2016-Q2,2.181574,101.9332
2016-Q3,2.192471,102.3833
2016-Q4,2.102475,103.0488
2017-Q1,2.482723,103.8105
2017-Q2,2.387747,104.3671
2017-Q3,2.463519,104.9055
2017-Q4,2.440484,105.5637
2018-Q1,1.841136,105.7217
2018-Q2,1.758723,106.2026
2018-Q3,1.799071,106.7929
2018-Q4,1.424609,107.0675
2019-Q1,1.911324,107.7424
2019-Q2,1.561445,107.8609
2019-Q3,1.617063,108.5198
2019-Q4,1.330948,108.4925
2020-Q1,-1.963018,105.6274
2020-Q2,-22.62741,83.45478
2020-Q3,-10.32468,97.31547
2020-Q4,-9.213327,98.49676
2021-Q1,-7.840956,97.34523
2021-Q2,24.27407,103.7127
2021-Q3,8.455658,105.5441
2021-Q4,8.892295,107.2554
2022-Q1,10.94244,107.9972
2022-Q2,4.37582,108.2509
