country,AUS,AUS
1983-Q1,-2.348928,34.22447
1983-Q2,-3.399455,34.1615
1983-Q3,-0.03384858,35.11399
1983-Q4,3.266975,35.70318
1984-Q1,6.937725,36.59887
1984-Q2,8.337523,37.00972
1984-Q3,6.292952,37.32369
1984-Q4,5.2727,37.5857
1985-Q1,4.181706,38.12932
1985-Q2,5.303706,38.97261
1985-Q3,5.828948,39.49927
1985-Q4,4.83287,39.40217
1986-Q1,3.998268,39.65384
1986-Q2,1.567187,39.58338
1986-Q3,0.495549,39.69501
1986-Q4,2.413442,40.35312
1987-Q1,2.735718,40.73865
1987-Q2,4.537237,41.37937
1987-Q3,6.133588,42.12974
1987-Q4,6.520802,42.98447
1988-Q1,5.960784,43.167
1988-Q2,4.395113,43.19804
1988-Q3,3.372983,43.55077
1988-Q4,2.919693,44.23948
1989-Q1,3.524521,44.68843
1989-Q2,5.632123,45.63101
1989-Q3,5.658803,46.01522
1989-Q4,3.733215,45.89104
1990-Q1,3.506516,46.25543
1990-Q2,1.496289,46.31378
1990-Q3,0.07416587,46.04935
1990-Q4,0.9398974,46.32237
1991-Q1,-1.148599,45.72414
1991-Q2,-1.435247,45.64906
1991-Q3,-0.4379716,45.84766
1991-Q4,-0.9644178,45.87563
1992-Q1,1.09742,46.22593
1992-Q2,1.989119,46.55708
1992-Q3,2.551025,47.01725
1992-Q4,4.609876,47.99044
1993-Q1,4.553508,48.33083
1993-Q2,4.415659,48.61288
1993-Q3,3.520619,48.67255
1993-Q4,3.284059,49.56647
1994-Q1,4.231737,50.37606
1994-Q2,4.868902,50.97979
1994-Q3,5.548267,51.37303
1994-Q4,4.727701,51.90982
1995-Q1,3.085705,51.93052
1995-Q2,2.274347,52.13925
1995-Q3,3.781421,53.31566
1995-Q4,2.681506,53.30179
1996-Q1,4.327622,54.17788
1996-Q2,4.623213,54.54976
1996-Q3,3.106778,54.97206
1996-Q4,4.086581,55.48001
1997-Q1,3.039453,55.82459
1997-Q2,5.379551,57.48429
1997-Q3,4.717809,57.56554
1997-Q4,5.259586,58.39803
1998-Q1,5.314286,58.79127
1998-Q2,3.21203,59.3307
1998-Q3,5.013196,60.45141
1998-Q4,5.070674,61.3592
1999-Q1,5.144616,61.81585
1999-Q2,4.524487,62.01511
1999-Q3,3.771894,62.73157
1999-Q4,3.980551,63.80164
2000-Q1,3.628443,64.05881
2000-Q2,4.264731,64.65989
2000-Q3,3.330139,64.82062
2000-Q4,1.228548,64.58547
2001-Q1,1.873919,65.25922
2001-Q2,1.747534,65.78984
2001-Q3,2.707871,66.57588
2001-Q4,4.327846,67.38063
2002-Q1,4.042268,67.89717
2002-Q2,4.966817,69.0575
2002-Q3,4.041697,69.26668
2002-Q4,3.638229,69.83209
2003-Q1,3.058299,69.97366
2003-Q2,1.74816,70.26474
2003-Q3,3.20254,71.48497
2003-Q4,4.046197,72.65764
2004-Q1,4.650965,73.22812
2004-Q2,4.908704,73.71383
2004-Q3,3.914448,74.28321
2004-Q4,3.006409,74.84203
2005-Q1,2.984792,75.41383
2005-Q2,2.755143,75.74475
2005-Q3,3.114607,76.59684
2005-Q4,3.125478,77.18119
2006-Q1,2.458593,77.26794
2006-Q2,2.220246,77.42647
2006-Q3,2.594815,78.58439
2006-Q4,3.12689,79.59457
2007-Q1,4.453259,80.70889
2007-Q2,4.885484,81.20913
2007-Q3,4.533598,82.14709
2007-Q4,3.62129,82.47691
2008-Q1,3.245563,83.32835
2008-Q2,2.937365,83.59454
2008-Q3,2.486237,84.18946
2008-Q4,1.591064,83.78918
2009-Q1,1.476778,84.55891
2009-Q2,1.919045,85.19875
2009-Q3,1.502471,85.45438
2009-Q4,2.752843,86.09576
2010-Q1,2.25701,86.46742
2010-Q2,2.179329,87.05552
2010-Q3,2.592015,87.66937
2010-Q4,2.719754,88.43736
2011-Q1,1.971908,88.17248
2011-Q2,2.597202,89.31652
2011-Q3,3.260124,90.5275
2011-Q4,3.463849,91.50069
2012-Q1,4.754282,92.36445
2012-Q2,4.185319,93.0547
2012-Q3,3.407466,93.6122
2012-Q4,2.798285,94.06114
2013-Q1,2.269374,94.46054
2013-Q2,1.948494,94.86787
2013-Q3,2.139164,95.61472
2013-Q4,2.468136,96.3827
2014-Q1,2.803838,97.10906
2014-Q2,2.834968,97.55734
2014-Q3,2.521065,98.02522
2014-Q4,2.073791,98.38147
2015-Q1,2.230143,99.27473
2015-Q2,1.870074,99.38174
2015-Q3,2.442673,100.4197
2015-Q4,2.685156,101.0232
2016-Q1,2.63682,101.8924
2016-Q2,3.196934,102.5589
2016-Q3,2.269977,102.6992
2016-Q4,2.723042,103.7741
2017-Q1,2.085256,104.0172
2017-Q2,2.109704,104.7226
2017-Q3,2.966103,105.7453
2017-Q4,2.342999,106.2055
2018-Q1,2.980592,107.1175
2018-Q2,3.191997,108.0653
2018-Q3,2.628094,108.5244
2018-Q4,2.31403,108.6631
2019-Q1,1.859594,109.1094
2019-Q2,1.663376,109.8629
2019-Q3,2.062512,110.7627
2019-Q4,2.332612,111.1978
2020-Q1,1.603266,110.8587
2020-Q2,-5.951825,103.324
2020-Q3,-3.445513,106.9464
2020-Q4,-0.6716353,110.451
2021-Q1,1.408949,112.4207
2021-Q2,9.697725,113.3441
2021-Q3,4.052894,111.2808
2021-Q4,4.401727,115.3127
2022-Q1,3.346325,116.1826
