country,NOR,NOR
1983-Q1,2.198594,44.26404
1983-Q2,3.315578,44.75235
1983-Q3,4.77465,45.37098
1983-Q4,4.479575,45.38789
1984-Q1,5.289538,46.6054
1984-Q2,4.787072,46.89468
1984-Q3,6.350907,48.25245
1984-Q4,8.519526,49.25472
1985-Q1,7.756722,50.22046
1985-Q2,5.62076,49.53051
1985-Q3,5.632936,50.97048
1985-Q4,4.482023,51.46233
1986-Q1,4.394186,52.42724
1986-Q2,4.412895,51.71624
1986-Q3,4.111426,53.06609
1986-Q4,3.681004,53.35666
1987-Q1,1.346681,53.13326
1987-Q2,4.997485,54.30075
1987-Q3,-0.341643,52.8848
1987-Q4,0.9131793,53.84391
1988-Q1,0.9590858,53.64286
1988-Q2,-2.726101,52.82046
1988-Q3,0.7223026,53.26678
1988-Q4,-0.9301744,53.34306
1989-Q1,-1.208798,52.99442
1989-Q2,1.512638,53.61944
1989-Q3,1.64139,54.1411
1989-Q4,2.2066,54.52013
1990-Q1,2.504753,54.3218
1990-Q2,2.404316,54.90862
1990-Q3,0.4202672,54.36864
1990-Q4,2.392361,55.82445
1991-Q1,3.638327,56.29821
1991-Q2,3.066807,56.59256
1991-Q3,3.836181,56.45432
1991-Q4,1.869765,56.86823
1992-Q1,3.160632,58.07759
1992-Q2,3.159239,58.38046
1992-Q3,4.766593,59.14526
1992-Q4,3.259549,58.72188
1993-Q1,0.4441141,58.33552
1993-Q2,1.657851,59.34832
1993-Q3,2.342647,60.53083
1993-Q4,6.748124,62.68451
1994-Q1,6.230044,61.96985
1994-Q2,6.848865,63.41301
1994-Q3,3.338387,62.55158
1994-Q4,3.73157,65.02363
1995-Q1,4.108191,64.51569
1995-Q2,2.626607,65.07861
1995-Q3,6.491518,66.61213
1995-Q4,3.706823,67.43394
1996-Q1,6.101967,68.45242
1996-Q2,5.040079,68.35863
1996-Q3,6.041658,70.6366
1996-Q4,3.068896,69.50341
1997-Q1,4.261623,71.3696
1997-Q2,6.923069,73.09115
1997-Q3,3.363715,73.01262
1997-Q4,6.533051,74.04411
1998-Q1,4.748427,74.75853
1998-Q2,3.440225,75.60564
1998-Q3,1.694103,74.24953
1998-Q4,0.7902904,74.62927
1999-Q1,0.548929,75.1689
1999-Q2,-0.5322984,75.20319
1999-Q3,3.365529,76.74841
1999-Q4,4.60869,78.0687
2000-Q1,5.39293,79.22271
2000-Q2,3.823557,78.07864
2000-Q3,2.720636,78.83646
2000-Q4,1.023132,78.86745
2001-Q1,0.7162392,79.79013
2001-Q2,2.010409,79.64833
2001-Q3,2.273552,80.62885
2001-Q4,3.121832,81.32956
2002-Q1,0.8815953,80.49356
2002-Q2,3.161011,82.16603
2002-Q3,0.3941166,80.94662
2002-Q4,0.6530435,81.86067
2003-Q1,1.722659,81.88019
2003-Q2,-0.8224233,81.49027
2003-Q3,2.086155,82.63529
2003-Q4,0.9786274,82.66178
2004-Q1,4.531031,85.5902
2004-Q2,5.247423,85.76641
2004-Q3,2.590648,84.77608
2004-Q4,3.565399,85.60901
2005-Q1,1.652412,87.00451
2005-Q2,1.975538,87.46076
2005-Q3,4.022621,88.1863
2005-Q4,3.242348,88.38475
2006-Q1,2.236543,88.9504
2006-Q2,1.83031,89.06157
2006-Q3,2.028881,89.9755
2006-Q4,3.663027,91.62231
2007-Q1,3.081329,91.69125
2007-Q2,2.950936,91.68971
2007-Q3,3.212887,92.86631
2007-Q4,2.460709,93.87686
2008-Q1,1.097355,92.69743
2008-Q2,1.149482,92.74368
2008-Q3,-0.3145475,92.5742
2008-Q4,-1.078735,92.86418
2009-Q1,-0.6473367,92.09737
2009-Q2,-1.570354,91.28727
2009-Q3,-1.326673,91.34605
2009-Q4,-1.582325,91.39477
2010-Q1,1.173414,93.17805
2010-Q2,0.9862638,92.1876
2010-Q3,-1.583118,89.89993
2010-Q4,1.125759,92.42365
2011-Q1,-0.7168504,92.5101
2011-Q2,-0.06504036,92.12764
2011-Q3,4.129197,93.61208
2011-Q4,1.338047,93.66032
2012-Q1,3.43998,95.69243
2012-Q2,4.11433,95.91808
2012-Q3,0.9780674,94.52766
2012-Q4,1.750952,95.30027
2013-Q1,-0.2597781,95.44385
2013-Q2,0.2243977,96.13332
2013-Q3,2.696099,97.07623
2013-Q4,1.682973,96.90415
2014-Q1,2.058856,97.4089
2014-Q2,2.075706,98.12876
2014-Q3,1.509162,98.54126
2014-Q4,2.932519,99.74588
2015-Q1,2.136303,99.48985
2015-Q2,1.924428,100.0172
2015-Q3,2.687098,101.1892
2015-Q4,0.5561833,100.3007
2016-Q1,0.9497636,100.4348
2016-Q2,0.3857064,100.403
2016-Q3,-1.081658,100.0946
2016-Q4,1.131211,101.4353
2017-Q1,2.000702,102.4442
2017-Q2,3.016079,103.4312
2017-Q3,4.041466,104.1399
2017-Q4,2.081468,103.5466
2018-Q1,1.863449,104.3532
2018-Q2,1.194847,104.667
2018-Q3,1.13936,105.3265
2018-Q4,1.753154,105.3619
2019-Q1,0.6883616,105.0715
2019-Q2,0.5585065,105.2516
2019-Q3,0.1494473,105.4839
2019-Q4,1.552898,106.9981
2020-Q1,0.4836464,105.5797
2020-Q2,-4.361324,100.6612
2020-Q3,-0.2897036,105.1783
2020-Q4,-1.07864,105.844
2021-Q1,0.2133842,105.8049
2021-Q2,5.959348,106.66
2021-Q3,5.393642,110.8512
2021-Q4,4.803624,110.9283
