country,CHE,CHE
1983-Q1,-0.6576154,54.62333
1983-Q2,0.08089375,54.6713
1983-Q3,1.132892,54.95432
1983-Q4,1.88419,55.19458
1984-Q1,2.066973,55.75237
1984-Q2,2.507883,56.04239
1984-Q3,3.630188,56.94926
1984-Q4,4.051021,57.43052
1985-Q1,4.353676,58.17965
1985-Q2,4.494123,58.561
1985-Q3,3.008086,58.66235
1985-Q4,3.027296,59.16912
1986-Q1,2.105421,59.40458
1986-Q2,2.160637,59.82629
1986-Q3,2.020419,59.84757
1986-Q4,1.068065,59.80108
1987-Q1,0.6966665,59.81843
1987-Q2,0.7690493,60.28639
1987-Q3,1.902321,60.98606
1987-Q4,2.795587,61.47287
1988-Q1,3.213085,61.74045
1988-Q2,2.978823,62.08221
1988-Q3,2.893191,62.75051
1988-Q4,4.035675,63.95372
1989-Q1,4.059999,64.24711
1989-Q2,5.1159,65.25828
1989-Q3,4.621746,65.65067
1989-Q4,3.937218,66.47171
1990-Q1,5.652818,67.87888
1990-Q2,4.328341,68.08288
1990-Q3,3.273565,67.7998
1990-Q4,1.666537,67.57949
1991-Q1,-0.1676443,67.76508
1991-Q2,-1.569335,67.01443
1991-Q3,-1.286275,66.9277
1991-Q4,-0.6904856,67.11286
1992-Q1,-0.145073,67.66678
1992-Q2,0.7823988,67.53875
1992-Q3,-0.1058847,66.85683
1992-Q4,-1.109744,66.36808
1993-Q1,-2.052766,66.27773
1993-Q2,-0.7801799,67.01183
1993-Q3,0.5697432,67.23775
1993-Q4,1.72898,67.51557
1994-Q1,2.515276,67.9448
1994-Q2,0.4018479,67.28111
1994-Q3,1.073759,67.95972
1994-Q4,1.228487,68.34499
1995-Q1,0.1113256,68.02045
1995-Q2,1.269655,68.13535
1995-Q3,0.7687629,68.48217
1995-Q4,0.1101117,68.42025
1996-Q1,1.005664,68.7045
1996-Q2,0.4707742,68.45612
1996-Q3,-0.0981378,68.41496
1996-Q4,0.4992598,68.76184
1997-Q1,1.113802,69.46973
1997-Q2,1.74931,69.65362
1997-Q3,2.891604,70.39325
1997-Q4,3.149742,70.92767
1998-Q1,3.071773,71.60368
1998-Q2,3.930737,72.39153
1998-Q3,2.819173,72.37776
1998-Q4,1.91327,72.2847
1999-Q1,1.074545,72.3731
1999-Q2,0.5533504,72.7921
1999-Q3,1.180412,73.23212
1999-Q4,3.783632,75.01969
2000-Q1,4.305618,75.48921
2000-Q2,4.164975,75.82388
2000-Q3,4.514446,76.53814
2000-Q4,3.383882,77.55827
2001-Q1,2.55834,77.42048
2001-Q2,2.557467,77.76305
2001-Q3,1.564843,77.73584
2001-Q4,-0.09050328,77.48808
2002-Q1,0.1030953,77.5003
2002-Q2,-0.07937779,77.70132
2002-Q3,-0.0918116,77.66447
2002-Q4,-0.1833549,77.34599
2003-Q1,-0.6724734,76.97913
2003-Q2,-1.140524,76.81512
2003-Q3,-0.0623768,77.61603
2003-Q4,1.543071,78.5395
2004-Q1,2.570627,78.95798
2004-Q2,3.621052,79.59663
2004-Q3,2.485745,79.54536
2004-Q4,1.541814,79.75043
2005-Q1,1.810851,80.38779
2005-Q2,2.097112,81.26586
2005-Q3,3.284853,82.15831
2005-Q4,4.12297,83.03852
2006-Q1,4.545988,84.04221
2006-Q2,4.257249,84.72556
2006-Q3,3.807714,85.28667
2006-Q4,4.027423,86.38283
2007-Q1,3.368984,86.87357
2007-Q2,4.119053,88.21545
2007-Q3,4.31207,88.96429
2007-Q4,3.903077,89.75442
2008-Q1,4.189201,90.51288
2008-Q2,3.812521,91.57867
2008-Q3,3.433612,92.01897
2008-Q4,-0.5970335,89.21855
2009-Q1,-3.196124,87.61998
2009-Q2,-3.765321,88.13045
2009-Q3,-2.900876,89.34962
2009-Q4,0.6983796,89.84164
2010-Q1,3.552314,90.73251
2010-Q2,3.60478,91.30735
2010-Q3,2.724244,91.78372
2010-Q4,3.000376,92.53722
2011-Q1,2.521865,93.02067
2011-Q2,2.516805,93.60538
2011-Q3,1.672969,93.31923
2011-Q4,0.8840157,93.35527
2012-Q1,0.9168626,93.87354
2012-Q2,0.5173278,94.08963
2012-Q3,1.718545,94.92297
2012-Q4,1.65814,94.90323
2013-Q1,1.477621,95.26064
2013-Q2,1.978154,95.95087
2013-Q3,1.839683,96.66925
2013-Q4,2.069064,96.86684
2014-Q1,2.211035,97.36687
2014-Q2,2.300097,98.15783
2014-Q3,2.137223,98.73528
2014-Q4,2.591826,99.37746
2015-Q1,1.876438,99.19391
2015-Q2,1.524493,99.65424
2015-Q3,1.558627,100.2742
2015-Q4,1.377939,100.7468
2016-Q1,1.958377,101.1365
2016-Q2,2.169187,101.8159
2016-Q3,2.266453,102.5469
2016-Q4,1.936379,102.6977
2017-Q1,1.670799,102.8263
2017-Q2,1.163202,103.0003
2017-Q3,0.9968537,103.5691
2017-Q4,1.888451,104.6371
2018-Q1,2.894077,105.8022
2018-Q2,3.728809,106.8409
2018-Q3,2.83009,106.5002
2018-Q4,2.011961,106.7423
2019-Q1,1.042074,106.9047
2019-Q2,0.5029148,107.3783
2019-Q3,1.391261,107.9819
2019-Q4,1.718428,108.5766
2020-Q1,0.0368366,106.9441
2020-Q2,-7.423058,99.4075
2020-Q3,-1.198822,106.6874
2020-Q4,-1.485207,106.964
2021-Q1,-0.1150755,106.821
2021-Q2,9.621621,108.9721
2021-Q3,3.97944,110.933
2021-Q4,3.801327,111.0301
2022-Q1,4.262869,111.3746
2022-Q2,2.30976,111.4891
2022-Q3,0.746177,111.7607
