country,KOR,KOR
1983-Q2,13.3458,13.71853
1983-Q3,15.16644,14.22798
1983-Q4,12.45215,14.32984
1984-Q1,12.3992,14.95767
1984-Q2,11.76544,15.33257
1984-Q3,9.232616,15.54159
1984-Q4,8.983315,15.61713
1985-Q1,7.343674,16.05611
1985-Q2,7.241524,16.44289
1985-Q3,7.002873,16.62995
1985-Q4,9.731701,17.13694
1986-Q1,8.786629,17.4669
1986-Q2,10.36759,18.14762
1986-Q3,13.83726,18.93108
1986-Q4,12.19256,19.22637
1987-Q1,13.6082,19.84383
1987-Q2,14.76294,20.82674
1987-Q3,11.08687,21.02995
1987-Q4,11.60698,21.45798
1988-Q1,16.46406,23.11093
1988-Q2,8.569883,22.61157
1988-Q3,10.90304,23.32285
1988-Q4,12.22831,24.08192
1989-Q1,4.246524,24.09235
1989-Q2,8.105,24.44423
1989-Q3,7.49578,25.07108
1989-Q4,8.406865,26.10646
1990-Q1,9.463671,26.37237
1990-Q2,10.29445,26.96063
1990-Q3,11.01338,27.83225
1990-Q4,8.778275,28.39816
1991-Q1,11.71973,29.46313
1991-Q2,11.09776,29.95266
1991-Q3,9.927266,30.59523
1991-Q4,10.43396,31.36121
1992-Q1,8.337277,31.91956
1992-Q2,7.314468,32.14354
1992-Q3,5.131652,32.16528
1992-Q4,4.164583,32.66727
1993-Q1,4.379774,33.31756
1993-Q2,6.311479,34.17227
1993-Q3,8.198358,34.8023
1993-Q4,8.574414,35.4683
1994-Q1,9.560401,36.50286
1994-Q2,8.562979,37.09843
1994-Q3,8.390841,37.7225
1994-Q4,10.53579,39.20516
1995-Q1,9.64825,40.02474
1995-Q2,10.06926,40.83397
1995-Q3,10.49541,41.68163
1995-Q4,8.305407,42.46131
1996-Q1,8.111951,43.27153
1996-Q2,8.110179,44.14568
1996-Q3,7.774501,44.92217
1996-Q4,7.585155,45.68207
1997-Q1,6.064862,45.89589
1997-Q2,7.655937,47.52545
1997-Q3,6.6327,47.90173
1997-Q4,4.380778,47.6833
1998-Q1,-3.189064,44.43224
1998-Q2,-7.263875,44.07326
1998-Q3,-6.384827,44.84328
1998-Q4,-3.608607,45.96259
1999-Q1,6.583397,47.35739
1999-Q2,12.16131,49.43314
1999-Q3,13.30117,50.80796
1999-Q4,13.73251,52.27441
2000-Q1,12.4746,53.26504
2000-Q2,9.187473,53.9748
2000-Q3,9.159237,55.46159
2000-Q4,5.752767,55.28164
2001-Q1,5.057922,55.95914
2001-Q2,5.023057,56.68599
2001-Q3,3.587655,57.45135
2001-Q4,5.756612,58.46399
2002-Q1,7.134576,59.95159
2002-Q2,7.677399,61.03799
2002-Q3,8.390946,62.27207
2002-Q4,7.682385,62.95541
2003-Q1,4.318228,62.54044
2003-Q2,2.303546,62.44403
2003-Q3,2.214156,63.65087
2003-Q4,3.773317,65.33092
2004-Q1,5.772676,66.1507
2004-Q2,6.744794,66.65575
2004-Q3,5.145619,66.9261
2004-Q4,3.218132,67.43336
2005-Q1,2.806403,68.00715
2005-Q2,3.952746,69.29049
2005-Q3,5.091342,70.33353
2005-Q4,5.35682,71.04564
2006-Q1,6.180251,72.21016
2006-Q2,4.97506,72.73773
2006-Q3,5.087398,73.91168
2006-Q4,4.844887,74.48772
2007-Q1,4.880915,75.73468
2007-Q2,5.921793,77.0451
2007-Q3,5.463011,77.94949
2007-Q4,6.904624,79.63082
2008-Q1,5.567556,79.95125
2008-Q2,4.315217,80.36977
2008-Q3,3.946152,81.02549
2008-Q4,-1.589978,78.36471
2009-Q1,-1.896186,78.43523
2009-Q2,-1.106362,79.48059
2009-Q3,1.028927,81.85918
2009-Q4,5.239425,82.47057
2010-Q1,7.204677,84.08623
2010-Q2,7.804557,85.6837
2010-Q3,5.88125,86.67353
2010-Q4,6.377779,87.73035
2011-Q1,5.307371,88.549
2011-Q2,3.851243,88.98359
2011-Q3,3.20559,89.45193
2011-Q4,2.44391,89.8744
2012-Q1,2.375435,90.65242
2012-Q2,2.452029,91.16549
2012-Q3,2.376054,91.57735
2012-Q4,2.406572,92.0373
2013-Q1,2.400236,92.82829
2013-Q2,3.011361,93.91081
2013-Q3,3.42604,94.71483
2013-Q4,3.809548,95.5435
2014-Q1,3.806481,96.36178
2014-Q2,3.504244,97.20168
2014-Q3,2.953455,97.51219
2014-Q4,2.565798,97.99496
2015-Q1,2.469378,98.74132
2015-Q2,2.077805,99.22134
2015-Q3,3.239665,100.6713
2015-Q4,3.440104,101.3661
2016-Q1,2.938104,101.6424
2016-Q2,3.702682,102.8952
2016-Q3,2.626271,103.3152
2016-Q4,2.534036,103.9347
2017-Q1,3.255061,104.951
2017-Q2,2.772624,105.7481
2017-Q3,3.782634,107.2232
2017-Q4,2.830172,106.8763
2018-Q1,3.111162,108.2162
2018-Q2,3.038228,108.961
2018-Q3,2.247362,109.6329
2018-Q4,3.240035,110.3391
2019-Q1,1.892695,110.2644
2019-Q2,2.301767,111.469
2019-Q3,2.097049,111.9319
2019-Q4,2.677446,113.2934
2020-Q1,1.435725,111.8475
2020-Q2,-2.686169,108.4747
2020-Q3,-0.8452172,110.9859
2020-Q4,-0.7181114,112.4798
2021-Q1,2.362464,114.4898
2021-Q2,6.474654,115.4981
2021-Q3,4.197985,115.645
2021-Q4,4.248763,117.2588
2022-Q1,3.09508,118.0334
2022-Q2,2.962012,118.9192
2022-Q3,3.071526,119.1971
2022-Q4,1.345044,118.836
2023-Q1,1.012112,119.228
2023-Q2,0.8699278,119.9537
2023-Q3,1.241039,120.6764
