country,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD
1965-02,,,100.3299,100.3499,5.169134,23.28755,100.1117,4.818947,23.2069,99.98242,23.21098
1965-03,,,100.2759,100.3047,5.112944,23.37916,100.1013,4.775103,23.30698,99.96632,23.31483
1965-04,,,100.197,100.2378,5.036046,23.4651,100.0993,4.77388,23.40954,99.95968,23.41898
1965-05,,,100.1129,100.1655,4.95486,23.54999,100.1088,4.815921,23.51573,99.96732,23.52342
1965-06,,,100.0479,100.1081,4.895177,23.63947,100.133,4.901858,23.6268,99.9943,23.62815
1965-07,,,100.0269,100.0872,4.895151,23.73953,100.1718,5.028773,23.74293,100.0412,23.73315
1965-08,,,100.0627,100.1138,4.969521,23.85338,100.2239,5.191453,23.86383,100.1065,23.83843
1965-09,,,100.1576,100.1894,5.113698,23.9817,100.2871,5.380616,23.98893,100.1878,23.94396
1965-10,,,100.3035,100.3067,5.318035,24.12273,100.3583,5.578429,24.11729,100.2808,24.04975
1965-11,,,100.4822,100.4506,5.547567,24.27226,100.4335,5.765054,24.24766,100.3803,24.15579
1965-12,,,100.6694,100.6005,5.769364,24.42447,100.5077,5.924481,24.37838,100.4794,24.26206
1966-01,,,100.8246,100.7227,5.94624,24.56952,100.5739,6.050041,24.50719,100.5689,24.36857
1966-02,,,100.9159,100.7917,6.062978,24.69947,100.6243,6.138875,24.63154,100.6383,24.47531
1966-03,,,100.9193,100.7907,6.112643,24.80825,100.6522,6.18771,24.74914,100.6788,24.58227
1966-04,,,100.82,100.7073,6.080558,24.89191,100.6545,6.191553,24.85895,100.6865,24.68946
1966-05,,,100.6217,100.5462,5.949275,24.95104,100.6296,6.14344,24.96041,100.6595,24.79687
1966-06,,,100.3543,100.3321,5.724679,24.99275,100.5769,6.037729,25.05333,100.5975,24.90451
1966-07,,,100.0431,100.0842,5.407094,25.02315,100.4985,5.876848,25.13827,100.5033,25.01237
1966-08,,,99.71616,99.82367,5.013116,25.04917,100.3979,5.667434,25.2163,100.3814,25.12047
1966-09,,,99.40617,99.57452,4.575533,25.079,100.281,5.420096,25.28916,100.2392,25.22881
1966-10,,,99.12753,99.34743,4.118917,25.11633,100.1586,5.152601,25.35996,100.0891,25.33739
1966-11,,,98.89904,99.1572,3.682443,25.16607,100.0415,4.883996,25.43191,99.94376,25.44623
1966-12,,,98.72721,99.01181,3.298234,25.23005,99.93651,4.630345,25.50718,99.81166,25.55532
1967-01,,,98.62933,98.92522,3.025615,25.31289,99.84242,4.400475,25.58563,99.69201,25.66467
1967-02,,,98.60025,98.89522,2.890994,25.41353,99.75507,4.200852,25.66628,99.58088,25.7743
1967-03,,,98.64518,98.92698,2.923542,25.53353,99.67198,4.03846,25.74863,99.47619,25.88421
1967-04,,,98.76157,99.0186,3.135844,25.67248,99.59624,3.92126,25.83373,99.3819,25.99441
1967-05,,,98.93786,99.16095,3.513201,25.82762,99.53315,3.857643,25.92329,99.30436,26.10489
1967-06,,,99.15219,99.33585,4.003789,25.99341,99.48639,3.852455,26.01849,99.24789,26.21567
1967-07,,,99.38707,99.52898,4.564674,26.16537,99.45393,3.900445,26.11877,99.21005,26.32674
1967-08,,,99.62511,99.7251,5.149162,26.33899,99.43209,3.992544,26.22307,99.18661,26.43811
1967-09,,,99.84686,99.90752,5.702458,26.50912,99.41914,4.119588,26.33097,99.17584,26.54978
1967-10,,,100.0317,100.0602,6.186615,26.67018,99.4181,4.272972,26.44358,99.18178,26.66173
1967-11,,,100.1672,100.1732,6.567086,26.81875,99.43336,4.445626,26.56252,99.2102,26.77398
1967-12,,,100.2531,100.2462,6.835168,26.95457,99.46635,4.631189,26.68847,99.26343,26.88651
1968-01,,,100.2983,100.2857,6.980462,27.07985,99.51012,4.82199,26.81936,99.3335,26.99931
1968-02,,,100.3282,100.3121,7.034936,27.20135,99.55753,5.012175,26.95272,99.41111,27.11238
1968-03,,,100.364,100.3428,7.015315,27.32478,99.60866,5.20059,27.08771,99.49318,27.22569
1968-04,,,100.424,100.3923,6.943982,27.45518,99.67352,5.389943,27.22616,99.58634,27.33925
1968-05,,,100.5146,100.4639,6.840244,27.59429,99.76546,5.584265,27.37092,99.70091,27.45303
1968-06,,,100.6418,100.5633,6.734473,27.74393,99.88963,5.782897,27.52312,99.84077,27.56701
1968-07,,,100.8107,100.6954,6.650831,27.90559,100.039,5.981864,27.68116,99.99991,27.68119
1968-08,,,101.0117,100.8544,6.597597,28.07674,100.1965,6.170157,27.84107,100.1638,27.79553
1968-09,,,101.2225,101.0237,6.571778,28.25124,100.3447,6.333491,27.99863,100.3174,27.91004
1968-10,,,101.4152,101.1799,6.565773,28.42128,100.47,6.454911,28.15049,100.449,28.02467
1968-11,,,101.5593,101.2972,6.560528,28.5782,100.5658,6.521387,28.29477,100.552,28.13942
1968-12,,,101.6386,101.363,6.539424,28.71724,100.6313,6.529214,28.43102,100.6256,28.25427
1969-01,,,101.6612,101.3831,6.501625,28.84048,100.673,6.492544,28.56062,100.6747,28.3692
1969-02,,,101.6498,101.3749,6.443696,28.95412,100.6994,6.429159,28.68555,100.7069,28.4842
1969-03,,,101.6061,101.3397,6.345137,29.05858,100.7177,6.349038,28.80752,100.7282,28.59925
1969-04,,,101.5266,101.2743,6.182854,29.15269,100.731,6.248741,28.92745,100.7422,28.71433
1969-05,,,101.4008,101.1713,5.939616,29.23329,100.739,6.11777,29.04541,100.7491,28.82943
1969-06,,,101.2401,101.0409,5.621237,29.30348,100.739,5.949411,29.16058,100.7464,28.94455
1969-07,,,101.0627,100.8982,5.242224,29.36846,100.7254,5.743431,29.27101,100.7273,29.05966
1969-08,,,100.8841,100.7553,4.829471,29.43269,100.6931,5.50867,29.37474,100.6854,29.17477
1969-09,,,100.7007,100.6087,4.402799,29.49508,100.6404,5.258612,29.47097,100.6184,29.28985
1969-10,,,100.5121,100.4561,3.99071,29.55549,100.5731,5.012995,29.56167,100.5331,29.40491
1969-11,,,100.3189,100.2969,3.624709,29.61408,100.5002,4.789891,29.65005,100.4408,29.51994
1969-12,,,100.1213,100.1308,3.320768,29.67087,100.4307,4.601808,29.73936,100.3524,29.63493
1970-01,,,99.91856,99.95799,3.069198,29.72565,100.3733,4.454587,29.83288,100.279,29.74988
1970-02,,,99.71457,99.783,2.850785,29.77954,100.3338,4.348123,29.93283,100.2278,29.86479
1970-03,,,99.51157,99.60887,2.665777,29.83322,100.3139,4.27843,30.04003,100.2014,29.97964
1970-04,,,99.31586,99.44207,2.524172,29.88855,100.3076,4.234042,30.15225,100.1921,30.09444
1970-05,,,99.14401,99.29739,2.453753,29.9506,100.3048,4.201663,30.2658,100.1874,30.20919
1970-06,,,99.00328,99.18077,2.450707,30.02162,100.2923,4.167312,30.37579,100.1712,30.32387
1970-07,,,98.88683,99.08598,2.489679,30.09964,100.2543,4.118088,30.47642,100.1246,30.43848
1970-08,,,98.79586,99.01344,2.556411,30.18511,100.1775,4.04442,30.56278,100.032,30.55301
1970-09,,,98.74044,98.97099,2.66527,30.2812,100.0585,3.944609,30.63349,99.88917,30.66748
1970-10,,,98.73728,98.97281,2.83426,30.39318,99.91306,3.831064,30.6942,99.71522,30.78186
1970-11,,,98.80602,99.03515,3.083637,30.52727,99.76432,3.721087,30.75336,99.53778,30.89617
1970-12,,,98.93947,99.15188,3.406142,30.68151,99.63304,3.628852,30.81856,99.38142,31.01038
1971-01,,,99.10033,99.29096,3.763872,30.84449,99.53288,3.559504,30.89478,99.26192,31.12451
1971-02,,,99.2544,99.42266,4.117167,31.00562,99.46915,3.511625,30.98396,99.18507,31.23853
1971-03,,,99.38049,99.52805,4.441359,31.15821,99.44049,3.480534,31.08558,99.14882,31.35245
1971-04,,,99.476,99.60412,4.726901,31.30136,99.43859,3.463896,31.19669,99.14337,31.46624
1971-05,,,99.54301,99.653,4.958112,31.43558,99.45215,3.46093,31.31328,99.15571,31.5799
1971-06,,,99.58923,99.68222,5.134969,31.56322,99.46915,3.474105,31.43108,99.17229,31.69341
1971-07,,,99.63026,99.70496,5.280795,31.68914,99.47807,3.50976,31.54607,99.18042,31.80675
1971-08,,,99.67823,99.73299,5.406877,31.81719,99.47159,3.576043,31.65572,99.17238,31.9199
1971-09,,,99.76416,99.79308,5.535043,31.95728,99.45076,3.679272,31.76058,99.15009,32.03283
1971-10,,,99.91615,99.90971,5.676936,32.11858,99.43053,3.818208,31.86617,99.13096,32.14553
1971-11,,,100.1492,100.0966,5.827047,32.30611,99.43073,3.988253,31.97988,99.13794,32.25797
1971-12,,,100.4601,100.3507,5.989101,32.51905,99.46732,4.183034,32.10771,99.18937,32.37011
1972-01,,,100.8112,100.6407,6.162977,32.74543,99.54205,4.387628,32.25033,99.28698,32.48193
1972-02,,,101.1699,100.938,6.350773,32.97471,99.64922,4.588313,32.4056,99.42381,32.5934
1972-03,,,101.5172,101.2255,6.555168,33.20069,99.77962,4.775167,32.56997,99.5887,32.70448
1972-04,,,101.8415,101.494,6.766716,33.41943,99.92224,4.943893,32.73903,99.76807,32.81513
1972-05,,,102.1364,101.7404,6.976658,33.62873,100.0685,5.096677,32.90921,99.9511,32.92532
1972-06,,,102.4074,101.9696,7.182548,33.83027,100.2158,5.243716,33.07924,100.1339,33.03499
1972-07,,,102.6762,102.1993,7.390508,34.03114,100.3709,5.406059,33.25146,100.3239,33.14412
1972-08,,,102.9627,102.4455,7.607996,34.23784,100.5447,5.605144,33.43007,100.5335,33.25266
1972-09,,,103.2592,102.7007,7.793483,34.44787,100.7472,5.851341,33.619,100.7746,33.36058
1972-10,,,103.5468,102.9478,7.896606,34.65485,100.9809,6.129683,33.81947,101.0507,33.46783
1972-11,,,103.7985,103.1645,7.873455,34.84971,101.2414,6.410945,34.03009,101.3573,33.57439
1972-12,,,103.9853,103.3254,7.698255,35.02245,101.5159,6.660385,34.2462,101.6805,33.6802
1973-01,,,104.0835,103.4104,7.388687,35.16488,101.7804,6.846598,34.45838,101.9924,33.78526
1973-02,,,104.0547,103.3878,6.941424,35.26363,102.007,6.943106,34.65556,102.2604,33.88951
1973-03,,,103.9358,103.2872,6.416011,35.33085,102.1733,6.934678,34.82859,102.4583,33.99295
1973-04,,,103.7374,103.1175,5.83612,35.36983,102.2753,6.831061,34.97544,102.5807,34.09555
1973-05,,,103.4846,102.9006,5.234245,35.38895,102.318,6.650339,35.09779,102.6332,34.19731
1973-06,,,103.2041,102.6606,4.631695,35.39718,102.3127,6.410262,35.1997,102.6284,34.29822
1973-07,,,102.9147,102.4156,4.02502,35.40089,102.2777,6.125053,35.28814,102.5869,34.39828
1973-08,,,102.6306,102.1795,3.408976,35.40499,102.2284,5.800189,35.36908,102.5264,34.49751
1973-09,,,102.3415,101.9446,2.78139,35.406,102.1704,5.430567,35.4447,102.4534,34.59593
1973-10,,,102.0395,101.7029,2.153406,35.40111,102.0936,5.001688,35.51101,102.3562,34.69355
1973-11,,,101.7067,101.4377,1.533609,35.38417,101.9827,4.501844,35.56207,102.218,34.79042
1973-12,,,101.3518,101.1536,0.9585021,35.35814,101.8302,3.938245,35.59491,102.0304,34.88655
1974-01,,98.87871,100.9944,100.865,0.4692161,35.32988,101.6487,3.356234,35.61489,101.8092,34.98201
1974-02,,98.82097,100.6331,100.5681,0.09999867,35.29889,101.4581,2.812642,35.63029,101.5779,35.07683
1974-03,,98.96082,100.2496,100.2487,-0.2037758,35.25885,101.2732,2.350678,35.6473,101.354,35.17108
1974-04,,99.11282,99.83146,99.89795,-0.4649462,35.20538,101.0924,1.972329,35.66528,101.1356,35.26481
1974-05,,99.0931,99.3709,99.5111,-0.715733,35.13565,100.9047,1.657751,35.67962,100.9093,35.35809
1974-06,100.4889,98.91512,98.86648,99.08903,-0.9832333,35.04914,100.6954,1.37688,35.68436,100.6583,35.45098
1974-07,100.077,98.66422,98.32268,98.63686,-1.281065,34.94738,100.4528,1.096119,35.67493,100.3696,35.54357
1974-08,99.51289,98.41836,97.74999,98.16255,-1.612497,34.83409,100.1694,0.7900384,35.64851,100.0354,35.6359
1974-09,98.77766,98.19778,97.17501,97.68681,-1.941015,34.71876,99.84508,0.4527954,35.60519,99.65606,35.72807
1974-10,98.03333,98.02478,96.64974,97.25206,-2.206218,34.62009,99.49287,0.1103707,35.5502,99.24637,35.82016
1974-11,97.33278,97.94923,96.23085,96.90398,-2.333069,34.55864,99.13318,-0.1979631,35.49168,98.82896,35.91222
1974-12,96.79377,97.97561,95.96843,96.68394,-2.277649,34.55281,98.78928,-0.437868,35.43904,98.4299,36.00435
1975-01,96.58168,98.13638,95.8956,96.62036,-2.023276,34.61506,98.4838,-0.5985104,35.40173,98.07493,36.09661
1975-02,96.60708,98.41613,95.9989,96.70338,-1.580139,34.74112,98.23669,-0.679374,35.38823,97.78704,36.18908
1975-03,96.72471,98.73788,96.24988,96.90855,-0.9576321,34.9212,98.06062,-0.6818792,35.40423,97.58119,36.28181
1975-04,97.04152,99.02735,96.61418,97.20882,-0.1763589,35.14329,97.957,-0.60106,35.45091,97.45987,36.37488
1975-05,97.44218,99.21923,97.05164,97.56979,0.7327166,35.3931,97.92056,-0.4287196,35.52665,97.41786,36.46832
1975-06,97.86137,99.33564,97.52988,97.96452,1.740143,35.65905,97.94323,-0.1564848,35.62852,97.44637,36.56218
1975-07,98.2823,99.42543,98.02542,98.37376,2.819402,35.93269,98.01456,0.2165965,35.7522,97.53304,36.65651
1975-08,98.71867,99.4849,98.52412,98.78514,3.946789,36.20892,98.12485,0.6873149,35.89352,97.66593,36.75132
1975-09,99.09541,99.5555,99.02058,99.19389,5.089502,36.48577,98.26601,1.246176,36.04889,97.83491,36.84666
1975-10,99.37192,99.71397,99.4995,99.58858,6.174279,36.75763,98.42968,1.869029,36.21465,98.02969,36.94253
1975-11,99.57932,100.0111,99.95142,99.96117,7.125023,37.02095,98.60765,2.523175,36.38719,98.24036,37.03894
1975-12,99.8405,100.3907,100.3658,100.3039,7.868923,37.27174,98.7907,3.170215,36.56254,98.45602,37.13591
1976-01,100.1249,100.7321,100.7208,100.599,8.339605,37.50182,98.96648,3.767284,36.73541,98.66244,37.23343
1976-02,100.357,100.9083,100.9959,100.829,8.526434,37.7033,99.12253,4.273242,36.90046,98.84535,37.3315
1976-03,100.4709,100.9731,101.1852,100.9881,8.454853,37.87374,99.24989,4.659245,37.05379,98.99461,37.43011
1976-04,100.5578,101.013,101.2973,101.0837,8.174696,38.01615,99.34814,4.920225,37.19517,99.10979,37.52926
1976-05,100.5556,101.0748,101.3378,101.121,7.739411,38.13232,99.42093,5.064979,37.32607,99.19515,37.62893
1976-06,100.4916,101.1153,101.3189,101.1108,7.200533,38.22669,99.4735,5.108709,37.44868,99.25676,37.7291
1976-07,100.362,101.0915,101.2557,101.0646,6.601424,38.30476,99.51181,5.071856,37.56551,99.30149,37.82975
1976-08,100.213,100.9897,101.1613,100.993,5.972092,38.37135,99.54118,4.97381,37.6788,99.33545,37.93087
1976-09,100.0805,100.8578,101.0591,100.915,5.343073,38.43523,99.56586,4.830676,37.7903,99.36337,38.03243
1976-10,99.98547,100.7609,100.9726,100.8491,4.754543,38.50528,99.58907,4.657435,37.90132,99.38878,38.13441
1976-11,99.93552,100.7636,100.9159,100.8076,4.230186,38.587,99.61311,4.467393,38.01275,99.41412,38.23677
1976-12,99.97416,100.8357,100.8823,100.7849,3.772321,38.67775,99.63921,4.273778,38.12514,99.4409,38.3395
1977-01,99.97226,100.9261,100.8559,100.7672,3.385885,38.77159,99.66653,4.091019,38.23826,99.46859,38.44255
1977-02,99.99068,100.9649,100.8259,100.7442,3.079134,38.86423,99.69376,3.933061,38.35177,99.49637,38.5459
1977-03,99.89101,100.9318,100.7845,100.7092,2.848825,38.95269,99.7195,3.809394,38.46532,99.52345,38.64951
1977-04,99.79183,100.8573,100.7307,100.6608,2.684001,39.0365,99.74263,3.71932,38.57858,99.54905,38.75334
1977-05,99.68556,100.8186,100.6786,100.6108,2.592826,39.12102,99.76208,3.657242,38.69118,99.57234,38.85735
1977-06,99.5246,100.8821,100.6373,100.5674,2.57186,39.20983,99.77691,3.615593,38.80267,99.59231,38.96151
1977-07,99.38824,101.0079,100.6207,100.5429,2.619786,39.30827,99.78651,3.585907,38.91257,99.60784,39.06577
1977-08,99.2525,101.128,100.6322,100.5423,2.72699,39.41773,99.79134,3.561618,39.02077,99.61881,39.17009
1977-09,99.19074,101.2393,100.6694,100.564,2.867329,39.5373,99.79401,3.5401,39.12811,99.6275,39.27441
1977-10,99.23684,101.3505,100.7252,100.6026,3.009933,39.66427,99.80158,3.525433,39.23751,99.64144,39.3787
1977-11,99.34427,101.4422,100.7905,100.6507,3.130581,39.795,99.82364,3.526107,39.35312,99.67129,39.48291
1977-12,99.4502,101.5196,100.8658,100.7081,3.236887,39.92971,99.87097,3.553387,39.47987,99.72945,39.58698
1978-01,99.44404,101.5618,100.9545,100.7775,3.348133,40.06972,99.95325,3.619923,39.62246,99.82766,39.69086
1978-02,99.44886,101.5427,101.0668,100.867,3.485944,40.21902,100.076,3.733858,39.78377,99.97303,39.79451
1978-03,99.54878,101.4773,101.2237,100.994,3.679788,40.38607,100.235,3.891373,39.96215,100.1612,39.89785
1978-04,99.78281,101.4771,101.4153,101.1497,3.920617,40.56697,100.4147,4.074781,40.15057,100.3743,40.00085
1978-05,100.0648,101.5076,101.6221,101.3172,4.174043,40.75395,100.5937,4.259119,40.33908,100.5876,40.10344
1978-06,100.3207,101.5147,101.8284,101.4825,4.414402,40.9407,100.7558,4.425762,40.51998,100.782,40.20557
1978-07,100.533,101.5299,102.0187,101.6333,4.611237,41.12086,100.8952,4.568797,40.69041,100.9508,40.30719
1978-08,100.6616,101.5114,102.1728,101.7542,4.74023,41.28622,101.0144,4.691078,40.85127,101.0964,40.40823
1978-09,100.7561,101.4961,102.28,101.8378,4.792831,41.43225,101.1175,4.794675,41.00418,101.2233,40.50865
1978-10,100.8327,101.3598,102.328,101.8751,4.763746,41.55377,101.2049,4.871601,41.149,101.3312,40.60841
1978-11,100.8703,101.0783,102.3311,101.877,4.677501,41.65641,101.2759,4.909239,41.28506,101.4189,40.70747
1978-12,100.8277,100.7875,102.3174,101.8658,4.562242,41.7514,101.3324,4.89653,41.41302,101.4882,40.80577
1979-01,100.8017,100.6879,102.3077,101.8587,4.436044,41.84723,101.3833,4.83201,41.53702,101.5493,40.90329
1979-02,100.8231,100.6665,102.3065,101.8578,4.293083,41.94566,101.4384,4.720682,41.66184,101.6143,40.99999
1979-03,100.8872,100.5955,102.2946,101.8467,4.092356,42.03881,101.5031,4.573812,41.78994,101.689,41.09585
1979-04,100.9254,100.5054,102.2467,101.8059,3.819123,42.11628,101.5724,4.404087,41.91884,101.7674,41.19084
1979-05,100.8841,100.3922,102.1538,101.7297,3.484792,42.17414,101.6365,4.225567,42.04364,101.8377,41.28495
1979-06,100.7445,100.1835,102.0115,101.6157,3.101512,42.21049,101.687,4.047657,42.16009,101.8897,41.37815
1979-07,100.5384,99.96275,101.8292,101.4705,2.694935,42.22904,101.7228,3.877045,42.26799,101.9231,41.47045
1979-08,100.3455,99.84413,101.6214,101.3043,2.299815,42.23573,101.7455,3.713901,42.36844,101.9407,41.56184
1979-09,100.2122,99.72427,101.3915,101.1192,1.930111,42.23195,101.755,3.554619,42.46172,101.9432,41.65233
1979-10,100.0762,99.53056,101.1365,100.9117,1.594462,42.21633,101.7472,3.394192,42.54568,101.9255,41.74193
1979-11,99.91634,99.34943,100.8563,100.6821,1.278131,42.18884,101.713,3.223225,42.61577,101.8769,41.83064
1979-12,99.78227,99.17297,100.5556,100.4351,0.9581059,42.15142,101.6403,3.025301,42.66589,101.7829,41.9185
1980-01,99.71313,99.00792,100.2371,100.1735,0.6163304,42.10514,101.5165,2.775354,42.68982,101.629,42.00554
1980-02,99.50973,98.75857,99.89122,99.88932,0.2391862,42.04598,101.3338,2.453234,42.6839,101.4068,42.09177
1980-03,98.93658,98.41054,99.53746,99.59948,-0.1347586,41.98216,101.0979,2.060858,42.65118,101.1237,42.17725
1980-04,98.16431,98.18035,99.23766,99.35722,-0.4189312,41.93984,100.8404,1.642618,42.60741,100.8172,42.26202
1980-05,97.49031,98.15546,99.05511,99.21461,-0.5409436,41.946,100.6021,1.25946,42.57316,100.5361,42.34613
1980-06,97.26466,98.3167,99.02258,99.19922,-0.4633182,42.01492,100.419,0.9640439,42.56653,100.3227,42.42963
1980-07,97.47476,98.57118,99.11513,99.28937,-0.2193802,42.1364,100.3065,0.7741577,42.59521,100.1944,42.51258
1980-08,97.96775,98.88616,99.2784,99.43809,0.1229813,42.28767,100.2666,0.6889127,42.66032,100.1533,42.59504
1980-09,98.42653,99.13271,99.45553,99.59548,0.5037373,42.44468,100.291,0.6969369,42.75766,100.1889,42.67705
1980-10,98.73229,99.19559,99.59483,99.7172,0.8742826,42.58542,100.3632,0.7834338,42.87899,100.2814,42.75867
1980-11,98.7887,99.04466,99.67512,99.78442,1.213463,42.70078,100.4615,0.9332147,43.01347,100.405,42.83996
1980-12,98.60449,98.77655,99.7074,99.80756,1.527753,42.79539,100.5643,1.134731,43.15003,100.5337,42.92098
1981-01,98.38071,98.63013,99.71799,99.81026,1.841504,42.88051,100.6529,1.380527,43.27916,100.6451,43.00178
1981-02,98.26834,98.47978,99.72037,99.80569,2.17851,42.96196,100.7139,1.663304,43.39386,100.7229,43.08243
1981-03,98.2878,98.422,99.71678,99.79668,2.52151,43.04075,100.7418,1.96972,43.49128,100.7606,43.16299
1981-04,98.40232,98.51022,99.68616,99.76617,2.784904,43.10782,100.7395,2.266321,43.57302,100.7619,43.24354
1981-05,98.49737,98.62051,99.60744,99.6966,2.880026,43.15406,100.7142,2.512802,43.64294,100.7359,43.32413
