country,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT
1973-06,,,,,,,103.7768,105.9436,40.40189
1973-07,,,,,,,104.0674,106.4155,40.56325
1973-08,,,,,,,104.3208,106.8269,40.7217
1973-09,,,,,,,104.5133,107.1394,40.87722
1973-10,,,,,,,104.629,107.3272,41.02981
1973-11,,,,,,,104.6531,107.3663,41.17947
1973-12,,,,,,,104.5712,107.2335,41.32626
1974-01,,,,,,,104.3756,106.9158,41.47022
1974-02,,,,,,,104.0624,106.4074,41.61145
1974-03,,,,,,,103.6384,105.719,41.75005
1974-04,,,,,,,103.1349,104.9015,41.88617
1974-05,,,,,,,102.5902,104.0172,42.01995
1974-06,,,,,,,102.0381,103.121,42.15158
1974-07,,,,,,,101.5008,102.2487,42.28123
1974-08,,,,,,,100.989,101.4178,42.4091
1974-09,,,,,,,100.5019,100.6269,42.53541
1974-10,,,,,,,100.0253,99.85322,42.66036
1974-11,,,,,,,99.54274,99.06975,42.78418
1974-12,,,,,,,99.04439,98.26068,42.9071
1975-01,,,,,,,98.53756,97.43786,43.02932
1975-02,,,,,,,98.04027,96.63051,43.15108
1975-03,,,,,,,97.57597,95.87672,43.27258
1975-04,,,,,,,97.16821,95.21474,43.39404
1975-05,,,,,,,96.84092,94.68338,43.51566
1975-06,,,,,,,96.61495,94.31653,43.6376
1975-07,,,,,,,96.49918,94.12858,43.76004
1975-08,,,,,,,96.49689,94.12486,43.88312
1975-09,,,,,,,96.60396,94.29868,44.00698
1975-10,,,,,,,96.79868,94.61481,44.13171
1975-11,,,,,,,97.05436,95.0299,44.25741
1975-12,,,,,,,97.34545,95.50249,44.38415
1976-01,,,,,,,97.64922,95.99565,44.51199
1976-02,,,,,,,97.94643,96.47817,44.64095
1976-03,,,,,,,98.22097,96.92388,44.77109
1976-04,,,,,,,98.45975,97.31154,44.9024
1976-05,,,,,,,98.65604,97.63021,45.03489
1976-06,,,,,,,98.81514,97.8885,45.16858
1976-07,,,,,,,98.96281,98.12824,45.30344
1976-08,,,,,,,99.12783,98.39615,45.43945
1976-09,,,,,,,99.32505,98.71634,45.57661
1976-10,,,,,,,99.53696,99.06036,45.71487
1976-11,,,,,,,99.7323,99.37749,45.8542
1976-12,,,,,,,99.88358,99.62311,45.99456
1977-01,,,,,,,99.98573,99.78893,46.1359
1977-02,,,,,,,100.0454,99.88589,46.27819
1977-03,,,,,,,100.074,99.93225,46.42138
1977-04,,,,,,,100.0827,99.94631,46.56541
1977-05,,,,,,,100.0801,99.94209,46.71026
1977-06,,,,,,,100.0709,99.92721,46.85587
1977-07,,,,,,,100.0554,99.90202,47.00219
1977-08,,,,,,,100.0309,99.86229,47.14918
1977-09,,,,,,,99.99413,99.80257,47.29678
1977-10,,,,,,,99.94354,99.72044,47.44494
1977-11,,,,,,,99.87871,99.61518,47.59362
1977-12,,,,,,,99.80035,99.48797,47.74275
1978-01,,,,,,,99.71149,99.34372,47.89228
1978-02,,,,,,,99.61636,99.18926,48.04216
1978-03,,,,,,,99.51999,99.03281,48.19231
1978-04,,,,,,,99.42842,98.88416,48.34268
1978-05,,,,,,,99.34884,98.75495,48.49319
1978-06,,,,,,,99.28948,98.65858,48.64378
1978-07,,,,,,,99.25871,98.60863,48.79436
1978-08,,,,,,,99.2636,98.61655,48.94485
1978-09,,,,,,,99.30641,98.68608,49.09515
1978-10,,,,,,,99.37869,98.80342,49.24516
1978-11,,,,,,,99.46956,98.95094,49.39479
1978-12,,,,,,,99.57198,99.11723,49.54391
1979-01,,,,,,,99.68772,99.30512,49.69241
1979-02,,,,,,,99.82225,99.52353,49.84018
1979-03,,,,,,,99.9789,99.77784,49.98708
1979-04,,,,,,,100.1514,100.058,50.13299
1979-05,,,,,,,100.331,100.3494,50.27778
1979-06,,,,,,,100.5117,100.6428,50.42132
1979-07,,,,,,,100.696,100.942,50.56348
1979-08,,,,,,,100.8887,101.2549,50.70413
1979-09,,,,,,,101.0909,101.5832,50.84314
1979-10,,,,,,,101.2932,101.9116,50.98039
1979-11,,,,,,,101.4794,102.2138,51.11576
1979-12,,,,,,,101.6305,102.4592,51.24913
1980-01,,,,,,,101.7301,102.6209,51.3804
1980-02,,,,,,,101.7655,102.6784,51.50948
1980-03,,,,,,,101.7327,102.6252,51.63626
1980-04,,,,,,,101.6461,102.4846,51.7607
1980-05,,,,,,,101.529,102.2944,51.88271
1980-06,,,,,,,101.4085,102.0988,52.00225
1980-07,,,,,,,101.3127,101.9432,52.11926
1980-08,,,,,,,101.2638,101.8639,52.23372
1980-09,,,,,,,101.2701,101.8741,52.34558
1980-10,,,,,,,101.3141,101.9456,52.45483
1980-11,,,,,,,101.368,102.033,52.56144
1980-12,,,,,,,101.4052,102.0934,52.66541
1981-01,,,,,,,101.4127,102.1056,52.76674
1981-02,,,,,,,101.386,102.0623,52.86542
1981-03,,,,,,,101.3267,101.9659,52.96149
1981-04,,,,,,,101.2424,101.8292,53.05495
1981-05,,,,,,,101.1446,101.6704,53.14587
1981-06,,,,,,,101.0472,101.5122,53.23427
1981-07,,,,,,,100.9675,101.3827,53.32021
1981-08,,,,,,,100.9227,101.3102,53.40374
1981-09,,,,,,,100.9267,101.3166,53.48493
1981-10,,,,,,,100.983,101.4079,53.56385
1981-11,,,,,,,101.0851,101.5738,53.64059
1981-12,,,,,,,101.2136,101.7823,53.7152
1982-01,,,,,,,101.3285,101.9689,53.78778
1982-02,,,,,,,101.3907,102.0699,53.85843
1982-03,,,,,,,101.3833,102.0578,53.92725
1982-04,,,,,,,101.3204,101.9557,53.99435
1982-05,,,,,,,101.2386,101.8229,54.05985
1982-06,,,,,,,101.1753,101.7201,54.12391
1982-07,,,,,,,101.1486,101.6768,54.18664
1982-08,,,,,,,101.1639,101.7016,54.24822
1982-09,,,,,,,101.217,101.7878,54.30878
1982-10,,,,,,,101.2952,101.9148,54.3685
1982-11,,,,,,,101.3802,102.0529,54.42754
1982-12,,,,,,,101.4501,102.1662,54.48608
1983-01,,,,,,,101.4795,102.2141,54.5443
1983-02,,,,,,,101.4448,102.1577,54.60241
1983-03,,,,,,,101.3303,101.9718,54.6606
1983-04,,,,,,,101.1405,101.6637,54.71911
1983-05,,,,,,,100.8893,101.2559,54.77815
1983-06,,,,,,,100.5954,100.7788,54.83796
1983-07,,,,,,,100.2819,100.2697,54.89879
1983-08,,,,,,,99.96946,99.76251,54.96088
1983-09,,,,,,,99.67219,99.27991,55.02448
1983-10,,,,,,,99.3925,98.82584,55.08985
1983-11,,,,,,,99.12812,98.39662,55.15722
1983-12,,,,,,,98.87743,97.98964,55.22683
1984-01,,,,,,,98.64355,97.60992,55.29893
1984-02,,,,,,,98.43554,97.27223,55.37375
1984-03,,,,,,,98.26837,97.00084,55.45151
1984-04,,,,,,,98.16087,96.8263,55.53242
1984-05,,,,,,,98.12698,96.77127,55.61669
1984-06,,,,,,,98.1626,96.82911,55.7045
1984-07,,,,,,,98.24173,96.95757,55.79604
1984-08,,,,,,,98.32597,97.09435,55.89145
1984-09,,,,,,,98.38567,97.19125,55.9909
1984-10,,,,,,,98.4203,97.24749,56.09452
1984-11,,,,,,,98.44344,97.28506,56.20246
1984-12,,,,,,,98.46895,97.32646,56.31483
1985-01,,,,,,,98.49767,97.37309,56.43175
1985-02,,,,,,,98.52263,97.41361,56.55332
1985-03,,,,,,,98.53352,97.43129,56.67964
1985-04,,,,,,,98.52117,97.41125,56.81079
1985-05,,,,,,,98.48116,97.34629,56.94684
1985-06,,,,,,,98.41862,97.24475,57.08786
1985-07,,,,,,,98.35464,97.14088,57.23392
1985-08,,,,,,,98.31467,97.07599,57.38505
1985-09,,,,,,,98.31682,97.07948,57.54129
1985-10,,,,,,,98.35812,97.14654,57.70267
1985-11,,,,,,,98.42537,97.25571,57.86919
1985-12,,,,,,,98.50259,97.38108,58.04086
1986-01,,,,,,,98.57621,97.5006,58.21766
1986-02,,,,,,,98.63571,97.5972,58.39957
1986-03,,,,,,,98.6741,97.65953,58.58654
1986-04,,,,,,,98.68902,97.68374,58.77855
1986-05,,,,,,,98.6824,97.673,58.97552
1986-06,,103.2884,,,,,98.66144,97.63897,59.17741
1986-07,,103.3992,,,,,98.64069,97.60527,59.38414
1986-08,,103.4706,,,,,98.63645,97.5984,59.59562
1986-09,,103.5495,,,,,98.66097,97.63821,59.81175
1986-10,,103.4377,,,,,98.71506,97.72602,60.03242
1986-11,,103.2765,,,,,98.79366,97.85363,60.25752
1986-12,,103.2078,,,,,98.88893,98.0083,60.48691
1987-01,105.9136,103.3222,101.8374,100.9875,,61.8361,98.9911,98.17417,60.72043
1987-02,106.3766,103.4433,102.1663,101.1641,,62.27845,99.09117,98.33664,60.95794
1987-03,106.585,103.582,102.3831,101.2805,,62.65771,99.18274,98.48528,61.19926
1987-04,106.4868,103.7206,102.4726,101.3285,,62.96346,99.26361,98.61659,61.44421
1987-05,106.262,103.864,102.4441,101.3132,,63.20045,99.3353,98.73296,61.69261
1987-06,106.1146,103.9483,102.3153,101.2441,,63.37843,99.40281,98.84258,61.94426
1987-07,105.9864,104.1714,102.1385,101.1492,,63.52907,99.47498,98.95974,62.19895
1987-08,105.8064,104.4112,101.9433,101.0443,,63.67015,99.56425,99.10468,62.45647
1987-09,105.5513,104.5476,101.74,100.9352,,63.80784,99.68607,99.30243,62.7166
1987-10,105.1187,104.6018,101.5323,100.8237,,63.94411,99.85664,99.57937,62.9791
1987-11,104.616,104.5051,101.3294,100.7148,,64.08452,100.0836,99.94785,63.24374
1987-12,104.2145,104.2822,101.1666,100.6274,,64.25117,100.3526,100.3845,63.51027
1988-01,103.8682,104.005,101.0433,100.5612,4.217169,64.44383,100.6236,100.8245,63.77843
1988-02,103.511,103.7315,100.8493,100.457,3.714701,64.5919,100.8451,101.1841,64.04797
1988-03,103.267,103.4039,100.6559,100.3532,3.324076,64.7405,100.9821,101.4065,64.31862
1988-04,103.1606,103.1925,100.4848,100.2613,3.080815,64.90324,101.0303,101.4848,64.59014
1988-05,103.0533,103.0417,100.3407,100.184,2.97908,65.08324,101.0119,101.455,64.86228
1988-06,102.8873,102.8572,100.2206,100.1195,2.997905,65.27846,100.9597,101.3701,65.1348
1988-07,102.6215,102.7284,100.1389,100.0756,3.099676,65.49827,100.9059,101.2827,65.40745
1988-08,102.5686,102.5909,100.1296,100.0706,3.29032,65.76511,100.8788,101.2388,65.67999
1988-09,102.5025,102.4979,100.2241,100.1214,3.592234,66.09997,100.8991,101.2718,65.9522
1988-10,102.6307,102.6156,100.4243,100.2289,4.004648,66.50484,100.9747,101.3946,66.22383
1988-11,102.8772,102.7939,100.6665,100.3589,4.452491,66.93787,101.1005,101.5987,66.49466
1988-12,103.1973,102.9477,100.8739,100.4702,4.819707,67.34789,101.2535,101.8472,66.76444
1989-01,103.4666,103.0196,101.041,100.5599,5.10045,67.73076,101.3856,102.0615,67.03295
1989-02,103.2981,103.0878,101.1878,100.6387,5.430116,68.09932,101.4493,102.165,67.29996
1989-03,102.8964,103.0803,101.3232,100.7114,5.744102,68.45927,101.4269,102.1286,67.56526
1989-04,102.5789,102.8967,101.4268,100.7671,5.998457,68.79644,101.3403,101.9881,67.82865
1989-05,102.3944,102.6762,101.5079,100.8106,6.197338,69.11668,101.2361,101.8189,68.08994
1989-06,102.1337,102.5784,101.586,100.8526,6.364297,69.43298,101.1522,101.6827,68.34893
1989-07,102.0257,102.3399,101.6788,100.9023,6.502339,69.75719,101.1013,101.6,68.60545
1989-08,101.7369,102.2969,101.7932,100.9638,6.582514,70.0941,101.075,101.5574,68.85934
1989-09,101.5701,102.4143,101.9033,101.0229,6.544331,70.42577,101.0599,101.5329,69.1104
1989-10,101.3905,102.4948,101.9571,101.0518,6.331993,70.71593,101.0521,101.5202,69.3585
1989-11,101.1671,102.6545,101.937,101.041,5.996326,70.95168,101.0539,101.5231,69.60346
1989-12,101.016,102.8387,101.8642,101.0019,5.641345,71.14721,101.0713,101.5514,69.84515
1990-01,100.9814,103.0896,101.7763,100.9547,5.311584,71.32833,101.11,101.6141,70.08341
1990-02,101.0841,103.3614,101.707,100.9175,5.020794,71.51845,101.1738,101.7178,70.31812
1990-03,101.1177,103.7204,101.6638,100.8943,4.767368,71.72297,101.262,101.861,70.54916
1990-04,101.0231,104.1913,101.6189,100.8702,4.543502,71.92221,101.3646,102.0275,70.77639
1990-05,100.7864,104.5647,101.5512,100.8338,4.317883,72.10105,101.4692,102.1973,70.99972
1990-06,100.67,104.6838,101.4338,100.7708,4.043043,72.24018,101.5668,102.3558,71.21903
1990-07,100.5632,104.5226,101.2497,100.672,3.683902,72.32697,101.6583,102.5043,71.43426
1990-08,100.4742,104.1367,101.0104,100.5435,3.245792,72.36922,101.7435,102.6426,71.64531
1990-09,100.3634,103.612,100.7446,100.4008,2.785021,72.38714,101.8118,102.7536,71.85213
1990-10,100.3353,103.4269,100.4959,100.2673,2.398435,72.412,101.8331,102.788,72.05467
1990-11,100.5106,103.6251,100.3063,100.1655,2.145872,72.47422,101.7794,102.701,72.25291
1990-12,100.5092,103.9777,100.1721,100.0935,2.00192,72.57152,101.6514,102.4931,72.44681
1991-01,100.1949,104.0217,100.089,100.0489,1.924514,72.70106,101.4864,102.2252,72.63639
1991-02,99.71053,104.0352,100.0714,100.0394,1.894883,72.87363,101.3416,101.9902,72.82168
1991-03,99.55379,104.2579,100.1011,100.0553,1.887138,73.07648,101.2587,101.8556,73.0027
1991-04,99.49508,104.4044,100.1399,100.0762,1.890504,73.2819,101.2459,101.8348,73.1795
1991-05,99.65372,104.4124,100.161,100.0875,1.898968,73.47023,101.2837,101.8962,73.35213
1991-06,99.84142,104.3682,100.164,100.0891,1.93946,73.64125,101.344,101.9941,73.52065
1991-07,99.88047,104.4507,100.1496,100.0814,2.030227,73.79538,101.4057,102.0943,73.68513
1991-08,100.0632,104.573,100.138,100.0752,2.181012,73.94759,101.4559,102.1757,73.84566
1991-09,100.2615,104.7025,100.1333,100.0726,2.367589,74.10097,101.4916,102.2336,74.00236
1991-10,100.391,104.7392,100.0997,100.0546,2.509603,74.22926,101.5225,102.2838,74.15532
1991-11,100.2814,104.6936,100.0055,100.004,2.531284,74.30875,101.559,102.3431,74.30469
1991-12,99.98904,104.5085,99.86989,99.93121,2.4558,74.35373,101.6011,102.4114,74.4506
1992-01,99.87318,104.2224,99.74866,99.86613,2.344794,74.40575,101.6269,102.4534,74.59322
1992-02,99.93415,103.6812,99.66809,99.82288,2.210732,74.48468,101.6076,102.4219,74.73272
1992-03,99.9294,103.1792,99.61286,99.79323,2.056682,74.57943,101.5229,102.2845,74.86928
1992-04,99.89149,102.9818,99.54119,99.75475,1.879166,74.65899,101.3811,102.0543,75.00311
1992-05,99.58796,102.9969,99.3663,99.66086,1.617087,74.65831,101.2024,101.7642,75.13443
1992-06,99.07005,102.9495,99.0835,99.50903,1.266194,74.57369,101.007,101.447,75.26348
1992-07,98.60164,102.8874,98.74053,99.32491,0.8748733,74.44099,100.8063,101.1211,75.39051
1992-08,98.08714,102.8735,98.31713,99.0976,0.4020987,74.24493,100.6037,100.7922,75.51577
1992-09,97.40367,102.7393,97.79415,98.81683,-0.1753528,73.97103,100.3969,100.4565,75.63953
1992-10,96.74524,102.2891,97.1675,98.48041,-0.8260475,73.61608,100.1797,100.1038,75.76204
1992-11,95.94374,101.8602,96.49456,98.11913,-1.460399,73.22354,99.94697,99.72601,75.8836
1992-12,95.22961,101.4933,95.85481,97.77567,-2.017104,72.85394,99.70126,99.3271,76.00447
1993-01,94.53457,101.0295,95.29409,97.47464,-2.504082,72.54256,99.45929,98.93427,76.12493
1993-02,94.17169,100.4775,94.84733,97.23479,-2.910763,72.3166,99.24328,98.58357,76.24528
1993-03,93.69115,99.93172,94.49554,97.04593,-3.241097,72.16224,99.07189,98.30534,76.36576
1993-04,93.40115,99.48464,94.27206,96.92595,-3.420138,72.10555,98.94975,98.10704,76.48666
1993-05,93.14542,99.01382,94.19286,96.88342,-3.347027,72.15947,98.87373,97.98362,76.60822
1993-06,92.96789,98.62909,94.25565,96.91714,-3.018049,72.32302,98.83566,97.92181,76.7307
1993-07,93.06184,98.43216,94.46606,97.0301,-2.471408,72.60125,98.82159,97.89896,76.85432
1993-08,93.36842,98.4747,94.81039,97.21496,-1.697819,72.98439,98.8176,97.89249,76.97932
1993-09,93.72109,98.52862,95.2721,97.46284,-0.6902979,73.46041,98.8138,97.88632,77.1059
1993-10,94.39061,98.44643,95.86876,97.78316,0.5806499,74.04353,98.80753,97.87614,77.23427
1993-11,95.25549,98.48667,96.56984,98.15954,2.031246,74.71089,98.80137,97.86615,77.36462
1993-12,96.08622,98.73232,97.3221,98.5634,3.524731,75.42184,98.80122,97.86591,77.49714
1994-01,96.94061,98.86095,98.10685,98.9847,4.989821,76.16231,98.81427,97.88709,77.632
1994-02,97.98034,99.2028,98.8882,99.40418,6.344472,76.90471,98.84649,97.93939,77.76936
1994-03,98.923,99.52174,99.62995,99.80241,7.564641,77.62106,98.89906,98.02474,77.90936
1994-04,99.67147,99.52684,100.3192,100.1724,8.592549,78.30125,98.96326,98.12897,78.05215
1994-05,100.4953,99.50156,100.9127,100.4911,9.357155,78.91154,99.02754,98.23333,78.19784
1994-06,101.4524,99.42156,101.3919,100.7484,9.836527,79.4371,99.08356,98.32427,78.34656
1994-07,102.1447,99.40676,101.7482,100.9396,10.01281,79.87068,99.13207,98.40303,78.49841
1994-08,102.4292,99.56419,101.9997,101.0746,9.922568,80.22632,99.17722,98.47633,78.65349
1994-09,102.9188,99.67098,102.1696,101.1659,9.612515,80.5218,99.22118,98.54771,78.8119
1994-10,103.4712,99.79916,102.2458,101.2067,9.053764,80.74726,99.25884,98.60884,78.9737
1994-11,103.4142,99.82959,102.1983,101.1813,8.255583,80.87871,99.28327,98.64851,79.13898
1994-12,103.1739,99.84534,102.046,101.0995,7.303694,80.93043,99.29149,98.66184,79.30782
1995-01,103.0368,99.84043,101.8275,100.9822,6.263566,80.93279,99.29086,98.66083,79.48025
1995-02,102.6072,99.82266,101.5664,100.842,5.200375,80.90405,99.2918,98.66235,79.65633
1995-03,101.9318,99.65258,101.2993,100.6986,4.190072,80.87343,99.30083,98.677,79.83613
1995-04,101.4524,99.51161,101.0519,100.5658,3.269573,80.86137,99.3134,98.69743,80.01966
1995-05,101.4211,99.52697,100.8308,100.4471,2.486037,80.87331,99.32057,98.70906,80.20696
1995-06,101.6643,99.72296,100.6208,100.3343,1.837988,80.89714,99.31506,98.70012,80.39806
1995-07,101.7844,100.0293,100.3809,100.2056,1.288624,80.89991,99.29758,98.67173,80.59295
1995-08,101.3594,100.3461,100.0783,100.0431,0.7835232,80.85491,99.27311,98.632,80.79167
1995-09,100.6063,100.8058,99.72453,99.85318,0.3095848,80.77109,99.24791,98.59109,80.9942
1995-10,99.61388,101.3389,99.35863,99.65674,-0.08361427,80.67975,99.22681,98.55683,81.20055
1995-11,98.75494,101.5449,99.00284,99.46573,-0.3459824,80.59888,99.2139,98.53588,81.41068
1995-12,98.28259,101.5588,98.70427,99.30544,-0.4491163,80.56696,99.21283,98.53414,81.62459
