country,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2004-10,101.4809,101.9819,98.97549,99.46606,4.784552,87.25583,98.98406,98.08598,88.15903
2004-11,101.0673,101.9864,98.99511,99.47632,4.865214,87.58068,98.91676,97.97848,88.4697
2004-12,100.582,102.1398,99.0006,99.47919,5.070924,87.8942,98.87055,97.90467,88.78149
2005-01,100.2041,102.414,99.00305,99.48048,5.315414,88.20597,98.85205,97.87513,89.09419
2005-02,99.94029,102.6966,99.04852,99.50427,5.513773,88.55694,98.86321,97.89295,89.40764
2005-03,99.84866,102.8596,99.13871,99.55148,5.579377,88.94885,98.9006,97.95267,89.72161
2005-04,99.6861,103.0379,99.27847,99.62461,5.565631,89.38625,98.9525,98.03556,90.03589
2005-05,99.6419,102.8428,99.40678,99.69175,5.489122,89.81423,99.00603,98.12106,90.35021
2005-06,99.67885,102.2749,99.50169,99.74142,5.371063,90.21254,99.05316,98.19633,90.66432
2005-07,99.73139,101.7633,99.56246,99.77322,5.230439,90.57989,99.0966,98.26569,90.97795
2005-08,99.87408,101.4555,99.64262,99.81517,5.140918,90.96454,99.14318,98.34011,91.29079
2005-09,100.0637,101.0426,99.81563,99.90571,5.214693,91.43365,99.19772,98.42722,91.60255
2005-10,100.3044,100.5357,100.1086,100.059,5.451607,92.01268,99.25648,98.52106,91.91288
2005-11,100.6127,99.99187,100.5286,100.2788,5.855503,92.70897,99.314,98.61292,92.22146
2005-12,101.161,100.1777,101.071,100.5627,6.399396,93.5189,99.3696,98.70172,92.52792
2006-01,101.7132,100.8372,101.6369,100.8588,6.9672,94.35146,99.43404,98.80464,92.8319
2006-02,102.0004,101.1603,102.1279,101.1157,7.405189,95.11475,99.52209,98.94527,93.13302
2006-03,102.3239,101.0879,102.5119,101.3167,7.677302,95.77773,99.64459,99.14093,93.43088
2006-04,102.6003,101.1444,102.8379,101.4873,7.829636,96.38486,99.79898,99.38751,93.72507
2006-05,102.8084,101.5745,103.1759,101.6642,8.001846,97.00103,99.97736,99.67241,94.01518
2006-06,103.3545,102.069,103.5626,101.8666,8.255884,97.66038,100.1725,99.98407,94.30079
2006-07,103.5295,102.2075,103.9457,102.067,8.537694,98.31332,100.3821,100.3189,94.58144
2006-08,103.504,102.0235,104.3072,102.2562,8.770306,98.94241,100.6065,100.6773,94.85672
2006-09,103.5374,101.8348,104.696,102.4597,8.924135,99.59332,100.8452,101.0585,95.12618
2006-10,103.4643,101.711,105.1229,102.683,8.980688,100.276,101.0925,101.4534,95.38939
2006-11,103.5081,101.6302,105.5594,102.9115,8.90339,100.9632,101.3404,101.8494,95.6459
2006-12,103.6096,101.5723,105.9859,103.1347,8.679058,101.6355,101.5811,102.2338,95.8953
2007-01,103.717,101.849,106.359,103.3299,8.371957,102.2505,101.8093,102.5983,96.13718
2007-02,103.9669,102.2263,106.5586,103.4344,7.966151,102.6917,102.0223,102.9385,96.37112
2007-03,104.1148,102.4274,106.538,103.4236,7.449036,102.9122,102.2206,103.2551,96.59675
2007-04,104.2863,102.3784,106.325,103.3121,6.798089,102.9372,102.4103,103.5582,96.81371
2007-05,104.3927,102.538,106.0055,103.1449,6.028048,102.8483,102.5976,103.8573,97.02167
2007-06,104.2422,102.7301,105.5849,102.9248,5.109121,102.65,102.7829,104.1532,97.2203
2007-07,103.9207,102.7635,105.0165,102.6274,4.050829,102.2958,102.9569,104.4311,97.40932
2007-08,103.2754,102.209,104.2878,102.246,2.860752,101.7729,103.109,104.6741,97.58849
2007-09,102.6468,100.8333,103.4013,101.7821,1.495364,101.0826,103.2373,104.8791,97.75756
2007-10,102.3073,99.68384,102.4293,101.2735,0.01897423,100.2951,103.3606,105.0759,97.91637
2007-11,102.2686,99.19061,101.4989,100.7866,-1.41493,99.53465,103.5041,105.3052,98.06476
2007-12,102.2619,98.69516,100.6614,100.3483,-2.738561,98.8521,103.6867,105.5968,98.20264
2008-01,102.0843,97.90989,99.97777,99.99055,-3.855675,98.30807,103.9063,105.9474,98.32993
2008-02,101.8882,97.85005,99.49129,99.73598,-4.621531,97.9458,104.1447,106.3282,98.44662
2008-03,101.6912,98.22102,99.11459,99.53885,-5.084065,97.68011,104.3704,106.6887,98.5527
2008-04,101.4182,98.19517,98.81719,99.38322,-5.300076,97.48145,104.5402,106.96,98.64827
2008-05,100.9446,97.66189,98.57787,99.25797,-5.366159,97.32929,104.605,107.0634,98.73342
2008-06,100.395,97.34702,98.3759,99.15228,-5.305783,97.20358,104.5203,106.9281,98.80833
2008-07,99.94885,97.6939,98.23315,99.07758,-5.053517,97.12629,104.2649,106.5202,98.87322
2008-08,99.15865,98.36766,98.03967,98.97633,-4.700498,96.98907,103.835,105.8336,98.92839
2008-09,97.7291,98.93716,97.66239,98.7789,-4.374703,96.66054,103.2497,104.8988,98.97417
2008-10,95.64027,98.41936,97.01874,98.44207,-4.22345,96.05917,102.5406,103.7662,99.01094
2008-11,93.52446,97.48441,96.12796,97.97591,-4.350596,95.2043,101.7593,102.5184,99.03913
2008-12,91.88003,96.51063,95.13999,97.4589,-4.660676,94.24493,100.9657,101.251,99.05921
2009-01,90.97944,95.61542,94.20908,96.97175,-5.05917,93.3345,100.2222,100.0635,99.07166
2009-02,90.79382,95.25497,93.40538,96.55116,-5.515903,92.54321,99.58245,99.04169,99.07696
2009-03,90.841,94.93729,92.83665,96.25354,-5.837051,91.97848,99.07825,98.2364,99.07561
2009-04,91.24397,94.86076,92.6517,96.15675,-5.840266,91.78827,98.71916,97.6629,99.06809
2009-05,91.96493,95.54599,92.89265,96.28284,-5.460434,92.01469,98.49355,97.30256,99.05487
2009-06,92.6333,96.54075,93.48898,96.59492,-4.748246,92.58812,98.37863,97.11901,99.03639
2009-07,93.26237,97.16866,94.29407,97.01622,-3.874161,93.36346,98.34074,97.05849,99.01308
2009-08,94.12003,97.71668,95.18921,97.48466,-2.851573,94.22336,98.34782,97.06982,98.98534
2009-09,95.15094,98.24604,96.11401,97.96862,-1.605942,95.10823,98.37667,97.11588,98.95354
2009-10,96.12016,98.26244,97.01781,98.44158,-0.09474705,95.96815,98.41727,97.18073,98.91808
2009-11,97.04538,98.36887,97.87064,98.88788,1.648525,96.77377,98.47047,97.26569,98.87926
2009-12,97.79247,98.40996,98.65601,99.29887,3.463464,97.50907,98.54486,97.3845,98.83744
2010-01,98.48514,98.58134,99.35672,99.66556,5.167314,98.15739,98.65302,97.55726,98.7929
2010-02,99.0146,98.64032,99.9731,99.98811,6.673817,98.71937,98.80603,97.80163,98.74593
2010-03,99.63036,98.48278,100.488,100.2576,7.827883,99.17844,99.00553,98.12026,98.6968
2010-04,100.2054,98.17763,100.9139,100.4804,8.453125,99.54725,99.23258,98.48289,98.64574
2010-05,100.5191,97.75028,101.2485,100.6555,8.486901,99.82389,99.46129,98.84818,98.59299
2010-06,100.6314,97.45667,101.5243,100.7999,8.049305,100.0408,99.67074,99.18269,98.53875
2010-07,100.7753,97.02593,101.7432,100.9144,7.32246,100.2,99.85712,99.48036,98.48324
2010-08,100.8333,96.76454,101.951,101.0232,6.499003,100.3469,100.0253,99.74902,98.42666
2010-09,101.092,97.05186,102.1749,101.1403,5.678157,100.5086,100.1822,99.99951,98.36922
