country,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2006-11,100.9639,,101.2763,101.0812,4.830071,72.16541,100.2371,100.1419,71.25597
2006-12,101.2534,,101.4503,101.2284,4.830363,72.54878,100.3943,100.3321,71.51163
2007-01,101.7549,,101.6782,101.4212,4.88723,72.97247,100.6006,100.5818,71.76807
2007-02,102.1589,,101.9195,101.6254,4.99963,73.40769,100.8336,100.8639,72.02516
2007-03,102.2492,,102.127,101.8009,5.145868,73.82024,101.0756,101.1568,72.28281
2007-04,102.1525,,102.2873,101.9365,5.310526,74.20013,101.3169,101.4488,72.54089
2007-05,102.0497,,102.4384,102.0643,5.519202,74.57445,101.5522,101.7337,72.79932
2007-06,102.0735,,102.5917,102.1941,5.754128,74.95147,101.7773,102.0062,73.05801
2007-07,102.2125,,102.7655,102.3411,6.008936,75.34444,101.9853,102.2579,73.31686
2007-08,102.4449,,102.9537,102.5004,6.240112,75.74905,102.1671,102.4779,73.57581
2007-09,102.7567,,103.1463,102.6633,6.431293,76.15785,102.313,102.6546,73.83479
2007-10,103.067,,103.3232,102.8129,6.566278,76.556,102.4158,102.779,74.09375
2007-11,103.2628,,103.4325,102.9054,6.567432,76.90482,102.4685,102.8428,74.35266
2007-12,103.2359,,103.4319,102.9049,6.372662,77.17207,102.4656,102.8393,74.6115
2008-01,103.0341,,103.3236,102.8133,6.010761,77.35867,102.4073,102.7687,74.87025
2008-02,102.6801,,103.1422,102.6598,5.560614,77.48961,102.2953,102.6331,75.12892
2008-03,102.1663,,102.9166,102.469,5.101727,77.58634,102.1319,102.4354,75.38757
2008-04,101.6012,,102.6577,102.2499,4.658349,77.65662,101.9242,102.184,75.6462
2008-05,101.115,,102.3602,101.9982,4.186347,77.6964,101.678,101.886,75.90489
2008-06,100.8177,,102.0079,101.7001,3.657712,77.69298,101.3959,101.5445,76.16371
2008-07,100.6771,,101.4978,101.2686,2.950435,77.56743,101.0782,101.16,76.42274
2008-08,100.6737,,100.7502,100.6361,1.991151,77.25732,100.7255,100.7331,76.68206
2008-09,100.7992,,99.77911,99.81453,0.8061711,76.77182,100.3445,100.2719,76.94178
2008-10,100.9179,,98.66091,98.86851,-0.5065603,76.1682,99.95566,99.80124,77.202
2008-11,100.8307,,97.54054,97.92064,-1.751708,75.55767,99.5854,99.35309,77.46284
2008-12,100.3471,,96.56358,97.0941,-2.745308,75.05346,99.25898,98.95798,77.7244
2009-01,99.56274,,95.81522,96.46098,-3.406793,74.72321,98.99249,98.63544,77.98679
2009-02,98.54755,,95.36435,96.07952,-3.699727,74.62271,98.79593,98.39751,78.25011
2009-03,97.33518,,95.21304,95.95151,-3.64799,74.756,98.67184,98.24731,78.51446
2009-04,96.1432,,95.31704,96.0395,-3.304211,75.09069,98.60911,98.17139,78.77992
2009-05,95.28341,,95.60764,96.28535,-2.730921,75.57456,98.59293,98.1518,79.04657
