country,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE
1966-08,,,,,,,100.0585,4.248257,29.42721,99.93877,29.44524
1966-09,,,,,,,99.91186,4.078361,29.48749,99.765,29.55695
1966-10,,,,,,,99.75243,3.891167,29.54255,99.57277,29.6693
1966-11,,,97.69124,98.32795,,29.09472,99.6004,3.712389,29.5995,99.38615,29.78232
1966-12,,,97.52423,98.19249,,29.15587,99.47115,3.560888,29.66405,99.22405,29.89603
1967-01,,,97.46967,98.14201,,29.25111,99.36672,3.437126,29.73747,99.09032,30.01047
1967-02,,,97.50028,98.15785,,29.37261,99.28309,3.334967,29.81893,98.98183,30.12566
1967-03,,,97.59888,98.22668,,29.5155,99.21543,3.251259,29.90723,98.89422,30.24163
1967-04,,,97.75663,98.34074,,29.67735,99.16174,3.192863,30.00185,98.82552,30.3584
1967-05,,,97.95693,98.48813,,29.85335,99.12194,3.172946,30.10286,98.77563,30.476
1967-06,,,98.18899,98.66172,,30.04036,99.09599,3.204873,30.21025,98.74427,30.59443
1967-07,,,98.44396,98.85607,,30.2358,99.08248,3.296065,30.32347,98.7294,30.71372
1967-08,,,98.71617,99.06633,,30.43802,99.07854,3.446915,30.44154,98.72758,30.83388
1967-09,,,98.99206,99.28124,,30.6429,99.08058,3.648382,30.56331,98.73495,30.95491
1967-10,,,99.23125,99.47021,,30.83792,99.08415,3.875573,30.68749,98.7472,31.07682
1967-11,,,99.41058,99.61574,6.602594,31.01572,99.08317,4.097653,30.81239,98.75886,31.19962
1967-12,,,99.52877,99.71663,6.92766,31.17569,99.06893,4.286221,30.93552,98.76202,31.3233
1968-01,,,99.61014,99.79034,7.090837,31.32526,99.02951,4.424696,31.05326,98.74523,31.44786
1968-02,,,99.6925,99.8647,7.161765,31.4762,98.96138,4.511737,31.16428,98.70457,31.57329
1968-03,,,99.80096,99.95878,7.186032,31.63649,98.88274,4.568525,31.27354,98.65601,31.69958
1968-04,,,99.9593,100.0892,7.198846,31.81378,98.83848,4.640378,31.39405,98.64051,31.82673
1968-05,,,100.1784,100.2616,7.229923,32.01173,98.87872,4.776132,31.54061,98.70412,31.95471
1968-06,,,100.4573,100.4755,7.289736,32.23022,99.02593,4.998032,31.72017,98.86753,32.0835
1968-07,,,100.7792,100.7183,7.369653,32.46408,99.25713,5.284742,31.92599,99.10876,32.21308
1968-08,,,101.1031,100.9602,7.43204,32.70019,99.52036,5.588062,32.14263,99.3792,32.34342
1968-09,,,101.3897,101.1739,7.449986,32.92579,99.76581,5.862219,32.355,99.63207,32.47448
1968-10,,,101.6344,101.3575,7.462369,33.13916,99.96506,6.083212,32.55428,99.84064,32.60624
1968-11,,,101.8303,101.5073,7.487015,33.33788,100.111,6.249125,32.73789,99.9977,32.73864
1968-12,,,101.9628,101.6134,7.509694,33.51689,100.2104,6.374562,32.90752,100.1091,32.87167
1969-01,,,102.0397,101.6802,7.512305,33.6785,100.2802,6.488123,33.06804,100.1901,33.00529
1969-02,,,102.1039,101.7391,7.499213,33.83667,100.338,6.611596,33.22474,100.2574,33.13944
1969-03,,,102.1488,101.783,7.436421,33.98911,100.3957,6.739584,33.38125,100.322,33.27411
1969-04,,,102.1653,101.8044,7.288946,34.13267,100.4532,6.827496,33.53748,100.3838,33.40924
1969-05,,,102.1236,101.7813,7.014468,34.25718,100.5036,6.818166,33.6911,100.4361,33.54481
1969-06,,,102.0124,101.7043,6.603592,34.35858,100.5375,6.679595,33.83894,100.4696,33.68077
1969-07,,,101.8392,101.5784,6.083543,34.43904,100.546,6.425651,33.97744,100.4742,33.81709
1969-08,,,101.6219,101.4168,5.517472,34.50441,100.5238,6.103153,34.10434,100.4436,33.95373
1969-09,,,101.3687,101.226,4.954912,34.55724,100.4729,5.764597,34.22013,100.3798,34.09065
1969-10,,,101.1125,101.03,4.434132,34.60859,100.4074,5.455556,34.33029,100.2994,34.22782
1969-11,,,100.8703,100.8407,3.978678,34.66428,100.3463,5.206673,34.44244,100.2248,34.36519
1969-12,,,100.6509,100.6648,3.611403,34.72732,100.3078,5.033247,34.56384,100.1771,34.50275
1970-01,,,100.4548,100.5049,3.324058,34.798,100.3081,4.939308,34.70137,100.1759,34.64044
1970-02,,,100.2763,100.3594,3.06666,34.87432,100.3568,4.918905,34.85903,100.2323,34.77824
1970-03,,,100.1064,100.2226,2.836596,34.95325,100.4541,4.960553,35.03715,100.3467,34.91611
1970-04,,,99.93511,100.0876,2.632651,35.03126,100.5812,5.040304,35.22787,100.496,35.05401
1970-05,,,99.7658,99.95709,2.487953,35.10948,100.7135,5.133965,35.4208,100.6504,35.1919
1970-06,,,99.60545,99.8355,2.42088,35.19036,100.8263,5.220232,35.60542,100.7803,35.32975
1970-07,,,99.46173,99.72897,2.432042,35.27662,100.9002,5.285956,35.77347,100.8626,35.46753
1970-08,,,99.33831,99.63947,2.507444,35.36959,100.9199,5.31889,35.91832,100.8795,35.60519
1970-09,,,99.23811,99.56776,2.642422,35.47038,100.875,5.304813,36.03545,100.819,35.7427
1970-10,,,99.15947,99.51205,2.802412,35.57847,100.7649,5.22691,36.12471,100.6819,35.88005
1970-11,,,99.1078,99.47562,2.975882,35.69585,100.5979,5.072559,36.18956,100.4786,36.0172
1970-12,,,99.07336,99.45042,3.143857,35.8191,100.3935,4.844762,36.23838,100.233,36.15412
1971-01,,,99.04379,99.4264,3.292661,35.94378,100.1903,4.570665,36.28745,99.99078,36.29079
1971-02,,,99.01814,99.40228,3.427194,36.06954,100.0296,4.28944,36.35429,99.79985,36.4272
1971-03,,,98.99901,99.37856,3.559232,36.19731,99.93946,4.035397,36.45103,99.69293,36.56331
1971-04,,,98.995,99.36102,3.708137,36.33027,99.91724,3.829104,36.57678,99.6667,36.6991
1971-05,,,99.00817,99.35233,3.872796,36.4692,99.94395,3.678056,36.72359,99.6988,36.83453
1971-06,,,99.03373,99.35028,4.040914,36.61237,99.99402,3.581423,36.8806,99.75926,36.96959
1971-07,,,99.07938,99.36102,4.212534,36.76265,100.0415,3.53089,37.03659,99.81768,37.10424
1971-08,,,99.14233,99.38506,4.38081,36.91906,100.0654,3.519519,37.18247,99.84968,37.23845
1971-09,,,99.24861,99.44418,4.569965,37.09137,100.0557,3.547027,37.31364,99.84335,37.37218
1971-10,,,99.41682,99.55389,4.801241,37.28667,100.0203,3.622326,37.43326,99.80766,37.5054
1971-11,,,99.65172,99.71912,5.073825,37.50699,99.97509,3.753939,37.54809,99.76091,37.63808
1971-12,,,99.95188,99.93847,5.396316,37.75201,99.93573,3.936974,37.66507,99.72169,37.77019
1972-01,,,100.2923,100.1928,5.755364,38.01247,99.91027,4.135468,37.78811,99.70033,37.90168
1972-02,,,100.6604,100.4708,6.138623,38.28371,99.90265,4.305046,37.91936,99.70242,38.03254
1972-03,,,101.0477,100.7637,6.534211,38.56252,99.91512,4.414074,38.06001,99.73092,38.1627
1972-04,,,101.4288,101.0528,6.906112,38.83928,99.94954,4.466397,38.21045,99.78665,38.29214
1972-05,,,101.773,101.3171,7.219276,39.10201,100.0081,4.485741,38.37091,99.87012,38.42081
1972-06,,,102.0749,101.5534,7.473316,39.34853,100.0926,4.503465,38.5415,99.98137,38.54868
1972-07,,,102.3487,101.771,7.674663,39.58406,100.2025,4.549206,38.72147,100.1183,38.6757
1972-08,,,102.6027,101.9739,7.83507,39.8117,100.3367,4.646364,38.9101,100.2791,38.80182
1972-09,,,102.8384,102.1617,7.927821,40.0319,100.494,4.806227,39.10701,100.4624,38.92701
1972-10,,,103.0527,102.3308,7.929513,40.24333,100.6718,5.017915,39.31163,100.6669,39.05121
1972-11,,,103.2303,102.4702,7.819507,40.43986,100.866,5.259078,39.52278,100.8893,39.17439
1972-12,,,103.364,102.5748,7.592803,40.61845,101.0687,5.502218,39.73749,101.1222,39.2965
1973-01,,,103.4439,102.637,7.267476,40.77502,101.2655,5.719415,39.94936,101.3493,39.41751
1973-02,,,103.4007,102.601,6.786793,40.88195,101.4401,5.884812,40.15084,101.5516,39.53738
1973-03,,,103.3146,102.5302,6.244395,40.97052,101.5801,5.979698,40.33588,101.7142,39.65608
1973-04,,,103.1989,102.4358,5.681366,41.04588,101.6861,6.004111,40.50464,101.8381,39.77358
1973-05,,,103.0606,102.3239,5.137089,41.11072,101.7643,5.965019,40.65975,101.93,39.88986
1973-06,,,102.8977,102.1944,4.614134,41.16412,101.823,5.872006,40.80466,101.9992,40.0049
1973-07,,,102.6931,102.0369,4.080089,41.19913,101.8708,5.736936,40.94289,102.0544,40.11869
1973-08,,,102.4315,101.8414,3.51098,41.20948,101.914,5.568217,41.0767,102.1015,40.23124
1973-09,,,102.0972,101.5974,2.889407,41.18859,101.9538,5.36778,41.20619,102.1408,40.34253
1973-10,,,101.7061,101.3159,2.234904,41.14273,101.9847,5.130853,41.32865,102.1657,40.45258
1973-11,,,101.2816,101.0139,1.585984,41.08123,101.9989,4.852227,41.44051,102.1674,40.5614
1973-12,,,100.8662,100.7208,0.9917935,41.0213,101.9912,4.535287,41.5397,102.1409,40.66901
1974-01,,99.2784,100.4959,100.4615,0.4969227,40.97764,101.9633,4.200665,41.62751,102.0896,40.77545
1974-02,,99.06615,100.1844,100.2435,0.1814324,40.95612,101.9191,3.874479,41.70648,102.0199,40.88074
1974-03,,99.05321,99.89671,100.0401,-0.06814326,40.9426,101.8602,3.574931,41.77786,101.9347,40.98493
1974-04,,99.14149,99.59621,99.82367,-0.3014184,40.92216,101.7816,3.295688,41.83955,101.829,41.08807
1974-05,,99.16589,99.2441,99.56512,-0.5640064,40.87885,101.6727,3.017318,41.88658,101.6906,41.1902
1974-06,,99.0593,98.80972,99.242,-0.8847392,40.79993,101.5192,2.714422,41.91227,101.5036,41.29141
1974-07,,98.86302,98.2888,98.85236,-1.251698,40.68344,101.3063,2.362219,41.91005,101.2522,41.39174
1974-08,,98.64945,97.70958,98.41701,-1.62229,40.54094,101.0231,1.943408,41.87499,100.9248,41.49127
1974-09,,98.44842,97.1264,97.97646,-1.926865,40.39494,100.6692,1.458044,41.807,100.5216,41.59007
1974-10,,98.28798,96.60519,97.581,-2.113924,40.273,100.2656,0.9360801,41.71552,100.0654,41.68824
1974-11,,98.25349,96.21289,97.28019,-2.136889,40.20337,99.84235,0.4187354,41.61404,99.58884,41.78584
1974-12,,98.31606,95.98743,97.102,-1.996313,40.20238,99.42788,-0.0583802,41.51545,99.12249,41.88297
1975-01,,98.44991,95.93666,97.05309,-1.717303,40.27393,99.04112,-0.4785353,41.4283,98.68649,41.97971
1975-02,,98.54909,96.03516,97.11642,-1.338594,40.40788,98.69594,-0.8330973,41.35902,98.29568,42.07613
1975-03,,98.62156,96.25616,97.27096,-0.852749,40.59346,98.40383,-1.112068,41.31327,97.96297,42.17233
1975-04,,98.71088,96.57006,97.49789,-0.2531188,40.81858,98.17382,-1.299063,41.29603,97.69963,42.26836
1975-05,,98.81265,96.95887,97.78343,0.4821167,41.07594,98.01455,-1.370901,41.31236,97.51694,42.36429
1975-06,,98.91113,97.40536,98.11589,1.369047,41.3585,97.93208,-1.303432,41.36597,97.42297,42.46018
1975-07,,99.03761,97.8925,98.48322,2.398472,41.65922,97.9256,-1.080999,41.457,97.41733,42.55609
1975-08,,99.1493,98.41895,98.88377,3.543979,41.97771,97.98986,-0.6967944,41.58321,97.49403,42.65205
1975-09,,99.26434,98.97534,99.30885,4.741044,42.31008,98.11522,-0.1600989,41.74006,97.64191,42.7481
1975-10,,99.45959,99.52245,99.72833,5.876555,42.63967,98.28259,0.4864176,41.91843,97.83906,42.84427
1975-11,,99.78413,100.0302,100.1166,6.840644,42.95353,98.47146,1.187939,42.10839,98.06202,42.94057
1975-12,99.60724,100.2172,100.4655,100.4478,7.549229,43.23736,98.66504,1.893894,42.3017,98.29147,43.037
1976-01,99.79662,100.6479,100.8021,100.7026,7.959567,43.47956,98.85443,2.572136,42.49389,98.51697,43.13358
1976-02,99.96586,100.9174,101.0292,100.8731,8.085956,43.67525,99.03579,3.200986,42.68292,98.7338,43.2303
1976-03,100.1311,101.0417,101.1621,100.9708,7.974714,43.83067,99.20822,3.763843,42.86823,98.94078,43.32716
1976-04,100.2839,101.0757,101.2146,101.0077,7.675383,43.95156,99.37214,4.247443,43.05005,99.13852,43.42414
1976-05,100.3754,101.0439,101.1889,100.9871,7.212747,44.03864,99.52845,4.639112,43.22889,99.32825,43.52124
1976-06,100.4077,100.9221,101.0919,100.9145,6.61577,44.09468,99.67819,4.92984,43.40525,99.51128,43.61842
1976-07,100.3633,100.7267,100.9403,100.801,5.923097,44.12674,99.82251,5.119889,43.57956,99.68862,43.71568
1976-08,100.2511,100.5113,100.7427,100.653,5.147187,44.13838,99.96033,5.213049,43.75096,99.85844,43.81298
1976-09,100.1105,100.3199,100.5211,100.4862,4.322928,44.13911,100.0864,5.213819,43.91631,100.0137,43.91031
1976-10,99.96684,100.2153,100.3028,100.3204,3.520797,44.14092,100.1898,5.131236,44.06937,100.1403,44.00764
1976-11,99.80436,100.277,100.0998,100.1647,2.783098,44.14897,100.2574,4.973913,44.20282,100.2219,44.10495
1976-12,99.64428,100.4271,99.90861,100.0174,2.138078,44.1618,100.2798,4.750695,44.31133,100.2469,44.2022
1977-01,99.49744,100.5653,99.73235,99.88027,1.612822,44.18081,100.2563,4.473024,44.39466,100.2151,44.29937
1977-02,99.37789,100.5528,99.58254,99.7618,1.226931,44.21111,100.1924,4.154052,44.45599,100.1341,44.39645
1977-03,99.25667,100.3804,99.45898,99.66147,0.9628147,44.25268,100.0976,3.808103,44.5007,100.0164,44.4934
1977-04,99.0764,100.1491,99.37463,99.58879,0.8185921,44.31134,99.98614,3.453001,44.53657,99.87973,44.5902
1977-05,98.91689,100.0574,99.34592,99.55678,0.8081742,44.39455,99.8735,3.107182,44.57209,99.74322,44.68683
1977-06,98.80608,100.2289,99.37695,99.56876,0.9288384,44.50425,99.77447,2.787783,44.61529,99.62491,44.78327
1977-07,98.76178,100.5768,99.46292,99.6213,1.159658,44.63845,99.70117,2.508519,44.67276,99.53935,44.87949
1977-08,98.75319,100.9597,99.58334,99.70077,1.471969,44.78808,99.66228,2.281449,44.74911,99.49671,44.97547
1977-09,98.75214,101.3443,99.72474,99.79729,1.830562,44.94711,99.66064,2.116236,44.84569,99.49971,45.07117
1977-10,98.75224,101.7048,99.86987,99.89832,2.190423,45.1078,99.69048,2.018526,44.95892,99.54025,45.16657
1977-11,98.76602,101.9659,100.0043,99.993,2.52468,45.26359,99.74234,1.991418,45.08308,99.60553,45.26163
1977-12,98.78841,102.1511,100.13,100.0817,2.83834,45.41527,99.80762,2.034827,45.21299,99.68401,45.35631
1978-01,98.81032,102.2526,100.2495,100.1661,3.130633,45.56395,99.88161,2.142555,45.34584,99.76956,45.45057
1978-02,98.87833,102.291,100.3825,100.2618,3.409774,45.71861,99.96172,2.304084,45.48029,99.85928,45.54438
1978-03,98.98632,102.3115,100.5518,100.3861,3.698888,45.88954,100.0451,2.504486,45.61521,99.95072,45.6377
1978-04,99.12534,102.3285,100.7616,100.542,3.988629,46.07876,100.1258,2.720494,45.74818,100.0387,45.73048
1978-05,99.28101,102.3827,101.0084,100.7267,4.257719,46.28474,100.1975,2.927253,45.87682,100.1181,45.82269
1978-06,99.46136,102.4567,101.2897,100.937,4.498824,46.50642,100.2573,3.103771,46.00005,100.1868,45.91428
1978-07,99.64968,102.5392,101.5845,101.1574,4.694861,46.73417,100.3086,3.238813,46.11963,100.2487,46.0052
1978-08,99.82684,102.6221,101.8593,101.3638,4.832549,46.95248,100.3574,3.327795,46.23827,100.3099,46.09543
1978-09,99.96619,102.6815,102.084,101.5341,4.895351,47.14743,100.4084,3.372364,46.35805,100.3749,46.18492
1978-10,100.0825,102.6281,102.2326,101.6501,4.874866,47.30674,100.4625,3.38062,46.47881,100.4434,46.27362
1978-11,100.1443,102.4527,102.3265,101.7267,4.808497,47.44009,100.5206,3.366338,46.60073,100.516,46.3615
1978-12,100.159,102.2243,102.3921,101.7826,4.721674,47.55963,100.589,3.348171,46.7268,100.5991,46.44852
1979-01,100.207,102.0441,102.4506,101.8334,4.633174,47.67501,100.6815,3.348612,46.86429,100.7084,46.53465
1979-02,100.3103,102.0134,102.5238,101.8948,4.544786,47.79642,100.8117,3.386518,47.02049,100.8594,46.61983
1979-03,100.4997,102.0741,102.6028,101.9597,4.42392,47.91965,100.9818,3.466556,47.19649,101.0544,46.70406
1979-04,100.7119,102.1097,102.6543,102.0047,4.232764,48.02916,101.1711,3.568382,47.38066,101.2682,46.78728
1979-05,100.8498,102.049,102.649,102.0096,3.945819,48.11105,101.3502,3.661719,47.5567,101.4662,46.86948
1979-06,100.8418,101.8537,102.5649,101.9583,3.544544,48.15485,101.4967,3.722625,47.71246,101.6226,46.95063
1979-07,100.7177,101.5946,102.4178,101.8607,3.067694,48.16783,101.6121,3.750532,47.84936,101.7407,47.0307
1979-08,100.5775,101.3145,102.2347,101.7346,2.577004,48.16245,101.7078,3.755006,47.97453,101.8358,47.1097
1979-09,100.4774,101.0227,102.0255,101.5866,2.112411,48.14338,101.794,3.744744,48.09404,101.9209,47.1876
1979-10,100.3769,100.7092,101.7993,101.4234,1.708248,48.11486,101.8698,3.718364,48.20706,101.9944,47.26442
1979-11,100.2629,100.3653,101.5544,101.2446,1.340427,48.07599,101.926,3.663218,48.30782,102.0441,47.34015
1979-12,100.1648,99.97357,101.2893,101.0503,0.9808547,48.02612,101.9483,3.555591,48.38821,102.053,47.4148
1980-01,100.0436,99.55908,100.9983,100.8365,0.6029628,47.96247,101.9212,3.36325,48.44046,102.0048,47.4884
1980-02,99.82138,99.27,100.673,100.5961,0.1770144,47.88103,101.8328,3.059567,48.45911,101.8884,47.56097
1980-03,99.47144,99.12079,100.3113,100.3269,-0.2897169,47.78082,101.6814,2.643656,48.4442,101.704,47.63254
1980-04,99.04798,99.09179,99.93182,100.0428,-0.7464734,47.67064,101.4856,2.164441,48.40618,101.4737,47.70316
1980-05,98.6497,99.0784,99.58413,99.77957,-1.115856,47.5742,101.2725,1.688156,48.35954,101.228,47.77288
1980-06,98.38285,98.99249,99.29826,99.56088,-1.34738,47.50603,101.0666,1.267886,48.3174,100.9942,47.84175
1980-07,98.19561,98.90912,99.08358,99.39545,-1.447156,47.47077,100.8816,0.9140899,48.28674,100.7867,47.90982
1980-08,98.07061,98.88972,98.93515,99.28002,-1.445459,47.46629,100.7238,0.6172368,48.27064,100.6117,47.97717
1980-09,97.96129,98.8276,98.84886,99.21026,-1.355481,47.4908,100.595,0.3651115,48.26963,100.4699,48.04385
1980-10,97.8496,98.70499,98.8101,99.17509,-1.200007,47.53748,100.4924,0.155506,48.28202,100.3577,48.10994
1980-11,97.81207,98.50229,98.81349,99.16959,-0.9819996,47.60389,100.4121,-0.00488353,48.30546,100.2698,48.1755
1980-12,97.82782,98.33972,98.84867,99.18682,-0.7098994,47.68518,100.3499,-0.1045898,48.3376,100.2011,48.24059
1981-01,97.83575,98.21306,98.90724,99.22108,-0.3857723,47.77744,100.3009,-0.1331967,48.37593,100.1462,48.3053
1981-02,97.84319,98.03128,98.97278,99.26144,-0.01711282,47.87284,100.2611,-0.08382728,48.41849,100.1009,48.3697
1981-03,97.85886,97.84846,99.03353,99.29974,0.3870467,47.96576,100.2276,0.04100128,48.46407,100.0624,48.43386
1981-04,97.91489,97.75976,99.07395,99.32575,0.793147,48.04874,100.1985,0.2189523,48.51217,100.0295,48.49785
1981-05,98.02098,97.76499,99.08304,99.3321,1.139807,48.11646,100.1729,0.420157,48.56272,100.002,48.56175
1981-06,98.15432,97.69765,99.07764,99.33108,1.412691,48.17714,100.1501,0.6171446,48.61559,99.97932,48.62564
1981-07,98.29149,97.60371,99.07986,99.33736,1.623763,48.24158,100.129,0.7933817,48.66984,99.95943,48.68959
1981-08,98.39303,97.53416,99.09021,99.3501,1.777765,48.31012,100.1083,0.9400102,48.72439,99.93992,48.75368
1981-09,98.4417,97.57505,99.11532,99.37278,1.885205,48.3861,100.0874,1.05396,48.77838,99.91887,48.81798
1981-10,98.4501,97.64291,99.14929,99.40033,1.954781,48.46673,100.0668,1.138357,48.83165,99.89581,48.88258
1981-11,98.42973,97.78621,99.18699,99.4289,1.986596,48.54958,100.0463,1.197358,48.88385,99.8699,48.94753
1981-12,98.39285,98.00248,99.22292,99.45503,1.985694,48.63206,100.0234,1.233028,48.93362,99.83817,49.01294
1982-01,98.37224,98.30662,99.25402,99.4761,1.957604,48.71273,99.99185,1.243893,48.97768,99.79385,49.07885
1982-02,98.37154,98.56483,99.26456,99.48033,1.903355,48.78403,99.94419,1.226908,49.01254,99.72954,49.14546
1982-03,98.35378,98.83313,99.22689,99.44809,1.806538,48.83228,99.87468,1.179083,49.0355,99.63983,49.21275
1982-04,98.27718,99.06159,99.12222,99.36604,1.663856,48.8482,99.78378,1.103097,49.04731,99.52625,49.28077
1982-05,98.1511,99.21464,98.95885,99.24017,1.495045,48.83582,99.67581,1.005183,49.05087,99.39461,49.34962
1982-06,97.9854,99.13174,98.7632,99.09004,1.309773,48.80815,99.55798,0.8947995,49.0506,99.25379,49.41937
1982-07,97.8023,98.82758,98.57489,98.94525,1.126019,48.78479,99.44063,0.7861981,49.05248,99.11579,49.49008
1982-08,97.68069,98.52072,98.43836,98.84026,0.9888704,48.78785,99.33505,0.694821,49.06294,98.99341,49.56182
1982-09,97.67186,98.2653,98.38748,98.80157,0.9262976,48.8343,99.25132,0.6339582,49.08761,98.89783,49.63467
1982-10,97.74213,98.14558,98.43516,98.84007,0.9575253,48.93081,99.1952,0.6101764,49.1296,98.83508,49.70867
1982-11,97.92455,98.14783,98.5616,98.94241,1.067402,49.0678,99.1695,0.6269583,49.19033,98.80772,49.78389
