country,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1966-07,99.13499,99.35509,4.058414,33.68524,100.1463,3.846361,33.97373,99.98218,33.97916
1966-08,98.63023,98.97551,3.467717,33.63332,99.97018,3.62829,34.02562,99.77882,34.10041
1966-09,98.17362,98.6302,2.89085,33.59735,99.7516,3.372285,34.06054,99.52526,34.22238
1966-10,97.80438,98.34883,2.371959,33.591,99.51608,3.10299,34.08839,99.25076,34.34509
1966-11,97.56384,98.16353,1.95706,33.62888,99.29601,2.854789,34.1221,98.99294,34.46859
1966-12,97.42404,98.05506,1.623106,33.70182,99.11747,2.657348,34.17241,98.78259,34.59292
1967-01,97.39268,98.02938,1.406584,33.81291,98.98616,2.520033,34.24219,98.62736,34.71812
1967-02,97.43962,98.06456,1.327017,33.95207,98.89819,2.443379,34.33052,98.52394,34.84421
1967-03,97.54923,98.14828,1.41389,34.11416,98.84727,2.426104,34.43539,98.46596,34.97123
1967-04,97.71562,98.27548,1.703397,34.29739,98.82871,2.467737,34.55504,98.44788,35.09919
1967-05,97.92353,98.43499,2.204895,34.49661,98.83919,2.571044,34.68814,98.46538,35.22812
1967-06,98.16132,98.61845,2.890105,34.7079,98.87428,2.740309,34.83277,98.51264,35.35802
1967-07,98.41579,98.816,3.697256,34.92671,98.9261,2.978396,34.9856,98.57993,35.48893
1967-08,98.68202,99.02337,4.558574,35.15136,98.98445,3.282236,35.14242,98.65511,35.62083
1967-09,98.94604,99.22913,5.369505,35.37691,99.03902,3.63641,35.29911,98.72663,35.75374
1967-10,99.16716,99.40266,6.038631,35.58876,99.08115,4.001848,35.45255,98.78578,35.88765
1967-11,99.32158,99.52614,6.490158,35.77817,99.10112,4.329748,35.5995,98.82375,36.02256
1967-12,99.40987,99.59991,6.752302,35.94507,99.08623,4.575087,35.73583,98.82935,36.15845
1968-01,99.46052,99.64489,6.848933,36.09952,99.02015,4.713141,35.85608,98.78793,36.29533
1968-02,99.5211,99.69703,6.866439,36.25869,98.89986,4.743815,35.9591,98.69695,36.43317
1968-03,99.61539,99.77414,6.848639,36.43129,98.75549,4.702948,36.05486,98.58425,36.57195
1968-04,99.76484,99.89157,6.827011,36.62532,98.65779,4.666232,36.16746,98.51579,36.71165
1968-05,99.98408,100.0591,6.837167,36.84639,98.68501,4.715577,36.32388,98.56436,36.85226
