country,POL,POL,POL,POL,POL,POL,POL,POL,POL
2001-03,98.79144,,96.43101,97.00814,0.2119235,57.04415,100.904,100.8467,59.1554
2001-04,98.47989,,96.19962,96.8141,0.1155081,57.05989,100.5584,100.4614,59.31405
2001-05,98.15649,97.18819,96.07166,96.7068,0.1440301,57.13624,100.2714,100.1414,59.47253
2001-06,97.82275,97.23757,96.05792,96.69528,0.3442442,57.28028,100.0534,99.89827,59.63098
2001-07,97.37532,97.08704,96.16101,96.78173,0.7050085,57.49422,99.89014,99.71631,59.78954
2001-08,97.05949,96.8723,96.30776,96.90479,1.119514,57.73492,99.75842,99.56946,59.94835
2001-09,97.006,96.92284,96.44362,97.01871,1.49891,57.96991,99.63702,99.43411,60.10756
2001-10,97.09151,97.41246,96.56538,97.12082,1.828769,58.19737,99.51589,99.29906,60.26732
2001-11,97.15981,97.72382,96.67534,97.21303,2.165871,58.41875,99.39404,99.1632,60.42777
2001-12,97.19997,97.65105,96.80416,97.32105,2.593495,58.65271,99.2775,99.03329,60.58904
2002-01,97.27807,97.63163,96.99007,97.47695,3.133734,58.92272,99.17739,98.92166,60.75129
2002-02,97.35316,97.69096,97.20635,97.65832,3.73931,59.2129,99.10565,98.84168,60.91464
2002-03,97.65458,97.71249,97.45801,97.86935,4.35181,59.52661,99.0698,98.80171,61.07924
2002-04,97.98372,97.62907,97.78928,98.14715,4.962069,59.89124,99.06549,98.79691,61.2452
2002-05,98.13158,97.485,98.22284,98.51071,5.574424,60.32126,99.08106,98.81427,61.41266
2002-06,98.02895,97.39413,98.74672,98.95001,6.162091,60.80994,99.09969,98.83503,61.58173
2002-07,97.91005,97.62121,99.28355,99.40018,6.636995,61.31011,99.09985,98.83521,61.75254
2002-08,98.03178,97.92068,99.7713,99.8092,7.012475,61.78356,99.06267,98.79376,61.92518
2002-09,98.4571,98.14524,100.1702,100.1437,7.306452,62.20545,98.98027,98.7019,62.09978
2002-10,98.93321,98.11355,100.4739,100.3984,7.516142,62.57157,98.86657,98.57513,62.27642
2002-11,99.25722,97.94975,100.6846,100.5751,7.641503,62.88282,98.74715,98.44199,62.45522
2002-12,99.39904,97.86441,100.8386,100.7042,7.687363,63.16156,98.65128,98.33511,62.63627
2003-01,99.48904,97.90055,100.9873,100.8289,7.66624,63.43987,98.60439,98.28282,62.81966
2003-02,99.48444,97.99803,101.1144,100.9354,7.590709,63.70758,98.624,98.3047,63.00547
2003-03,99.3669,98.04104,101.2178,101.0221,7.453327,63.96332,98.71217,98.40299,63.19378
2003-04,99.24297,98.0948,101.3281,101.1147,7.238464,64.22645,98.84266,98.54847,63.38464
2003-05,99.26994,98.17461,101.4486,101.2157,6.925967,64.49909,98.9796,98.70114,63.57811
2003-06,99.44424,98.23385,101.6214,101.3606,6.575137,64.80827,99.09279,98.82735,63.77425
2003-07,99.57452,98.20952,101.8627,101.5629,6.287058,65.16471,99.17226,98.91594,63.9731
2003-08,99.70637,98.08833,102.1129,101.7728,6.064867,65.53065,99.2242,98.97385,64.17471
2003-09,99.84835,97.86838,102.3631,101.9826,5.939958,65.90043,99.26904,99.02385,64.3791
2003-10,100.0558,97.53411,102.5905,102.1733,5.89388,66.25946,99.34115,99.10424,64.58633
2003-11,100.1451,97.46426,102.7588,102.3144,5.885852,66.58401,99.47125,99.24929,64.79642
2003-12,100.2049,97.67975,102.8676,102.4056,5.877033,66.87359,99.66683,99.46734,65.00938
2004-01,100.2439,97.74635,102.9195,102.4491,5.815914,67.12948,99.88767,99.71355,65.22526
2004-02,100.3221,97.72926,102.9167,102.4468,5.721856,67.35284,100.0738,99.92107,65.44405
2004-03,100.4877,97.87569,102.8447,102.3865,5.582044,67.53378,100.1712,100.0297,65.66577
2004-04,100.6758,98.17239,102.6786,102.2472,5.33883,67.65539,100.1599,100.0171,65.89044
2004-05,100.8055,98.51255,102.401,102.0144,4.971406,67.7056,100.0429,99.88667,66.11808
2004-06,100.9282,98.75435,102.0365,101.7087,4.461823,67.69991,99.84234,99.66301,66.34871
2004-07,100.9051,98.90302,101.6521,101.3864,3.863548,67.68238,99.6023,99.3954,66.58234
2004-08,100.7409,99.20338,101.271,101.0668,3.262015,67.66827,99.37009,99.1365,66.81901
2004-09,100.7262,99.38524,100.9221,100.7742,2.695957,67.67708,99.1798,98.92435,67.05872
2004-10,100.7148,99.47038,100.6194,100.5204,2.201781,67.71835,99.03602,98.76405,67.30149
2004-11,100.6662,99.59068,100.3525,100.2966,1.804385,67.78545,98.92735,98.64289,67.54732
2004-12,100.5128,99.73579,100.0958,100.0813,1.476753,67.86115,98.83618,98.54125,67.79621
2005-01,100.3045,99.84184,99.83479,99.86244,1.201039,67.93573,98.74556,98.44022,68.04815
2005-02,100.1941,99.91787,99.62041,99.68267,1.025973,68.04385,98.64562,98.3288,68.30312
2005-03,100.071,99.96066,99.50306,99.58426,1.016706,68.2204,98.53969,98.21069,68.5611
2005-04,100.0303,99.92051,99.52958,99.6065,1.245908,68.49831,98.45071,98.11149,68.82207
2005-05,100.0891,99.74206,99.68395,99.73595,1.716279,68.86761,98.40807,98.06395,69.08596
2005-06,100.1794,99.52969,99.90597,99.92213,2.34508,69.28752,98.43316,98.09192,69.35274
2005-07,100.2081,99.51717,100.1189,100.1007,2.988591,69.70513,98.52148,98.19038,69.62233
2005-08,100.2557,99.63226,100.3056,100.2573,3.605845,70.10828,98.65703,98.34151,69.89467
2005-09,100.3785,99.8018,100.4769,100.4009,4.177486,70.50428,98.82167,98.52508,70.16965
2005-10,100.3943,100.0246,100.6383,100.5362,4.693741,70.89687,99.00075,98.72473,70.4472
2005-11,100.406,100.3064,100.7984,100.6705,5.172828,71.29187,99.1851,98.93026,70.72718
2005-12,100.4025,100.5623,100.9355,100.7854,5.618272,71.67377,99.37178,99.13839,71.00949
2006-01,100.3193,100.8368,101.0178,100.8545,6.011477,72.01968,99.56408,99.35279,71.29401
2006-02,100.257,100.9845,101.105,100.9276,6.360175,72.37157,99.76463,99.57638,71.5806
2006-03,100.3493,100.8978,101.2549,101.0533,6.670496,72.77104,99.96775,99.80284,71.86913
2006-04,100.5617,100.6509,101.4808,101.2427,6.904795,73.22798,100.1509,100.0071,72.15946
2006-05,100.9105,100.4618,101.7593,101.4762,7.054747,73.72605,100.2834,100.1548,72.45144
2006-06,101.2745,100.521,102.032,101.7049,7.123315,74.22309,100.3357,100.2131,72.74492
2006-07,101.5732,100.6377,102.2376,101.8773,7.128509,74.67406,100.2932,100.1656,73.03974
2006-08,101.7866,100.6398,102.3705,101.9888,7.083158,75.07417,100.1612,100.0186,73.33577
2006-09,101.992,100.6337,102.4728,102.0746,7.019934,75.45363,99.9779,99.81415,73.63286
2006-10,102.2463,100.751,102.5605,102.1481,6.949461,75.82382,99.8313,99.6507,73.93085
2006-11,102.4522,100.9879,102.6583,102.2301,6.88851,76.20281,99.81451,99.632,74.2296
2006-12,102.5122,101.1715,102.7524,102.3091,6.845657,76.58031,99.97861,99.81494,74.52895
2007-01,102.4571,101.1822,102.8086,102.3561,6.818508,76.93034,100.276,100.1465,74.82874
2007-02,102.4589,101.3341,102.7894,102.3401,6.705457,77.22441,100.6192,100.5292,75.12877
2007-03,102.5977,101.4041,102.6642,102.2351,6.413892,77.43849,100.9294,100.8749,75.42889
2007-04,102.764,101.5651,102.4289,102.0378,5.927105,77.56828,101.1809,101.1554,75.7289
2007-05,102.88,101.6278,102.1463,101.8008,5.33652,77.66046,101.3793,101.3766,76.02865
2007-06,102.8762,101.631,101.8561,101.5575,4.744661,77.74473,101.5419,101.5578,76.32796
2007-07,102.72,101.6539,101.5967,101.3399,4.253345,77.85021,101.682,101.7141,76.62669
2007-08,102.5148,101.6458,101.3882,101.1651,3.887368,77.99258,101.8092,101.8559,76.92468
2007-09,102.3689,101.779,101.2059,101.0122,3.577578,78.15305,101.9297,101.9902,77.22179
2007-10,102.3371,102.0183,101.037,100.8706,3.294368,78.32174,102.0484,102.1226,77.51788
2007-11,102.3508,102.2389,100.8627,100.7244,2.993665,78.48407,102.1645,102.252,77.81281
2007-12,102.4178,102.2578,100.6689,100.5619,2.675155,78.62895,102.2667,102.366,78.10648
2008-01,102.5601,102.1364,100.4532,100.381,2.370619,78.75407,102.3293,102.4358,78.39877
2008-02,102.604,102.0984,100.1876,100.1583,2.088476,78.83722,102.3218,102.4273,78.68961
2008-03,102.516,102.1916,99.84901,99.87436,1.835195,78.85964,102.2215,102.3156,78.9789
2008-04,102.2879,102.3679,99.45094,99.54056,1.628335,78.83135,102.0319,102.1042,79.26657
2008-05,102.0007,102.3483,99.02309,99.18178,1.435702,78.77543,101.7703,101.8125,79.55258
2008-06,101.6927,102.1776,98.61713,98.84135,1.270993,78.73286,101.4629,101.4698,79.8369
2008-07,101.3598,101.9935,98.25732,98.53962,1.121451,78.72327,101.1447,101.1151,80.11949
2008-08,101.0472,102.0719,97.99809,98.32224,1.023466,78.7908,100.8512,100.7878,80.40034
2008-09,100.6315,102.0707,97.86871,98.21375,1.032443,78.95993,100.6102,100.5191,80.67944
2008-10,100.0373,101.7872,97.87026,98.21505,1.163001,79.23262,100.4338,100.3225,80.95679
2008-11,99.17364,101.3057,97.96356,98.29329,1.393979,79.57813,100.3218,100.1976,81.23237
2008-12,98.14468,100.8209,98.10605,98.41277,1.696002,79.9625,100.2612,100.13,81.50619
2009-01,97.20273,100.0754,98.25208,98.53522,2.024969,80.34882,100.2209,100.0851,81.77824
2009-02,96.55491,99.22018,98.3645,98.6295,2.371202,80.70661,100.1682,100.0263,82.04852
2009-03,96.32259,98.80822,98.41751,98.67395,2.732348,81.01436,100.0837,99.93213,82.31702
2009-04,96.42229,98.87369,98.42209,98.67779,3.107023,81.28066,99.97767,99.8139,82.58376
2009-05,96.60628,99.13501,98.41434,98.67129,3.503129,81.53503,99.87539,99.69987,82.84874
2009-06,96.81819,99.3473,98.41724,98.67373,3.891191,81.7965,99.80526,99.62168,83.11196
2009-07,97.12892,99.41706,98.44854,98.69997,4.263868,82.07992,99.78648,99.60074,83.37342
2009-08,97.59656,99.52418,98.53306,98.77084,4.588701,82.40627,99.82622,99.64505,83.63313
2009-09,98.02757,99.44628,98.6729,98.88811,4.835141,82.77776,99.91322,99.74203,83.89107
2009-10,98.37194,99.39178,98.86305,99.04757,4.995301,83.19053,100.0071,99.84673,84.14724
2009-11,98.65159,99.36742,99.09698,99.24374,5.103591,83.63947,100.0634,99.90951,84.40163
2009-12,98.92758,99.50439,99.34982,99.45575,5.179053,84.1038,100.058,99.90344,84.65421
2010-01,99.35599,99.83194,99.62034,99.6826,5.269316,84.58264,100.0141,99.85447,84.905
2010-02,99.76809,100.2032,99.88235,99.90232,5.38641,85.0538,99.97436,99.8102,85.15398
2010-03,100.0089,100.4897,100.1238,100.1048,5.545379,85.50691,99.97601,99.81205,85.40115
2010-04,100.0043,100.4612,100.3276,100.2757,5.716473,85.92705,100.0256,99.86737,85.6465
2010-05,99.87988,100.2927,100.4869,100.4093,5.854183,86.30825,100.1132,99.96498,85.89001
2010-06,99.84534,100.1547,100.5913,100.4968,5.922561,86.64095,100.2224,100.0867,86.13168
2010-07,99.91191,100.1513,100.6393,100.5371,5.901286,86.92369,100.3384,100.216,86.37148
2010-08,100.0226,99.89439,100.6178,100.519,5.749764,87.14444,100.4501,100.3406,86.60941
2010-09,100.1292,99.63516,100.5406,100.4543,5.481204,87.31497,100.5522,100.4544,86.84546
2010-10,100.2259,99.47648,100.4476,100.3763,5.143467,87.46941,100.6473,100.5605,87.07961
2010-11,100.3382,99.40224,100.3491,100.2937,4.755224,87.61671,100.7423,100.6663,87.31187
2010-12,100.474,99.39434,100.247,100.2081,4.34542,87.75846,100.8448,100.7807,87.54224
2011-01,100.5116,99.48592,100.1244,100.1052,3.898206,87.87985,100.9604,100.9096,87.77071
2011-02,100.663,99.39329,100.0207,100.0183,3.482177,88.01553,101.0923,101.0566,87.99731
2011-03,100.6933,99.0511,99.94041,99.951,3.113834,88.16946,101.2404,101.2217,88.22204
2011-04,100.6558,98.68405,99.86115,99.88454,2.787328,88.32212,101.3991,101.3986,88.44492
2011-05,100.4789,98.6895,99.78424,99.82005,2.510139,88.47471,101.5593,101.5772,88.66601
2011-06,100.2423,98.83447,99.71326,99.76052,2.296259,88.63046,101.709,101.7442,88.88532
2011-07,99.99522,99.00241,99.68378,99.7358,2.182916,88.82116,101.8345,101.8841,89.10293
2011-08,99.72918,98.98549,99.72327,99.76891,2.211563,89.07169,101.9213,101.9809,89.31888
2011-09,99.52904,98.98524,99.83527,99.86283,2.371631,89.38576,101.9572,102.0209,89.53325
2011-10,99.52762,98.89822,99.99059,99.99307,2.593235,89.73769,101.9383,101.9998,89.74615
2011-11,99.69838,98.62967,100.1607,100.1357,2.836775,90.1022,101.8642,101.9172,89.95767
2011-12,99.80896,98.24323,100.2836,100.2388,3.03694,90.42364,101.7379,101.7764,90.16795
2012-01,99.87344,98.29209,100.2622,100.2209,3.111335,90.61409,101.5694,101.5886,90.37711
2012-02,99.82616,98.51328,100.1286,100.1088,3.052029,90.70178,101.3707,101.367,90.58531
2012-03,99.72079,98.67705,99.93911,99.94991,2.912544,90.73743,101.1544,101.1258,90.79272
2012-04,99.56191,98.57466,99.76025,99.79993,2.784366,90.78133,100.934,100.8802,90.9995
2012-05,99.43444,98.33513,99.60258,99.66772,2.677235,90.84338,100.7199,100.6414,91.20585
2012-06,99.32692,98.23514,99.44877,99.53873,2.569781,90.90806,100.5144,100.4123,91.41195
2012-07,99.09125,98.29089,99.2902,99.40575,2.416687,90.96769,100.3075,100.1817,91.618
2012-08,98.74191,98.27453,99.14858,99.287,2.212475,91.04238,100.0869,99.93562,91.8242
2012-09,98.42808,98.13892,99.0415,99.19721,1.972207,91.14863,99.84684,99.66803,92.03075
2012-10,98.25565,97.99223,98.98664,99.15121,1.74448,91.30315,99.59972,99.39252,92.23785
2012-11,98.31352,97.94105,98.99625,99.15927,1.571117,91.51781,99.36669,99.13272,92.44572
2012-12,98.39073,97.94455,99.02592,99.18414,1.469089,91.75204,99.16991,98.91333,92.65457
2013-01,98.42176,98.01196,99.0604,99.21306,1.52068,91.99203,99.02367,98.75027,92.86459
2013-02,98.40939,98.21994,99.08962,99.23756,1.683371,92.22863,98.93559,98.65209,93.07597
2013-03,98.41759,98.39445,99.12943,99.27094,1.916879,92.47676,98.90429,98.61718,93.28891
2013-04,98.51208,98.50867,99.20499,99.3343,2.179834,92.76021,98.91253,98.62637,93.50357
2013-05,98.70406,98.50848,99.34628,99.45279,2.492291,93.10746,98.93773,98.65446,93.72013
2013-06,98.80793,98.67873,99.52276,99.60078,2.840633,93.49043,98.95934,98.67857,93.93874
2013-07,98.92026,98.8287,99.68794,99.73929,3.185778,93.86572,98.96494,98.6848,94.15955
2013-08,99.07626,98.97834,99.82278,99.85236,3.485263,94.21545,98.94984,98.66797,94.38272
2013-09,99.25735,99.12483,99.9169,99.93129,3.70946,94.52975,98.91785,98.6323,94.60838
2013-10,99.40282,99.19733,99.98772,99.99068,3.857322,94.825,98.88316,98.59363,94.83665
2013-11,99.51641,99.37014,100.0486,100.0417,3.929307,95.11382,98.86304,98.5712,95.06767
2013-12,99.68855,99.5515,100.1131,100.0958,3.986063,95.40933,98.87064,98.57967,95.30154
2014-01,99.91085,99.60767,100.1726,100.1457,4.034297,95.70327,98.90652,98.61967,95.53836
2014-02,100.0239,99.74568,100.2074,100.1749,4.064084,95.97688,98.96442,98.68422,95.77824
2014-03,100.046,99.97668,100.184,100.1553,4.023923,96.19795,99.03458,98.76245,96.02126
2014-04,100.0842,100.145,100.1454,100.1229,3.93193,96.40748,99.10545,98.84145,96.26748
2014-05,100.1207,100.2613,100.141,100.1192,3.808047,96.65304,99.16644,98.90945,96.51698
2014-06,100.1658,100.188,100.1802,100.1521,3.69424,96.94418,99.21067,98.95877,96.76981
2014-07,100.198,99.94065,100.2574,100.2168,3.632917,97.27578,99.23796,98.9892,97.02603
2014-08,100.1423,99.88682,100.3301,100.2778,3.599565,97.6068,99.25276,99.0057,97.28568
2014-09,100.1024,99.96961,100.3846,100.3234,3.590599,97.92393,99.26309,99.01721,97.54881
2014-10,100.1758,100.2212,100.3928,100.3304,3.558854,98.19969,99.28008,99.03616,97.81544
2014-11,100.2548,100.4501,100.3612,100.3038,3.49692,98.43988,99.31388,99.07384,98.08561
2014-12,100.3123,100.5331,100.312,100.2626,3.413545,98.66618,99.36887,99.13514,98.35933
2015-01,100.3468,100.4781,100.291,100.245,3.364967,98.92365,99.4374,99.21155,98.63661
2015-02,100.3247,100.551,100.3324,100.2797,3.406418,99.24625,99.50822,99.2905,98.91747
2015-03,100.3137,100.7034,100.4503,100.3786,3.58706,99.64864,99.57346,99.36324,99.20188
2015-04,100.2897,100.8758,100.5949,100.4999,3.811187,100.0817,99.63534,99.43223,99.48986
2015-05,100.2186,100.824,100.7279,100.6114,3.988183,100.5077,99.69978,99.50408,99.78139
2015-06,100.1534,100.5952,100.8409,100.7061,4.099089,100.918,99.77012,99.5825,100.0765
2015-07,100.1847,100.3492,100.9504,100.7979,4.16672,101.329,99.84024,99.66068,100.375
2015-08,100.2902,100.2325,101.0688,100.8972,4.248015,101.7532,99.89772,99.72476,100.6771
2015-09,100.3519,100.2478,101.1968,101.0046,4.357765,102.1912,99.92661,99.75697,100.9827
2015-10,100.3855,100.4967,101.3392,101.124,4.530061,102.6482,99.91087,99.73943,101.2917
2015-11,100.3592,100.8086,101.4369,101.2059,4.697418,103.064,99.83952,99.65988,101.6041
2015-12,100.3277,101.0562,101.4415,101.2098,4.786713,103.389,99.71447,99.52045,101.9199
2016-01,100.3627,101.1567,101.3624,101.1435,4.759498,103.6319,99.56208,99.35056,102.239
2016-02,100.4168,101.1797,101.21,101.0157,4.590804,103.8025,99.41578,99.18744,102.5614
2016-03,100.4321,101.2886,101.0376,100.871,4.321226,103.9547,99.30058,99.05901,102.8872
2016-04,100.358,101.4038,100.9494,100.7971,4.110894,104.196,99.21738,98.96626,103.2161
2016-05,100.2559,101.4283,100.9684,100.813,4.022772,104.5509,99.1588,98.90093,103.5482
2016-06,100.2293,101.4666,101.0395,100.8727,4.008464,104.9633,99.12232,98.86027,103.8834
2016-07,100.2145,101.5287,101.1057,100.9282,3.991954,105.374,99.12152,98.85938,104.2216
2016-08,100.2231,101.5548,101.1467,100.9625,3.93954,105.7618,99.17355,98.91739,104.5628
2016-09,100.3322,101.6034,101.1839,100.9938,3.872642,106.1487,99.28409,99.04062,104.9067
2016-10,100.3887,101.5749,101.2151,101.0199,3.783944,106.5323,99.42818,99.20127,105.2535
2016-11,100.4277,101.4967,101.2438,101.044,3.7377,106.9162,99.56969,99.35904,105.6028
2016-12,100.5431,101.5318,101.2698,101.0658,3.782762,107.3,99.67791,99.4797,105.9546
2017-01,100.6341,101.659,101.2422,101.0426,3.857202,107.6292,99.74432,99.55373,106.3087
2017-02,100.6964,101.6174,101.1661,100.9789,3.956016,107.9089,99.7737,99.58649,106.665
2017-03,100.8033,101.5314,101.0614,100.891,4.044733,108.1594,99.77822,99.59153,107.0234
