country,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2004-05,99.84704,100.4086,98.21587,98.99715,3.054509,85.11724,100.2752,99.99749,86.66344
2004-06,99.69054,100.6527,98.21206,98.99501,3.022457,85.38455,100.3087,100.0427,86.93897
2004-07,99.42223,100.7513,98.20135,98.98901,3.01349,85.64266,100.3235,100.0626,87.21128
2004-08,99.39619,100.7934,98.22946,99.00476,3.085269,85.93128,100.3175,100.0545,87.48015
2004-09,99.29408,100.8865,98.2905,99.03894,3.223176,86.24532,100.2936,100.0222,87.74533
2004-10,98.87567,100.9607,98.35748,99.07645,3.389083,86.56107,100.2653,99.98418,88.00661
2004-11,98.42978,101.0389,98.43665,99.12079,3.606522,86.88387,100.2505,99.96423,88.26373
2004-12,98.30719,101.1211,98.54173,99.17963,3.885942,87.22567,100.2655,99.98443,88.51649
2005-01,97.9444,101.2458,98.67329,99.25332,4.171933,87.58698,100.3189,100.0564,88.76463
2005-02,97.38148,101.2538,98.8452,99.34959,4.416468,87.98004,100.4128,100.1828,89.0079
2005-03,96.98093,101.0831,99.08784,99.48547,4.627022,88.43203,100.5409,100.3554,89.2461
2005-04,96.67574,100.7612,99.39816,99.65926,4.840775,88.94044,100.6849,100.5493,89.47896
2005-05,96.55776,100.4914,99.756,99.85966,5.134223,89.48735,100.8238,100.7364,89.70624
2005-06,96.86091,100.4714,100.1708,100.092,5.500685,90.08129,100.9427,100.8965,89.9277
2005-07,97.32778,100.7302,100.6301,100.3492,5.918107,90.71108,101.0425,101.0309,90.14312
2005-08,97.87255,100.9799,101.1026,100.6138,6.304071,91.34845,101.1315,101.1507,90.35226
2005-09,98.5434,101.1399,101.552,100.8655,6.626452,91.96033,101.2189,101.2685,90.55492
2005-10,98.89725,101.2969,101.9314,101.0779,6.865118,92.50359,101.3099,101.3909,90.75086
2005-11,99.01946,101.6151,102.2618,101.263,7.0357,92.99675,101.4067,101.5214,90.9399
2005-12,99.16991,102.067,102.5677,101.4343,7.149126,93.46154,101.5113,101.6622,91.12185
2006-01,99.33882,102.5487,102.8652,101.6009,7.221859,93.91238,101.6267,101.8176,91.29651
2006-02,99.74033,102.9454,103.1482,101.7594,7.232463,94.34317,101.7549,101.9903,91.46371
2006-03,100.2679,102.9994,103.3838,101.8913,7.114677,94.72368,101.8944,102.1782,91.62331
2006-04,100.5757,102.5698,103.5214,101.9684,6.82086,95.00694,102.0371,102.3704,91.77514
2006-05,100.5174,101.4538,103.5532,101.9862,6.367118,95.18512,102.1719,102.5518,91.91909
2006-06,100.2672,100.0669,103.4892,101.9504,5.756735,95.26703,102.2887,102.7092,92.05505
2006-07,100.1907,99.00784,103.367,101.8819,5.044138,95.28667,102.3839,102.8374,92.18291
2006-08,100.2095,98.43143,103.1827,101.7787,4.260469,95.24032,102.4537,102.9314,92.30262
2006-09,100.468,98.04554,102.9625,101.6554,3.470634,95.15193,102.49,102.9803,92.41413
2006-10,100.6705,97.8131,102.7383,101.5298,2.753622,95.05079,102.4785,102.9648,92.5174
2006-11,100.6547,97.55508,102.5345,101.4157,2.110724,94.95966,102.4059,102.8671,92.61243
2006-12,100.6183,97.32278,102.3682,101.3226,1.533263,94.89455,102.2711,102.6855,92.69923
2007-01,100.813,97.15249,102.2481,101.2553,1.012914,94.86363,102.0962,102.45,92.77786
2007-02,100.9637,97.15796,102.163,101.2076,0.5443069,94.85668,101.9148,102.2056,92.84837
2007-03,101.0127,97.25332,102.1229,101.1852,0.1685276,94.88332,101.7586,101.9953,92.91087
2007-04,101.0501,97.37129,102.1469,101.1986,-0.04803312,94.9613,101.6457,101.8433,92.96542
2007-05,101.2911,97.57756,102.2358,101.2484,-0.0981227,95.09172,101.5851,101.7617,93.01218
2007-06,101.341,97.81298,102.3512,101.3131,-0.02931929,95.2391,101.5782,101.7524,93.05125
2007-07,101.1082,97.86908,102.4497,101.3682,0.08017802,95.36308,101.6175,101.8053,93.08279
