country,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
2001-02,101.2802,98.91071,100.8497,100.4519,2.303061,58.03502,100.7777,101.363,57.54602
2001-03,100.6638,99.11423,100.5314,100.2843,1.865323,58.13465,100.7658,101.3419,57.82736
2001-04,100.2757,99.40161,100.2444,100.1333,1.618786,58.25504,100.7923,101.3889,58.11298
2001-05,100.0452,99.74492,99.95654,99.98174,1.488146,58.37745,100.8398,101.4735,58.40283
2001-06,100.1291,100.1286,99.63163,99.8107,1.393095,58.48064,100.8831,101.5505,58.69686
2001-07,100.3084,100.5023,99.26617,99.61832,1.306855,58.56209,100.8887,101.5605,58.99501
2001-08,100.5759,100.7914,98.8876,99.41904,1.267729,58.63763,100.8262,101.4494,59.29725
2001-09,100.8276,100.9187,98.52377,99.22752,1.332396,58.72365,100.6813,101.1915,59.60354
2001-10,100.846,100.9094,98.21982,99.06753,1.537204,58.84728,100.473,100.8209,59.91385
2001-11,100.3851,100.764,98.01816,98.96138,1.890605,59.03454,100.236,100.3993,60.22817
2001-12,99.70975,100.4677,97.94028,98.92039,2.360184,59.29939,100.007,99.99195,60.54647
2002-01,99.3014,100.1357,97.97746,98.93995,2.886322,59.63765,99.81344,99.64748,60.86874
2002-02,98.92072,99.91484,98.0999,99.0044,3.441344,60.0322,99.67461,99.40049,61.19497
2002-03,98.62698,99.92101,98.268,99.09289,3.999104,60.45951,99.60062,99.26884,61.52513
2002-04,98.68462,100.0652,98.41503,99.17029,4.503848,60.87875,99.58669,99.24407,61.8592
2002-05,99.00135,100.2447,98.4977,99.21381,4.942498,61.26276,99.6207,99.3046,62.19714
2002-06,99.4213,100.3963,98.51942,99.22523,5.356207,61.61298,99.68597,99.4207,62.53893
2002-07,99.7971,100.5139,98.51778,99.22438,5.789291,61.95242,99.76019,99.55274,62.8845
2002-08,100.2023,100.5961,98.52346,99.22736,6.24604,62.30016,99.82325,99.66494,63.23383
2002-09,100.4259,100.6266,98.54555,99.23899,6.706625,62.66203,99.86401,99.73747,63.58687
2002-10,100.4655,100.5911,98.58452,99.25951,7.122118,63.03845,99.8876,99.77944,63.94356
2002-11,100.2273,100.4467,98.64428,99.29096,7.449083,63.43207,99.90496,99.81032,64.30385
2002-12,99.82679,100.157,98.73492,99.33868,7.67328,63.84959,99.92344,99.84319,64.66769
2003-01,99.52192,99.83736,98.84458,99.3964,7.79031,64.2836,99.93768,99.86853,65.03503
2003-02,99.46581,99.64921,98.95493,99.45448,7.812559,64.72225,99.93762,99.86842,65.40579
2003-03,99.42291,99.72533,99.05289,99.50606,7.76951,65.15692,99.91647,99.83078,65.77993
2003-04,99.51253,99.96326,99.1582,99.56149,7.755911,65.60046,99.87936,99.76476,66.15736
2003-05,100.0148,100.2452,99.28333,99.62736,7.832528,66.06118,99.83687,99.68918,66.53804
2003-06,100.638,100.4962,99.41734,99.6979,7.983656,66.53195,99.79948,99.62265,66.92188
2003-07,101.2519,100.6978,99.5415,99.76326,8.147844,67.00021,99.77235,99.57439,67.30882
2003-08,101.6378,100.835,99.65058,99.82067,8.285782,67.46221,99.75748,99.54794,67.69877
2003-09,101.7223,100.8912,99.7319,99.86348,8.37361,67.9091,99.75495,99.54343,68.09165
2003-10,101.886,100.9092,99.79507,99.89674,8.421184,68.34703,99.763,99.55775,68.48738
2003-11,101.8979,100.9342,99.85684,99.92924,8.442383,68.78725,99.77939,99.5869,68.88586
2003-12,101.7393,100.9966,99.92044,99.96272,8.429636,69.23188,99.80168,99.62657,69.28701
2004-01,101.4004,101.0863,99.9761,99.99203,8.385412,69.67405,99.82687,99.67139,69.6907
2004-02,101.0661,101.1891,100.008,100.0088,8.312779,70.10247,99.85148,99.71516,70.09685
2004-03,100.8242,101.2962,100.001,100.0051,8.209612,70.50605,99.87135,99.75052,70.50533
2004-04,100.7568,101.3995,99.94691,99.97666,8.045575,70.87839,99.88132,99.76826,70.91603
2004-05,100.9491,101.4834,99.87041,99.93639,7.833982,71.2364,99.87618,99.75912,71.32884
2004-06,101.1488,101.5199,99.79079,99.89449,7.607739,71.59353,99.8522,99.71644,71.74362
2004-07,101.5021,101.4838,99.72381,99.85922,7.404072,71.96095,99.80956,99.64059,72.16026
2004-08,101.8842,101.3159,99.6686,99.83016,7.22755,72.33808,99.75108,99.53655,72.5786
2004-09,102.1361,100.9594,99.60342,99.79585,7.06817,72.70903,99.68204,99.41373,72.99853
2004-10,102.1853,100.5273,99.51527,99.74944,6.901503,73.064,99.6112,99.28768,73.4199
2004-11,101.9993,100.1658,99.40263,99.69016,6.707913,73.40144,99.54749,99.17433,73.84255
2004-12,101.6169,99.99338,99.3028,99.6376,6.523979,73.74856,99.49692,99.08436,74.26634
2005-01,101.3651,99.96854,99.25173,99.61073,6.398592,74.1322,99.45896,99.01682,74.69109
2005-02,101.2249,100.0625,99.25068,99.61017,6.349713,74.55378,99.43057,98.96631,75.11664
2005-03,101.1842,100.2837,99.28963,99.63068,6.382586,75.00616,99.40919,98.92828,75.54279
2005-04,101.0068,100.5845,99.36156,99.66853,6.498394,75.48434,99.39506,98.90314,75.96936
2005-05,100.5621,100.935,99.47596,99.72875,6.68112,75.99579,99.39031,98.89468,76.39614
2005-06,100.2224,101.3193,99.64484,99.81765,6.923155,76.55006,99.39766,98.90776,76.82291
2005-07,100.3707,101.6802,99.85269,99.92706,7.190991,77.13566,99.41837,98.94462,77.24945
2005-08,100.8052,101.9299,100.0777,100.0455,7.461863,77.73585,99.45289,99.00602,77.67552
2005-09,101.237,101.9835,100.2964,100.1606,7.734025,78.33237,99.50045,99.09064,78.10088
2005-10,101.2655,101.9046,100.5116,100.2739,8.024495,78.92702,99.55782,99.1927,78.52526
2005-11,100.8945,101.7522,100.7589,100.4041,8.373253,79.54753,99.62135,99.30573,78.9484
2005-12,100.6967,101.5615,101.0579,100.5615,8.760998,80.20966,99.68846,99.42514,79.37002
2006-01,100.7698,101.3978,101.401,100.7421,9.139747,80.9077,99.75863,99.54997,79.78983
2006-02,101.0117,101.3491,101.7567,100.9293,9.473346,81.61652,99.83291,99.68213,80.20753
2006-03,101.3069,101.4932,102.1009,101.1105,9.746539,82.31667,99.91337,99.82527,80.62283
2006-04,101.6237,101.7486,102.4175,101.2772,9.949203,82.99444,100.0022,99.98327,81.0354
2006-05,101.9099,102.0266,102.6772,101.4139,10.0395,83.62539,100.1008,100.1588,81.44494
2006-06,102.1962,102.2718,102.8863,101.5239,10.01113,84.21359,100.2088,100.3509,81.85112
2006-07,102.506,102.4803,103.0494,101.6098,9.886729,84.76185,100.3215,100.5514,82.25362
2006-08,102.7791,102.6516,103.1694,101.6729,9.694105,85.27164,100.4335,100.7506,82.6521
2006-09,103.0211,102.7775,103.2655,101.7235,9.479807,85.75813,100.5407,100.9414,83.04624
2006-10,103.1194,102.8681,103.3795,101.7835,9.285015,86.25541,100.6438,101.1248,83.43571
2006-11,103.162,102.9249,103.5256,101.8604,9.086113,86.77531,100.7465,101.3075,83.82018
2006-12,103.1676,102.9482,103.6878,101.9458,8.845272,87.30443,100.8549,101.5003,84.19933
2007-01,103.214,102.9799,103.8464,102.0294,8.550723,87.8259,100.9766,101.7169,84.57285
2007-02,103.3556,103.0792,104.008,102.1144,8.243781,88.3448,101.1194,101.9709,84.94042
2007-03,103.499,103.2916,104.1638,102.1964,7.941129,88.85354,101.2886,102.272,85.30174
2007-04,103.5536,103.5494,104.2996,102.2679,7.645032,89.33939,101.484,102.6196,85.65652
2007-05,103.5617,103.7554,104.4071,102.3245,7.377417,89.79478,101.7038,103.0107,86.00447
2007-06,103.5312,103.8207,104.4919,102.3691,7.136981,90.2239,101.9488,103.4466,86.34533
2007-07,103.5102,103.7551,104.5453,102.3972,6.90971,90.61864,102.2232,103.9348,86.67886
2007-08,103.5003,103.5523,104.5572,102.4035,6.682355,90.9698,102.5317,104.4836,87.00482
2007-09,103.3228,103.2064,104.5328,102.3907,6.440322,91.28123,102.8734,105.0916,87.32303
2007-10,103.0515,102.865,104.4575,102.351,6.126178,91.53957,103.2347,105.7344,87.63329
2007-11,102.9284,102.7314,104.3117,102.2743,5.706344,91.72701,103.5933,106.3724,87.93549
2007-12,102.7981,102.9618,104.0889,102.157,5.19183,91.83713,103.9216,106.9564,88.22951
2008-01,102.778,103.3549,103.8078,102.009,4.622689,91.88581,104.1906,107.435,88.51529
2008-02,102.7028,103.6544,103.4997,101.8468,4.024612,91.90034,104.3701,107.7543,88.79282
2008-03,102.7377,103.6886,103.1483,101.6619,3.390511,91.86613,104.4336,107.8673,89.06214
2008-04,102.7751,103.6041,102.6919,101.4216,2.673443,91.72782,104.3697,107.7536,89.32335
2008-05,102.6463,103.5942,102.0268,101.0715,1.778924,91.39216,104.1739,107.4054,89.5766
2008-06,102.3945,103.7469,101.0376,100.5508,0.5876463,90.7541,103.8495,106.8281,89.82209
2008-07,101.9541,103.818,99.6989,99.84611,-0.9156222,89.78893,103.3987,106.0262,90.0601
2008-08,101.4793,103.3744,98.10482,99.007,-2.627311,88.57973,102.8322,105.0183,90.29092
2008-09,100.2438,102.019,96.43984,98.13056,-4.369772,87.29244,102.1675,103.8356,90.51492
2008-10,98.38716,100.1303,94.89894,97.31944,-5.937749,86.10418,101.4367,102.5355,90.7325
2008-11,96.34189,98.14583,93.63103,96.65202,-7.168139,85.15189,100.6772,101.1842,90.94409
2008-12,95.07645,96.37858,92.69353,96.15853,-7.999842,84.4903,99.92706,99.84962,91.15015
2009-01,94.70432,94.92987,92.08337,95.83734,-8.452427,84.11923,99.22448,98.59965,91.35116
2009-02,94.92577,93.97639,91.76801,95.67134,-8.584234,84.0114,98.60444,97.49652,91.54758
2009-03,95.31023,93.73899,91.71657,95.64426,-8.409473,84.14067,98.09312,96.58681,91.73988
2009-04,95.74126,93.95612,91.88629,95.7336,-7.912661,84.46971,97.69711,95.88226,91.92853
2009-05,96.33427,94.41727,92.22773,95.91333,-7.04389,84.9546,97.41376,95.37814,92.11394
2009-06,96.85145,95.0418,92.68103,96.15195,-5.743791,85.54137,97.23288,95.05634,92.29652
2009-07,97.37111,95.71385,93.20278,96.42659,-4.007301,86.19081,97.14556,94.90098,92.47665
2009-08,97.93314,96.3484,93.76981,96.72507,-1.916498,86.88211,97.13943,94.89008,92.65468
2009-09,98.4375,96.90993,94.36431,97.03801,0.3514559,87.59924,97.20257,95.0024,92.8309
2009-10,98.80043,97.46854,94.97496,97.35946,2.58739,88.33203,97.32161,95.2142,93.0056
2009-11,98.8904,98.13171,95.58658,97.68141,4.597372,89.06664,97.48358,95.50237,93.17902
2009-12,98.76488,98.97904,96.18828,97.99814,6.276175,89.79306,97.67374,95.8407,93.35136
2010-01,99.10409,99.89246,96.77599,98.30751,7.594443,90.50762,97.87041,96.1906,93.5228
2010-02,99.44711,100.6955,97.34527,98.60717,8.564056,91.20618,98.05145,96.51268,93.6935
2010-03,99.84601,101.2265,97.89833,98.8983,9.210988,91.89086,98.20042,96.77773,93.86356
2010-04,100.2995,101.5224,98.42197,99.17394,9.564982,92.54922,98.31398,96.97976,94.0331
2010-05,100.7496,101.5836,98.91433,99.43311,9.681491,93.17947,98.39658,97.1267,94.20219
2010-06,101.0025,101.3741,99.39989,99.68871,9.659889,93.80457,98.45761,97.23529,94.3709
2010-07,101.4181,101.0563,99.89313,99.94835,9.568797,94.43823,98.51079,97.3299,94.53927
2010-08,101.8537,100.8057,100.3958,100.213,9.438157,95.08218,98.56953,97.43442,94.70731
2010-09,102.2752,100.7345,100.9085,100.4828,9.289677,95.73692,98.64297,97.56507,94.87502
2010-10,102.4357,100.7468,101.4238,100.7541,9.128661,96.39556,98.73155,97.72266,95.0424
2010-11,102.165,100.7093,101.9235,101.0172,8.953009,97.04078,98.83121,97.89999,95.20938
2010-12,101.9696,100.5368,102.3892,101.2623,8.755211,97.65463,98.93648,98.08727,95.37594
2011-01,101.8288,100.3292,102.7957,101.4763,8.513611,98.21309,99.0427,98.27625,95.54198
2011-02,101.8105,100.2472,103.1232,101.6486,8.212597,98.69658,99.1468,98.46145,95.70744
2011-03,101.6655,100.4246,103.3509,101.7685,7.828738,99.08475,99.24796,98.64143,95.87221
2011-04,101.7062,100.754,103.4609,101.8264,7.358938,99.35986,99.34842,98.82016,96.03619
2011-05,101.9155,101.1038,103.4611,101.8265,6.814054,99.52876,99.45196,99.00436,96.19924
2011-06,102.0751,101.3839,103.3904,101.7893,6.20838,99.62832,99.56238,99.20082,96.36125
2011-07,101.8309,101.5903,103.2864,101.7345,5.565483,99.69418,99.68185,99.41337,96.52209
2011-08,101.5211,101.7227,103.1801,101.6786,4.915774,99.7562,99.81151,99.64406,96.6816
2011-09,101.2247,101.7746,103.103,101.638,4.290522,99.84454,99.95153,99.89317,96.83965
2011-10,101.1463,101.7993,103.041,101.6054,3.682879,99.94569,100.1004,100.158,96.99606
2011-11,100.8735,101.8572,102.9648,101.5652,3.081398,100.031,100.2545,100.4322,97.15071
2011-12,100.5505,101.9916,102.8493,101.5044,2.479386,100.0759,100.4068,100.7032,97.30342
2012-01,100.443,102.1704,102.6771,101.4138,1.883517,100.0629,100.5459,100.9506,97.45404
2012-02,100.4027,102.3491,102.427,101.2822,1.291471,99.97121,100.6592,101.1522,97.60243
2012-03,100.3075,102.4896,102.0777,101.0983,0.7010631,99.7794,100.7385,101.2934,97.74845
2012-04,100.0545,102.5787,101.6463,100.8712,0.1446624,99.5036,100.7865,101.3786,97.89196
2012-05,99.72063,102.5862,101.1878,100.6299,-0.3330587,99.19728,100.81,101.4205,98.03284
2012-06,99.60995,102.4747,100.7826,100.4166,-0.6916328,98.93925,100.8165,101.4321,98.17098
2012-07,99.81815,102.2905,100.47,100.252,-0.9286624,98.76836,100.8111,101.4225,98.30627
2012-08,100.1183,102.0779,100.2437,100.1329,-1.080298,98.67854,100.7978,101.3988,98.43863
2012-09,100.2464,101.8658,100.0772,100.0452,-1.202375,98.64403,100.7809,101.3687,98.56797
2012-10,99.94024,101.6834,99.94822,99.97735,-1.303294,98.6431,100.7676,101.345,98.69421
2012-11,99.62069,101.5747,99.85058,99.92596,-1.360913,98.66965,100.7649,101.3403,98.81731
2012-12,99.61904,101.5837,99.77642,99.88692,-1.358847,98.71599,100.7761,101.3603,98.93719
2013-01,99.52814,101.6655,99.70681,99.85027,-1.298717,98.76341,100.7969,101.3971,99.05383
2013-02,99.53687,101.7763,99.62312,99.80622,-1.178113,98.79344,100.8194,101.4372,99.16718
2013-03,99.63924,101.89,99.53149,99.75798,-0.9694418,98.8121,100.8363,101.4673,99.27723
2013-04,99.59084,101.9862,99.46075,99.72075,-0.658844,98.84803,100.8445,101.4819,99.38396
2013-05,99.50347,102.0353,99.44005,99.70985,-0.2691543,98.93028,100.8438,101.4807,99.48737
2013-06,99.46815,102.0006,99.48636,99.73423,0.1381574,99.07594,100.8368,101.4682,99.58746
2013-07,99.74847,101.888,99.59867,99.79335,0.522302,99.28423,100.8291,101.4545,99.68429
2013-08,99.9106,101.6824,99.75404,99.87514,0.865339,99.53244,100.8266,101.4499,99.77785
2013-09,99.93947,101.361,99.92767,99.96653,1.167792,99.79599,100.832,101.4596,99.86823
2013-10,99.9712,101.0009,100.0939,100.054,1.425508,100.0493,100.8424,101.4782,99.95545
2013-11,99.99085,100.7054,100.2452,100.1337,1.637032,100.2849,100.8527,101.4965,100.0396
2013-12,99.93843,100.5695,100.3907,100.2103,1.819306,100.5119,100.8591,101.5079,100.1207
2014-01,99.8214,100.5809,100.5367,100.2871,1.998073,100.7368,100.863,101.5148,100.199
2014-02,99.78433,100.7558,100.7019,100.3741,2.211448,100.9782,100.8667,101.5214,100.2744
2014-03,99.75346,101.1273,100.887,100.4715,2.454348,101.2373,100.8704,101.5279,100.3472
2014-04,99.6937,101.5709,101.0808,100.5735,2.68556,101.5027,100.8681,101.5239,100.4174
2014-05,100.0215,101.9262,101.2526,100.664,2.843909,101.7438,100.8517,101.4947,100.4851
2014-06,100.6508,102.0463,101.3459,100.7131,2.854351,101.9039,100.814,101.4276,100.5506
2014-07,101.1594,101.9363,101.3112,100.6948,2.668125,101.9333,100.7545,101.3217,100.614
2014-08,101.395,101.5342,101.1378,100.6036,2.299254,101.8209,100.6744,101.1792,100.6754
2014-09,101.347,100.7225,100.8409,100.4472,1.789852,101.5822,100.5744,101.0014,100.7351
2014-10,101.1487,99.63157,100.4594,100.2464,1.206417,101.2563,100.4536,100.7864,100.7933
2014-11,100.9094,98.36559,100.0544,100.0332,0.618219,100.9049,100.3107,100.5322,100.85
2014-12,100.7618,97.00871,99.69751,99.84538,0.08805048,100.6004,100.1476,100.242,100.9057
2015-01,100.6173,95.80545,99.45507,99.71776,-0.3241732,100.4102,99.97358,99.9324,100.9604
2015-02,100.4116,95.13627,99.34743,99.6611,-0.6169923,100.3552,99.80144,99.62614,101.0144
2015-03,100.4478,95.33951,99.32475,99.64916,-0.8414721,100.3854,99.64365,99.34542,101.0679
2015-04,100.6328,95.99927,99.33725,99.65574,-1.036183,100.4509,99.509,99.10584,101.1211
2015-05,100.6675,96.63012,99.32033,99.64684,-1.235646,100.4866,99.40279,98.91689,101.1742
2015-06,100.5838,96.9054,99.23595,99.60242,-1.422754,100.4541,99.32561,98.77957,101.2275
2015-07,100.6181,96.91432,99.08201,99.52139,-1.551883,100.3514,99.26985,98.68037,101.2811
2015-08,100.8912,96.78799,98.88906,99.41982,-1.582666,100.2095,99.2258,98.60201,101.3352
2015-09,100.9441,96.5919,98.6922,99.31619,-1.494485,100.0641,99.18605,98.53128,101.39
2015-10,100.8185,96.35353,98.50783,99.21914,-1.30791,99.93195,99.14906,98.46548,101.4457
2015-11,100.5741,96.06113,98.34592,99.13391,-1.071777,99.82342,99.11646,98.40747,101.5023
2015-12,100.0877,95.70476,98.23164,99.07375,-0.8312515,99.76419,99.09005,98.36049,101.5601
2016-01,99.60744,95.37135,98.20369,99.05904,-0.6138677,99.79383,99.06855,98.32224,101.6192
2016-02,99.43966,95.2064,98.28667,99.10272,-0.4160985,99.9376,99.04973,98.28875,101.6797
2016-03,99.94987,95.35275,98.47167,99.2001,-0.1978965,100.1867,99.03217,98.25751,101.7417
2016-04,100.4486,95.72086,98.71732,99.32941,0.04832039,100.4994,99.01673,98.23005,101.8053
2016-05,100.5813,96.23707,98.98313,99.46933,0.3463828,100.8346,99.00616,98.21124,101.8705
2016-06,100.5703,96.87025,99.24132,99.60524,0.7068702,101.1642,99.00437,98.20805,101.9375
2016-07,100.7541,97.51019,99.47957,99.73066,1.120178,101.4755,99.01542,98.22771,102.0063
2016-08,100.9726,98.0251,99.70617,99.84994,1.564328,101.7771,99.04235,98.27563,102.077
2016-09,101.1569,98.31232,99.92791,99.96666,2.010527,102.0759,99.08507,98.35162,102.1495
2016-10,101.1431,98.47408,100.1468,100.0819,2.443692,102.374,99.13696,98.44395,102.2239
2016-11,101.0029,98.62897,100.3539,100.1909,2.843813,102.6622,99.18991,98.53815,102.3002
2016-12,100.9817,98.84882,100.5389,100.2883,3.173368,102.9301,99.23852,98.62463,102.3783
2017-01,101.0306,99.10251,100.6673,100.3559,3.355085,103.142,99.28425,98.70599,102.4583
