country,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE
1994-06,15.1,-29.9,-25.0,-34.7,60.5,,,,,,,-3.1,-30.2349,15.3,-22.0,34.7,7.004499,29.0,-28.86264,,,,,,,,,
1994-07,9.6,-20.2,-15.0,-25.4,55.2,,,,,,,-5.1,-27.75078,18.1,-27.0,30.8,-0.8599375,34.0,-24.26687,,,,,,,,,
1994-08,15.8,-17.9,-7.3,-28.5,62.4,,,,,,,-3.9,-40.76255,10.5,-18.0,25.8,2.533242,59.0,-14.84063,,,,,,,,,
1994-09,16.7,-13.6,-9.5,-17.8,62.0,,,,,,,-6.0,-34.02511,22.7,-15.0,16.9,-1.570708,64.0,-13.70508,,,,,,,,,
1994-10,9.8,-13.1,-5.7,-20.5,73.1,,,,,,,-4.2,-28.81513,31.0,-9.0,23.5,2.913494,52.0,-13.30083,,,,,,,,,
1994-11,16.2,-7.6,-1.2,-14.0,67.8,,,,,,,5.3,-27.92482,14.3,-6.0,35.9,2.338204,71.0,-0.521701,,,,,,,,,
1994-12,26.3,-3.8,3.4,-11.0,76.8,,,,,,,5.1,-19.3738,21.2,-9.0,34.6,24.43419,77.0,-0.01663136,,,,,,,,,
1995-01,23.5,-7.5,-6.0,-9.0,76.0,28.7,13.1,8.3,-40.7,-3.3,17.0,5.5,-12.7,25.2,0.6,41.2,44.0,63.3,8.9,,,,,,,-11.4,0.6,47.7
1995-02,4.8,-15.4,-13.4,-17.4,81.6,24.9,17.9,8.9,-24.3,57.6,16.1,7.4,-11.6,18.9,0.2,40.9,49.3,61.3,8.1,,,,,,,-11.6,1.1,48.4
1995-03,6.4,-7.3,-1.3,-13.3,74.4,26.4,12.2,8.0,-11.4,36.2,14.7,12.8,-12.2,13.5,13.1,38.8,43.4,69.9,18.6,,,,,,,-11.6,0.7,48.8
1995-04,14.1,-4.1,1.9,-10.2,61.2,26.3,9.0,5.0,-17.4,27.1,20.3,7.5,-9.1,15.2,2.5,35.3,78.6,55.0,13.5,,,,,,,-11.4,1.6,50.8
1995-05,14.5,-2.7,9.1,-14.5,62.6,25.7,18.0,5.3,-10.0,35.3,27.8,13.4,-9.6,22.9,8.6,54.4,47.3,60.9,11.1,,,,,,,-11.4,1.4,51.0
1995-06,14.4,-4.6,-3.6,-5.5,56.3,32.6,12.8,7.4,-8.4,28.6,23.3,0.9,-10.2,34.4,3.4,33.8,64.9,42.3,10.3,,,,,,,-12.1,-0.2,51.3
1995-07,7.7,-4.5,-1.3,-7.8,62.9,29.2,16.5,7.3,-5.6,8.2,23.9,5.8,-19.0,31.2,7.6,40.9,68.5,43.7,4.7,,,,,,,-8.2,4.2,47.1
1995-08,22.5,-11.4,-5.5,-17.3,57.5,32.3,11.8,9.1,-14.5,11.7,16.8,-0.5,-19.5,33.5,0.2,31.8,19.8,44.5,2.9,,,,,,,-8.5,3.6,47.5
1995-09,22.1,-16.3,-9.5,-23.0,53.1,29.2,21.3,12.4,-14.0,28.7,13.2,0.8,-20.0,24.0,-10.4,36.8,48.0,40.5,0.1,,,,,,,-8.8,2.8,47.9
1995-10,17.0,-11.5,-9.1,-13.9,60.9,29.0,23.1,12.0,-13.6,25.1,16.1,1.9,-13.6,27.7,1.9,31.6,56.0,29.9,-1.3,,,,,,,-7.6,8.2,47.8
1995-11,22.6,-6.9,-0.9,-12.9,61.7,25.9,19.0,9.9,-13.3,28.7,15.1,-5.0,-14.1,25.8,-8.4,19.2,60.0,20.6,-5.5,,,,,,,-8.0,7.0,48.2
1995-12,14.2,3.5,12.0,-5.1,75.1,31.3,22.9,12.2,-13.0,31.3,17.6,-7.9,-14.6,42.9,-7.3,26.6,56.0,23.5,-9.1,,,,,,,-8.6,5.9,48.5
1996-01,-0.6,3.9,19.7,-11.9,59.6,29.3,30.5,14.3,-6.3,19.5,17.0,1.6,-22.6,28.2,-6.0,39.1,22.7,33.7,-4.9,,,,,,,-7.4,4.5,46.3
1996-02,22.6,-2.5,8.7,-13.6,55.1,33.6,19.9,12.5,-6.1,-32.4,16.0,0.4,-21.6,27.8,-0.9,29.9,28.4,21.1,-0.4,,,,,,,-7.8,4.2,47.0
1996-03,26.9,-7.6,-3.3,-11.9,64.2,28.3,12.2,8.6,-6.5,36.2,14.7,-9.5,-22.2,36.7,-10.9,19.2,24.2,19.4,-15.6,,,,,,,-7.7,4.0,47.0
1996-04,29.1,-5.8,-3.0,-8.7,73.1,33.2,31.0,16.0,-0.1,31.2,16.2,-5.0,-22.0,32.7,-4.5,22.2,-14.2,20.6,-13.1,,,,,,,-6.7,5.5,52.3
1996-05,25.4,2.6,2.1,3.0,77.4,33.6,31.0,18.2,1.3,27.4,9.9,-1.7,-22.5,21.3,-2.2,18.4,36.8,19.9,-8.7,,,,,,,-6.6,5.7,52.4
1996-06,28.4,0.3,4.3,-3.6,65.1,37.5,31.8,18.7,4.7,27.7,13.3,2.1,-22.9,19.8,-12.5,38.8,0.9,16.6,-11.4,,,,,,,-7.4,3.7,52.5
1996-07,29.7,3.6,6.7,0.6,68.7,26.4,29.4,15.3,4.7,39.3,10.0,-4.3,-16.3,20.1,-21.3,28.4,11.0,14.0,-18.4,,,,,,,-10.7,0.5,52.1
1996-08,27.6,-4.5,3.4,-12.4,68.3,28.2,38.8,18.1,8.8,24.8,12.6,-7.6,-16.9,11.9,-15.8,5.0,22.7,22.7,-15.9,,,,,,,-11.0,0.1,52.6
1996-09,27.4,-3.0,2.4,-8.4,68.7,19.2,24.3,9.4,9.5,25.7,15.2,3.5,-17.4,18.7,-6.3,35.4,1.1,19.5,-11.8,,,,,,,-11.3,-0.9,53.1
1996-10,20.1,-5.4,-6.2,-4.6,71.1,19.5,28.1,12.5,10.1,25.1,10.1,3.2,-23.4,11.2,-10.0,30.8,15.3,29.8,-8.0,,,,,,,-12.8,-10.3,57.4
1996-11,20.5,-9.8,-12.3,-7.3,70.9,20.6,31.0,13.9,10.7,23.8,9.8,-1.0,-23.7,17.5,-7.4,21.9,11.1,35.8,-10.5,,,,,,,-13.0,-10.8,57.6
1996-12,20.1,-15.3,-17.2,-13.4,67.6,21.5,23.0,10.6,11.1,24.4,12.7,4.2,-23.8,15.8,-3.7,32.1,3.1,32.2,-2.4,,,,,,,-13.3,-11.3,58.0
1997-01,20.3,-16.8,-21.1,-12.5,74.9,18.7,22.6,10.1,12.0,43.6,10.9,1.6,-23.7,23.4,-4.4,32.8,21.4,28.3,-3.9,,,,,,,-14.8,-15.6,62.1
1997-02,23.7,-10.8,-7.0,-14.6,73.4,18.8,29.8,12.9,6.2,47.0,10.0,-0.1,-23.9,13.3,-4.9,18.1,24.7,39.0,-7.4,,,,,,,-15.8,-17.4,63.2
1997-03,22.8,-11.8,-2.3,-21.3,69.1,20.2,41.2,15.9,0.3,18.3,13.7,2.6,-24.4,8.0,-8.0,23.9,16.7,36.7,-5.7,,,,,,,-16.1,-18.1,63.5
1997-04,17.0,-16.3,-5.3,-27.2,67.2,15.2,30.0,11.9,0.8,19.0,9.4,1.1,-26.9,19.4,-3.5,26.2,22.8,30.7,-10.0,,,,,,,-23.9,-30.1,64.2
1997-05,12.7,-27.6,-25.9,-29.2,60.6,11.6,24.0,9.5,-3.3,18.6,7.0,4.1,-27.4,15.8,-3.3,31.5,-5.2,29.1,-1.7,,,,,,,-24.0,-30.3,64.4
1997-06,11.6,-32.6,-20.5,-44.7,76.2,4.5,23.8,7.3,-5.7,29.2,6.4,4.6,-28.5,17.6,5.7,25.6,11.9,53.7,6.4,,,,,,,-24.5,-31.6,64.2
1997-07,25.6,-33.7,-27.1,-40.2,65.8,12.1,23.4,8.9,-6.2,25.7,8.9,7.6,-33.8,16.4,8.3,30.9,1.1,52.8,10.6,,,,,,,-27.1,-39.0,71.3
1997-08,15.4,-24.7,-20.4,-28.9,68.3,14.2,24.8,10.5,-2.8,41.6,7.7,9.9,-34.2,18.3,12.4,35.8,21.7,35.6,13.9,,,,,,,-27.4,-39.5,71.3
1997-09,23.7,-22.5,-18.4,-26.5,69.8,17.5,28.3,11.2,-2.6,26.6,12.2,10.8,-34.4,14.5,14.7,32.1,23.1,39.5,15.2,,,,,,,-27.7,-39.9,71.3
1997-10,31.9,-24.2,-11.1,-37.3,68.1,25.6,23.1,11.9,-2.6,39.5,13.0,4.7,-31.5,13.8,12.4,15.6,17.6,37.9,17.0,,,,,,,-29.6,-37.6,68.9
1997-11,15.9,-30.9,-19.7,-42.1,64.9,20.4,24.0,10.9,-2.5,39.2,11.8,9.5,-32.2,10.0,18.5,19.8,-2.8,34.7,21.5,,,,,,,-30.2,-38.8,68.9
1997-12,24.4,-36.6,-28.9,-44.3,55.5,17.4,30.0,11.5,-2.5,33.6,12.8,7.5,-32.8,10.2,12.3,20.4,6.0,42.4,17.9,,,,,,,-30.9,-39.9,68.9
1998-01,35.3,-42.3,-33.3,-51.3,61.0,16.7,12.6,5.8,1.3,43.1,11.8,6.9,-24.6,15.9,13.0,23.7,21.3,38.2,16.9,,,,,,,-32.4,-35.8,70.1
1998-02,23.5,-33.1,-32.0,-34.1,61.0,15.4,15.8,5.5,-0.9,38.3,14.9,11.5,-24.4,13.1,12.5,35.1,6.1,38.8,21.4,,,,,,,-33.1,-36.8,71.5
1998-03,19.3,-38.4,-39.3,-37.5,62.4,18.6,18.6,7.7,-3.5,19.4,14.0,6.5,-24.7,13.7,9.7,23.6,24.8,18.7,20.9,,,,,,,-33.0,-37.0,72.0
1998-04,15.8,-44.3,-45.9,-42.7,62.8,15.6,12.8,6.3,-0.4,34.0,9.4,2.7,-27.1,22.8,-3.2,34.1,15.3,31.2,23.9,,,,,,,-24.1,-25.3,57.7
1998-05,26.0,-43.6,-38.1,-49.1,61.5,23.3,9.9,7.6,-1.2,30.6,10.3,-9.8,-27.5,28.5,-19.6,18.6,8.0,21.8,2.8,,,,,,,-23.8,-24.8,57.2
1998-06,26.0,-35.7,-33.7,-37.7,63.0,15.3,16.9,6.8,-0.6,25.1,11.7,-1.4,-27.7,12.4,-21.1,29.2,6.4,9.8,-20.2,,,,,,,-24.2,-25.9,56.7
1998-07,13.5,-45.1,-36.2,-53.9,55.5,23.7,15.7,10.3,-2.4,39.5,8.4,-4.1,-20.9,18.0,-21.2,26.8,-1.3,6.9,-6.1,,,,,,,-21.6,-17.0,51.0
1998-08,8.7,-39.3,-37.4,-41.1,60.4,11.3,5.9,1.0,-0.4,35.0,14.2,-9.6,-21.1,37.5,-19.8,28.6,8.4,11.2,-11.1,,,,,,,-21.5,-16.7,50.8
1998-09,-2.2,-39.1,-33.5,-44.8,62.9,17.8,5.5,5.0,-1.1,31.5,8.3,-12.1,-21.3,34.9,-33.0,31.6,-5.5,7.6,-26.3,,,,,,,-21.4,-16.7,50.5
1998-10,3.5,-46.7,-37.4,-55.9,45.4,9.6,6.0,1.8,-1.8,21.9,10.1,-21.6,-37.3,36.2,-44.4,15.9,-31.9,2.5,-38.6,,,,,,,-22.7,-22.6,48.9
1998-11,19.2,-45.6,-33.5,-57.7,44.1,16.5,3.9,2.9,-2.5,18.5,11.6,-23.6,-38.1,35.5,-47.3,12.1,-14.7,6.9,-36.9,,,,,,,-22.7,-22.9,48.4
1998-12,16.7,-46.7,-34.1,-59.3,36.2,11.0,1.2,3.0,-3.2,25.0,3.3,-26.0,-38.8,36.4,-48.8,7.2,-12.0,-6.8,-38.9,,,,,,,-22.9,-23.5,48.0
1999-01,5.6,-51.1,-43.0,-59.1,25.8,13.5,7.2,3.5,-3.2,35.4,10.3,-28.7,-42.2,36.9,-42.7,-6.4,9.5,0.5,-31.7,,,,,,,-25.7,-30.6,46.0
1999-02,14.9,-54.9,-50.5,-59.3,23.7,3.5,3.7,-1.3,-7.0,45.5,11.0,-21.1,-42.2,33.5,-48.2,18.4,-3.3,-1.6,-35.3,,,,,,,-27.4,-34.4,43.2
1999-03,11.5,-53.2,-53.1,-53.3,18.5,3.9,7.3,1.8,-10.6,24.6,5.7,-30.0,-42.9,39.7,-46.9,-3.5,-0.9,7.7,-31.9,,,,,,,-29.8,-36.0,39.4
1999-04,9.9,-47.7,-45.8,-49.6,30.7,9.6,9.4,5.4,-12.6,33.6,2.9,-19.2,-47.5,32.8,-27.4,2.7,-3.6,24.8,-24.4,,,,,,,-25.3,-32.4,38.0
1999-05,18.2,-52.2,-39.5,-64.9,29.2,4.4,8.8,3.7,-16.5,29.7,2.0,-18.7,-48.4,34.6,-27.6,6.0,21.0,17.1,-24.3,,,,,,,-28.8,-38.2,40.3
1999-06,15.7,-43.7,-39.3,-48.0,27.5,5.5,9.9,5.0,-19.6,27.2,0.4,-8.7,-49.3,37.2,-8.5,19.7,13.2,14.6,-1.3,,,,,,,-24.4,-28.5,42.8
1999-07,14.9,-41.1,-33.4,-48.8,38.5,9.2,11.9,5.5,-18.6,34.4,4.4,-4.0,-44.9,30.3,-7.2,25.3,4.0,13.4,-7.1,,,,,,,-25.5,-31.2,46.2
1999-08,20.1,-41.2,-35.7,-46.7,30.4,7.4,13.1,4.5,-15.7,30.8,7.0,-17.9,-45.3,34.9,-21.9,3.1,17.8,17.6,-15.9,,,,,,,-28.1,-35.8,45.9
1999-09,18.2,-47.5,-41.5,-53.4,23.4,21.1,20.5,12.1,-14.4,32.7,5.1,2.4,-45.9,19.9,-2.4,29.7,11.9,23.4,1.8,,,,,,,-29.9,-37.4,45.6
1999-10,20.9,-43.1,-38.0,-48.2,24.0,6.7,17.4,6.9,-13.0,26.0,3.3,2.2,-29.1,28.7,-2.2,37.4,0.9,27.6,8.8,,,,,,,-22.6,-26.3,43.8
1999-11,23.9,-32.8,-32.0,-33.7,24.7,14.0,21.0,9.9,-11.3,27.9,5.3,9.1,-29.0,27.6,3.6,51.3,19.0,27.7,9.5,,,,,,,-23.2,-23.8,44.2
1999-12,31.7,-36.9,-33.0,-40.7,29.3,12.6,18.6,10.3,-9.6,22.5,0.4,11.2,-29.0,12.6,7.5,38.8,11.2,21.8,7.0,,,,,,,-21.9,-22.1,44.7
2000-01,23.7,-33.7,-30.0,-37.4,29.6,12.3,24.9,11.3,-7.2,34.0,3.1,8.0,-23.2,10.5,6.6,27.9,-0.7,7.2,10.3,,,,,,,-21.1,-18.6,43.3
2000-02,27.5,-38.2,-37.9,-38.5,40.1,14.1,19.6,9.9,-6.0,49.4,4.1,8.9,-22.7,6.6,5.1,28.1,19.7,11.3,4.0,,,,,,,-21.5,-19.2,41.9
2000-03,15.0,-40.6,-36.5,-44.7,35.3,18.4,33.4,17.2,-5.3,39.8,0.0,15.9,-22.3,8.5,20.7,35.6,15.1,29.3,16.6,,,,,,,-22.8,-23.9,40.4
2000-04,19.5,-37.6,-33.9,-41.3,37.9,21.3,29.7,15.8,-3.0,44.9,3.8,15.9,-19.6,-11.5,23.6,12.7,28.8,22.7,16.3,,,,,,,-20.3,-20.5,41.8
2000-05,20.9,-30.9,-30.1,-31.7,36.4,16.1,32.2,14.2,-1.3,38.8,5.7,22.2,-19.2,5.4,28.5,43.7,38.9,31.4,19.2,,,,,,,-18.2,-14.0,44.4
2000-06,28.4,-28.4,-23.1,-33.7,38.5,11.4,31.0,11.5,0.3,38.5,8.0,29.8,-19.0,-6.5,28.1,54.7,23.0,21.1,24.3,,,,,,,-19.3,-18.8,47.6
2000-07,36.3,-27.1,-29.2,-25.0,24.9,20.1,30.3,15.5,0.8,29.4,4.0,22.4,-5.7,2.4,19.9,49.8,25.4,33.2,22.0,,,,,,,-20.0,-16.1,51.5
2000-08,29.8,-30.4,-29.7,-31.1,39.3,19.5,28.0,12.6,1.6,39.0,9.8,14.6,-4.6,8.5,13.0,39.4,14.5,32.6,13.3,,,,,,,-17.2,-13.5,50.4
2000-09,33.6,-27.6,-24.8,-30.4,37.5,4.1,20.4,6.3,2.2,34.6,5.6,16.8,-3.6,5.0,24.7,30.7,24.0,28.4,26.7,,,,,,,-16.9,-13.2,50.7
2000-10,23.7,-28.2,-35.7,-20.7,44.5,17.4,24.4,12.0,2.7,41.7,5.7,18.7,-3.2,5.3,19.1,42.2,29.5,27.5,25.2,,,,,,,-15.7,-8.4,50.2
2000-11,16.3,-17.3,-15.9,-18.7,50.1,19.5,35.8,16.2,3.2,45.9,6.5,13.7,-2.3,9.6,25.0,25.7,42.2,18.5,24.5,,,,,,,-15.3,-8.6,48.8
2000-12,20.3,-16.5,-15.2,-17.8,51.0,20.1,36.1,17.9,3.8,37.1,2.6,7.4,-1.6,16.7,12.7,26.3,15.6,17.7,10.0,,,,,,,-20.9,-16.9,47.3
2001-01,20.4,-14.8,-10.5,-19.0,50.7,19.9,38.9,17.4,4.5,18.1,6.5,14.2,9.2,24.3,30.6,36.4,33.1,16.7,26.2,,,,,,,-15.6,-5.9,44.5
2001-02,29.4,-14.2,-14.1,-14.4,47.6,20.4,30.1,13.7,4.9,28.4,9.5,6.7,10.3,33.7,17.8,35.9,-1.1,12.6,22.7,,,,,,,-12.3,2.8,43.0
2001-03,24.6,-7.7,-11.6,-3.9,43.2,25.0,34.5,16.0,5.1,34.5,11.3,11.5,11.3,25.2,22.3,37.6,17.9,11.3,21.3,,,,,,,-9.6,1.3,45.7
2001-04,18.4,-6.7,-6.6,-6.8,30.0,33.7,50.7,25.9,5.5,24.2,6.7,12.4,0.3,12.6,19.1,30.7,10.3,22.7,14.3,,,,,,,-9.2,2.8,50.0
2001-05,19.4,-6.2,-4.9,-7.5,42.8,39.9,44.4,25.7,6.5,32.4,7.3,7.4,0.4,8.7,4.4,26.6,9.7,11.4,5.1,,,,,,,-12.2,1.5,45.7
2001-06,26.1,-7.8,-9.9,-5.7,37.7,40.9,34.8,23.1,6.7,29.1,6.3,-1.1,0.5,13.0,-3.1,12.9,-0.6,7.5,-1.7,,,,,,,-11.8,-3.0,54.5
2001-07,10.4,-7.7,-8.8,-6.7,47.6,31.7,32.3,18.9,8.4,40.2,7.2,2.7,-6.0,9.5,-5.1,22.5,13.9,3.5,-10.9,,,,,,,-10.3,1.4,42.5
2001-08,20.4,-12.6,-8.7,-16.4,24.4,37.3,34.1,21.7,10.1,38.1,6.4,8.2,-6.0,10.2,-1.4,36.3,10.2,9.2,-1.7,,,,,,,-10.0,1.4,45.0
2001-09,21.6,-18.4,-15.5,-21.2,38.1,24.8,32.3,16.4,11.9,35.8,7.9,-1.1,-6.1,9.8,-8.4,14.9,7.7,8.2,-5.4,,,,,,,-9.4,0.8,47.4
2001-10,10.5,-8.6,-4.1,-13.1,38.2,27.6,42.3,21.2,13.9,20.8,6.3,-4.9,-4.9,19.3,-18.0,22.7,-0.3,0.6,-22.7,,,,,,,-9.0,-1.8,47.1
2001-11,3.9,-9.5,-5.1,-13.9,34.8,35.2,42.8,18.9,16.0,46.8,21.3,-9.3,-4.7,15.7,-24.4,12.2,21.9,1.5,-22.1,,,,,,,-7.4,-1.3,44.8
2001-12,20.6,-14.0,-15.0,-13.0,39.3,41.5,41.5,25.8,18.3,36.0,5.6,-3.1,-4.6,13.1,-8.3,12.1,20.7,8.2,-9.5,,,,,,,-6.2,0.6,44.7
2002-01,2.8,-13.3,-6.4,-20.3,37.4,44.9,33.7,23.7,18.6,42.2,7.4,3.8,-12.8,2.2,-9.6,23.1,20.7,9.2,-8.3,,,,,,,-6.0,1.4,46.0
2002-02,1.4,-11.5,-9.4,-13.7,29.7,46.1,30.8,21.4,18.7,41.8,12.7,-3.7,-12.4,11.5,-19.7,20.1,22.0,11.0,-20.5,,,,,,,-4.9,0.2,41.8
2002-03,2.1,-12.2,-11.0,-13.5,24.4,40.7,27.7,20.6,18.5,38.6,6.7,3.4,-11.9,-2.0,-21.7,29.8,1.2,12.4,-26.0,,,,,,,-5.5,3.3,36.5
2002-04,17.3,-4.1,-0.1,-8.2,23.9,37.7,34.0,20.7,18.6,43.3,9.5,-0.8,-9.2,12.9,-23.7,34.3,10.0,5.6,-22.2,,,,,,,-2.3,5.5,37.7
2002-05,14.3,-3.8,-6.0,-1.6,25.7,36.5,51.2,25.3,18.8,44.9,11.6,-0.6,-9.5,6.6,-12.7,17.5,1.4,8.2,-16.4,65.4,45.4,44.4,26.3,-19.6,16.4,-1.6,7.5,37.8
2002-06,11.2,-2.7,-0.7,-4.6,17.6,34.8,46.9,23.4,19.2,41.0,11.4,-0.6,-12.6,9.9,-17.1,25.1,2.4,8.8,-15.6,64.0,42.8,37.7,26.6,-4.5,7.3,-3.4,4.0,27.1
2002-07,27.6,-4.8,-1.9,-7.7,16.5,39.0,50.8,25.8,17.3,40.0,12.5,0.5,-12.0,10.9,-17.2,29.6,24.5,6.2,-21.5,74.7,49.8,42.9,31.9,-8.7,5.1,-3.0,3.8,20.8
2002-08,24.6,-9.1,0.4,-18.6,17.4,36.9,54.3,26.2,15.2,30.3,12.7,3.5,-12.8,6.7,-2.7,20.0,6.2,10.6,-13.2,59.2,38.4,40.6,15.6,-2.3,-1.7,-5.1,-1.4,21.5
2002-09,20.3,-6.9,-6.4,-7.4,24.9,37.4,53.6,25.7,13.0,35.4,14.1,-5.3,-19.1,9.5,-17.0,10.7,-10.7,6.1,-14.2,58.5,38.9,39.0,19.1,-17.4,9.2,-6.5,-8.3,43.7
2002-10,17.3,-5.2,-4.4,-6.0,27.8,25.5,50.2,21.5,10.7,31.2,11.4,4.7,-26.2,1.1,-5.2,20.5,13.6,8.1,-10.9,69.0,42.8,38.4,21.0,-15.0,17.0,-9.9,-5.1,39.9
2002-11,18.2,-4.5,-1.7,-7.2,19.6,19.2,51.7,21.8,8.3,17.5,5.6,2.3,-24.0,1.7,-16.1,24.8,3.4,7.2,-13.7,62.7,43.2,34.3,32.5,-13.1,27.0,-7.9,-2.4,32.7
2002-12,33.2,1.1,-8.8,10.9,17.3,28.0,46.4,20.2,5.8,29.9,13.9,2.2,-27.6,1.3,-12.6,20.5,30.3,4.0,-8.6,64.8,45.8,40.6,32.0,-29.8,-2.0,-7.7,-2.8,30.8
2003-01,12.3,-6.5,-8.3,-4.6,22.7,27.3,46.3,19.7,-1.9,20.1,14.5,4.2,-17.1,0.5,-11.4,24.4,2.3,7.1,-11.9,60.9,42.8,43.7,23.8,-13.7,-9.3,-7.8,-8.1,33.4
2003-02,15.2,-4.7,-0.7,-8.8,25.1,27.4,43.9,18.7,5.2,26.5,15.2,4.9,-19.3,5.0,0.7,19.0,13.1,10.4,-4.4,61.0,41.9,34.4,30.3,-24.7,20.6,-9.3,-5.9,35.8
2003-03,31.7,-2.0,7.2,-11.1,25.1,34.5,36.2,18.1,0.8,29.4,16.5,3.6,-18.0,2.3,-6.6,19.5,-4.0,5.0,-7.9,61.7,44.7,32.8,39.6,-22.1,-3.9,-7.5,-1.6,39.2
2003-04,26.2,-6.3,-1.7,-10.9,22.4,41.9,33.3,17.8,6.6,13.6,21.7,8.1,-17.7,4.4,-6.7,35.4,18.0,4.8,-12.0,61.3,45.0,37.8,36.0,-24.7,-0.4,-10.3,-9.8,35.3
2003-05,14.9,-7.7,-1.3,-14.2,24.1,39.6,39.4,19.9,-3.8,14.9,19.4,5.1,-16.9,2.2,-6.4,23.8,9.2,2.5,-8.5,56.6,39.2,32.4,28.4,-17.7,11.7,-11.0,-9.2,32.4
2003-06,20.1,-6.2,0.0,-12.5,17.8,28.8,41.3,16.7,0.4,13.4,19.9,1.9,-13.3,0.5,-8.2,14.2,1.8,4.7,-13.6,63.4,43.0,36.7,28.8,-17.5,2.0,-10.9,-9.6,31.9
2003-07,26.4,-6.5,-4.4,-8.7,14.9,24.8,48.8,17.6,5.1,10.4,20.9,1.5,-19.7,2.3,-6.8,13.6,14.7,1.2,-15.2,57.0,38.0,27.9,29.2,-20.6,1.2,-13.3,-14.9,35.9
