country,DNK,DNK,DNK
1992-Q1,79.1,-6.3,-1.6
1992-Q2,79.9,-3.3,13.7
1992-Q3,79.9,-6.133333,-1.5
1992-Q4,79.4,-12.3,-8.5
1993-Q1,77.7,-19.1,-13.8
1993-Q2,76.3,-21.43333,-17.3
1993-Q3,78.0,-6.433333,-6.3
1993-Q4,78.5,-5.6,12.0
1994-Q1,80.1,3.533333,20.2
1994-Q2,81.2,9.266666,26.3
1994-Q3,82.5,6.666667,37.7
1994-Q4,83.1,9.433333,32.6
1995-Q1,84.0,6.0,33.4
1995-Q2,83.8,3.466667,20.9
1995-Q3,83.0,7.033333,0.6
1995-Q4,82.4,1.5,5.4
1996-Q1,82.2,-4.866667,-6.2
1996-Q2,81.2,-7.766667,-9.9
1996-Q3,81.0,-13.0,1.1
1996-Q4,82.0,-2.2,11.4
1997-Q1,82.2,2.566667,13.1
1997-Q2,82.5,7.0,9.7
1997-Q3,83.8,7.433333,20.2
1997-Q4,84.4,3.466667,19.1
1998-Q1,85.3,12.86667,27.4
1998-Q2,84.7,9.033334,30.2
1998-Q3,86.1,-5.466667,6.5
1998-Q4,85.5,-9.666667,-3.0
1999-Q1,83.0,-15.5,-22.8
1999-Q2,82.9,-15.13333,-14.5
1999-Q3,81.2,-8.133333,-4.0
1999-Q4,81.2,-6.0,-2.1
2000-Q1,81.2,-3.066667,14.8
2000-Q2,82.6,8.966666,26.0
2000-Q3,82.4,8.3,29.3
2000-Q4,83.2,10.46667,28.0
2001-Q1,84.0,2.866667,19.2
2001-Q2,82.9,-8.8,10.3
2001-Q3,82.0,-10.2,2.1
2001-Q4,81.9,-10.56667,-12.0
2002-Q1,80.9,-6.566667,-15.5
2002-Q2,81.4,-1.966667,6.7
2002-Q3,80.8,1.433333,-1.1
2002-Q4,81.3,-6.5,-2.0
2003-Q1,81.3,-2.6,-1.7
2003-Q2,80.5,-10.7,-13.2
2003-Q3,80.4,-4.0,-14.5
2003-Q4,79.8,-6.066667,4.2
2004-Q1,81.5,0.1666667,11.0
2004-Q2,81.8,2.4,18.5
2004-Q3,82.9,1.566667,18.7
2004-Q4,82.7,-5.666667,10.4
2005-Q1,81.8,0.6,5.0
2005-Q2,83.3,-6.833333,-2.3
2005-Q3,84.3,-3.8,14.9
2005-Q4,84.0,1.1,15.4
2006-Q1,84.6,5.2,19.4
2006-Q2,85.5,1.933333,26.4
2006-Q3,84.3,2.1,21.5
2006-Q4,87.5,10.23333,24.3
2007-Q1,87.3,9.033334,24.6
2007-Q2,88.8,8.666667,34.3
2007-Q3,88.9,8.633333,6.9
2007-Q4,87.1,6.066667,7.0
2008-Q1,87.1,-0.3333333,-3.5
2008-Q2,84.5,-5.466667,-14.0
2008-Q3,83.3,-13.76667,-10.7
2008-Q4,81.6,-23.16667,-26.4
2009-Q1,79.2,-36.16667,-50.3
2009-Q2,75.4,-38.33333,-60.0
2009-Q3,72.8,-24.6,-32.1
2009-Q4,70.9,-21.26667,-19.9
2010-Q1,72.3,-3.533333,7.5
2010-Q2,74.6,0.9333333,12.9
2010-Q3,77.4,4.466667,21.5
2010-Q4,78.3,6.8,17.3
2011-Q1,77.0,7.8,23.3
2011-Q2,78.3,9.766666,26.9
2011-Q3,80.4,3.7,15.5
2011-Q4,78.0,-0.8666667,5.5
2012-Q1,79.1,3.333333,10.3
2012-Q2,79.7,-1.3,15.7
2012-Q3,78.0,-10.03333,-0.7
2012-Q4,79.0,-10.66667,-1.5
2013-Q1,77.9,-8.766666,-2.9
2013-Q2,77.3,-5.1,1.9
2013-Q3,76.7,-0.5666667,0.3
2013-Q4,79.5,11.36667,15.2
2014-Q1,80.5,4.266667,7.0
2014-Q2,79.2,4.866667,15.7
2014-Q3,78.3,0.8,-6.7
2014-Q4,80.7,3.133333,10.7
2015-Q1,80.3,0.7333333,1.4
2015-Q2,81.2,3.633333,-0.1
2015-Q3,80.6,3.733333,10.4
2015-Q4,80.6,2.033333,14.4
2016-Q1,79.6,2.733333,14.3
2016-Q2,80.1,-0.9333333,8.6
2016-Q3,81.3,1.066667,19.8
2016-Q4,78.5,-0.4333333,-0.7
2017-Q1,79.3,11.2,21.9
2017-Q2,80.1,14.26667,16.2
2017-Q3,80.5,18.4,12.4
2017-Q4,79.0,16.0,12.9
2018-Q1,81.1,9.4,19.8
2018-Q2,81.1,12.9,11.3
2018-Q3,80.7,5.333333,16.9
2018-Q4,80.8,8.1,12.0
2019-Q1,81.4,13.7,9.8
2019-Q2,81.3,5.833333,3.9
2019-Q3,81.1,5.9,8.0
2019-Q4,80.6,7.3,11.3
2020-Q1,80.0,3.233333,-1.5
2020-Q2,76.1,-19.0,0.0
2020-Q3,76.2,-4.266667,-24.9
2020-Q4,79.3,3.2,-3.6
2021-Q1,79.2,7.133333,2.3
2021-Q2,78.5,23.33333,12.4
2021-Q3,83.9,17.53333,26.5
2021-Q4,85.0,27.06667,16.9
2022-Q1,84.9,,4.9
